Date,Open,High,Low,Close,Volume,ticker
2023-04-24,10.07,10.1,10.0652,10.09,2114291,AACT-U
2023-04-25,10.08,10.1,10.08,10.08,795801,AACT-U
2023-04-26,10.1,10.12,10.09,10.11,1009379,AACT-U
2023-04-27,10.105,10.12,10.1,10.1,289643,AACT-U
2023-04-28,10.11,10.12,10.1,10.12,66596,AACT-U
2023-05-01,10.1197,10.12,10.11,10.12,69083,AACT-U
2023-05-02,10.12,10.12,10.12,10.12,9026,AACT-U
2023-05-03,10.11,10.13,10.11,10.13,5055,AACT-U
2023-05-04,10.13,10.13,10.12,10.13,286966,AACT-U
2023-05-05,10.13,10.13,10.12,10.13,81006,AACT-U
2023-05-08,10.13,10.14,10.13,10.135,212461,AACT-U
2023-05-09,10.13,10.14,10.13,10.14,107156,AACT-U
2023-05-10,10.121,10.1804,10.121,10.14,170413,AACT-U
2023-05-11,10.16,10.17,10.14,10.14,12600,AACT-U
2023-05-12,10.15,10.15,10.14,10.14,9576,AACT-U
2023-05-15,10.17,10.17,10.15,10.16,37387,AACT-U
2023-05-16,10.1458,10.17,10.1458,10.17,304246,AACT-U
2023-05-17,10.15,10.17,10.15,10.15,33809,AACT-U
2023-05-18,10.17,10.19,10.16,10.19,374949,AACT-U
2023-05-19,10.16,10.17,10.16,10.17,509050,AACT-U
2023-05-22,10.15,10.15,10.15,10.15,837,AACT-U
2023-05-23,10.15,10.1935,10.15,10.16,546,AACT-U
2023-05-24,10.16,10.19,10.15,10.17,1674294,AACT-U
2023-05-25,10.17,10.19,10.17,10.17,9210,AACT-U
2023-05-26,10.17,10.18,10.16,10.16,15131,AACT-U
2023-05-30,10.2,10.2,10.16,10.18,5855,AACT-U
2023-06-01,10.18,10.18,10.17,10.17,100111,AACT-U
2023-06-02,10.1782,10.18,10.16,10.17,201250,AACT-U
2023-06-05,10.17,10.19,10.17,10.18,54901,AACT-U
2023-06-06,10.15,10.22,10.15,10.2,313247,AACT-U
2023-06-07,10.17,10.2,10.17,10.2,432,AACT-U
2023-06-08,10.23,10.23,10.23,10.23,401,AACT-U
2023-06-09,10.2199,10.23,10.2196,10.23,119653,AACT-U
2023-06-12,10.21,10.25,10.21,10.25,377100,AACT-U
2023-06-14,10.2,10.25,10.2,10.25,22700,AACT-U
2023-06-15,10.25,10.25,10.25,10.25,161728,AACT-U
2023-06-16,10.2501,10.2501,10.2501,10.2501,250,AACT-U
2023-06-20,10.25,10.25,10.25,10.25,10248,AACT-U
2023-06-21,10.22,10.25,10.22,10.25,1048,AACT-U
2023-07-10,10.3,10.3,10.3,10.3,50000,AACT-U
2023-07-17,10.29,10.29,10.29,10.29,351,AACT-U
2023-07-18,10.2901,10.2901,10.2901,10.2901,100,AACT-U
2023-07-20,10.33,10.33,10.33,10.33,4790,AACT-U
2023-07-24,10.45,10.45,10.45,10.45,100,AACT-U
2023-07-25,10.2301,10.27,10.2301,10.27,52916,AACT-U
2023-07-27,10.3,10.3,10.3,10.3,75001,AACT-U
2023-08-04,10.33,10.33,10.33,10.33,10000,AACT-U
2023-08-09,10.32,10.32,10.32,10.32,42237,AACT-U
2023-08-11,10.33,10.33,10.33,10.33,807,AACT-U
2023-08-16,10.34,10.34,10.34,10.34,41596,AACT-U
2023-09-01,10.38,10.48,10.37,10.48,3730,AACT-U
2023-09-11,10.55,10.55,10.55,10.55,100,AACT-U
2023-09-18,10.5,10.5,10.5,10.5,301,AACT-U
2023-09-28,10.39,10.39,10.39,10.39,859,AACT-U
2023-10-06,10.38,10.3801,10.38,10.3801,600,AACT-U
2023-10-10,10.44,10.44,10.44,10.44,3000,AACT-U
2023-10-18,10.41,10.41,10.41,10.41,168652,AACT-U
2023-10-25,10.41,10.43,10.41,10.41,3205,AACT-U
2023-10-26,10.41,10.45,10.41,10.45,416,AACT-U
2023-10-30,10.41,10.45,10.41,10.43,55638,AACT-U
2023-10-31,10.43,10.43,10.43,10.43,200,AACT-U
2023-11-07,10.45,10.45,10.45,10.45,35843,AACT-U
2023-11-13,10.43,10.4482,10.43,10.4482,200,AACT-U
2023-11-15,10.63,10.63,10.63,10.63,100,AACT-U
2023-11-21,10.45,10.45,10.44,10.44,10466,AACT-U
2023-11-22,10.48,10.48,10.43,10.48,3403,AACT-U
2023-11-24,10.43,10.44,10.41,10.44,159801,AACT-U
2023-11-27,10.44,10.45,10.44,10.45,210001,AACT-U
2023-11-28,10.45,10.45,10.45,10.45,260,AACT-U
2023-11-29,10.46,10.46,10.46,10.46,8272,AACT-U
2023-12-07,10.43,10.43,10.43,10.43,110,AACT-U
2023-12-08,10.45,10.45,10.45,10.45,8600,AACT-U
2023-12-11,10.45,10.45,10.45,10.45,100,AACT-U
2023-12-12,10.45,10.45,10.45,10.45,100,AACT-U
2023-12-15,10.46,10.46,10.45,10.46,9100,AACT-U
2023-12-21,10.5,10.5,10.49,10.5,7493,AACT-U
2023-12-27,10.47,10.5,10.47,10.5,3264,AACT-U
2024-01-02,10.52,10.52,10.52,10.52,100,AACT-U
2024-01-08,10.52,10.52,10.52,10.52,2848,AACT-U
2024-01-29,10.58,10.58,10.58,10.58,5100,AACT-U
2024-01-31,10.52,10.57,10.52,10.57,12285,AACT-U
