Date,Open,High,Low,Close,Volume,ticker
2023-06-14,0.2744,0.2751,0.2744,0.2751,3000,AACT-WS
2023-06-15,0.28,0.2881,0.25,0.2881,617320,AACT-WS
2023-06-16,0.2849,0.2849,0.28,0.28,500,AACT-WS
2023-06-20,0.2604,0.27,0.255,0.26,7200,AACT-WS
2023-06-21,0.25,0.2749,0.25,0.26,31300,AACT-WS
2023-06-22,0.25,0.25,0.2418,0.25,656508,AACT-WS
2023-06-23,0.2662,0.2662,0.25,0.25,1100,AACT-WS
2023-06-27,0.25,0.25,0.25,0.25,556700,AACT-WS
2023-06-28,0.2675,0.279899,0.24,0.279899,700,AACT-WS
2023-06-29,0.3,0.3,0.3,0.3,100,AACT-WS
2023-06-30,0.279,0.279,0.264,0.264,7063,AACT-WS
2023-07-05,0.2825,0.2954,0.2825,0.2954,2101,AACT-WS
2023-07-06,0.3,0.3,0.27,0.27,9300,AACT-WS
2023-07-07,0.2654,0.2654,0.2654,0.2654,2361,AACT-WS
2023-07-10,0.3,0.3,0.28,0.28,3005,AACT-WS
2023-07-11,0.29,0.3,0.28,0.3,4645,AACT-WS
2023-07-12,0.279,0.3,0.2614,0.3,50939,AACT-WS
2023-07-13,0.279,0.3,0.27,0.3,50100,AACT-WS
2023-07-14,0.3,0.3,0.279,0.2865,81700,AACT-WS
2023-07-17,0.3002,0.3002,0.2644,0.269,4501,AACT-WS
2023-07-18,0.2675,0.2675,0.26,0.26,7250,AACT-WS
2023-07-19,0.27,0.27,0.25,0.2638,85991,AACT-WS
2023-07-20,0.3095,0.39,0.2955,0.33,41618,AACT-WS
2023-07-21,0.3069,0.3069,0.2782,0.29,1900,AACT-WS
2023-07-24,0.299,0.299,0.27325,0.275,1813,AACT-WS
2023-07-25,0.272999,0.275,0.23,0.275,30024,AACT-WS
2023-07-26,0.27,0.27,0.2505,0.251,18000,AACT-WS
2023-07-27,0.25,0.26,0.25,0.25,907478,AACT-WS
2023-07-28,0.35,0.35,0.35,0.35,100,AACT-WS
2023-07-31,0.3255,0.3255,0.268,0.3,3900,AACT-WS
2023-08-01,0.3,0.3,0.2999,0.3,1017,AACT-WS
2023-08-02,0.3,0.3,0.28,0.28,3600,AACT-WS
2023-08-04,0.2924,0.2924,0.29,0.29,36514,AACT-WS
2023-08-07,0.29,0.29,0.28,0.29,223592,AACT-WS
2023-08-09,0.32,0.32,0.25,0.25,25311,AACT-WS
2023-08-15,0.26,0.26,0.26,0.26,101610,AACT-WS
2023-08-17,0.2782,0.2782,0.2782,0.2782,101,AACT-WS
2023-08-22,0.29,0.29,0.29,0.29,100,AACT-WS
2023-08-24,0.2697,0.29,0.23,0.29,2945,AACT-WS
2023-08-28,0.29,0.32,0.29,0.3056,3800,AACT-WS
2023-08-30,0.3356,0.3778,0.3356,0.3778,4296,AACT-WS
2023-09-05,0.39,0.39,0.32,0.3629,33020,AACT-WS
2023-09-07,0.3375,0.3897,0.32,0.32,40689,AACT-WS
2023-09-11,0.32,0.3584,0.2977,0.32,13410,AACT-WS
2023-09-12,0.3584,0.3894,0.3247,0.3438,16419,AACT-WS
2023-09-13,0.3849,0.3893,0.3315,0.3315,10784,AACT-WS
2023-09-18,0.29,0.32,0.29,0.32,250,AACT-WS
2023-09-20,0.2901,0.32,0.2199,0.2899,101067,AACT-WS
2023-09-21,0.29,0.29,0.29,0.29,15500,AACT-WS
2023-09-22,0.29,0.29,0.29,0.29,500,AACT-WS
