Date,Open,High,Low,Close,Volume,ticker
2018-06-27,58.5,59.278,57.3,58.2,19790,AADI
2018-06-28,57.0,63.225,57.0,62.85,16321,AADI
2018-06-29,62.25,62.85,58.197,62.25,14689,AADI
2018-07-02,62.4,63.285,60.15,61.485,7890,AADI
2018-07-03,63.0,63.45,61.05,62.85,4584,AADI
2018-07-05,62.25,63.135,60.75,60.75,5648,AADI
2018-07-06,61.672,62.688,60.75,61.65,3890,AADI
2018-07-09,63.6,65.25,60.75,64.05,19769,AADI
2018-07-10,64.5,65.25,62.1,62.7,22282,AADI
2018-07-11,58.8,63.285,58.8,61.8,13675,AADI
2018-07-12,62.25,63.6,60.3,62.25,8843,AADI
2018-07-13,62.25,62.7,60.75,62.25,10215,AADI
2018-07-16,64.35,64.35,61.05,62.85,7588,AADI
2018-07-17,63.15,64.65,62.25,62.4,5949,AADI
2018-07-18,62.85,63.75,61.2,61.2,12726,AADI
2018-07-19,60.3,63.652,60.3,61.35,5663,AADI
2018-07-20,60.6,63.6,60.3,62.55,2812,AADI
2018-07-23,63.6,64.5,62.55,62.7,5339,AADI
2018-07-24,62.7,63.75,62.55,62.701,4471,AADI
2018-07-25,63.45,63.825,62.4,63.0,5706,AADI
2018-07-26,62.7,63.0,60.75,61.458,2500,AADI
2018-07-27,62.25,62.25,60.3,60.9,3250,AADI
2018-07-30,60.9,62.235,60.3,60.75,986,AADI
2018-07-31,60.15,61.125,58.746,58.95,4352,AADI
2018-08-01,58.815,59.281,57.75,57.9,4830,AADI
2018-08-02,57.75,59.631,54.0,54.45,2483,AADI
2018-08-03,57.15,58.35,53.925,54.45,1729,AADI
2018-08-06,56.598,58.35,56.25,58.35,369,AADI
2018-08-07,55.95,58.5,52.65,53.4,1853,AADI
2018-08-08,53.25,55.396,51.45,53.25,1450,AADI
2018-08-09,52.605,57.9,51.9,52.278,1854,AADI
2018-08-10,58.35,58.5,53.025,56.25,293,AADI
2018-08-13,57.0,57.106,56.097,56.307,94,AADI
2018-08-14,56.946,56.946,54.0,55.35,782,AADI
2018-08-15,55.815,55.815,49.95,49.95,2774,AADI
2018-08-16,51.0,54.3,51.0,54.3,336,AADI
2018-08-17,54.75,58.5,52.5,58.5,4229,AADI
2018-08-20,58.5,59.55,54.15,55.5,4865,AADI
2018-08-21,54.3,56.25,54.001,56.25,1356,AADI
2018-08-22,55.5,57.75,54.675,56.85,2930,AADI
2018-08-23,54.3,57.564,52.5,53.25,3443,AADI
2018-08-24,54.75,57.45,49.5,50.25,3411,AADI
2018-08-27,51.117,54.0,50.25,51.45,3216,AADI
2018-08-28,51.15,53.25,50.1,53.25,1823,AADI
2018-08-29,51.45,53.85,51.0,52.2,979,AADI
2018-08-30,53.4,54.15,50.55,54.15,2949,AADI
