Date,Open,High,Low,Close,Volume,ticker
2021-10-06,0.899899,0.899899,0.78,0.815,42510,AAGRW
2021-10-07,0.82,0.9,0.695,0.695,146021,AAGRW
2021-10-08,0.75,0.8,0.73,0.75,5134,AAGRW
2021-10-11,0.8,0.9197,0.7519,0.79,109151,AAGRW
2021-10-12,0.81,0.84,0.81,0.81,2377,AAGRW
2021-10-13,0.85,0.86,0.77,0.825,10158,AAGRW
2021-10-14,0.84,1.05,0.7501,0.77,114483,AAGRW
2021-10-15,0.79,0.81,0.7,0.8,49519,AAGRW
2021-10-18,0.84,0.84,0.8,0.84,11830,AAGRW
2021-10-19,0.838,0.85,0.81,0.83,93011,AAGRW
2021-10-20,0.8,0.85,0.8,0.85,26168,AAGRW
2021-10-21,0.8882,0.9822,0.8882,0.949799,1954,AAGRW
2021-10-22,1.67,1.67,0.8801,0.8801,13551,AAGRW
2021-10-25,0.87,0.9,0.87,0.9,13910,AAGRW
2021-10-26,0.9499,0.9499,0.900051,0.91,10010,AAGRW
2021-10-27,0.9001,0.96,0.9001,0.94505,27308,AAGRW
2021-10-28,0.96,0.96,0.96,0.96,261,AAGRW
2021-10-29,0.96,0.96,0.93,0.9599,7780,AAGRW
2021-11-01,1.69,1.69,0.95,0.98,126550,AAGRW
2021-11-02,1.0,1.06,0.94,1.04,3248,AAGRW
2021-11-03,0.995,1.06,0.98,1.06,18114,AAGRW
2021-11-04,1.09,1.51,1.0399,1.0399,4891,AAGRW
2021-11-05,1.09,1.115,1.04,1.115,9734,AAGRW
2021-11-08,1.1099,1.17,1.1099,1.15,5053,AAGRW
2021-11-09,1.45,1.45,1.16,1.18,8930,AAGRW
2021-11-10,1.305,1.37,1.305,1.37,1086,AAGRW
2021-11-11,1.39,1.39,1.35,1.39,1075,AAGRW
2021-11-12,1.27,1.47,1.18,1.34,5960,AAGRW
2021-11-15,1.64,1.66,1.405,1.405,2526,AAGRW
2021-11-16,1.536,1.605,1.5,1.5,3601,AAGRW
2021-11-17,1.35,1.49,1.35,1.37,451,AAGRW
2021-11-18,2.2,2.5999,1.88,1.95,84971,AAGRW
2021-11-19,3.3,4.4,2.0,2.69,303099,AAGRW
2021-11-22,3.0,3.6,2.69,2.99,55615,AAGRW
2021-11-23,2.98,3.4,2.91,3.1,40314,AAGRW
2021-11-24,3.08,3.1,2.3,2.525,29566,AAGRW
2021-11-26,2.46,3.1,2.46,2.9701,12385,AAGRW
2021-11-29,2.9,3.21,2.8,2.8,9361,AAGRW
2021-11-30,2.81,2.8101,2.81,2.8101,1265,AAGRW
2021-12-01,3.34,3.36,2.52,2.52,9318,AAGRW
2021-12-02,2.47,2.561,2.26,2.561,12280,AAGRW
2021-12-03,2.4,2.5,2.2,2.2,8380,AAGRW
2021-12-06,2.35,2.4456,2.0,2.4456,5141,AAGRW
2021-12-07,2.01,2.3699,2.01,2.3699,3624,AAGRW
2021-12-08,2.31,2.3799,2.13,2.16,4402,AAGRW
2021-12-09,2.07,2.8699,2.03,2.03,4110,AAGRW
2021-12-10,2.11,2.982,2.0301,2.0924,8721,AAGRW
2021-12-13,2.2,3.033,2.1502,2.57,1383,AAGRW
2021-12-14,2.26,2.3,2.26,2.3,2783,AAGRW
2021-12-15,2.24,2.25,2.2399,2.2399,5010,AAGRW
2021-12-16,2.1681,2.2,2.0919,2.0919,4111,AAGRW
2021-12-17,2.25,2.25,2.01,2.175,6058,AAGRW
2021-12-20,2.19,2.22,2.14,2.22,5192,AAGRW
2021-12-21,2.3001,2.375,2.3001,2.375,1371,AAGRW
2021-12-22,2.3,2.49,2.3,2.4,21688,AAGRW
2021-12-23,2.43,2.44,2.43,2.44,1491,AAGRW
2021-12-27,2.3267,2.3267,2.2301,2.2301,919,AAGRW
2021-12-28,2.2771,2.2771,2.09,2.0901,2316,AAGRW
2021-12-29,2.18,2.19,2.01,2.07,2366,AAGRW
2021-12-30,2.07,2.07,2.0,2.0,4591,AAGRW
2021-12-31,2.2,2.2,1.98,1.98,851,AAGRW
2022-01-03,1.99,1.99,1.95,1.95,1327,AAGRW
2022-01-04,1.93,2.04,1.92,1.92,1108,AAGRW
2022-01-05,1.94,2.055,1.9,1.91,2412,AAGRW
2022-01-06,1.9,2.195,1.9,1.9,1217,AAGRW
2022-01-07,1.8501,1.9,1.82,1.8312,2179,AAGRW
2022-01-10,1.92,1.92,1.75,1.8169,2891,AAGRW
2022-01-11,1.75,1.99,1.64,1.66,14165,AAGRW
2022-01-12,1.6101,1.68,1.53,1.53,3171,AAGRW
2022-01-13,1.51,1.5199,1.45,1.5199,5347,AAGRW
2022-01-14,1.35,1.35,1.26,1.35,2871,AAGRW
2022-01-18,1.29,1.29,1.29,1.29,1162,AAGRW
2022-01-19,1.2301,1.2301,1.2301,1.2301,443,AAGRW
2022-01-20,1.21,1.21,1.05,1.05,8230,AAGRW
2022-01-21,1.05,1.05,1.01,1.01,1827,AAGRW
2022-01-24,1.01,1.0112,1.0,1.01,5686,AAGRW
2022-01-25,1.0,1.26,1.0,1.0,1441,AAGRW
2022-01-26,1.2,1.2,0.99,1.0311,3065,AAGRW
2022-01-27,1.1,1.1001,0.98,0.98,2546,AAGRW
2022-01-28,0.9799,0.9799,0.9351,0.9351,2189,AAGRW
2022-01-31,0.9299,0.93,0.8899,0.8899,2720,AAGRW
2022-02-01,0.94045,0.94045,0.8904,0.8904,3649,AAGRW
2022-02-02,1.16,1.16,0.87,1.02,20194,AAGRW
2022-02-03,1.03,1.0964,1.03,1.04,715,AAGRW
2022-02-04,1.04,1.04,1.04,1.04,840,AAGRW
2022-02-08,1.0685,1.0685,1.0685,1.0685,329,AAGRW
2022-02-09,1.05,1.1,1.04,1.05,2971,AAGRW
2022-02-10,1.2,1.2,1.04,1.0401,6058,AAGRW
2022-02-11,1.2,1.2,1.05,1.05,4541,AAGRW
2022-02-14,1.31,1.31,1.0792,1.0792,2575,AAGRW
2022-02-15,1.0801,1.14,1.04,1.04,2107,AAGRW
2022-02-17,1.07,1.1892,1.05,1.05,1044,AAGRW
2022-02-18,1.1,1.1,1.04,1.0406,4460,AAGRW
2022-02-22,1.0401,1.043,1.04,1.04,1065,AAGRW
2022-02-23,1.04,1.0401,1.04,1.0401,412,AAGRW
2022-02-24,1.04,1.0417,1.04,1.0415,2493,AAGRW
2022-02-25,1.144,1.144,1.04,1.0401,913,AAGRW
2022-02-28,1.0401,1.0401,1.0401,1.0401,542,AAGRW
2022-03-02,1.04,1.05,1.04,1.05,466,AAGRW
2022-03-03,1.1,1.1,1.04,1.04,691,AAGRW
2022-03-07,1.04,1.0624,1.04,1.04,1799,AAGRW
2022-03-08,1.05,1.0567,1.03,1.03,1639,AAGRW
2022-03-09,1.03,1.1103,1.03,1.04,1114,AAGRW
2022-03-11,1.0601,1.2597,1.05,1.05,1651,AAGRW
2022-03-14,1.04,1.08,1.04,1.05,1807,AAGRW
2022-03-15,1.05,1.05,1.04,1.04,2009,AAGRW
2022-03-16,1.0526,1.0526,1.05,1.05,334,AAGRW
2022-03-17,1.04,1.065,1.03,1.065,1952,AAGRW
2022-03-18,1.05,1.07,1.05,1.07,405,AAGRW
2022-03-21,1.0259,1.0459,1.0259,1.0459,551,AAGRW
2022-03-22,1.05,1.05,1.05,1.05,120,AAGRW
2022-03-23,1.1,1.1,0.9501,0.9501,1897,AAGRW
2022-03-25,0.96,0.9766,0.96,0.9766,1140,AAGRW
2022-03-28,0.98,0.98,0.98,0.98,1950,AAGRW
2022-03-29,0.98,0.9801,0.9509,0.9509,3844,AAGRW
2022-03-30,1.1,1.1,0.9592,0.9592,1747,AAGRW
2022-04-01,0.8799,0.8799,0.5375,0.573,476798,AAGRW
2022-04-04,0.65,0.65,0.4801,0.4812,118681,AAGRW
2022-04-05,0.4802,0.5745,0.46,0.5745,14035,AAGRW
2022-04-06,0.52,0.52,0.47,0.49,29406,AAGRW
2022-04-07,0.4968,0.526,0.479999,0.52,10413,AAGRW
2022-04-08,0.5424,0.5724,0.48,0.52,23520,AAGRW
2022-04-11,0.5489,0.572299,0.4601,0.47,29232,AAGRW
2022-04-12,0.5,0.5109,0.469501,0.4702,6469,AAGRW
2022-04-13,0.5,0.51,0.46,0.4694,7767,AAGRW
2022-04-14,0.4649,0.4649,0.4252,0.4423,11026,AAGRW
