Date,Open,High,Low,Close,Volume,ticker
2024-08-05,10.0,10.0,9.99,9.99,633245,AAM-U
2024-08-06,10.0,10.01,9.99,10.01,663010,AAM-U
2024-08-07,9.9901,10.01,9.985,9.99,2324752,AAM-U
2024-08-08,10.01,10.01,9.99,10.0,300118,AAM-U
2024-08-09,10.0,10.0,9.99,9.99,38873,AAM-U
2024-08-12,9.99,9.99,9.98,9.98,91985,AAM-U
2024-08-13,9.99,9.9968,9.985,9.99,207235,AAM-U
2024-08-14,10.01,10.01,9.99,9.995,277404,AAM-U
2024-08-15,9.9908,10.0,9.99,10.0,9876,AAM-U
2024-08-19,9.99,10.0,9.9899,10.0,8222,AAM-U
2024-08-20,9.99,10.01,9.99,10.0,458960,AAM-U
2024-08-21,10.0,10.0,9.99,9.995,5784,AAM-U
2024-08-22,9.99,9.99,9.99,9.99,79187,AAM-U
2024-08-23,10.0,10.0,9.99,9.99,275268,AAM-U
2024-08-26,9.99,9.99,9.97,9.98,625941,AAM-U
2024-08-27,9.98,9.99,9.97,9.99,133517,AAM-U
2024-08-28,9.97,9.99,9.97,9.99,1043,AAM-U
2024-08-29,9.99,9.99,9.98,9.98,8957,AAM-U
2024-08-30,9.98,9.98,9.97,9.98,738,AAM-U
2024-09-03,9.98,9.98,9.97,9.975,5137,AAM-U
2024-09-04,9.98,9.99,9.98,9.99,774533,AAM-U
2024-09-05,9.99,9.99,9.986,9.986,105707,AAM-U
2024-09-06,10.0,10.0008,9.99,9.99,1406318,AAM-U
2024-09-09,10.0014,10.0014,9.99,9.99,290759,AAM-U
2024-09-10,10.0098,10.01,9.99,10.0,501796,AAM-U
2024-09-11,10.0,10.0,9.99,10.0,915586,AAM-U
2024-09-12,9.99,10.01,9.99,10.0,35138,AAM-U
2024-09-13,10.0,10.01,10.0,10.01,126337,AAM-U
2024-09-16,10.01,10.01,10.0,10.0,11661,AAM-U
2024-09-17,10.0,10.0,10.0,10.0,544,AAM-U
2024-09-18,10.01,10.01,9.9995,10.0,3361,AAM-U
2024-09-19,10.01,10.01,10.01,10.01,1786,AAM-U
2024-09-20,10.0,10.0,10.0,10.0,1934,AAM-U
2024-09-23,10.01,10.02,10.0,10.0,2466,AAM-U
2024-09-24,10.0,10.01,10.0,10.0,2384,AAM-U
2024-09-25,10.0033,10.02,10.0,10.0,101550,AAM-U
2024-09-26,10.0,10.02,10.0,10.02,1733,AAM-U
2024-09-30,10.0199,10.0284,10.01,10.01,6375,AAM-U
2024-10-01,10.02,10.02,10.02,10.02,108,AAM-U
2024-10-02,10.03,10.04,10.0298,10.04,8873,AAM-U
2024-10-07,10.05,10.05,10.05,10.05,307,AAM-U
2024-10-08,10.05,10.05,10.04,10.04,3931,AAM-U
2024-10-09,10.1,10.1,10.03,10.03,6057,AAM-U
2024-10-10,10.0302,10.04,10.02,10.02,5062,AAM-U
2024-10-11,10.04,10.04,10.03,10.03,104747,AAM-U
2024-10-14,10.0411,10.0411,10.0411,10.0411,633,AAM-U
2024-10-15,10.041,10.041,10.041,10.041,936,AAM-U
2024-10-16,10.04,10.05,10.04,10.04,2000,AAM-U
2024-10-17,10.04,10.04,10.035,10.04,23662,AAM-U
2024-10-18,10.0429,10.0429,10.0429,10.0429,597,AAM-U
2024-10-21,10.04,10.0484,10.04,10.0484,1126,AAM-U
2024-10-22,10.05,10.06,10.05,10.06,2316,AAM-U
2024-10-23,10.0501,10.0559,10.045,10.0559,55020,AAM-U
2024-10-28,10.08,10.1,10.07,10.1,2816,AAM-U
2024-10-29,10.07,10.08,10.05,10.08,5880,AAM-U
2024-10-30,10.05,10.07,10.05,10.07,26164,AAM-U
2024-11-01,10.1,10.1,10.06,10.06,45984,AAM-U
2024-11-04,10.07,10.07,10.05,10.05,26843,AAM-U
2024-11-05,10.07,10.07,10.07,10.07,25508,AAM-U
2024-11-06,10.05,10.07,10.05,10.07,10300,AAM-U
2024-11-07,10.07,10.07,10.07,10.07,707,AAM-U
2024-11-08,10.07,10.07,10.07,10.07,5158,AAM-U
2024-11-11,10.07,10.07,10.07,10.07,29055,AAM-U
2024-11-13,10.08,10.08,10.07,10.07,9893,AAM-U
2024-11-14,10.06,10.06,10.06,10.06,767,AAM-U
2024-11-15,10.07,10.07,10.07,10.07,1523,AAM-U
2024-11-20,10.07,10.07,10.07,10.07,449964,AAM-U
2024-11-21,10.09,10.09,10.09,10.09,860,AAM-U
2024-11-26,10.09,10.09,10.09,10.09,214,AAM-U
2024-11-29,10.1,10.1,10.1,10.1,107,AAM-U
2024-12-06,10.1,10.1,10.1,10.1,953,AAM-U
2024-12-10,10.1,10.1,10.0901,10.0901,463,AAM-U
2024-12-18,10.14,10.14,10.14,10.14,100,AAM-U
2024-12-19,10.14,10.14,10.14,10.14,100,AAM-U
2024-12-20,10.14,10.14,10.14,10.14,196,AAM-U
2025-01-13,10.1541,10.1541,10.1541,10.1541,500,AAM-U
2025-01-22,10.15,10.1538,10.15,10.1538,21673,AAM-U
2025-01-27,10.15,10.3,10.15,10.15,5908,AAM-U
2025-01-29,10.16,10.16,10.16,10.16,505,AAM-U
