Date,Open,High,Low,Close,Volume,ticker
2024-09-18,0.03,0.06,0.03,0.0501,464600,AAM-WS
2024-09-20,0.05,0.05,0.05,0.05,100011,AAM-WS
2024-09-23,0.0501,0.065,0.045,0.0587,417234,AAM-WS
2024-09-25,0.053,0.06,0.05,0.05,110702,AAM-WS
2024-09-26,0.05,0.0501,0.05,0.05,73598,AAM-WS
2024-09-27,0.0499,0.056647,0.0451,0.056647,23090,AAM-WS
2024-09-30,0.0566,0.06,0.05,0.06,253640,AAM-WS
2024-10-02,0.06,0.06,0.06,0.06,15023,AAM-WS
2024-10-10,0.06,0.06,0.06,0.06,250092,AAM-WS
2024-10-11,0.056,0.056,0.055,0.0551,80001,AAM-WS
2024-10-14,0.056,0.056,0.0503,0.0503,30000,AAM-WS
2024-10-15,0.0502,0.0502,0.0502,0.0502,255,AAM-WS
2024-10-16,0.05,0.05,0.05,0.05,65000,AAM-WS
2024-10-17,0.055,0.055,0.055,0.055,126091,AAM-WS
2024-10-18,0.054999,0.054999,0.054999,0.054999,1000,AAM-WS
2024-10-21,0.055,0.055,0.0501,0.0501,5803,AAM-WS
2024-10-22,0.055,0.055,0.055,0.055,4500,AAM-WS
2024-10-23,0.06,0.06,0.06,0.06,4531,AAM-WS
2024-11-01,0.06,0.06,0.055,0.055,12005,AAM-WS
2024-11-04,0.055,0.057376,0.055,0.0551,5700,AAM-WS
2024-11-07,0.055,0.055,0.055,0.055,120,AAM-WS
2024-11-13,0.059999,0.06,0.059999,0.059999,489,AAM-WS
2024-11-18,0.056,0.056,0.055,0.055,3680,AAM-WS
2024-11-19,0.055,0.055,0.055,0.055,850,AAM-WS
2024-11-20,0.06,0.06,0.056,0.056,794,AAM-WS
2024-11-21,0.056,0.056,0.0501,0.0551,2025,AAM-WS
2024-11-25,0.06,0.06,0.055,0.0551,12285,AAM-WS
2024-11-27,0.0569,0.062,0.055,0.06,8336,AAM-WS
2024-11-29,0.0608,0.062,0.055096,0.055112,87280,AAM-WS
2024-12-02,0.0578,0.07,0.0462,0.0462,1333206,AAM-WS
2024-12-03,0.066,0.07,0.05,0.05,6925,AAM-WS
2024-12-04,0.05,0.05,0.05,0.05,304,AAM-WS
2024-12-05,0.0584,0.0698,0.05,0.06,20092,AAM-WS
2024-12-06,0.06,0.06,0.05,0.0571,10017,AAM-WS
2024-12-09,0.06,0.08,0.0501,0.0501,34348,AAM-WS
2024-12-10,0.0677,0.07,0.0564,0.0564,10359,AAM-WS
2024-12-11,0.0742,0.08,0.0506,0.06,6193,AAM-WS
2024-12-12,0.0765,0.08,0.064,0.064,108637,AAM-WS
2024-12-17,0.0628,0.0699,0.06,0.0699,7589,AAM-WS
2024-12-18,0.07,0.0899,0.068,0.07,10248,AAM-WS
2024-12-19,0.06,0.07,0.06,0.0697,10889,AAM-WS
2024-12-20,0.063,0.063,0.063,0.063,3220,AAM-WS
2024-12-24,0.064,0.07,0.063,0.07,10230,AAM-WS
2024-12-27,0.079999,0.079999,0.07,0.07,94125,AAM-WS
2024-12-30,0.065539,0.0775,0.065539,0.069941,22843,AAM-WS
2025-01-02,0.07,0.07,0.07,0.07,584,AAM-WS
2025-01-03,0.061153,0.07,0.0602,0.069684,2144,AAM-WS
2025-01-06,0.07,0.07,0.07,0.07,1154,AAM-WS
2025-01-07,0.066601,0.0699,0.06,0.0699,1597,AAM-WS
2025-01-08,0.065,0.08,0.060401,0.070151,27768,AAM-WS
2025-01-10,0.075,0.09,0.0748,0.0748,432,AAM-WS
2025-01-13,0.0648,0.09,0.061101,0.0781,2096,AAM-WS
2025-01-14,0.0701,0.0781,0.0701,0.0781,1059,AAM-WS
2025-01-21,0.0701,0.09,0.0701,0.0701,1599,AAM-WS
2025-01-22,0.07,0.0701,0.07,0.07,8970,AAM-WS
2025-01-23,0.07,0.07,0.0611,0.065,6613,AAM-WS
2025-01-24,0.07,0.07,0.065,0.065,12022,AAM-WS
2025-01-27,0.0611,0.0731,0.0611,0.0731,6640,AAM-WS
2025-01-28,0.0611,0.07,0.0561,0.06,248248,AAM-WS
2025-01-29,0.06,0.06,0.06,0.06,2515,AAM-WS
2025-01-30,0.056,0.057388,0.0505,0.0505,4536,AAM-WS
2025-01-31,0.060001,0.060001,0.060001,0.060001,349,AAM-WS
2025-02-03,0.0605,0.065,0.0605,0.0605,481,AAM-WS
2025-02-04,0.055,0.0551,0.055,0.0551,922,AAM-WS
2025-02-05,0.0551,0.065,0.0551,0.065,1510,AAM-WS
