Date,Open,High,Low,Close,Volume,ticker
2005-02-25,2.8263,2.8263,2.8165,2.8263,9406,AAME
2005-02-28,2.8449,2.8916,2.8165,2.8263,6816,AAME
2005-03-01,2.8263,2.8637,2.8165,2.8637,4372,AAME
2005-03-02,2.8541,2.8541,2.7698,2.8165,15902,AAME
2005-03-03,2.8541,2.8541,2.8165,2.8165,1385,AAME
2005-03-04,2.8263,2.8449,2.8263,2.8354,2770,AAME
2005-03-07,2.8354,2.8354,2.8263,2.8263,3089,AAME
2005-03-08,2.8165,2.8541,2.8165,2.8165,6711,AAME
2005-03-09,2.8263,2.8263,2.8263,2.8263,110,AAME
2005-03-10,2.8263,2.8263,2.8263,2.8263,534,AAME
2005-03-11,2.8263,2.8263,2.8263,2.8263,904,AAME
2005-03-14,2.8541,2.8541,2.8541,2.8541,110,AAME
2005-03-15,2.8541,2.8541,2.8165,2.8165,440,AAME
2005-03-17,2.8165,2.8165,2.8165,2.8165,1414,AAME
2005-03-18,2.8165,2.8637,2.8074,2.8637,22392,AAME
2005-03-21,2.9104,2.9481,2.8825,2.8825,5210,AAME
2005-03-22,2.9202,2.939,2.9104,2.9104,1491,AAME
2005-03-23,2.8916,2.9668,2.8916,2.939,1810,AAME
2005-03-24,2.8825,2.9291,2.8637,2.9104,4492,AAME
2005-03-28,2.873,2.873,2.8165,2.8354,12568,AAME
2005-03-29,2.8354,2.9013,2.8354,2.8916,3705,AAME
2005-03-30,2.8354,2.8354,2.8165,2.8354,6711,AAME
2005-03-31,2.8449,2.8449,2.8449,2.8449,534,AAME
2005-04-01,2.8263,2.8449,2.8165,2.8449,6023,AAME
2005-04-04,2.6288,2.9202,2.6288,2.9202,24113,AAME
2005-04-05,2.8165,2.8165,2.8165,2.8165,322,AAME
2005-04-08,2.9104,2.9202,2.9013,2.9202,2130,AAME
2005-04-11,2.8165,2.9104,2.8165,2.8165,2875,AAME
2005-04-12,2.8449,2.8637,2.8449,2.8637,1598,AAME
2005-04-13,2.9202,2.9202,2.9202,2.9202,404,AAME
2005-04-14,2.8263,2.9104,2.8263,2.9104,5325,AAME
2005-04-18,2.8449,2.8541,2.8263,2.8263,1278,AAME
2005-04-19,2.8449,2.8541,2.8449,2.8449,7273,AAME
2005-04-20,2.9575,2.9575,2.8354,2.9104,6666,AAME
2005-04-21,2.9104,2.9104,2.9104,2.9104,1703,AAME
2005-04-22,2.8449,2.8449,2.8449,2.8449,213,AAME
2005-04-25,2.9013,2.9104,2.8637,2.8637,5644,AAME
2005-04-26,2.8449,2.8637,2.8354,2.8637,5325,AAME
2005-04-27,2.9013,2.9013,2.8165,2.8541,9151,AAME
2005-04-28,2.8825,2.8825,2.8165,2.8825,2556,AAME
2005-04-29,2.8165,2.8165,2.7978,2.8074,4154,AAME
2005-05-02,2.8263,2.8263,2.8263,2.8263,373,AAME
2005-05-03,2.8165,2.8263,2.8165,2.8165,3004,AAME
2005-05-04,2.8165,2.8165,2.8165,2.8165,1598,AAME
2005-05-05,2.8165,2.8263,2.8165,2.8263,3623,AAME
2005-05-06,2.8637,2.8637,2.8637,2.8637,1385,AAME
2005-05-10,2.8165,2.873,2.8165,2.8165,2869,AAME
2005-05-11,2.8165,2.8165,2.8165,2.8165,1281,AAME
2005-05-12,2.8165,2.8165,2.8165,2.8165,1063,AAME
2005-05-13,2.8263,2.8354,2.8263,2.8354,640,AAME
2005-05-16,2.8541,2.8541,2.8263,2.8354,5373,AAME
2005-05-17,2.8263,2.8263,2.8263,2.8263,300,AAME
2005-05-19,2.8165,2.8165,2.8165,2.8165,1889,AAME
2005-05-20,2.8165,2.8165,2.8165,2.8165,5144,AAME
2005-05-23,2.8165,2.8825,2.8165,2.8825,14283,AAME
2005-05-24,2.8165,2.8637,2.8165,2.8637,4048,AAME
2005-05-25,2.8165,2.8165,2.8074,2.8074,14593,AAME
2005-05-26,2.8354,2.8354,2.8354,2.8354,425,AAME
2005-05-27,2.8165,2.8165,2.8165,2.8165,980,AAME
2005-06-01,2.8165,2.8165,2.8165,2.8165,534,AAME
2005-06-02,2.8541,2.8637,2.8165,2.8354,5574,AAME
2005-06-03,2.8165,2.8165,2.8165,2.8165,288,AAME
2005-06-06,2.8165,2.8165,2.8165,2.8165,4319,AAME
2005-06-07,2.8354,2.8354,2.8165,2.8165,3726,AAME
2005-06-08,2.8165,2.8354,2.8165,2.8354,11675,AAME
2005-06-09,2.8165,2.8165,2.8165,2.8165,25988,AAME
2005-06-10,2.8354,2.8354,2.8165,2.8165,7561,AAME
2005-06-13,2.8165,2.8165,2.8165,2.8165,5325,AAME
2005-06-14,2.8165,2.8165,2.8165,2.8165,534,AAME
2005-06-15,2.8165,2.8165,2.8165,2.8165,9108,AAME
2005-06-16,2.8354,2.8354,2.8263,2.8263,1063,AAME
2005-06-17,2.8165,2.8637,2.8165,2.8637,1278,AAME
2005-06-20,2.8637,2.8637,2.8165,2.8165,40810,AAME
2005-06-21,2.8165,2.8165,2.8165,2.8165,7349,AAME
2005-06-22,2.8263,2.8263,2.8263,2.8263,3196,AAME
2005-06-24,2.8637,2.8637,2.8637,2.8637,1063,AAME
2005-06-27,2.8263,2.8263,2.8165,2.8165,1063,AAME
2005-06-28,2.8165,2.8165,2.8165,2.8165,425,AAME
2005-06-29,2.8165,2.8165,2.8165,2.8165,1063,AAME
