Date,Open,High,Low,Close,Volume,ticker
2022-08-10,25.81,26.16,25.73,26.1006,8670,AAPB
2022-08-11,26.546,26.546,25.8916,25.8916,3428,AAPB
2022-08-12,26.66,26.8654,26.65,26.8654,2984,AAPB
2022-08-15,26.82,27.22,26.81,27.1563,14825,AAPB
2022-08-16,27.92,27.92,26.74,27.1406,6877,AAPB
2022-08-17,27.34,27.7612,27.15,27.5293,5786,AAPB
2022-08-18,27.22,27.57,27.22,27.48,2325,AAPB
2022-08-19,27.2,27.2,26.64,26.734,5710,AAPB
2022-08-22,26.19,26.21,25.5,25.5758,8030,AAPB
2022-08-23,25.62,25.68,25.4956,25.4956,1739,AAPB
2022-08-24,25.34,25.67,25.34,25.5471,1727,AAPB
2022-08-25,26.1244,26.2181,25.92,26.2181,1639,AAPB
2022-08-26,26.25,26.25,24.5019,24.57,4056,AAPB
2022-08-29,23.76,24.2,23.7476,23.922,10137,AAPB
2022-08-30,23.31,23.35,23.1299,23.2925,1222,AAPB
2022-08-31,23.48,23.48,22.85,22.85,2223,AAPB
2022-09-01,22.63,23.0078,22.36,23.0078,5992,AAPB
2022-09-02,23.31,23.55,22.47,22.5,9473,AAPB
2022-09-06,22.54,22.54,21.96,22.15,2515,AAPB
2022-09-07,22.24,22.48,22.05,22.449,5715,AAPB
2022-09-08,22.04,22.13,21.86,22.13,2253,AAPB
2022-09-09,22.54,22.819,22.44,22.8146,3704,AAPB
2022-09-12,23.63,24.51,23.6299,24.31,8310,AAPB
2022-09-13,23.53,26.74,21.8,21.88,6145,AAPB
2022-09-14,21.8892,22.5,21.76,22.2168,4609,AAPB
2022-09-15,22.01,22.01,21.3466,21.45,3357,AAPB
2022-09-16,20.61,21.06,20.61,21.03,1860,AAPB
2022-09-19,21.2,21.9578,21.2,21.9578,5230,AAPB
2022-09-20,22.06,22.7,22.06,22.5226,3219,AAPB
2022-09-21,22.75,22.98,21.77,21.77,5974,AAPB
2022-09-22,21.3641,21.52,21.09,21.52,3947,AAPB
2022-09-23,21.0,21.1,20.5401,20.91,3557,AAPB
2022-09-26,20.7,21.42,20.7,20.9994,1424,AAPB
2022-09-27,21.295,21.47,21.2034,21.2034,910,AAPB
2022-09-28,20.27,20.82,19.62,20.78,9459,AAPB
2022-09-29,19.87,19.87,18.84,18.95,14644,AAPB
2022-09-30,18.59,18.91,17.9649,17.9649,8293,AAPB
2022-10-03,18.14,19.04,18.1385,18.9148,4140,AAPB
2022-10-04,19.4901,19.7472,19.49,19.7472,4396,AAPB
2022-10-05,19.35,19.96,19.13,19.7743,2760,AAPB
2022-10-06,19.94,19.94,19.66,19.66,1017,AAPB
2022-10-07,18.7999,18.8,18.32,18.35,3739,AAPB
2022-10-10,18.36,18.55,18.2432,18.4175,2780,AAPB
2022-10-11,18.17,18.43,18.0,18.0535,1562,AAPB
2022-10-12,17.96,17.96,17.9463,17.9463,645,AAPB
2022-10-13,17.03,18.9986,17.03,18.9986,11143,AAPB
2022-10-14,18.62,18.62,17.95,17.95,3020,AAPB
2022-10-17,18.5074,18.7605,18.4399,18.7605,5672,AAPB
2022-10-18,19.5824,19.5824,18.53,19.0533,2260,AAPB
2022-10-19,19.046,19.1109,18.62,19.1109,1120,AAPB
2022-10-20,19.33,19.33,18.899,19.024,1456,AAPB
2022-10-21,19.9117,19.9117,19.9117,19.9117,416,AAPB
2022-10-24,19.98,20.4056,19.86,20.4056,7692,AAPB
2022-10-25,20.68,21.12,20.52,21.0869,11392,AAPB
2022-10-26,20.65,20.79,20.45,20.45,1747,AAPB
2022-10-27,20.14,20.27,19.2125,19.3,11551,AAPB
2022-10-28,21.46,22.11,21.46,21.81,4750,AAPB
2022-10-31,21.0101,21.3852,21.0101,21.1703,2490,AAPB
2022-11-01,20.93,20.93,20.26,20.5918,4237,AAPB
2022-11-02,19.28,19.28,19.28,19.28,1632,AAPB
2022-11-03,18.51,18.51,17.76,17.82,3298,AAPB
2022-11-04,18.2401,18.25,16.95,17.6459,6965,AAPB
2022-11-07,17.35,17.85,17.22,17.8415,8113,AAPB
2022-11-08,17.9,18.35,17.67,17.9376,3072,AAPB
2022-11-09,17.51,17.51,16.94,16.95,1725,AAPB
2022-11-10,18.28,19.4828,18.274,19.4828,6013,AAPB
2022-11-11,19.31,20.14,18.97,20.14,4519,AAPB
2022-11-14,19.82,20.2247,19.76,19.8227,1680,AAPB
2022-11-15,20.75,20.97,20.01,20.213,9164,AAPB
2022-11-16,19.81,19.98,19.67,19.9614,4578,AAPB
2022-11-17,19.51,20.545,19.51,20.3431,6002,AAPB
2022-11-18,20.55,20.63,20.36,20.4351,1973,AAPB
2022-11-21,20.19,20.19,19.74,19.76,2102,AAPB
2022-11-22,19.522,20.2,19.48,20.2,2395,AAPB
2022-11-23,20.36,20.44,20.13,20.371,2770,AAPB
2022-11-25,19.51,19.7,19.51,19.7,1082,AAPB
2022-11-28,18.94,19.02,18.77,18.77,1077,AAPB
2022-11-29,18.77,18.77,18.0484,18.06,1930,AAPB
2022-11-30,18.08,19.518,18.02,19.518,3566,AAPB
2022-12-01,19.5801,19.7094,19.58,19.7094,596,AAPB
2022-12-02,19.6,19.6,19.6,19.6,126,AAPB
2022-12-05,20.28,20.28,19.2436,19.2436,985,AAPB
2022-12-06,18.34,18.46,18.2899,18.46,1517,AAPB
2022-12-08,18.3576,18.3576,18.3576,18.3576,30,AAPB
2022-12-09,18.2179,18.2179,18.2179,18.2179,231,AAPB
2022-12-12,18.61,18.79,18.61,18.79,127,AAPB
2022-12-13,19.96,19.96,18.98,19.01,1134,AAPB
2022-12-14,18.42,18.54,18.04,18.4559,1423,AAPB
2022-12-15,17.74,17.74,16.9599,16.96,2557,AAPB
2022-12-16,16.96,16.96,16.5,16.5097,2868,AAPB
2022-12-19,16.3499,16.3499,15.8255,16.04,5852,AAPB
2022-12-20,15.59,16.03,15.59,16.03,2189,AAPB
2022-12-21,16.07,16.8462,16.07,16.69,3793,AAPB
2022-12-22,15.94,15.98,15.57,15.98,5636,AAPB
2022-12-23,15.62,15.87,15.49,15.87,1332,AAPB
2022-12-27,15.26,15.52,15.26,15.51,2031,AAPB
2022-12-28,15.24,15.55,14.64,14.64,12631,AAPB
2022-12-29,15.2,15.4,15.19,15.39,3528,AAPB
2022-12-30,15.08,15.38,15.0451,15.38,900,AAPB
2023-01-03,14.94,14.94,14.25,14.44,32653,AAPB
2023-01-04,14.84,14.84,14.44,14.6413,5574,AAPB
2023-01-05,14.81,14.8933,14.36,14.4127,4095,AAPB
2023-01-06,14.79,15.39,14.7869,15.295,11780,AAPB
2023-01-09,15.62,16.06,15.34,15.43,8973,AAPB
2023-01-10,15.49,15.56,15.01,15.56,8246,AAPB
2023-01-11,15.59,16.06,15.57,16.06,5033,AAPB
2023-01-12,15.8,16.18,15.75,16.0743,3619,AAPB
2023-01-13,16.07,16.34,16.07,16.34,434,AAPB
2023-01-17,16.51,16.59,16.51,16.57,2757,AAPB
2023-01-18,16.8604,16.96,16.39,16.44,2746,AAPB
2023-01-19,16.25,16.425,16.25,16.425,1293,AAPB
2023-01-20,16.94,16.94,16.94,16.94,426,AAPB
2023-01-23,17.2504,18.07,17.2504,17.63,1815,AAPB
2023-01-24,17.76,18.05,17.76,17.98,2846,AAPB
2023-01-25,17.56,17.83,17.2072,17.8034,3170,AAPB
2023-01-26,18.0498,18.28,18.0498,18.2672,1459,AAPB
2023-01-27,18.31,18.93,18.31,18.6955,3782,AAPB
2023-01-30,18.49,18.49,18.07,18.07,2038,AAPB
2023-01-31,17.94,18.3,17.94,18.3,2322,AAPB
2023-02-01,18.07,18.5518,17.79,18.5518,20547,AAPB
2023-02-02,19.45,19.83,19.23,19.76,24459,AAPB
2023-02-03,19.08,21.23,19.08,20.57,22250,AAPB
2023-02-06,20.27,20.27,19.79,19.9452,7926,AAPB
2023-02-07,19.76,20.64,19.74,20.57,13364,AAPB
2023-02-08,20.3202,20.3202,19.8399,19.97,7174,AAPB
2023-02-09,20.21,20.33,19.74,19.74,7483,AAPB
2023-02-10,19.6469,19.79,19.64,19.79,1100,AAPB
2023-02-13,19.7886,20.4899,19.7886,20.43,3624,AAPB
2023-02-14,19.89,20.3,19.89,20.27,2697,AAPB
2023-02-15,20.52,20.73,20.2654,20.71,5127,AAPB
2023-02-16,20.39,20.91,20.38,20.39,8240,AAPB
2023-02-17,20.03,20.09,19.69,20.09,8969,AAPB
2023-02-21,19.58,19.69,19.16,19.16,5331,AAPB
2023-02-22,19.19,19.23,18.98,19.1476,6009,AAPB
2023-02-23,19.36,19.42,19.0339,19.34,1306,AAPB
2023-02-24,18.6698,18.72,18.53,18.72,1915,AAPB
2023-02-27,19.01,19.19,18.93,18.9356,2147,AAPB
2023-02-28,18.89,19.13,18.88,18.9124,5004,AAPB
2023-03-01,18.62,18.75,18.37,18.37,1727,AAPB
2023-03-02,18.1991,18.4963,18.1397,18.4963,1683,AAPB
2023-03-03,18.9,19.66,18.9,19.6364,7490,AAPB
2023-03-06,20.32,20.71,20.25,20.25,17616,AAPB
2023-03-07,20.2598,20.2598,19.69,19.7419,5561,AAPB
2023-03-08,19.96,20.1,19.9199,20.0036,5632,AAPB
2023-03-09,20.3059,20.37,19.475,19.53,2097,AAPB
2023-03-10,19.33,19.4503,18.8399,18.97,4759,AAPB
2023-03-13,18.93,19.9472,18.93,19.45,7850,AAPB
2023-03-14,19.82,20.0373,19.44,19.89,7457,AAPB
2023-03-15,19.47,19.979,19.43,19.9238,2244,AAPB
2023-03-16,19.94,20.78,19.94,20.66,12196,AAPB
2023-03-17,20.62,20.7117,20.4408,20.4408,1102,AAPB
2023-03-20,20.5581,20.9799,20.5581,20.9799,1751,AAPB
2023-03-21,21.162,21.42,20.94,21.4,4735,AAPB
2023-03-22,21.456,21.88,21.2174,21.2174,3738,AAPB
2023-03-23,21.31,21.8505,21.14,21.3,21874,AAPB
2023-03-24,21.4103,21.63,21.4103,21.6119,2816,AAPB
2023-03-27,21.55,21.55,21.1189,21.1189,957,AAPB
2023-03-28,21.0,21.05,20.6375,21.05,4034,AAPB
2023-03-29,21.52,21.7063,21.47,21.7063,1642,AAPB
2023-03-30,21.879,22.09,21.879,22.0892,3585,AAPB
2023-03-31,22.1493,22.7,22.1493,22.6827,5602,AAPB
2023-04-03,22.58,23.01,22.58,23.01,9447,AAPB
2023-04-04,23.01,23.01,22.83,22.89,3005,AAPB
2023-04-05,22.34,22.4252,21.94,22.4252,6652,AAPB
2023-04-06,22.2127,22.64,22.2001,22.5622,14787,AAPB
2023-04-10,21.68,21.91,21.53,21.9004,10348,AAPB
2023-04-11,21.71,21.85,21.63,21.68,3333,AAPB
2023-04-12,21.7998,21.85,21.4466,21.4466,7432,AAPB
2023-04-13,21.82,22.79,21.82,22.78,5062,AAPB
2023-04-14,22.6007,22.9099,22.4197,22.6319,9131,AAPB
2023-04-17,22.66,22.66,22.437,22.6251,4378,AAPB
2023-04-18,22.8936,23.0852,22.76,22.9547,8297,AAPB
2023-04-19,22.9799,23.27,22.9793,23.22,6284,AAPB
2023-04-20,22.989,23.16,22.72,22.921,3790,AAPB
2023-04-21,22.53,22.6,22.49,22.52,6472,AAPB
