Date,Open,High,Low,Close,Volume,ticker
2016-09-30,23.9058,24.0489,23.9009,24.0489,6294.9470905321,ABFL
2016-10-03,24.0489,24.1235,23.945,23.9862,5209.2243308748,ABFL
2016-10-04,24.0667,24.0687,23.9217,23.9217,9284.7663440998,ABFL
2016-10-05,24.1235,24.1235,24.1235,24.1235,315.30858339673,ABFL
2016-10-06,24.2763,24.2763,23.9902,24.1431,2479.6111898189,ABFL
2016-10-07,24.0588,24.0588,24.0295,24.0588,1290.8264012843,ABFL
2016-10-10,24.0588,24.0588,24.0588,24.0588,0.0,ABFL
2016-10-11,24.0489,24.0489,23.7825,23.848,1505.1137880588,ABFL
2016-10-12,23.8018,23.8018,23.8018,23.8018,191.83823196953,ABFL
2016-10-13,23.7071,23.7071,23.7022,23.7071,2104.0980548999,ABFL
2016-10-14,23.6884,23.6884,23.6884,23.6884,671.43381189336,ABFL
2016-10-17,23.5973,23.5973,23.5973,23.5973,138.77659333966,ABFL
2016-10-18,23.6295,23.6354,23.564,23.6344,5740.861133301,ABFL
2016-10-19,23.7737,23.7737,23.7687,23.7737,1052.0490274499,ABFL
2016-10-20,23.7796,23.7825,23.6208,23.7071,17867.486392481,ABFL
2016-10-21,23.7257,23.7257,23.6589,23.6589,10286.814981302,ABFL
2016-10-24,23.8217,23.848,23.8217,23.8393,3733.7026105134,ABFL
2016-10-25,23.8393,23.8393,23.7157,23.7157,210.20572226449,ABFL
2016-10-26,23.7157,23.7157,23.7157,23.7157,0.0,ABFL
2016-10-27,23.5737,23.5737,23.4217,23.4217,1303.0713948143,ABFL
2016-10-28,23.5257,23.6022,23.3551,23.3551,1263.2751658419,ABFL
2016-10-31,23.5512,23.5512,23.5512,23.5512,210.20572226449,ABFL
2016-11-01,23.3551,23.3551,23.3551,23.3551,105.10286113224,ABFL
2016-11-02,23.3551,23.3551,23.3551,23.3551,0.0,ABFL
2016-11-03,23.1465,23.1465,23.1465,23.1465,315.30858339673,ABFL
2016-11-04,23.2131,23.2131,23.2131,23.2131,158.16449976211,ABFL
2016-11-07,23.6198,23.6687,23.5835,23.6687,933.68075666022,ABFL
2016-11-08,23.611,23.8679,23.611,23.8679,2318.3854416743,ABFL
2016-11-09,23.858,24.3146,23.8207,24.3057,2251.0379772595,ABFL
2016-11-10,24.3725,24.59,24.3725,24.4948,1560.2162589437,ABFL
2016-11-11,24.5146,24.7987,24.4753,24.7987,6524.5407192191,ABFL
2016-11-14,25.0553,25.0742,24.9987,25.0742,818.373734253,ABFL
2016-11-15,25.0642,25.0642,25.0084,25.0084,768.37334400562,ABFL
2016-11-16,25.0838,25.1515,25.0838,25.0838,1919.4027358228,ABFL
2016-11-17,25.3132,25.3886,25.3132,25.3886,892.86411156032,ABFL
2016-11-18,25.3416,25.3788,25.3132,25.3416,5159.2239406274,ABFL
2016-11-21,25.4817,25.4915,25.4072,25.4915,1874.5044262129,ABFL
2016-11-22,25.721,25.7973,25.6543,25.7973,1067.3552693624,ABFL
2016-11-23,25.7483,25.8071,25.7296,25.768,1555.1141783062,ABFL
2016-11-25,25.8737,25.8737,25.8737,25.8737,745.92418920068,ABFL
2016-11-28,25.7483,25.8071,25.5788,25.5788,1052.0490274499,ABFL
2016-11-29,25.52,25.6445,25.52,25.6073,1127.5598208847,ABFL
2016-11-30,25.5297,25.5688,25.4561,25.4561,1788.7894715031,ABFL
2016-12-01,25.5493,25.5493,25.2544,25.3032,2118.3838806848,ABFL
2016-12-02,25.3692,25.4367,25.3329,25.3788,1474.5013042339,ABFL
2016-12-05,25.5788,25.6543,25.5788,25.6543,1052.0490274499,ABFL
2016-12-06,25.6543,25.9011,25.6445,25.9011,1361.2351140817,ABFL
2016-12-07,25.9308,26.3294,25.9308,26.3099,1663.2782878209,ABFL
2016-12-08,26.2921,26.5764,26.2726,26.5285,3472.476081874,ABFL
2016-12-09,26.5961,26.6323,26.452,26.4805,1366.3371947192,ABFL
2016-12-12,26.3668,26.4059,26.2334,26.301,1474.5013042339,ABFL
2016-12-13,26.4158,26.4989,26.3393,26.4158,4462.2797255466,ABFL
2016-12-14,26.4059,26.4805,26.1864,26.1864,2526.5503316838,ABFL
2016-12-15,26.4158,26.4626,26.3099,26.3195,7356.1798631295,ABFL
2016-12-16,26.3492,26.3763,26.1295,26.1295,6057.1901328252,ABFL
2016-12-19,26.301,26.3195,26.2051,26.2334,2104.0980548999,ABFL
