Date,Open,High,Low,Close,Volume,ticker
2005-02-25,15.7,15.75,15.24,15.35,92400,ABG
2005-02-28,15.35,15.55,15.13,15.2,98700,ABG
2005-03-01,15.21,15.86,15.15,15.47,97800,ABG
2005-03-02,15.65,15.77,15.25,15.31,61600,ABG
2005-03-03,15.55,16.0,15.52,15.8,138600,ABG
2005-03-04,15.95,15.95,15.5,15.6,62900,ABG
2005-03-07,15.8,15.91,15.62,15.63,63600,ABG
2005-03-08,15.55,15.55,15.32,15.47,115900,ABG
2005-03-09,15.47,15.49,15.35,15.46,76200,ABG
2005-03-10,15.56,15.56,15.25,15.35,60100,ABG
2005-03-11,15.22,15.42,15.18,15.25,47100,ABG
2005-03-14,15.3,15.42,15.2,15.23,40500,ABG
2005-03-15,15.28,15.45,15.2,15.32,70000,ABG
2005-03-16,15.32,15.32,14.92,15.13,102900,ABG
2005-03-17,15.1,15.3,15.01,15.07,38700,ABG
2005-03-18,15.07,15.15,14.66,15.02,82100,ABG
2005-03-21,15.02,15.16,14.7,14.96,27200,ABG
2005-03-22,14.9,15.11,14.78,14.91,16700,ABG
2005-03-23,14.81,14.91,14.51,14.57,44900,ABG
2005-03-24,14.57,14.8,14.56,14.69,22700,ABG
2005-03-28,14.85,15.3,14.67,15.09,58300,ABG
2005-03-29,15.09,15.18,14.8,15.03,41000,ABG
2005-03-30,15.28,15.56,15.0,15.41,57600,ABG
2005-03-31,15.41,15.53,15.07,15.4,73500,ABG
2005-04-01,15.5,15.55,15.05,15.13,50300,ABG
2005-04-04,15.13,15.23,14.71,14.95,48700,ABG
2005-04-05,14.94,15.13,14.83,15.06,44800,ABG
2005-04-06,15.1,15.24,14.85,14.86,48100,ABG
2005-04-07,15.15,15.38,14.9,15.32,59900,ABG
2005-04-08,15.33,15.33,14.83,14.83,20900,ABG
2005-04-11,14.83,14.87,14.56,14.74,24200,ABG
2005-04-12,14.74,14.74,14.17,14.38,61600,ABG
2005-04-13,14.43,14.43,13.82,14.25,40900,ABG
2005-04-14,14.2,14.43,14.1,14.15,35400,ABG
2005-04-15,14.05,14.07,13.85,13.86,44300,ABG
2005-04-18,13.86,14.11,13.79,13.79,19500,ABG
2005-04-19,13.74,14.22,13.71,14.05,46900,ABG
2005-04-20,14.05,14.05,13.7,13.8,38100,ABG
2005-04-21,13.87,14.79,13.82,14.58,72200,ABG
2005-04-22,14.6,14.6,14.0,14.15,61700,ABG
2005-04-25,14.18,14.3,13.85,14.1,29700,ABG
2005-04-26,13.85,14.28,13.76,14.16,36600,ABG
2005-04-27,14.16,14.17,13.88,13.99,45900,ABG
2005-04-28,14.0,14.0,13.77,13.8,58900,ABG
2005-04-29,13.9,13.9,13.52,13.74,46800,ABG
2005-05-02,13.65,13.95,13.65,13.77,29800,ABG
2005-05-03,13.85,13.98,13.65,13.82,50700,ABG
2005-05-04,13.92,14.42,13.92,14.34,75400,ABG
2005-05-05,14.39,14.39,13.6,14.0,73100,ABG
2005-05-06,14.1,14.15,13.85,13.99,27200,ABG
2005-05-09,14.09,14.12,13.99,14.12,26800,ABG
2005-05-10,14.05,14.11,13.9,13.91,17700,ABG
2005-05-11,13.97,14.05,13.75,13.9,18400,ABG
2005-05-12,13.95,14.08,13.84,13.87,27600,ABG
2005-05-13,13.97,14.13,13.61,13.74,32100,ABG
2005-05-16,13.8,13.94,13.71,13.71,72600,ABG
2005-05-17,13.69,14.0,13.69,13.98,49100,ABG
2005-05-18,13.99,14.52,13.9,14.39,42600,ABG
2005-05-19,14.37,14.4,14.29,14.36,37800,ABG
2005-05-20,14.37,14.4,14.01,14.28,45500,ABG
2005-05-23,14.35,14.65,14.23,14.33,93600,ABG
2005-05-24,14.3,14.86,14.28,14.81,50600,ABG
2005-05-25,14.81,14.81,14.44,14.61,38500,ABG
2005-05-26,14.77,14.95,14.69,14.88,30700,ABG
2005-05-27,14.88,14.88,14.29,14.31,35300,ABG
2005-05-31,14.36,14.84,14.36,14.7,48300,ABG
2005-06-01,14.75,14.79,14.52,14.72,20500,ABG
2005-06-02,14.73,14.85,14.7,14.85,25400,ABG
2005-06-03,14.85,14.85,14.65,14.7,16200,ABG
2005-06-06,14.71,14.79,14.61,14.71,21900,ABG
2005-06-07,14.71,14.87,14.56,14.57,40500,ABG
2005-06-08,14.61,14.99,14.61,14.95,36500,ABG
2005-06-09,14.6,14.97,14.52,14.95,35900,ABG
2005-06-10,14.9,14.95,14.62,14.73,26700,ABG
