Date,Open,High,Low,Close,Volume,ticker
2022-03-10,9.92,9.92,9.9199,9.92,1710,ABP
2022-03-11,9.88,9.895,9.87,9.8705,1167,ABP
2022-03-14,9.88,9.88,9.88,9.88,247,ABP
2022-03-16,9.905,9.905,9.905,9.905,157,ABP
2022-03-17,9.88,9.9,9.88,9.9,260,ABP
2022-03-21,9.89,9.89,9.89,9.89,15619,ABP
2022-03-24,9.9,9.91,9.9,9.91,113555,ABP
2022-03-25,9.91,9.95,9.91,9.95,8210,ABP
2022-03-29,9.9213,9.9213,9.9213,9.9213,117,ABP
2022-04-01,9.92,9.92,9.912,9.92,10013,ABP
2022-04-04,9.92,9.92,9.92,9.92,2001,ABP
2022-04-05,9.93,9.95,9.93,9.95,3420,ABP
2022-04-07,9.93,9.93,9.93,9.93,20000,ABP
2022-04-08,9.93,9.97,9.93,9.97,5725,ABP
2022-04-14,9.99,9.99,9.99,9.99,250,ABP
2022-04-18,10.01,10.01,10.01,10.01,1086,ABP
2022-04-21,10.0,10.0,10.0,10.0,105,ABP
2022-04-25,9.95,9.95,9.95,9.95,1394,ABP
2022-04-26,9.96,9.96,9.96,9.96,15009,ABP
2022-04-27,9.95,9.95,9.95,9.95,237,ABP
2022-05-02,9.95,9.95,9.95,9.95,5900,ABP
2022-05-03,9.95,9.95,9.95,9.95,813,ABP
2022-05-04,9.95,9.95,9.95,9.95,100000,ABP
2022-05-05,9.97,9.97,9.95,9.95,739101,ABP
2022-05-06,9.99,9.99,9.98,9.98,42439,ABP
2022-05-10,9.95,9.97,9.94,9.955,73751,ABP
2022-05-12,9.965,9.98,9.93,9.98,1191,ABP
2022-05-13,9.93,9.93,9.92,9.92,6200,ABP
2022-05-17,9.93,9.93,9.92,9.92,210747,ABP
2022-05-18,9.92,9.92,9.92,9.92,5000,ABP
2022-05-19,9.91,9.91,9.91,9.91,65300,ABP
2022-05-27,9.93,9.93,9.93,9.93,105000,ABP
2022-05-31,9.93,9.98,9.92,9.98,375766,ABP
2022-06-01,9.98,9.98,9.98,9.98,101,ABP
2022-06-03,9.98,9.98,9.98,9.98,1100,ABP
2022-06-06,10.01,10.01,10.01,10.01,1009,ABP
2022-06-07,9.93,9.93,9.93,9.93,934098,ABP
2022-06-16,9.93,9.93,9.93,9.93,234,ABP
2022-06-17,9.93,10.01,9.93,10.01,69528,ABP
2022-06-22,10.01,10.01,9.92,9.98,1101100,ABP
2022-06-27,9.955,9.955,9.955,9.955,106,ABP
2022-06-30,9.93,9.98,9.93,9.98,884,ABP
2022-07-06,9.955,9.955,9.955,9.955,144821,ABP
2022-07-08,9.98,9.98,9.98,9.98,302,ABP
2022-07-13,9.94,9.94,9.94,9.94,341,ABP
2022-07-14,9.99,9.99,9.99,9.99,355,ABP
2022-07-20,9.97,9.97,9.97,9.97,500,ABP
2022-07-21,9.97,9.97,9.95,9.97,25584,ABP
2022-07-22,9.97,9.97,9.97,9.97,200000,ABP
2022-07-25,9.975,9.975,9.975,9.975,4610,ABP
2022-07-26,9.98,9.98,9.97,9.97,153727,ABP
2022-07-27,9.98,9.98,9.9799,9.98,66339,ABP
2022-07-28,9.9799,10.005,9.975,9.99,433954,ABP
2022-08-01,9.995,10.0,9.99,10.0,380668,ABP
2022-08-03,10.0,10.0,10.0,10.0,4600,ABP
2022-08-04,9.99,10.01,9.99,10.0,67016,ABP
2022-08-05,10.0,10.0,10.0,10.0,30508,ABP
2022-08-08,10.02,10.02,10.01,10.01,351,ABP
2022-08-09,10.0,10.0,10.0,10.0,4500,ABP
2022-08-10,10.0,10.0,9.99,10.0,303836,ABP
2022-08-11,10.01,10.01,10.01,10.01,2251,ABP
2022-08-12,10.02,10.02,10.02,10.02,44231,ABP
2022-08-15,10.01,10.01,10.01,10.01,5148,ABP
2022-08-17,10.01,10.01,10.01,10.01,293366,ABP
2022-08-24,10.0,10.0,10.0,10.0,832,ABP
2022-09-01,9.92,10.01,9.92,10.0,353801,ABP
2022-09-07,9.98,9.995,9.975,9.975,5852,ABP
2022-09-08,9.97,9.97,9.97,9.97,304,ABP
2022-09-12,9.98,9.99,9.97,9.98,90360,ABP
2022-09-13,9.98,9.995,9.98,9.99,70717,ABP
2022-09-14,9.97,9.98,9.97,9.98,8300,ABP
2022-09-15,9.99,9.99,9.99,9.99,125,ABP
2022-09-16,9.98,9.98,9.98,9.98,106,ABP
2022-09-19,9.98,9.98,9.98,9.98,110,ABP
2022-09-20,9.96,9.995,9.96,9.995,2109,ABP
2022-09-21,9.99,9.99,9.99,9.99,240,ABP
2022-09-22,9.99,9.99,9.97,9.97,14410,ABP
2022-09-23,9.99,10.0,9.99,10.0,40375,ABP
2022-09-26,9.97,10.02,9.97,10.02,64457,ABP
2022-09-27,10.0,10.02,10.0,10.02,386,ABP
2022-09-28,10.02,10.03,10.02,10.02,37325,ABP
2022-09-29,10.02,10.03,10.02,10.03,57352,ABP
2022-09-30,10.065,10.065,10.015,10.02,3021,ABP
2022-10-03,10.02,10.02,10.02,10.02,1999,ABP
2022-10-04,10.08,10.08,10.08,10.08,150,ABP
2022-10-05,10.02,10.02,10.02,10.02,12541,ABP
2022-10-06,10.02,10.03,10.02,10.03,2630,ABP
2022-10-07,10.03,10.03,10.03,10.03,10902,ABP
2022-10-14,10.04,10.04,10.025,10.025,200,ABP
2022-10-18,10.02,10.02,10.02,10.02,150,ABP
2022-10-20,10.02,10.025,10.015,10.025,5023,ABP
2022-10-21,10.03,10.03,10.03,10.03,100,ABP
2022-10-24,10.01,10.03,10.01,10.03,289,ABP
2022-10-25,10.03,10.03,10.03,10.03,1900,ABP
2022-10-26,10.045,10.06,10.045,10.06,7734,ABP
2022-10-27,10.03,10.07,10.03,10.07,7300,ABP
