Date,Open,High,Low,Close,Volume,ticker
2021-06-08,25.59,25.59,25.51,25.52,108066,ABR_D
2021-06-09,25.55,25.58,25.5,25.52,118026,ABR_D
2021-06-10,25.52,25.57,25.5,25.57,142157,ABR_D
2021-06-11,25.6,25.71,25.56,25.67,88288,ABR_D
2021-06-14,25.68,25.7,25.61,25.68,90324,ABR_D
2021-06-15,25.68,25.68,25.52,25.55,85568,ABR_D
2021-06-16,25.65,25.65,25.52,25.59,80164,ABR_D
2021-06-17,25.62,25.716,25.62,25.63,201321,ABR_D
2021-06-18,25.59,25.64,25.52,25.53,273641,ABR_D
2021-06-21,25.54,25.54,25.38,25.41,194337,ABR_D
2021-06-22,25.33,25.43,25.24,25.4,337825,ABR_D
2021-06-23,25.44,25.51,25.41,25.48,109858,ABR_D
2021-06-24,25.51,25.57,25.43,25.49,181729,ABR_D
2021-06-25,25.5182,25.56,25.4,25.44,131705,ABR_D
2021-06-28,25.49,25.49,25.4,25.42,79200,ABR_D
2021-06-29,25.4,25.4499,25.4,25.42,65833,ABR_D
2021-06-30,25.43,25.48,25.28,25.39,1214250,ABR_D
2021-07-01,25.38,25.44,25.38,25.43,94702,ABR_D
2021-07-02,25.46,25.46,25.41,25.42,37708,ABR_D
2021-07-06,25.42,25.53,25.4,25.42,89776,ABR_D
2021-07-07,25.48,25.52,25.43,25.45,134748,ABR_D
2021-07-08,25.38,25.4994,25.38,25.46,273324,ABR_D
2021-07-09,25.5,25.61,25.48,25.6,66452,ABR_D
2021-07-12,25.64,25.7,25.6,25.64,44685,ABR_D
2021-07-13,25.65,25.65,25.5,25.55,50189,ABR_D
2021-07-14,25.38,25.45,25.33,25.43,31527,ABR_D
2021-07-15,25.43,25.5196,25.41,25.5,26613,ABR_D
2021-07-16,25.52,25.55,25.44,25.44,47371,ABR_D
2021-07-19,25.39,25.5187,25.3766,25.48,18321,ABR_D
2021-07-20,25.51,25.52,25.47,25.49,19404,ABR_D
2021-07-21,25.495,25.5699,25.472,25.52,17490,ABR_D
2021-07-22,25.5,25.53,25.45,25.5,36461,ABR_D
2021-07-23,25.5,25.55,25.43,25.52,34887,ABR_D
2021-07-26,25.52,25.58,25.46,25.54,12607,ABR_D
2021-07-27,25.55,25.57,25.5,25.54,14719,ABR_D
2021-07-28,25.51,25.58,25.51,25.58,14373,ABR_D
2021-07-29,25.5999,25.6162,25.55,25.57,8143,ABR_D
2021-07-30,25.6,25.61,25.5501,25.6,13368,ABR_D
2021-08-02,25.6126,25.63,25.58,25.6,35675,ABR_D
2021-08-03,25.63,25.65,25.6,25.64,15715,ABR_D
2021-08-04,25.6,25.63,25.55,25.6,20123,ABR_D
2021-08-05,25.5903,25.7,25.5903,25.67,19402,ABR_D
2021-08-06,25.66,25.68,25.57,25.68,25432,ABR_D
2021-08-09,25.68,25.68,25.64,25.68,6504,ABR_D
2021-08-10,25.68,25.68,25.6,25.65,17006,ABR_D
2021-08-11,25.6268,25.66,25.5446,25.61,23623,ABR_D
2021-08-12,25.598,25.64,25.5201,25.6,16748,ABR_D
2021-08-13,25.6,25.62,25.53,25.61,8572,ABR_D
2021-08-16,25.58,25.61,25.51,25.61,12162,ABR_D
2021-08-17,25.49,25.63,25.41,25.52,27311,ABR_D
2021-08-18,25.52,25.52,25.43,25.5,17332,ABR_D
2021-08-19,25.58,25.58,25.49,25.55,3690,ABR_D
2021-08-20,25.508,25.58,25.49,25.57,12188,ABR_D
2021-08-23,25.4901,25.59,25.4901,25.55,10176,ABR_D
2021-08-24,25.5773,25.58,25.51,25.55,12552,ABR_D
2021-08-25,25.5337,25.56,25.5,25.55,14102,ABR_D
2021-08-26,25.479,25.55,25.47,25.5495,4531,ABR_D
2021-08-27,25.525,25.54,25.512,25.54,13978,ABR_D
2021-08-30,25.53,25.53,25.52,25.53,7723,ABR_D
2021-08-31,25.51,25.54,25.509,25.53,12748,ABR_D
2021-09-01,25.53,25.55,25.52,25.53,31187,ABR_D
2021-09-02,25.6,25.6,25.516,25.53,25284,ABR_D
2021-09-03,25.52,25.55,25.5,25.53,28982,ABR_D
2021-09-07,25.53,25.63,25.51,25.6,35751,ABR_D
2021-09-08,25.61,25.62,25.47,25.53,10340,ABR_D
2021-09-09,25.529,25.53,25.49,25.53,22712,ABR_D
2021-09-10,25.6,25.8,25.5215,25.65,101641,ABR_D
2021-09-13,25.6,25.62,25.52,25.55,24559,ABR_D
2021-09-14,25.51,25.58,25.5084,25.54,13629,ABR_D
2021-09-15,25.5,25.56,25.5,25.54,9069,ABR_D
2021-09-16,25.54,25.55,25.49,25.5,34297,ABR_D
2021-09-17,25.57,25.5798,25.49,25.54,22201,ABR_D
2021-09-20,25.49,25.5,25.43,25.45,11820,ABR_D
2021-09-21,25.53,25.53,25.46,25.53,19289,ABR_D
2021-09-22,25.5,25.55,25.47,25.55,13790,ABR_D
2021-09-23,25.55,25.55,25.51,25.53,8537,ABR_D
2021-09-24,25.5,25.53,25.48,25.52,12826,ABR_D
2021-09-27,25.52,25.59,25.48,25.53,20112,ABR_D
2021-09-28,25.51,25.55,25.4001,25.46,8869,ABR_D
2021-09-29,25.55,25.565,25.5,25.54,14454,ABR_D
2021-09-30,25.55,25.55,25.48,25.5,35818,ABR_D
2021-10-01,25.53,25.53,25.41,25.42,53114,ABR_D
2021-10-04,25.43,25.43,25.36,25.4,24464,ABR_D
2021-10-05,25.42,25.49,25.35,25.4,48005,ABR_D
2021-10-06,25.48,25.48,25.35,25.42,54642,ABR_D
2021-10-07,25.5,25.5,25.37,25.41,32829,ABR_D
2021-10-08,25.42,25.43,25.41,25.42,17171,ABR_D
2021-10-11,25.49,25.49,25.42,25.45,12673,ABR_D
2021-10-12,25.44,25.46,25.37,25.41,69315,ABR_D
2021-10-13,25.4,25.57,25.4,25.53,67447,ABR_D
2021-10-14,25.14,25.28,25.14,25.2,33400,ABR_D
2021-10-15,25.19,25.25,24.98,25.05,50892,ABR_D
2021-10-18,25.06,25.17,25.02,25.13,21787,ABR_D
2021-10-19,25.1,25.145,25.05,25.08,35596,ABR_D
2021-10-20,25.09,25.12,25.04,25.08,30453,ABR_D
2021-10-21,25.1,25.13,25.086,25.12,24095,ABR_D
2021-10-22,25.13,25.16,25.0601,25.12,30975,ABR_D
2021-10-25,25.12,25.12,25.04,25.11,28524,ABR_D
2021-10-26,25.14,25.14,25.0707,25.1,14870,ABR_D
2021-10-27,25.14,25.24,25.12,25.14,21852,ABR_D
2021-10-28,25.15,25.1897,25.14,25.17,21015,ABR_D
