Date,Open,High,Low,Close,Volume,ticker
2021-08-17,24.95,25.0,24.875,24.92,150296,ABR_E
2021-08-18,24.94,24.97,24.87,24.95,115457,ABR_E
2021-08-19,24.94,24.95,24.75,24.76,65986,ABR_E
2021-08-20,24.9,24.9295,24.8,24.9,107298,ABR_E
2021-08-23,24.99,24.99,24.93,24.97,74231,ABR_E
2021-08-24,25.03,25.09,24.88,24.92,321669,ABR_E
2021-08-25,24.95,24.98,24.82,24.96,217801,ABR_E
2021-08-26,24.99,25.14,24.97,25.11,88850,ABR_E
2021-08-27,25.096,25.14,25.05,25.14,36493,ABR_E
2021-08-30,25.12,25.28,25.06,25.14,203900,ABR_E
2021-08-31,25.2,25.32,25.16,25.21,500196,ABR_E
2021-09-01,25.24,25.24,25.17,25.17,49124,ABR_E
2021-09-02,25.24,25.24,25.18,25.2,50303,ABR_E
2021-09-03,25.1955,25.24,25.1955,25.24,14874,ABR_E
2021-09-07,25.24,25.27,25.21,25.25,25051,ABR_E
2021-09-08,25.25,25.35,25.2,25.35,32714,ABR_E
2021-09-09,25.265,25.35,25.23,25.28,25045,ABR_E
2021-09-10,25.28,25.65,25.28,25.6,120332,ABR_E
2021-09-13,25.52,25.56,25.24,25.27,27188,ABR_E
2021-09-14,25.36,25.4,25.26,25.3,24226,ABR_E
2021-09-15,25.305,25.39,25.22,25.27,15288,ABR_E
2021-09-16,25.29,25.4,25.23,25.36,25180,ABR_E
2021-09-17,25.35,25.3897,25.315,25.38,3658,ABR_E
2021-09-20,25.28,25.38,25.2,25.2,6786,ABR_E
2021-09-21,25.3,25.33,25.26,25.32,6717,ABR_E
2021-09-22,25.27,25.37,25.25,25.367,9359,ABR_E
2021-09-23,25.39,25.5,25.385,25.4,21940,ABR_E
2021-09-24,25.3774,25.46,25.3704,25.42,9397,ABR_E
2021-09-27,25.51,25.51,25.42,25.42,3916,ABR_E
2021-09-28,25.37,25.37,25.2324,25.2324,15335,ABR_E
2021-09-29,25.26,25.51,25.25,25.45,13304,ABR_E
2021-09-30,25.4878,25.51,25.28,25.5,18351,ABR_E
2021-10-01,25.5899,25.5899,25.38,25.425,5902,ABR_E
2021-10-04,25.436,25.47,25.3,25.3,4418,ABR_E
2021-10-05,25.331,25.331,25.12,25.19,30343,ABR_E
2021-10-06,25.15,25.34,25.1,25.28,11302,ABR_E
2021-10-07,25.21,25.32,25.16,25.16,6808,ABR_E
2021-10-08,25.29,25.29,25.1572,25.16,16462,ABR_E
2021-10-11,25.29,25.37,25.24,25.24,17016,ABR_E
2021-10-12,25.3,25.36,25.2501,25.28,11959,ABR_E
2021-10-13,25.29,25.49,25.29,25.4,12089,ABR_E
2021-10-14,25.21,25.21,25.04,25.13,41284,ABR_E
2021-10-15,25.1214,25.165,25.0799,25.14,13552,ABR_E
2021-10-18,25.13,25.18,25.07,25.17,10024,ABR_E
2021-10-19,25.12,25.15,25.02,25.12,25311,ABR_E
2021-10-20,25.0101,25.2,25.0101,25.12,23658,ABR_E
2021-10-21,25.05,25.2,25.05,25.19,15960,ABR_E
2021-10-22,25.15,25.15,25.06,25.15,14088,ABR_E
2021-10-25,25.15,25.19,25.08,25.14,9743,ABR_E
