Date,Open,High,Low,Close,Volume,ticker
2023-10-20,11.6,11.6,8.0,8.3,2992500,ABVX
2023-10-23,8.14,8.16,7.995,8.1,777675,ABVX
2023-10-24,8.5,8.85,8.32,8.74,405039,ABVX
2023-10-25,8.91,9.155,8.52,9.1,511460,ABVX
2023-10-26,9.0,9.1,8.75,9.05,230470,ABVX
2023-10-27,9.19,9.4,9.0,9.28,150113,ABVX
2023-10-30,9.29,9.47,9.04,9.22,173015,ABVX
2023-10-31,9.33,9.395,9.14,9.2,135788,ABVX
2023-11-01,9.0,10.43,8.9065,9.76,196201,ABVX
2023-11-02,9.69,9.9,9.55,9.8,252504,ABVX
2023-11-03,9.79,10.12,9.7,10.1,665810,ABVX
2023-11-06,10.13,10.245,10.05,10.13,162292,ABVX
2023-11-07,10.0,10.3995,10.0,10.21,316172,ABVX
2023-11-08,10.29,10.76,10.29,10.35,307443,ABVX
2023-11-09,10.93,10.99,9.5384,10.1,490945,ABVX
2023-11-10,10.33,10.33,9.82,10.0,542810,ABVX
2023-11-13,10.16,10.65,9.98,10.5,355538,ABVX
2023-11-14,10.67,11.06,10.4,10.8,311135,ABVX
2023-11-15,10.38,11.48,10.04,11.22,582901,ABVX
2023-11-16,11.37,11.42,10.93,11.06,941616,ABVX
2023-11-17,11.19,11.4,10.82,11.03,107625,ABVX
2023-11-20,11.05,11.43,10.98,11.02,110311,ABVX
2023-11-21,10.8,10.8,10.54,10.63,88052,ABVX
2023-11-22,10.65,10.75,10.08,10.12,138878,ABVX
2023-11-24,10.42,10.6,9.93,10.3,92415,ABVX
2023-11-27,10.155,10.2,9.28,9.97,298981,ABVX
2023-11-28,9.81,10.22,9.42,9.8,499780,ABVX
2023-11-29,9.63,10.08,9.6,10.0,167082,ABVX
2023-11-30,9.79,10.2,9.61,10.15,74761,ABVX
2023-12-01,10.22,10.25,10.03,10.07,14978,ABVX
2023-12-04,10.14,10.27,9.95,10.27,38907,ABVX
2023-12-05,10.56,10.56,10.1275,10.17,61107,ABVX
2023-12-06,10.33,10.45,10.2,10.21,7385,ABVX
2023-12-07,10.36,10.8,10.265,10.3,83849,ABVX
2023-12-08,10.5,10.8,10.29,10.49,186531,ABVX
2023-12-11,10.265,10.5,10.02,10.42,37212,ABVX
