Date,Open,High,Low,Close,Volume,ticker
2008-03-10,7.579,7.579,7.1053,7.1053,381,ACCS
2008-03-12,7.1053,9.473,6.6315,9.473,345,ACCS
2008-03-13,9.473,9.473,9.473,9.473,213,ACCS
2008-03-14,9.473,9.473,9.473,9.473,40,ACCS
2008-03-17,7.1053,8.5263,3.3158,8.5263,744,ACCS
2008-03-18,4.8315,4.8315,4.8315,4.8315,305,ACCS
2008-03-26,4.8315,4.8315,4.8315,4.8315,115,ACCS
2008-04-07,8.4317,8.4317,8.4317,8.4317,10,ACCS
2008-04-08,6.6315,6.6315,6.6315,6.6315,21,ACCS
2008-04-09,3.3158,6.6315,3.3158,6.6315,49,ACCS
2008-04-15,3.3158,6.6315,3.3158,6.6315,42,ACCS
2008-04-23,4.9264,4.9264,4.9264,4.9264,50,ACCS
2008-04-24,5.2106,5.2106,5.2106,5.2106,137,ACCS
2008-04-29,6.6315,6.6315,3.3158,3.3158,2495,ACCS
2008-04-30,3.7894,3.7894,3.3158,3.3158,2794,ACCS
2008-05-02,2.0843,2.842,1.8947,2.3684,2375,ACCS
2008-05-05,2.3684,2.3684,2.3684,2.3684,528,ACCS
2008-05-06,2.3684,2.3684,2.3684,2.3684,264,ACCS
2008-05-07,2.3684,2.3684,2.3684,2.3684,1899,ACCS
2008-05-08,2.0843,4.2632,2.0843,4.2632,115,ACCS
2008-05-13,2.0843,2.0843,2.0843,2.0843,51,ACCS
2008-05-30,2.0843,2.3684,2.0843,2.3684,2110,ACCS
2008-06-13,3.5999,3.5999,3.5999,3.5999,105,ACCS
2008-06-16,2.842,2.9369,2.6526,2.9369,2374,ACCS
2008-06-17,2.9369,2.9369,2.9369,2.9369,528,ACCS
2008-06-18,3.3158,5.6842,3.3158,5.6842,50,ACCS
2008-06-23,3.3158,4.9264,3.3158,4.9264,89,ACCS
2008-07-16,2.3684,4.9264,2.3684,4.9264,42,ACCS
2008-07-22,2.3684,4.9264,2.3684,4.9264,60,ACCS
2008-07-24,2.3684,4.8315,2.3684,4.8315,85,ACCS
2008-08-04,4.8315,4.8315,4.7369,4.7369,122,ACCS
2008-08-15,2.3684,4.8315,2.3684,4.8315,1047,ACCS
2008-08-20,2.3684,2.3684,2.3684,2.3684,257,ACCS
2008-08-22,1.6105,1.6105,0.7579,0.7579,4116,ACCS
2008-08-25,0.8527,1.8947,0.8527,0.9473,1013,ACCS
2008-08-26,0.9473,0.9473,0.9473,0.9473,1952,ACCS
2008-08-29,1.7052,1.7052,0.47369,0.47369,170,ACCS
2008-09-03,2.842,2.842,1.421,1.421,3169,ACCS
2008-09-04,1.421,1.421,0.9473,0.9473,1380,ACCS
2008-09-05,2.2737,2.2737,2.2737,2.2737,57,ACCS
2008-09-08,0.9948,0.9948,0.9473,0.9473,1056,ACCS
2008-09-09,0.8527,0.8527,0.8527,0.8527,528,ACCS
2008-09-10,1.421,1.421,1.421,1.421,58,ACCS
2008-09-11,1.421,1.421,0.663,0.663,756,ACCS
2008-09-17,1.1369,1.1369,1.1369,1.1369,528,ACCS
2008-09-19,0.7579,0.7579,0.7579,0.7579,528,ACCS
2008-09-22,0.5685,0.9473,0.47369,0.9473,1628,ACCS
2008-09-23,0.7579,0.7579,0.37894,0.37894,1572,ACCS
2008-09-25,0.9377,0.9377,0.9377,0.9377,21,ACCS
2008-09-26,0.47369,0.8527,0.47369,0.8527,2133,ACCS
2008-09-29,0.37894,0.37894,0.37894,0.37894,27,ACCS
2008-09-30,0.37894,0.37894,0.2842,0.2842,1056,ACCS
2008-10-01,0.18947,0.2842,0.18947,0.18947,3651,ACCS
2008-10-02,0.37894,0.37894,0.37894,0.37894,264,ACCS
2008-10-03,0.47369,0.47369,0.19772,0.37894,1370,ACCS
2008-10-06,0.37894,0.37894,0.37894,0.37894,1320,ACCS
2008-10-07,0.2842,0.2842,0.2842,0.2842,65,ACCS
2008-10-08,0.2842,0.2842,0.19894,0.19894,455,ACCS
2008-10-14,0.20009,0.20009,0.18947,0.18947,3800,ACCS
2008-10-16,0.18947,0.18947,0.18947,0.18947,50,ACCS
2008-10-17,0.18947,0.18947,0.18947,0.18947,4223,ACCS
2008-10-21,0.1421,0.18947,0.10421,0.10421,5247,ACCS
2008-10-23,0.18947,0.18947,0.18947,0.18947,986,ACCS
2008-10-29,0.18947,0.18947,0.09473,0.12316,4750,ACCS
2008-10-31,0.09473,0.09473,0.09473,0.09473,2110,ACCS
2008-11-03,0.7579,0.7579,0.18947,0.18947,7437,ACCS
2008-11-07,0.09473,0.11369,0.09473,0.09473,1512,ACCS
2008-11-10,0.09473,0.10421,0.09473,0.10421,4223,ACCS
2008-11-11,0.10421,0.10421,0.10421,0.10421,844,ACCS
2008-11-17,0.1421,0.1421,0.1421,0.1421,15,ACCS
2008-11-18,0.37894,0.37894,0.09473,0.09473,536,ACCS
2008-11-21,0.09473,0.09473,0.09473,0.09473,50,ACCS
2008-11-24,0.09473,0.10421,0.09473,0.09473,12174,ACCS
2008-11-25,0.09473,0.09473,0.09473,0.09473,528,ACCS
2008-12-04,0.09473,0.09473,0.09473,0.09473,2638,ACCS
2008-12-17,0.23684,0.23684,0.23684,0.23684,1584,ACCS
2008-12-19,0.1421,0.1421,0.09473,0.09473,4223,ACCS
2008-12-24,0.06747,0.06747,0.06747,0.06747,528,ACCS
2008-12-30,0.09473,0.09473,0.06747,0.06747,7849,ACCS
2008-12-31,0.06747,0.06747,0.06747,0.06747,38,ACCS
2009-01-07,0.06747,0.06747,0.06747,0.06747,135,ACCS
2009-01-16,0.06982,0.06982,0.06982,0.06982,12,ACCS
2009-01-27,0.2842,0.2842,0.2842,0.2842,213,ACCS
2009-02-09,0.27474,0.27474,0.27474,0.27474,264,ACCS
2009-02-13,0.2842,0.2842,0.2842,0.2842,528,ACCS
2009-03-04,0.10534,0.10534,0.10534,0.10534,10,ACCS
2009-03-06,0.10534,0.10534,0.10534,0.10534,105,ACCS
2009-04-09,0.10534,0.10534,0.10534,0.10534,202,ACCS
2009-04-20,0.1421,0.1421,0.1421,0.1421,1584,ACCS
2009-04-30,0.26999,0.26999,0.26999,0.26999,130,ACCS
