Date,Open,High,Low,Close,Volume,ticker
2018-01-26,130.34,143.5,113.47,118.16,339566,ACET
2018-01-29,120.47,120.47,110.81,113.61,41348,ACET
2018-01-30,113.96,115.79,106.96,108.99,21677,ACET
2018-01-31,109.97,115.92,109.06,113.54,25789,ACET
2018-02-01,113.54,121.81,112.16,117.25,11816,ACET
2018-02-02,116.2,120.75,115.85,119.28,21045,ACET
2018-02-05,118.65,120.74,110.46,118.58,28162,ACET
2018-02-06,117.04,119.0,108.5,112.56,15079,ACET
2018-02-07,112.14,117.31,112.0,113.54,6564,ACET
2018-02-08,115.43,118.16,106.22,114.94,8180,ACET
2018-02-09,115.15,119.0,108.79,119.0,4050,ACET
2018-02-12,119.0,128.52,117.6,128.45,28224,ACET
2018-02-13,127.19,132.02,121.48,127.75,11494,ACET
2018-02-14,126.0,129.5,122.28,126.63,2517,ACET
2018-02-15,125.65,127.75,115.43,127.54,4336,ACET
2018-02-16,127.68,131.25,124.67,130.69,13799,ACET
2018-02-20,136.08,140.0,136.08,136.08,28142,ACET
2018-02-21,135.24,139.58,134.6,137.83,11241,ACET
2018-02-22,138.32,145.18,135.45,137.55,11239,ACET
2018-02-23,139.16,146.86,138.6,145.95,15917,ACET
2018-02-26,147.0,147.68,141.33,144.2,7570,ACET
2018-02-27,143.85,144.48,135.1,138.25,21259,ACET
2018-02-28,137.41,139.3,134.89,136.5,10672,ACET
2018-03-01,135.8,136.85,128.59,128.59,8235,ACET
2018-03-02,127.47,132.16,123.95,124.11,15888,ACET
2018-03-05,124.88,132.23,121.8,123.41,6805,ACET
2018-03-06,123.97,129.5,115.51,120.4,23325,ACET
2018-03-07,119.49,123.2,117.54,119.07,15132,ACET
2018-03-08,119.0,124.04,112.54,113.26,13110,ACET
2018-03-09,114.1,120.68,108.92,111.3,14766,ACET
2018-03-12,111.3,115.57,108.57,111.3,25168,ACET
2018-03-13,112.14,115.36,106.61,108.15,17949,ACET
2018-03-14,114.8,114.8,101.92,105.56,35401,ACET
2018-03-15,106.19,111.58,103.18,104.44,18185,ACET
2018-03-16,103.74,107.45,98.805,104.65,110493,ACET
2018-03-19,104.23,114.31,99.4,105.49,23468,ACET
2018-03-20,105.77,110.55,102.76,104.16,21343,ACET
2018-03-21,104.09,107.38,101.5,102.9,17357,ACET
2018-03-22,101.99,105.0,91.28,92.26,30141,ACET
2018-03-23,92.54,96.81,82.047,82.46,19226,ACET
2018-03-26,83.93,85.991,75.32,76.65,14355,ACET
2018-03-27,76.79,81.9,73.955,78.68,14375,ACET
2018-03-28,78.54,78.54,71.12,73.92,12689,ACET
2018-03-29,74.2,77.28,65.45,67.06,14919,ACET
2018-04-02,66.85,69.93,59.897,59.99,13883,ACET
2018-04-03,60.48,65.1,59.08,61.95,30374,ACET
2018-04-04,60.13,62.3,58.94,61.53,7966,ACET
2018-04-05,61.95,72.66,61.95,66.99,39990,ACET
2018-04-06,66.43,67.689,57.79,59.43,31611,ACET
2018-04-09,60.2,65.933,54.74,56.21,20511,ACET
2018-04-10,56.84,65.94,52.823,65.66,20164,ACET
2018-04-11,66.5,69.93,61.32,66.5,18511,ACET
2018-04-12,67.27,71.82,63.49,64.26,16417,ACET
2018-04-13,64.68,66.43,61.6,62.79,19506,ACET
2018-04-16,63.21,64.05,59.99,60.06,17024,ACET
2018-04-17,60.76,62.993,57.4,58.87,17695,ACET
2018-04-18,59.15,64.4,58.905,63.63,14647,ACET
2018-04-19,63.7,66.85,60.41,61.53,16824,ACET
2018-04-20,61.53,63.21,59.5,61.39,9931,ACET
2018-04-23,61.81,62.86,58.1,62.44,15616,ACET
2018-04-24,62.72,63.35,58.45,59.71,9109,ACET
2018-04-25,59.5,63.35,57.4,59.99,6079,ACET
2018-04-26,60.34,64.399,59.43,60.41,35920,ACET
2018-04-27,60.83,63.7,59.57,62.23,14148,ACET
2018-04-30,62.65,63.63,61.67,63.0,12584,ACET
2018-05-01,63.28,70.0,62.86,67.62,19285,ACET
2018-05-02,67.62,74.48,67.515,71.26,20802,ACET
2018-05-03,71.05,74.13,67.27,68.25,21715,ACET
2018-05-04,67.83,68.04,64.61,67.13,9912,ACET
2018-05-07,67.2,71.715,65.52,68.04,14796,ACET
2018-05-08,68.11,69.72,66.15,67.55,4213,ACET
2018-05-09,69.09,77.0,67.76,75.95,46852,ACET
2018-05-10,77.0,86.24,75.95,78.61,32835,ACET
2018-05-11,78.4,84.56,76.797,83.72,19892,ACET
2018-05-14,83.65,89.565,78.33,79.59,28122,ACET
2018-05-15,79.66,82.46,76.3,79.8,10867,ACET
2018-05-16,80.29,80.36,70.84,70.945,32741,ACET
2018-05-17,69.02,71.89,62.16,64.26,46757,ACET
2018-05-18,63.63,66.57,62.475,64.68,11085,ACET
2018-05-21,65.45,65.45,58.52,61.53,21263,ACET
2018-05-22,61.39,62.37,60.55,61.25,12967,ACET
2018-05-23,61.6,64.68,61.6,63.91,14042,ACET
2018-05-24,63.7,67.787,61.81,63.21,16714,ACET
2018-05-25,64.05,64.96,62.51,63.98,10436,ACET
2018-05-29,63.98,67.97,63.98,67.2,10800,ACET
2018-05-30,68.32,70.7,67.55,68.53,11806,ACET
2018-05-31,68.6,70.07,66.43,68.53,13386,ACET
2018-06-01,68.95,70.56,67.62,69.37,11519,ACET
2018-06-04,69.09,69.93,67.97,68.6,10763,ACET
2018-06-05,68.46,69.999,66.85,69.37,16540,ACET
2018-06-06,69.3,70.455,67.41,69.02,9490,ACET
2018-06-07,68.53,69.825,67.092,67.69,15643,ACET
2018-06-08,67.41,70.07,66.29,68.6,18044,ACET
2018-06-11,69.09,71.4,68.6,70.98,22012,ACET
2018-06-12,71.4,73.429,70.35,71.4,22325,ACET
2018-06-13,71.82,74.683,70.49,73.78,18451,ACET
2018-06-14,74.83,78.68,72.38,76.02,21871,ACET
2018-06-15,76.93,87.535,72.45,83.79,41674,ACET
2018-06-18,83.16,83.16,76.51,78.61,16855,ACET
2018-06-19,77.84,81.55,75.67,76.79,18619,ACET
2018-06-20,76.79,80.71,75.88,76.02,17185,ACET
2018-06-21,76.09,80.745,71.75,73.71,18405,ACET
2018-06-22,74.06,74.62,66.29,69.09,43998,ACET
2018-06-25,69.16,70.0,66.5,67.34,20033,ACET
2018-06-26,67.06,68.95,64.4,65.31,11988,ACET
2018-06-27,65.03,70.7,59.5,60.06,20677,ACET
2018-06-28,59.99,64.4,59.99,63.0,14467,ACET
2018-06-29,63.35,69.3,63.35,64.05,23723,ACET
2018-07-02,64.75,68.11,62.16,63.21,15730,ACET
2018-07-03,63.35,64.539,62.58,63.07,6619,ACET
2018-07-05,63.56,65.24,61.6,62.3,26493,ACET
2018-07-06,62.44,63.017,61.67,62.51,20539,ACET
2018-07-09,63.0,63.938,58.737,60.06,25464,ACET
2018-07-10,60.13,60.13,57.4,58.66,36051,ACET
2018-07-11,58.66,73.57,57.4,65.1,186218,ACET
2018-07-12,65.66,65.695,60.626,63.91,43897,ACET
2018-07-13,63.98,64.7,61.46,64.05,16541,ACET
2018-07-16,63.7,64.33,60.62,62.65,26164,ACET
2018-07-17,62.93,62.93,59.5,60.69,20483,ACET
2018-07-18,60.69,61.25,59.08,60.55,10368,ACET
2018-07-19,60.62,62.58,59.43,61.04,10243,ACET
2018-07-20,60.69,62.72,60.627,61.04,39322,ACET
2018-07-23,61.32,63.35,61.18,63.07,25899,ACET
2018-07-24,63.84,64.26,62.65,63.07,8961,ACET
2018-07-25,139.02,144.16,89.67,94.29,1022858,ACET
2018-07-26,95.06,95.57,82.53,90.3,212079,ACET
2018-07-27,88.83,104.44,87.5,101.99,81477,ACET
2018-07-30,102.41,109.9,91.794,105.07,150236,ACET
2018-07-31,105.42,110.46,99.26,107.73,93475,ACET
2018-08-01,94.5,98.7,89.25,92.68,136114,ACET
2018-08-02,91.07,97.16,90.266,95.62,54120,ACET
2018-08-03,95.06,97.3,85.12,86.17,39901,ACET
2018-08-06,87.43,89.39,82.601,83.02,17540,ACET
2018-08-07,82.81,85.75,79.31,82.39,16543,ACET
2018-08-08,82.46,85.75,81.27,83.58,14923,ACET
2018-08-09,82.88,84.469,79.17,79.31,19824,ACET
2018-08-10,79.03,83.72,78.75,79.24,23741,ACET
2018-08-13,79.87,81.385,78.47,79.59,14525,ACET
2018-08-14,79.8,80.15,72.8,72.94,30489,ACET
2018-08-15,72.45,74.032,69.65,70.42,46334,ACET
2018-08-16,70.7,73.29,70.35,72.31,11528,ACET
2018-08-17,71.89,79.17,70.7,74.27,23828,ACET
2018-08-20,74.83,78.744,70.91,71.68,12020,ACET
2018-08-21,71.47,76.93,70.56,74.9,17563,ACET
2018-08-22,75.18,76.37,70.84,74.9,21253,ACET
2018-08-23,74.34,74.9,70.28,71.4,23508,ACET
2018-08-24,70.91,73.64,68.6,70.0,32152,ACET
2018-08-27,70.63,74.62,70.63,74.34,7437,ACET
2018-08-28,74.55,76.147,72.31,74.97,8537,ACET
2018-08-29,74.83,76.789,72.87,76.23,28133,ACET
2018-08-30,76.44,82.81,75.922,80.78,26941,ACET
2018-08-31,81.34,83.991,80.29,82.81,8863,ACET
2018-09-04,83.72,93.8,83.58,93.45,25824,ACET
2018-09-05,92.75,93.729,80.5,85.19,21812,ACET
2018-09-06,84.98,84.98,80.5,80.57,9537,ACET
2018-09-07,79.45,83.615,77.28,82.39,7856,ACET
2018-09-10,82.6,86.898,82.6,85.96,8974,ACET
2018-09-11,84.7,86.838,83.657,85.54,15394,ACET
2018-09-12,85.12,91.0,85.12,89.53,12989,ACET
2018-09-13,90.3,94.85,87.22,90.3,47851,ACET
2018-09-14,90.79,96.6,89.39,95.62,14933,ACET
2018-09-17,94.92,100.8,91.56,97.58,16657,ACET
2018-09-18,98.0,103.95,96.39,99.33,30801,ACET
2018-09-19,99.82,104.86,94.36,98.42,21183,ACET
2018-09-20,100.66,108.5,100.66,105.84,31765,ACET
2018-09-21,105.28,106.26,100.1,105.28,56188,ACET
2018-09-24,105.49,110.25,102.46,109.34,18262,ACET
2018-09-25,109.34,114.8,108.22,109.97,18409,ACET
2018-09-26,109.9,116.62,109.9,110.6,23007,ACET
2018-09-27,111.58,115.15,104.58,106.54,18540,ACET
2018-09-28,106.54,110.39,105.14,105.98,17816,ACET
2018-10-01,107.31,108.22,95.676,97.65,15527,ACET
2018-10-02,96.88,96.88,89.95,93.45,21086,ACET
2018-10-03,94.15,97.79,92.4,95.06,9041,ACET
2018-10-04,95.9,103.39,91.875,101.29,11519,ACET
2018-10-05,101.15,102.79,92.75,94.57,10797,ACET
2018-10-08,93.45,93.45,87.15,89.53,18317,ACET
2018-10-09,88.83,89.95,84.56,87.15,26975,ACET
2018-10-10,87.08,89.705,78.89,79.94,23453,ACET
2018-10-11,79.73,81.465,74.9,77.7,28086,ACET
2018-10-12,78.96,81.97,78.33,79.45,11220,ACET
2018-10-15,79.24,82.39,77.91,78.96,17312,ACET
2018-10-16,80.5,91.105,80.43,87.22,21186,ACET
2018-10-17,87.15,89.845,81.06,88.69,10011,ACET
2018-10-18,88.83,91.67,81.2,84.7,17074,ACET
2018-10-19,84.0,87.526,82.39,83.37,6900,ACET
2018-10-22,83.58,84.455,74.27,77.21,17753,ACET
2018-10-23,77.21,81.62,77.21,80.5,8726,ACET
2018-10-24,80.15,80.15,77.21,78.4,14671,ACET
2018-10-25,79.03,85.89,78.54,80.5,13222,ACET
2018-10-26,77.63,83.44,77.28,81.76,9282,ACET
2018-10-29,82.46,83.72,73.99,76.3,13896,ACET
2018-10-30,75.88,80.92,73.57,78.19,6131,ACET
2018-10-31,78.82,79.617,75.95,77.42,4029,ACET
2018-11-01,77.84,86.765,77.84,82.11,12237,ACET
2018-11-02,81.9,81.9,77.715,79.87,9241,ACET
2018-11-05,80.22,84.491,79.45,82.74,6269,ACET
2018-11-06,82.11,84.28,80.92,83.93,24815,ACET
2018-11-07,84.14,84.56,80.5,83.37,6595,ACET
2018-11-08,82.46,89.028,81.62,85.26,11524,ACET
2018-11-09,84.42,84.49,76.37,79.52,7329,ACET
2018-11-12,78.12,85.4,75.39,79.1,7759,ACET
2018-11-13,80.92,90.229,75.6,77.28,12716,ACET
2018-11-14,77.0,85.422,77.0,82.11,6522,ACET
2018-11-15,81.97,92.33,79.87,88.97,10289,ACET
2018-11-16,87.99,93.03,86.87,92.05,12018,ACET
2018-11-19,90.3,94.99,86.24,87.78,5759,ACET
2018-11-20,85.96,91.0,80.92,85.47,8274,ACET
2018-11-21,86.31,93.59,82.74,88.06,11140,ACET
2018-11-23,87.15,94.29,85.12,90.79,4300,ACET
2018-11-26,91.28,95.9,80.92,94.29,7655,ACET
2018-11-27,91.49,95.34,88.9,93.59,3854,ACET
2018-11-28,93.8,98.35,89.32,93.94,10681,ACET
2018-11-29,92.26,95.41,87.955,91.91,8613,ACET
2018-11-30,91.49,93.8,88.9,91.42,7264,ACET
2018-12-03,93.17,93.17,89.25,91.28,6676,ACET
2018-12-04,91.21,91.21,82.04,82.81,7545,ACET
2018-12-06,80.22,90.16,79.87,88.13,6129,ACET
2018-12-07,88.06,92.54,82.6,84.42,3188,ACET
2018-12-10,83.02,92.12,82.769,88.2,6878,ACET
2018-12-11,88.97,91.665,85.249,88.41,8004,ACET
2018-12-12,88.9,94.15,86.202,91.98,14491,ACET
2018-12-13,93.1,94.99,88.451,93.8,15666,ACET
2018-12-14,93.8,94.5,84.07,86.24,14663,ACET
2018-12-17,86.66,88.27,74.55,75.95,15065,ACET
2018-12-18,76.09,76.44,69.58,70.42,18301,ACET
2018-12-19,70.63,78.47,64.12,67.34,28748,ACET
2018-12-20,67.2,69.44,61.67,63.0,38515,ACET
