Date,Open,High,Low,Close,Volume,ticker
2017-08-21,22.962,23.112,22.882,23.057,189432,ACGLO
2017-08-22,23.066,23.103,23.02,23.047,277621,ACGLO
2017-08-23,23.076,23.141,23.038,23.13,127728,ACGLO
2017-08-24,23.094,23.159,23.076,23.086,190318,ACGLO
2017-08-25,23.121,23.13,23.076,23.112,89913,ACGLO
2017-08-28,23.112,23.14,23.038,23.14,134112,ACGLO
2017-08-29,23.103,23.316,23.086,23.177,213394,ACGLO
2017-08-30,23.232,23.251,23.177,23.242,146250,ACGLO
2017-08-31,23.324,23.371,23.232,23.343,129652,ACGLO
2017-09-01,23.251,23.333,23.251,23.26,45201,ACGLO
2017-09-05,23.204,23.306,23.204,23.288,334262,ACGLO
2017-09-06,23.204,23.288,23.204,23.278,153656,ACGLO
2017-09-07,23.297,23.343,23.14,23.214,199541,ACGLO
2017-09-08,23.251,23.251,23.13,23.159,158263,ACGLO
2017-09-11,23.232,23.316,23.195,23.297,58979,ACGLO
2017-09-12,23.316,23.528,23.251,23.518,119577,ACGLO
2017-09-13,23.497,23.509,23.39,23.473,65776,ACGLO
2017-09-14,23.407,23.481,23.186,23.195,208644,ACGLO
2017-09-15,23.214,23.251,23.177,23.195,74308,ACGLO
2017-09-18,23.251,23.278,23.13,23.242,216005,ACGLO
2017-09-19,23.242,23.262,23.168,23.195,64550,ACGLO
2017-09-20,23.232,23.26,23.195,23.224,56146,ACGLO
2017-09-21,23.224,23.297,23.195,23.204,167660,ACGLO
2017-09-22,23.159,23.204,23.14,23.186,79879,ACGLO
2017-09-25,23.216,23.224,23.13,23.168,70079,ACGLO
2017-09-26,23.159,23.159,23.094,23.159,114072,ACGLO
2017-09-27,23.14,23.159,23.047,23.159,98577,ACGLO
2017-09-28,23.159,23.224,23.14,23.186,53488,ACGLO
2017-09-29,23.214,23.242,23.159,23.242,48604,ACGLO
2017-10-02,23.251,23.333,23.242,23.26,73272,ACGLO
2017-10-03,23.297,23.345,23.278,23.324,41862,ACGLO
2017-10-04,23.343,23.362,23.28,23.362,46547,ACGLO
2017-10-05,23.371,23.426,23.362,23.407,75490,ACGLO
2017-10-06,23.38,23.417,23.224,23.333,70304,ACGLO
2017-10-09,23.362,23.39,23.13,23.14,243239,ACGLO
2017-10-10,23.159,23.224,23.14,23.14,158743,ACGLO
2017-10-11,23.195,23.251,23.177,23.224,96363,ACGLO
2017-10-12,23.251,23.343,23.251,23.297,332214,ACGLO
2017-10-13,23.324,23.357,23.316,23.343,68345,ACGLO
2017-10-16,23.332,23.39,23.269,23.352,117192,ACGLO
2017-10-17,23.362,23.39,23.343,23.39,65291,ACGLO
2017-10-18,23.39,23.39,23.288,23.343,270938,ACGLO
2017-10-19,23.39,23.417,23.343,23.38,76765,ACGLO
2017-10-20,23.38,23.38,23.214,23.306,852969,ACGLO
2017-10-23,23.316,23.316,23.242,23.297,49576,ACGLO
2017-10-24,23.297,23.38,23.26,23.371,89077,ACGLO
2017-10-25,23.343,23.343,23.232,23.278,74957,ACGLO
2017-10-26,23.316,23.316,23.251,23.251,48128,ACGLO
2017-10-27,23.288,23.324,23.204,23.324,43268,ACGLO
2017-10-30,23.305,23.324,23.232,23.306,22023,ACGLO
2017-10-31,23.333,23.38,23.278,23.38,40310,ACGLO
2017-11-01,23.39,23.39,23.297,23.343,77168,ACGLO
2017-11-02,23.343,23.399,23.343,23.371,20906,ACGLO
2017-11-03,23.371,23.38,23.352,23.362,26731,ACGLO
2017-11-06,23.39,23.417,23.343,23.361,25571,ACGLO
2017-11-07,23.39,23.39,23.316,23.38,47762,ACGLO
2017-11-08,23.407,23.426,23.317,23.352,29151,ACGLO
2017-11-09,23.426,23.454,23.316,23.385,15628,ACGLO
2017-11-10,23.417,23.417,23.278,23.306,19398,ACGLO
2017-11-13,23.343,23.343,23.269,23.324,23844,ACGLO
2017-11-14,23.407,23.407,23.288,23.343,20939,ACGLO
2017-11-15,23.39,23.39,23.284,23.324,41538,ACGLO
2017-11-16,23.324,23.39,23.297,23.371,32977,ACGLO
2017-11-17,23.38,23.49,23.362,23.49,25478,ACGLO
2017-11-20,23.49,23.583,23.454,23.547,69610,ACGLO
