Date,Open,High,Low,Close,Volume,ticker
2021-03-31,18.0,18.9476,16.06,16.55,2110841,ACHL
2021-04-01,16.3,17.3435,15.06,16.0,506528,ACHL
2021-04-05,15.63,15.95,14.73,14.92,169213,ACHL
2021-04-06,14.87,17.99,14.7292,17.86,447306,ACHL
2021-04-07,17.51,17.79,15.55,15.61,173289,ACHL
2021-04-08,15.55,16.05,14.47,14.51,202376,ACHL
2021-04-09,14.28,15.1141,13.72,13.78,207201,ACHL
2021-04-12,13.99,14.275,12.63,13.05,103160,ACHL
2021-04-13,12.89,13.32,12.79,12.97,71348,ACHL
2021-04-14,12.96,13.73,12.92,13.73,56978,ACHL
2021-04-15,13.6,14.66,13.27,14.6,121763,ACHL
2021-04-16,14.6,15.15,14.15,15.15,37429,ACHL
2021-04-19,15.05,15.65,14.9844,15.51,74086,ACHL
2021-04-20,15.34,16.14,15.16,15.76,46690,ACHL
2021-04-21,15.85,16.34,15.7,16.0,94481,ACHL
2021-04-22,16.04,16.39,15.4808,16.07,63909,ACHL
2021-04-23,16.13,16.74,15.0001,16.6,74534,ACHL
2021-04-26,16.71,16.84,16.05,16.75,126703,ACHL
2021-04-27,16.7,17.05,16.27,16.96,111321,ACHL
2021-04-28,17.06,17.06,15.8,16.32,119374,ACHL
2021-04-29,16.1,16.33,15.9,16.02,75131,ACHL
2021-04-30,15.88,16.345,15.29,15.55,10875,ACHL
2021-05-03,15.91,16.529,15.37,15.53,9684,ACHL
2021-05-04,15.23,15.72,15.23,15.4,17986,ACHL
2021-05-05,15.25,16.3,15.25,15.89,13468,ACHL
2021-05-06,15.8,15.8927,14.29,14.29,18696,ACHL
2021-05-07,14.76,16.0,13.62,14.17,16126,ACHL
2021-05-10,13.85,14.46,13.4,13.4,4020,ACHL
2021-05-11,13.05,14.0926,13.02,13.7,15819,ACHL
2021-05-12,13.8,14.49,13.01,13.01,8510,ACHL
2021-05-13,13.55,14.0,12.51,12.61,14088,ACHL
2021-05-14,12.92,13.3531,12.63,13.03,5816,ACHL
2021-05-17,12.77,13.98,12.77,13.45,13848,ACHL
2021-05-18,13.44,14.39,12.63,12.8,36375,ACHL
2021-05-19,12.82,14.39,12.68,13.03,12832,ACHL
2021-05-20,13.0,13.5657,12.8,12.88,14084,ACHL
2021-05-21,12.82,13.6798,12.82,13.51,2548,ACHL
2021-05-24,13.24,14.0923,13.0,13.0,14381,ACHL
2021-05-25,13.09,13.3,13.0,13.0,3087,ACHL
2021-05-26,13.6299,13.6299,12.81,12.81,7251,ACHL
2021-05-27,12.8334,13.0,12.6,12.6,6152,ACHL
2021-05-28,12.9,12.9,12.63,12.63,3705,ACHL
2021-06-01,12.7,12.97,12.64,12.93,5842,ACHL
2021-06-02,12.61,12.9799,12.61,12.66,3589,ACHL
2021-06-03,12.6129,12.94,12.6101,12.68,14115,ACHL
2021-06-04,12.8,12.8,12.61,12.61,6966,ACHL
2021-06-07,12.65,12.8559,12.6,12.85,4601,ACHL
2021-06-08,12.84,12.84,12.6,12.725,1696,ACHL
2021-06-09,12.78,12.78,12.61,12.75,18950,ACHL
2021-06-10,12.7039,12.75,12.63,12.69,6374,ACHL
2021-06-11,12.7,12.75,12.61,12.61,12869,ACHL
2021-06-14,12.75,12.75,12.01,12.01,130262,ACHL
2021-06-15,12.0,12.75,11.42,11.42,27680,ACHL
2021-06-16,11.42,12.5765,11.42,11.92,26363,ACHL
2021-06-17,11.83,12.4133,11.7,11.7,5901,ACHL
2021-06-18,11.93,11.93,11.53,11.54,6479,ACHL
2021-06-21,11.51,12.5,11.51,11.73,1030,ACHL
2021-06-22,11.8,11.8,11.5,11.57,3818,ACHL
2021-06-23,11.46,11.68,11.42,11.42,17645,ACHL
2021-06-24,11.42,11.67,11.0,11.0,23577,ACHL
2021-06-25,11.0,11.4,10.81,10.93,28985,ACHL
2021-06-28,11.29,11.29,10.27,10.27,21470,ACHL
2021-06-29,10.35,10.85,9.92,9.92,13821,ACHL
2021-06-30,9.95,10.95,9.79,9.79,53902,ACHL
2021-07-01,9.96,10.2506,9.83,9.93,18900,ACHL
