Date,Open,High,Low,Close,Volume,ticker
2021-09-20,1.5,1.68,1.44,1.61,150448,ACHR-WS
2021-09-21,1.65,1.75,1.55,1.61,51776,ACHR-WS
2021-09-22,1.61,1.65,1.5701,1.63,29910,ACHR-WS
2021-09-23,1.65,1.77,1.65,1.75,75390,ACHR-WS
2021-09-24,1.77,1.77,1.66,1.72,92116,ACHR-WS
2021-09-27,1.75,1.75,1.65,1.71,69765,ACHR-WS
2021-09-28,1.75,1.75,1.65,1.7101,93584,ACHR-WS
2021-09-29,1.75,1.75,1.65,1.69,60450,ACHR-WS
2021-09-30,1.8,1.8,1.57,1.59,247660,ACHR-WS
2021-10-01,1.74,1.74,1.41,1.505,179088,ACHR-WS
2021-10-04,1.67,1.67,1.3417,1.38,280962,ACHR-WS
2021-10-05,1.58,1.58,1.389,1.4005,39185,ACHR-WS
2021-10-06,1.4,1.48,1.3,1.3,128235,ACHR-WS
2021-10-07,1.59,1.59,1.2601,1.2601,264075,ACHR-WS
2021-10-08,1.51,1.51,1.0699,1.08,1254080,ACHR-WS
2021-10-11,1.2,1.25,1.18,1.23,98250,ACHR-WS
2021-10-12,1.35,1.35,1.1201,1.23,15769,ACHR-WS
2021-10-13,1.26,1.3,1.14,1.2,40375,ACHR-WS
2021-10-14,1.37,1.37,1.115,1.18,44205,ACHR-WS
2021-10-15,1.3,1.3,1.18,1.18,73925,ACHR-WS
2021-10-18,1.34,1.34,1.17,1.17,52192,ACHR-WS
2021-10-19,1.15,1.21,1.1,1.17,24545,ACHR-WS
2021-10-20,1.25,1.25,1.11,1.1286,88034,ACHR-WS
2021-10-21,1.17,1.17,1.11,1.15,53458,ACHR-WS
2021-10-22,1.16,1.2,1.12,1.15,63638,ACHR-WS
2021-10-25,1.14,1.1701,1.07,1.09,49670,ACHR-WS
2021-10-26,1.15,1.18,1.0802,1.0903,75008,ACHR-WS
2021-10-27,1.09,1.15,0.92,1.05,417647,ACHR-WS
2021-10-28,1.1,1.15,1.07,1.12,118399,ACHR-WS
2021-10-29,1.15,1.31,1.15,1.2202,265626,ACHR-WS
2021-11-01,1.37,1.65,1.37,1.45,695365,ACHR-WS
2021-11-02,1.45,1.51,1.36,1.3701,72026,ACHR-WS
2021-11-03,1.38,1.55,1.3601,1.38,100023,ACHR-WS
2021-11-04,1.55,1.59,1.385,1.46,72592,ACHR-WS
2021-11-05,1.59,1.59,1.3501,1.4482,77687,ACHR-WS
2021-11-08,1.44,1.475,1.3,1.3401,110070,ACHR-WS
2021-11-09,1.3,1.3418,1.22,1.2499,87849,ACHR-WS
2021-11-10,1.2,1.31,1.17,1.19,170063,ACHR-WS
2021-11-11,1.17,1.3,1.12,1.3,196902,ACHR-WS
2021-11-12,1.29,1.68,1.13,1.23,103026,ACHR-WS
2021-11-15,1.23,1.43,1.225,1.2987,76150,ACHR-WS
2021-11-16,1.35,1.3599,1.25,1.28,73300,ACHR-WS
2021-11-17,1.345,1.505,1.28,1.4,92223,ACHR-WS
2021-11-18,1.38,1.39,1.28,1.3199,75005,ACHR-WS
2021-11-19,1.4,1.4,1.23,1.34,23284,ACHR-WS
2021-11-22,1.24,1.37,1.22,1.33,88211,ACHR-WS
2021-11-23,1.25,1.38,1.25,1.33,65281,ACHR-WS
2021-11-24,1.38,1.44,1.2501,1.41,31233,ACHR-WS
2021-11-26,1.35,1.4,1.28,1.315,110815,ACHR-WS
2021-11-29,1.34,1.34,1.23,1.25,94924,ACHR-WS
2021-11-30,1.23,1.39,1.23,1.27,90387,ACHR-WS
2021-12-01,1.35,1.35,1.17,1.17,139903,ACHR-WS
2021-12-02,1.4,1.4,1.16,1.35,413231,ACHR-WS
2021-12-03,1.45,1.47,1.22,1.32,113028,ACHR-WS
2021-12-06,1.4,1.4,1.23,1.23,195662,ACHR-WS
2021-12-07,1.38,1.45,1.2909,1.31,140837,ACHR-WS
2021-12-08,1.27,1.6199,1.27,1.45,283977,ACHR-WS
2021-12-09,1.5,1.66,1.5,1.52,195595,ACHR-WS
2021-12-10,1.55,1.63,1.55,1.57,111065,ACHR-WS
2021-12-13,1.65,1.7,1.33,1.35,151356,ACHR-WS
2021-12-14,1.45,1.5,1.37,1.39,142558,ACHR-WS
2021-12-15,1.28,1.49,1.28,1.4899,32707,ACHR-WS
2021-12-16,1.6,1.67,1.42,1.46,128111,ACHR-WS
2021-12-17,1.46,1.46,1.26,1.29,106085,ACHR-WS
2021-12-20,1.22,1.33,1.2134,1.2751,36494,ACHR-WS
2021-12-21,1.27,1.28,1.23,1.26,31074,ACHR-WS
2021-12-22,1.2,1.24,1.1001,1.19,77454,ACHR-WS
2021-12-23,1.15,1.43,1.15,1.381,225238,ACHR-WS
2021-12-27,1.26,1.45,1.2101,1.22,86699,ACHR-WS
2021-12-28,1.22,1.26,1.12,1.16,105410,ACHR-WS
2021-12-29,1.17,1.32,1.12,1.16,87679,ACHR-WS
2021-12-30,1.2,1.24,1.1,1.1,200979,ACHR-WS
2021-12-31,1.1,1.16,1.1,1.16,155056,ACHR-WS
2022-01-03,1.17,1.21,1.12,1.1596,27266,ACHR-WS
2022-01-04,1.13,1.2,1.13,1.2,61048,ACHR-WS
2022-01-05,1.15,1.1801,1.07,1.11,54058,ACHR-WS
2022-01-06,1.06,1.065,0.99,1.03,76033,ACHR-WS
2022-01-07,1.0101,1.025,0.8701,0.889999,182057,ACHR-WS
2022-01-10,0.86,0.869951,0.7212,0.7212,61462,ACHR-WS
2022-01-11,0.7,0.75495,0.7,0.726,64890,ACHR-WS
2022-01-12,0.7051,0.720051,0.6315,0.69,112562,ACHR-WS
2022-01-13,0.65,0.6601,0.5701,0.6171,125066,ACHR-WS
2022-01-14,0.58,0.6697,0.58,0.6591,69196,ACHR-WS
2022-01-18,0.63,0.63,0.53,0.5998,102977,ACHR-WS
2022-01-19,0.5601,0.6,0.5004,0.555,268688,ACHR-WS
2022-01-20,0.5267,0.6488,0.5266,0.5745,55376,ACHR-WS
2022-01-21,0.530201,0.54,0.4927,0.501,132910,ACHR-WS
2022-01-24,0.48,0.48,0.39,0.42,224102,ACHR-WS
2022-01-25,0.4001,0.46,0.3902,0.43,43698,ACHR-WS
2022-01-26,0.4401,0.58,0.37,0.419,90031,ACHR-WS
