Date,Open,High,Low,Close,Volume,ticker
2024-11-20,50.01,50.0351,50.01,50.0351,100100,ACLO
2024-11-22,50.12,50.12,50.095,50.095,60610,ACLO
2024-11-25,50.0699,50.085,50.0699,50.085,1001,ACLO
2024-11-26,50.12,50.16,50.1194,50.1194,600,ACLO
2024-11-27,50.11,50.16,50.1,50.13,13400,ACLO
2024-11-29,50.18,50.18,50.1445,50.1445,804,ACLO
2024-12-03,50.15,50.2886,50.15,50.2886,60900,ACLO
2024-12-04,50.15,50.16,50.1275,50.1275,503,ACLO
2024-12-06,50.15,50.164,50.15,50.164,6704,ACLO
2024-12-13,50.2108,50.2108,50.205,50.205,159,ACLO
2024-12-19,49.98,49.99,49.9741,49.99,40390,ACLO
2024-12-24,50.05,50.0798,50.0499,50.0798,999,ACLO
2025-01-02,50.0948,50.1151,50.0948,50.1151,192,ACLO
2025-01-10,50.19,50.1951,50.19,50.1951,1399,ACLO
2025-01-14,50.2486,50.2486,50.2206,50.225,60242,ACLO
2025-01-22,50.32,50.36,50.32,50.36,80804,ACLO
2025-01-28,50.39,50.39,50.385,50.385,81886,ACLO
2025-02-03,50.24,50.25,50.24,50.2401,98048,ACLO
