Date,Open,High,Low,Close,Volume,ticker
2022-02-04,19.0,19.0,15.7933,16.8,1093110,ACLX
2022-02-07,18.05,18.05,15.65,17.84,451377,ACLX
2022-02-08,16.98,18.1373,16.75,17.78,132255,ACLX
2022-02-09,18.07,18.49,16.37,16.4,137844,ACLX
2022-02-10,16.99,17.34,16.19,16.86,111587,ACLX
2022-02-11,16.51,17.85,16.45,17.0,229720,ACLX
2022-02-14,17.16,17.44,15.9,16.45,147401,ACLX
2022-02-15,16.88,17.34,16.555,17.03,83712,ACLX
2022-02-16,17.0,17.74,16.59,17.2,121742,ACLX
2022-02-17,17.49,17.73,16.5,17.28,137911,ACLX
2022-02-18,17.06,18.09,17.0,17.82,99560,ACLX
2022-02-22,18.04,19.25,16.94,18.65,242348,ACLX
2022-02-23,18.49,19.06,18.01,19.06,108814,ACLX
2022-02-24,18.68,19.0,16.68,18.96,130833,ACLX
2022-02-25,19.18,19.18,16.23,16.94,249937,ACLX
2022-02-28,17.12,19.925,15.55,19.14,211134,ACLX
2022-03-01,19.28,19.28,16.705,17.07,165631,ACLX
2022-03-02,16.9,17.49,16.556,16.7,112041,ACLX
2022-03-03,16.55,18.24,16.55,17.9,79493,ACLX
2022-03-04,18.15,18.625,17.08,18.0,75578,ACLX
2022-03-07,18.16,19.04,16.94,17.18,148694,ACLX
2022-03-08,17.03,17.91,16.51,17.14,122765,ACLX
2022-03-09,17.62,18.22,16.38,16.39,120571,ACLX
2022-03-10,16.28,17.095,15.6217,16.5,107022,ACLX
2022-03-11,16.67,17.35,15.3072,16.68,76499,ACLX
2022-03-14,16.98,17.65,16.17,16.35,80088,ACLX
2022-03-15,16.38,17.67,16.212,17.02,117507,ACLX
2022-03-16,17.63,18.2,16.515,17.38,170553,ACLX
2022-03-17,17.54,18.0075,16.89,17.12,222909,ACLX
2022-03-18,17.18,17.52,15.55,15.57,1450228,ACLX
2022-03-21,15.36,16.3,14.445,14.68,276384,ACLX
2022-03-22,14.52,15.68,14.1822,15.42,196675,ACLX
2022-03-23,15.31,15.69,14.785,15.35,118945,ACLX
2022-03-24,15.19,15.99,15.025,15.79,45394,ACLX
2022-03-25,15.94,17.19,15.725,16.26,140763,ACLX
2022-03-28,16.12,16.58,14.74,15.34,63528,ACLX
2022-03-29,15.08,15.725,13.9338,14.02,71930,ACLX
2022-03-30,13.9,14.555,12.385,12.97,107954,ACLX
2022-03-31,12.64,14.31,12.2124,14.02,111750,ACLX
2022-04-01,13.99,14.5,12.99,14.38,73150,ACLX
2022-04-04,14.89,15.0,13.0,13.12,44450,ACLX
2022-04-05,12.87,13.8836,12.6579,13.3,251293,ACLX
2022-04-06,13.105,13.4928,12.53,13.0,114893,ACLX
2022-04-07,12.62,13.23,12.62,13.04,44856,ACLX
2022-04-08,13.0,13.15,12.82,12.93,12915,ACLX
2022-04-11,12.96,13.99,12.46,12.61,29658,ACLX
2022-04-12,12.965,13.1,12.83,13.03,21012,ACLX
2022-04-13,12.78,13.3,12.78,12.94,30637,ACLX
2022-04-14,13.2,13.2,12.63,12.93,43997,ACLX
2022-04-18,12.9399,12.94,12.545,12.78,8181,ACLX
2022-04-19,13.0,13.0773,12.525,12.6,15093,ACLX
2022-04-20,12.3186,12.6,11.78,12.04,183425,ACLX
2022-04-21,12.0,12.0,11.57,11.73,16292,ACLX
2022-04-22,11.47,11.685,10.57,10.71,19694,ACLX
2022-04-25,11.23,12.12,11.23,12.06,43979,ACLX
2022-04-26,11.82,12.045,10.64,11.13,18311,ACLX
2022-04-27,10.9,11.2,10.6301,10.88,32843,ACLX
2022-04-28,10.69,11.73,10.59,11.0,19087,ACLX
2022-04-29,11.72,11.72,10.81,10.93,20026,ACLX
2022-05-02,10.72,10.72,9.82,10.05,15508,ACLX
2022-05-03,9.69,9.755,9.01,9.12,22143,ACLX
2022-05-04,8.36,9.37,8.36,9.31,74478,ACLX
2022-05-05,9.3516,9.38,8.13,9.33,72719,ACLX
2022-05-06,9.32,9.3925,8.62,9.2,133964,ACLX
2022-05-09,8.89,9.5409,8.07,8.53,73462,ACLX
2022-05-10,9.34,10.05,8.76,9.69,217421,ACLX
2022-05-11,9.75,9.75,8.78,8.89,31962,ACLX
2022-05-12,8.89,9.37,8.73,8.8,21241,ACLX
2022-05-13,9.21,9.455,8.63,8.91,62022,ACLX
2022-05-16,8.57,8.7,7.15,7.61,57583,ACLX
2022-05-17,7.79,8.0,6.035,7.51,256013,ACLX
2022-05-18,7.43,7.75,6.9372,7.21,45530,ACLX
2022-05-19,7.37,7.95,6.985,7.64,32903,ACLX
2022-05-20,7.8,8.16,7.13,7.8,165170,ACLX
2022-05-23,7.95,9.1682,7.63,8.66,63043,ACLX
