Date,Open,High,Low,Close,Volume,ticker
2017-11-03,2.7233,2.828,1.9567,2.0167,1570554,ACMR
2017-11-06,2.0033,2.1533,1.8667,1.87,211953,ACMR
2017-11-07,1.8667,1.9007,1.8667,1.8667,97701,ACMR
2017-11-08,1.8667,1.8833,1.8667,1.8667,355389,ACMR
2017-11-09,1.8667,1.8767,1.8667,1.867,104052,ACMR
2017-11-10,1.8833,1.92,1.87,1.9067,29532,ACMR
2017-11-13,1.92,2.063,1.9067,1.97,65238,ACMR
2017-11-14,2.05,2.1167,1.8833,1.99,181305,ACMR
2017-11-15,1.97,2.08,1.93,2.08,110355,ACMR
2017-11-16,2.0667,2.1967,2.0667,2.1733,100902,ACMR
2017-11-17,2.2333,2.2967,2.1967,2.2967,94290,ACMR
2017-11-20,2.3333,2.6133,2.3267,2.4467,168153,ACMR
2017-11-21,2.55,2.55,2.4533,2.4733,120201,ACMR
2017-11-22,2.5,2.501,2.3,2.3167,69483,ACMR
2017-11-24,2.2833,2.4033,2.2833,2.29,76422,ACMR
2017-11-27,2.29,2.4,2.2764,2.3,71355,ACMR
2017-11-28,2.29,2.2937,2.236,2.2633,18945,ACMR
2017-11-29,2.2733,2.35,2.18,2.26,76488,ACMR
2017-11-30,2.2233,2.3,2.2133,2.25,8706,ACMR
2017-12-01,2.1333,2.3,2.1333,2.2633,41064,ACMR
2017-12-04,2.2633,2.2633,2.1333,2.1533,68349,ACMR
2017-12-05,2.1367,2.1367,1.96,1.9933,65361,ACMR
2017-12-06,2.0,2.0367,1.9333,1.9633,54063,ACMR
2017-12-07,1.97,2.0857,1.9367,2.0,19071,ACMR
2017-12-08,1.9733,2.08,1.9733,2.0167,7422,ACMR
2017-12-11,1.9933,2.0667,1.9833,1.9867,55626,ACMR
2017-12-12,2.0333,2.0366,1.8967,1.9467,58767,ACMR
2017-12-13,1.95,2.0,1.8367,1.8433,57186,ACMR
2017-12-14,1.86,1.93,1.8467,1.8467,46179,ACMR
2017-12-15,1.85,1.9,1.6667,1.6667,162153,ACMR
2017-12-18,1.6667,1.74,1.6667,1.7133,122193,ACMR
2017-12-19,1.7267,1.7467,1.6733,1.6767,75729,ACMR
2017-12-20,1.7172,1.7172,1.6067,1.6067,79326,ACMR
2017-12-21,1.63,1.7367,1.6167,1.72,44043,ACMR
2017-12-22,1.6733,1.6767,1.65,1.65,48216,ACMR
2017-12-26,1.6564,1.6833,1.6564,1.67,31191,ACMR
2017-12-27,1.67,1.6733,1.6367,1.64,185040,ACMR
2017-12-28,1.66,1.705,1.6467,1.6833,17136,ACMR
2017-12-29,1.6833,1.75,1.6833,1.75,20439,ACMR
2018-01-02,1.75,1.8488,1.6867,1.77,14055,ACMR
2018-01-03,1.8667,1.8739,1.7338,1.76,28515,ACMR
2018-01-04,1.7567,1.82,1.7154,1.7717,8964,ACMR
2018-01-05,1.7667,1.8428,1.7667,1.8367,8442,ACMR
2018-01-08,1.85,1.85,1.7267,1.7467,79023,ACMR
2018-01-09,1.738,1.8129,1.7367,1.7467,33657,ACMR
2018-01-10,1.8428,1.85,1.72,1.73,46851,ACMR
2018-01-11,1.7467,1.7983,1.74,1.7467,6741,ACMR
2018-01-12,1.7567,1.7933,1.6767,1.7233,38532,ACMR
2018-01-16,1.7333,1.7433,1.6033,1.6467,96495,ACMR
2018-01-17,1.6033,1.69,1.6033,1.6667,50046,ACMR
2018-01-18,1.6667,1.6749,1.6533,1.6533,9801,ACMR
2018-01-19,1.6067,1.6767,1.6,1.6633,90900,ACMR
2018-01-22,1.6667,1.672,1.5812,1.5833,100866,ACMR
2018-01-23,1.6667,1.9897,1.6667,1.8867,913857,ACMR
2018-01-24,1.9067,2.1167,1.7667,1.81,506541,ACMR
2018-01-25,1.83,1.9033,1.77,1.77,312549,ACMR
2018-01-26,1.7667,1.8,1.75,1.7667,125991,ACMR
2018-01-29,1.8511,1.8511,1.7833,1.81,55038,ACMR
2018-01-30,1.82,1.8217,1.7033,1.7033,99837,ACMR
2018-01-31,1.7133,1.84,1.7133,1.79,200574,ACMR
2018-02-01,1.7667,2.0967,1.7667,2.0,467298,ACMR
2018-02-02,2.0033,2.0967,1.955,2.0367,110013,ACMR
2018-02-05,2.0633,2.2783,2.06,2.25,194556,ACMR
2018-02-06,2.11,2.2767,2.04,2.2767,136134,ACMR
2018-02-07,2.26,2.3067,2.2033,2.2033,25461,ACMR
2018-02-08,2.26,2.26,2.11,2.1467,43455,ACMR
2018-02-09,2.15,2.3089,2.149,2.1667,153918,ACMR
2018-02-12,2.15,2.1934,2.15,2.1934,14526,ACMR
2018-02-13,2.272,2.272,2.14,2.1733,51888,ACMR
2018-02-14,2.1767,2.2,2.0667,2.08,69711,ACMR
2018-02-15,2.0767,2.2167,2.0767,2.1367,170820,ACMR
2018-02-16,2.2,2.2,2.1333,2.16,73236,ACMR
2018-02-20,2.1713,2.218,2.1713,2.19,7518,ACMR
2018-02-21,2.2167,2.48,2.2,2.2833,106362,ACMR
2018-02-22,2.3333,2.3867,2.3217,2.3367,24477,ACMR
2018-02-23,2.4033,2.46,2.3333,2.3867,108705,ACMR
2018-02-26,2.4167,2.4416,2.3234,2.33,46140,ACMR
2018-02-27,2.3467,2.3633,2.33,2.3633,109758,ACMR
2018-02-28,2.3333,2.35,2.24,2.2667,83502,ACMR
2018-03-01,2.2367,2.3252,2.1965,2.24,13095,ACMR
2018-03-02,2.2533,2.4133,2.21,2.4133,108741,ACMR
2018-03-05,2.6667,2.8133,2.5003,2.6183,497835,ACMR
2018-03-06,2.68,4.3966,2.6533,3.6667,3630372,ACMR
2018-03-07,3.7333,4.243,3.49,3.9967,880350,ACMR
2018-03-08,4.0367,4.58,4.0367,4.4867,751752,ACMR
2018-03-09,4.5667,4.5667,4.2233,4.3767,481077,ACMR
2018-03-12,4.3467,4.833,4.3447,4.5667,311271,ACMR
2018-03-13,4.5533,4.8633,4.5333,4.7467,151572,ACMR
2018-03-14,4.8267,5.1984,4.8267,4.98,229236,ACMR
2018-03-15,5.0,5.1713,4.337,4.6767,212952,ACMR
2018-03-16,4.7467,4.7967,4.0,4.1467,617850,ACMR
2018-03-19,4.1333,4.1993,3.5,3.81,815529,ACMR
2018-03-20,3.8367,4.523,3.7203,4.39,210810,ACMR
2018-03-21,4.4067,4.5333,3.9067,4.0833,124632,ACMR
2018-03-22,4.05,4.19,3.9567,4.1667,96372,ACMR
2018-03-23,4.35,4.4433,4.18,4.3033,220404,ACMR
2018-03-26,4.3667,4.3667,4.1667,4.26,114618,ACMR
2018-03-27,4.2433,4.3467,4.0303,4.2967,107448,ACMR
2018-03-28,4.27,4.27,4.0833,4.1267,77865,ACMR
2018-03-29,4.0833,4.1367,4.0,4.1,46854,ACMR
2018-04-02,4.0633,4.2467,4.0633,4.1033,105768,ACMR
2018-04-03,4.1833,4.1833,4.0467,4.1033,55785,ACMR
2018-04-04,4.0433,4.2767,3.9333,4.1,98352,ACMR
2018-04-05,4.1667,4.1667,3.9333,4.0,122127,ACMR
2018-04-06,3.9567,3.9933,3.9333,3.9333,35523,ACMR
2018-04-09,3.9733,4.0667,3.967,4.0,54213,ACMR
2018-04-10,4.0,4.2367,4.0,4.17,120786,ACMR
2018-04-11,4.2067,4.2467,4.0667,4.2467,128928,ACMR
2018-04-12,4.2467,4.6667,4.2467,4.6333,202884,ACMR
2018-04-13,4.6633,4.7933,4.4333,4.53,107916,ACMR
2018-04-16,4.61,4.7267,4.1467,4.2333,148221,ACMR
2018-04-17,4.2733,4.2833,4.0533,4.1033,105600,ACMR
2018-04-18,4.0867,4.16,4.0033,4.0133,105372,ACMR
2018-04-19,4.0633,4.1,3.89,3.9967,179847,ACMR
2018-04-20,3.95,4.07,3.9233,3.9467,69606,ACMR
2018-04-23,3.9589,3.9589,3.7767,3.8,101061,ACMR
2018-04-24,3.7633,3.7833,3.4107,3.5033,207084,ACMR
2018-04-25,3.5067,3.59,3.4667,3.5367,74748,ACMR
2018-04-26,3.5667,3.6267,3.4233,3.4233,43656,ACMR
2018-04-27,3.4367,3.4367,3.3367,3.3633,109278,ACMR
2018-04-30,3.3633,3.44,3.3633,3.3667,28110,ACMR
2018-05-01,3.3667,3.4567,3.3667,3.3733,22821,ACMR
2018-05-02,3.365,3.47,3.35,3.3867,19914,ACMR
2018-05-03,3.4133,3.47,3.3933,3.4333,72213,ACMR
2018-05-04,3.4967,3.6133,3.4333,3.6033,73596,ACMR
2018-05-07,3.6233,4.2633,3.6233,4.17,108984,ACMR
2018-05-08,4.0267,4.0267,3.5267,3.8467,235170,ACMR
2018-05-09,3.7933,3.9767,3.7933,3.9167,80748,ACMR
2018-05-10,3.99,4.0367,3.8833,4.0133,268332,ACMR
2018-05-11,4.0267,4.0533,3.8533,4.03,127383,ACMR
2018-05-14,4.0233,4.0233,3.8385,3.9633,60021,ACMR
2018-05-15,3.9267,4.0233,3.8867,3.9633,88821,ACMR
2018-05-16,3.94,4.0,3.8767,3.9167,48153,ACMR
2018-05-17,3.9467,3.9467,3.7867,3.8,110958,ACMR
2018-05-18,3.7867,3.7978,3.7133,3.77,68940,ACMR
2018-05-21,3.8,3.825,3.7267,3.7433,36915,ACMR
2018-05-22,3.7367,3.83,3.7134,3.75,192066,ACMR
2018-05-23,3.73,3.7333,3.6667,3.6733,38193,ACMR
2018-05-24,3.69,3.9933,3.6667,3.9067,203496,ACMR
2018-05-25,3.8667,3.8667,3.7333,3.7433,75858,ACMR
2018-05-29,3.7533,3.88,3.7433,3.8467,174480,ACMR
2018-05-30,3.8606,4.2667,3.8606,4.1767,509382,ACMR
2018-05-31,4.0933,4.3367,4.0933,4.2367,338304,ACMR
2018-06-01,4.2333,4.9933,4.1794,4.6867,904956,ACMR
2018-06-04,4.7,4.7433,4.26,4.4933,311748,ACMR
2018-06-05,4.4667,4.53,4.17,4.1967,159744,ACMR
2018-06-06,4.2267,4.2421,4.1533,4.21,71244,ACMR
2018-06-07,4.2033,4.2033,4.0267,4.0733,93678,ACMR
2018-06-08,4.0933,4.1388,4.0,4.0233,130566,ACMR
2018-06-11,4.0,4.2567,3.9667,4.2533,275451,ACMR
2018-06-12,4.2867,4.5367,4.2867,4.48,273393,ACMR
2018-06-13,4.4933,4.6667,4.3933,4.4533,297810,ACMR
2018-06-14,4.4967,4.6,4.42,4.47,280767,ACMR
2018-06-15,4.4533,4.6633,4.3833,4.66,485040,ACMR
2018-06-18,4.6633,4.9333,4.4734,4.5267,504060,ACMR
2018-06-19,4.4633,4.6133,4.21,4.2367,436524,ACMR
2018-06-20,4.2767,4.42,4.1867,4.32,247440,ACMR
2018-06-21,4.3333,4.3333,3.8467,3.98,475464,ACMR
2018-06-22,3.98,4.24,3.9337,4.18,2747580,ACMR
2018-06-25,4.1433,4.2367,3.9433,3.9867,301989,ACMR
2018-06-26,4.0133,4.0783,3.8933,3.9767,345390,ACMR
2018-06-27,3.9967,4.0155,3.67,3.6833,323670,ACMR
2018-06-28,3.6767,3.7733,3.6067,3.63,164574,ACMR
2018-06-29,3.6667,3.6967,3.4917,3.5933,215271,ACMR
2018-07-02,3.5933,3.6033,3.2767,3.34,298383,ACMR
2018-07-03,3.3567,3.67,3.3114,3.6633,130344,ACMR
2018-07-05,3.66,3.74,3.5,3.54,301140,ACMR
2018-07-06,3.5533,3.6933,3.5533,3.6167,133134,ACMR
2018-07-09,3.61,3.79,3.5537,3.7533,107232,ACMR
2018-07-10,3.7733,3.8333,3.71,3.7933,91428,ACMR
2018-07-11,3.7533,3.83,3.6,3.63,221640,ACMR
2018-07-12,3.66,4.1633,3.6333,4.1467,572742,ACMR
2018-07-13,4.1667,4.3033,4.0867,4.21,335397,ACMR
2018-07-16,4.23,4.3833,4.03,4.1133,390522,ACMR
2018-07-17,4.11,4.2532,4.0833,4.14,140811,ACMR
2018-07-18,4.14,4.2633,4.0733,4.12,88512,ACMR
2018-07-19,4.1267,4.16,4.0278,4.15,58287,ACMR
2018-07-20,4.1367,4.2833,4.0985,4.2267,101202,ACMR
2018-07-23,4.27,4.64,4.16,4.4767,481194,ACMR
2018-07-24,4.54,4.6,4.4067,4.54,150000,ACMR
2018-07-25,4.5333,4.553,4.35,4.49,79344,ACMR
2018-07-26,4.5,4.5933,4.4676,4.5533,118800,ACMR
2018-07-27,4.5667,4.5667,4.3533,4.4133,167061,ACMR
2018-07-30,4.4333,4.4667,4.2333,4.26,105426,ACMR
2018-07-31,4.3067,4.5,4.2933,4.32,153438,ACMR
2018-08-01,4.35,4.6167,4.2667,4.6167,236115,ACMR
2018-08-02,4.6467,4.8,4.5167,4.7633,328050,ACMR
