Date,Open,High,Low,Close,Volume,ticker
2022-04-25,0.77,0.77,0.601,0.601,21617,ACONW
2022-04-26,0.411,0.5001,0.401,0.401,3701,ACONW
2022-04-27,0.4001,0.75,0.391,0.6,169074,ACONW
2022-04-29,0.43,0.52,0.4,0.5,16915,ACONW
2022-05-02,0.59,0.59,0.59,0.59,299,ACONW
2022-05-03,0.59,0.643166,0.55,0.6,17202,ACONW
2022-05-04,0.7,0.75,0.6499,0.7289,66056,ACONW
2022-05-05,0.69,0.69,0.6198,0.69,8372,ACONW
2022-05-06,1.0,1.0,0.56,0.6,8015,ACONW
2022-05-09,0.6,0.6,0.564,0.564,717,ACONW
2022-05-11,0.5,0.6,0.4999,0.5,5615,ACONW
2022-05-12,0.45,0.5,0.45,0.5,3372,ACONW
2022-05-13,0.01,0.84,0.01,0.3725,24033,ACONW
2022-05-16,0.3697,0.3697,0.3697,0.3697,216,ACONW
2022-05-17,0.21,0.41,0.045,0.3355,12357,ACONW
2022-05-20,0.214,0.4123,0.214,0.2916,7020,ACONW
2022-05-23,0.3501,0.7,0.3501,0.496,7200,ACONW
2022-05-24,0.283,0.48,0.283,0.3562,4409,ACONW
2022-05-26,0.3286,0.5,0.3286,0.3911,20338,ACONW
2022-06-02,0.4198,0.4198,0.211,0.4189,2498,ACONW
2022-06-08,0.4498,0.4498,0.4498,0.4498,420,ACONW
2022-06-14,0.375,0.42,0.375,0.42,843,ACONW
2022-06-16,0.25,0.41,0.25,0.41,802,ACONW
2022-06-17,0.39,0.39,0.339999,0.368,3900,ACONW
2022-06-23,0.13,0.1405,0.13,0.1405,1719,ACONW
2022-06-24,0.2,0.22,0.2,0.22,1230,ACONW
2022-06-27,0.2897,0.39,0.22,0.2679,946,ACONW
2022-06-29,0.36,0.36,0.36,0.36,247,ACONW
2022-07-05,0.34,0.34,0.34,0.34,116,ACONW
2022-07-15,0.2045,0.2045,0.1703,0.1703,3800,ACONW
2022-07-18,0.19,0.2,0.19,0.2,730,ACONW
2022-07-20,0.19,0.19,0.13,0.1301,2386,ACONW
2022-07-27,0.152,0.152,0.15,0.15,616,ACONW
2022-07-28,0.15,0.17,0.15,0.17,1241,ACONW
2022-07-29,0.157999,0.17,0.157999,0.17,1900,ACONW
2022-08-02,0.2,0.25,0.2,0.25,10072,ACONW
2022-08-03,0.25,0.26,0.25,0.26,11530,ACONW
2022-08-04,0.25,0.25,0.25,0.25,500,ACONW
2022-08-05,0.2,0.2,0.2,0.2,4500,ACONW
2022-08-08,0.229201,0.229201,0.229201,0.229201,173,ACONW
2022-08-09,0.2989,0.2989,0.25,0.25,413,ACONW
2022-08-10,0.4561,0.4561,0.25,0.25,645,ACONW
2022-08-11,0.25,0.25,0.25,0.25,601,ACONW
2022-08-12,0.25,0.25,0.25,0.25,200,ACONW
2022-08-15,0.6385,0.6385,0.25,0.25,1529,ACONW
2022-08-16,0.7297,0.7297,0.1601,0.24,6461,ACONW
2022-08-17,0.4287,0.4287,0.25,0.25,1718,ACONW
2022-08-18,0.2499,0.34,0.2499,0.27,7663,ACONW
2022-08-19,0.28,0.3417,0.28,0.3417,968,ACONW
2022-08-22,0.3,0.3417,0.28,0.34,11378,ACONW
2022-08-23,0.5,0.5,0.3,0.3486,3964,ACONW
2022-08-26,0.33,0.44,0.28,0.4,2295,ACONW
2022-09-01,0.28,0.388,0.28,0.388,3414,ACONW
2022-09-06,0.375,0.3772,0.375,0.3772,335,ACONW
2022-09-07,0.3762,0.3762,0.3762,0.3762,1001,ACONW
2022-09-08,0.3002,0.305701,0.3,0.3,4408,ACONW
2022-09-09,0.28,0.28,0.28,0.28,1059,ACONW
2022-09-12,0.28,0.2801,0.28,0.2801,312,ACONW
2022-09-13,0.3597,0.3597,0.3597,0.3597,224,ACONW
2022-09-14,0.2802,0.2802,0.2802,0.2802,120,ACONW
2022-09-15,0.3597,0.3597,0.17,0.1702,1729,ACONW
2022-09-19,0.1716,0.1716,0.1705,0.1705,2878,ACONW
2022-09-22,0.1707,0.1707,0.16,0.17,660,ACONW
2022-09-23,0.15,0.15,0.15,0.15,779,ACONW
2022-09-26,0.1216,0.2,0.1216,0.2,456,ACONW
2022-09-29,0.2007,0.3793,0.2007,0.3793,1328,ACONW
2022-10-05,0.3748,0.3748,0.3748,0.3748,100,ACONW
2022-10-06,0.3585,0.3585,0.1953,0.243,433,ACONW
2022-10-07,0.208,0.31,0.208,0.2995,1099,ACONW
2022-10-10,0.1866,0.44,0.1866,0.282,1600,ACONW
2022-10-11,0.37,0.37,0.37,0.37,272,ACONW
2022-10-17,0.19,0.297,0.16,0.28,4250,ACONW
2022-10-18,0.2288,0.2688,0.16,0.16,20605,ACONW
2022-10-19,0.1877,0.1877,0.1877,0.1877,103,ACONW
2022-10-20,0.188,0.1962,0.1697,0.1697,890,ACONW
2022-10-26,0.16,0.16,0.16,0.16,20148,ACONW
2022-10-27,0.2526,0.2526,0.1605,0.1605,3880,ACONW
2022-10-28,0.2203,0.2203,0.169,0.169,1140,ACONW
2022-10-31,0.17,0.17,0.17,0.17,128,ACONW
2022-11-01,0.2809,0.2809,0.17,0.17,2640,ACONW
2022-11-02,0.2147,0.2147,0.2018,0.2018,304,ACONW
2022-11-03,0.169,0.17,0.1501,0.1501,2805,ACONW
2022-11-04,0.1522,0.1522,0.1522,0.1522,395,ACONW
2022-11-08,0.1569,0.1569,0.1569,0.1569,304,ACONW
2022-11-09,0.169,0.169,0.169,0.169,113,ACONW
2022-11-10,0.1716,0.1716,0.1716,0.1716,411,ACONW
2022-11-14,0.4196,0.4196,0.2703,0.2703,612,ACONW
2022-11-18,0.1716,0.1716,0.1716,0.1716,509,ACONW
2022-11-22,0.24,0.24,0.18,0.1905,5738,ACONW
2022-11-23,0.2005,0.5,0.2005,0.3,35423,ACONW
2022-11-25,0.2226,0.44,0.2133,0.4229,12850,ACONW
2022-11-28,0.2401,0.4026,0.2201,0.292,5440,ACONW
2022-11-29,0.2456,0.7545,0.2456,0.2512,43614,ACONW
2022-11-30,0.55,0.55,0.2983,0.2983,7099,ACONW
2022-12-01,0.21,0.4666,0.21,0.3325,24458,ACONW
2022-12-02,0.3817,0.57,0.3005,0.3442,21755,ACONW
2022-12-05,0.3206,0.3812,0.3106,0.32,12873,ACONW
2022-12-06,0.41,0.5872,0.2631,0.3189,35397,ACONW
2022-12-07,0.319,0.32,0.3185,0.319899,1600,ACONW
2022-12-08,0.4298,0.4298,0.23,0.23,11068,ACONW
2022-12-09,0.24,0.2496,0.2255,0.2279,8992,ACONW
2022-12-12,0.2015,0.225,0.201,0.225,400,ACONW
2022-12-13,0.2646,0.2646,0.15,0.2079,3016,ACONW
2022-12-20,0.16,0.1999,0.1509,0.1999,1492,ACONW
2022-12-23,0.15,0.22,0.1201,0.19,6906,ACONW
2022-12-27,0.2098,0.2299,0.149899,0.15,1762,ACONW
2022-12-29,0.12,0.16,0.11,0.1528,9504,ACONW
2022-12-30,0.095,0.155,0.077,0.155,2819,ACONW
2023-01-10,0.100101,0.16,0.100101,0.16,328,ACONW
2023-01-11,0.159,0.1801,0.159,0.1801,1654,ACONW
2023-01-12,0.18,0.18,0.155,0.155,700,ACONW
2023-01-20,0.185,0.185,0.185,0.185,111,ACONW
2023-01-25,0.065,0.18,0.065,0.18,450,ACONW
2023-01-26,0.175,0.175,0.1501,0.1501,1050,ACONW
2023-01-27,0.1501,0.17,0.1157,0.17,2094,ACONW
2023-01-30,0.15,0.15,0.1133,0.1147,1421,ACONW
2023-01-31,0.1156,0.1532,0.115,0.115,2152,ACONW
2023-02-01,0.1528,0.1528,0.1528,0.1528,100,ACONW
2023-02-02,0.1679,0.2,0.1415,0.1528,5343,ACONW
2023-02-03,0.15,0.31,0.15,0.166,7170,ACONW
2023-02-06,0.1824,0.2109,0.18,0.18,1473,ACONW
2023-02-07,0.187,0.187,0.18,0.18,600,ACONW
2023-02-08,0.22,0.225,0.1881,0.215,600,ACONW
2023-02-10,0.1132,0.1259,0.1132,0.1259,3978,ACONW
2023-02-13,0.187,0.187,0.1683,0.1683,300,ACONW
2023-02-21,0.165,0.1752,0.165,0.1752,612,ACONW
2023-02-22,0.1104,0.1106,0.1104,0.1106,301,ACONW
2023-02-23,0.116,0.116,0.0583,0.0783,17033,ACONW
2023-02-27,0.08,0.098,0.08,0.098,200,ACONW
2023-02-28,0.11,0.11,0.11,0.11,103,ACONW
2023-03-03,0.0852,0.1335,0.084,0.084,12089,ACONW
2023-03-06,0.084,0.0841,0.0754,0.0756,2156,ACONW
2023-03-07,0.0824,0.2177,0.0761,0.1189,47651,ACONW
2023-03-08,0.0954,0.0954,0.078,0.078,614,ACONW
2023-03-09,0.0754,0.088,0.0754,0.088,3541,ACONW
2023-03-13,0.11,0.11,0.11,0.11,545,ACONW
2023-03-14,0.11,0.11,0.11,0.11,498,ACONW
2023-03-15,0.11,0.11,0.0754,0.0754,447,ACONW
2023-03-17,0.0776,0.0848,0.0776,0.0822,1656,ACONW
2023-03-24,0.0754,0.0754,0.0754,0.0754,309,ACONW
