Date,Open,High,Low,Close,Volume,ticker
2021-06-02,25.01,25.01,24.97,24.99,43795,ACR_D
2021-06-03,24.98,24.98,24.9,24.926,9734,ACR_D
2021-06-04,24.9899,24.9899,24.92,24.98,26870,ACR_D
2021-06-07,24.97,24.97,24.85,24.87,29499,ACR_D
2021-06-08,24.93,24.93,24.83,24.89,17820,ACR_D
2021-06-09,24.95,24.95,24.88,24.92,19542,ACR_D
2021-06-10,24.95,25.3173,24.9,25.05,32754,ACR_D
2021-06-11,25.3,25.3,25.025,25.03,26313,ACR_D
2021-06-14,25.14,25.14,24.93,25.04,10363,ACR_D
2021-06-15,25.06,25.06,24.8,24.94,16345,ACR_D
2021-06-16,24.94,25.03,24.9,24.95,17899,ACR_D
2021-06-17,24.95,25.09,24.95,25.0001,8680,ACR_D
2021-06-18,25.09,25.675,25.038,25.06,40227,ACR_D
2021-06-21,25.38,25.39,25.36,25.3605,4255,ACR_D
2021-06-22,25.4,25.4,25.28,25.28,4990,ACR_D
2021-06-23,25.35,25.35,25.178,25.34,8277,ACR_D
2021-06-24,25.34,25.4,25.3121,25.32,50935,ACR_D
2021-06-25,25.38,25.4,25.34,25.4,800,ACR_D
2021-06-28,25.46,25.49,25.15,25.22,69339,ACR_D
2021-06-29,25.09,25.12,24.93,25.12,223628,ACR_D
2021-06-30,24.85,25.0,24.77,25.0,98099,ACR_D
2021-07-01,25.0,25.17,24.97,25.16,63438,ACR_D
2021-07-02,25.2,25.2,25.05,25.07,26279,ACR_D
2021-07-06,25.12,25.12,24.9615,25.02,40455,ACR_D
2021-07-07,25.02,25.07,24.9,25.05,31528,ACR_D
2021-07-08,24.89,25.03,24.89,25.02,19259,ACR_D
2021-07-09,25.02,25.1,25.01,25.09,37634,ACR_D
2021-07-12,25.09,25.34,25.0504,25.27,71568,ACR_D
2021-07-13,25.3,25.34,25.1,25.18,17533,ACR_D
2021-07-14,25.1229,25.4,25.1229,25.25,139809,ACR_D
2021-07-15,25.1948,25.3,25.17,25.27,2414,ACR_D
2021-07-16,25.34,25.34,25.15,25.3,24681,ACR_D
2021-07-19,25.14,25.27,25.14,25.23,24360,ACR_D
2021-07-20,25.38,25.38,25.25,25.35,124504,ACR_D
2021-07-21,25.3,25.34,25.25,25.25,85252,ACR_D
2021-07-22,25.25,25.32,25.2,25.28,7449,ACR_D
2021-07-23,25.24,25.32,25.24,25.27,5625,ACR_D
2021-07-26,25.2868,25.2868,25.185,25.2,8026,ACR_D
2021-07-27,25.2,25.2,25.1,25.15,17968,ACR_D
2021-07-28,25.29,25.29,25.2,25.23,12885,ACR_D
2021-07-29,25.19,25.245,25.15,25.23,105207,ACR_D
2021-07-30,25.25,25.29,25.12,25.13,460069,ACR_D
2021-08-02,25.22,25.22,25.18,25.19,25018,ACR_D
2021-08-03,25.2,25.2,25.11,25.11,58452,ACR_D
2021-08-04,25.13,25.2699,24.82,25.04,58384,ACR_D
2021-08-05,25.08,25.24,25.06,25.18,15551,ACR_D
2021-08-06,25.19,25.19,25.115,25.16,11678,ACR_D
2021-08-09,25.18,25.18,25.12,25.15,8707,ACR_D
2021-08-10,25.11,25.1795,24.81,25.07,17386,ACR_D
2021-08-11,25.0,25.08,25.0,25.08,3145,ACR_D
2021-08-12,25.09,25.5,25.06,25.265,31813,ACR_D
2021-08-13,25.34,25.34,25.27,25.3005,13637,ACR_D
2021-08-16,25.3001,25.32,25.235,25.32,6885,ACR_D
2021-08-17,25.35,25.35,25.1011,25.1817,5319,ACR_D
2021-08-18,25.1599,25.26,25.14,25.26,1167,ACR_D
2021-08-19,25.32,25.32,25.26,25.26,3339,ACR_D
2021-08-20,25.298,25.298,25.19,25.28,4004,ACR_D
2021-08-23,25.2199,25.28,25.2194,25.2799,3527,ACR_D
2021-08-24,25.235,25.29,25.1901,25.25,2723,ACR_D
2021-08-25,25.3,25.3,25.24,25.24,2004,ACR_D
2021-08-26,25.2531,25.29,24.97,25.17,25026,ACR_D
2021-08-27,25.22,25.3,25.2197,25.3,7140,ACR_D
2021-08-30,25.23,25.38,25.1901,25.25,19104,ACR_D
2021-08-31,25.3292,25.34,25.21,25.25,6488,ACR_D
2021-09-01,25.3694,25.3694,25.15,25.29,7244,ACR_D
2021-09-02,25.26,25.5296,25.26,25.49,7317,ACR_D
2021-09-03,25.45,25.54,25.42,25.42,4705,ACR_D
2021-09-07,25.54,25.54,25.35,25.35,8050,ACR_D
2021-09-08,25.405,25.57,25.405,25.55,6864,ACR_D
2021-09-09,25.55,25.7382,25.5351,25.713,8418,ACR_D
2021-09-10,25.7,25.7135,25.6565,25.71,1851,ACR_D
2021-09-13,25.6,25.78,25.6,25.78,7493,ACR_D
2021-09-14,25.79,25.8,25.64,25.64,1149,ACR_D
2021-09-15,25.64,25.64,25.45,25.6346,52453,ACR_D
2021-09-16,25.515,25.6,25.49,25.6,3284,ACR_D
2021-09-17,25.57,25.68,25.53,25.53,1192,ACR_D
2021-09-20,25.53,25.53,25.34,25.34,2548,ACR_D
2021-09-21,25.43,25.53,25.37,25.4654,6630,ACR_D
2021-09-22,25.48,25.5,25.46,25.5,7019,ACR_D
2021-09-23,25.505,25.52,25.49,25.51,3795,ACR_D
2021-09-24,25.5999,25.5999,25.5999,25.5999,800,ACR_D
2021-09-27,25.52,25.52,25.4,25.45,6150,ACR_D
2021-09-28,25.5001,25.8924,25.46,25.8534,45629,ACR_D
2021-09-29,25.84,25.97,25.75,25.93,2572,ACR_D
2021-09-30,25.54,25.63,25.4,25.63,3065,ACR_D
2021-10-01,25.5111,25.5111,25.5111,25.5111,262,ACR_D
2021-10-04,25.5,25.5,25.2384,25.24,3765,ACR_D
2021-10-05,25.5599,25.5599,25.18,25.19,11959,ACR_D
2021-10-06,25.17,25.3929,25.06,25.35,4292,ACR_D
