Date,Open,High,Low,Close,Volume,ticker
2021-03-24,32.0,34.5,29.0,31.25,11332729,ACVA
2021-03-25,30.237,34.9913,26.49,30.0,3092769,ACVA
2021-03-26,30.11,31.9999,29.0,30.27,1067886,ACVA
2021-03-29,30.0,33.7314,29.795,32.36,1517464,ACVA
2021-03-30,33.0,35.78,32.4001,33.48,1988807,ACVA
2021-03-31,33.19,35.0,33.01,34.61,443453,ACVA
2021-04-01,34.34,35.39,32.5,33.9,549063,ACVA
2021-04-05,34.35,34.5,30.88,32.05,972015,ACVA
2021-04-06,32.06,33.4,32.0,32.19,251960,ACVA
2021-04-07,32.39,32.8444,30.36,30.67,367399,ACVA
2021-04-08,30.72,31.74,30.44,31.74,265228,ACVA
2021-04-09,31.55,31.6941,30.9205,31.4,203085,ACVA
2021-04-12,31.47,32.84,30.89,31.94,307608,ACVA
2021-04-13,31.89,34.38,31.89,33.8,308655,ACVA
2021-04-14,33.87,35.6047,33.0101,35.15,293849,ACVA
2021-04-15,34.6918,37.7699,34.205,36.83,459167,ACVA
2021-04-16,36.19,37.18,35.03,37.04,264816,ACVA
2021-04-19,36.04,36.56,33.465,34.81,870834,ACVA
2021-04-20,35.11,36.145,31.84,33.41,527604,ACVA
2021-04-21,33.01,34.275,31.92,34.06,236484,ACVA
2021-04-22,34.25,34.96,32.19,33.27,304199,ACVA
2021-04-23,33.13,35.08,33.0356,34.92,152599,ACVA
2021-04-26,35.01,35.34,33.25,33.46,192938,ACVA
2021-04-27,33.96,35.7285,33.71,33.91,231660,ACVA
2021-04-28,34.14,35.7,33.71,34.53,228976,ACVA
2021-04-29,34.73,35.0,33.58,34.75,217471,ACVA
2021-04-30,34.1,34.685,33.33,33.99,445044,ACVA
2021-05-03,34.36,34.88,33.58,34.19,209143,ACVA
2021-05-04,34.27,34.34,32.58,33.08,276435,ACVA
2021-05-05,33.1,33.86,32.7503,33.45,121729,ACVA
2021-05-06,33.16,33.4,32.3142,33.0,275869,ACVA
2021-05-07,32.91,33.37,32.47,33.08,371069,ACVA
2021-05-10,33.05,34.99,32.7,33.75,907303,ACVA
2021-05-11,33.27,34.82,33.05,33.51,1143277,ACVA
2021-05-12,33.39,33.53,29.0,30.1,1729563,ACVA
2021-05-13,30.69,31.97,28.76,29.06,1147059,ACVA
2021-05-14,28.03,29.49,25.62,28.45,1451095,ACVA
2021-05-17,28.69,30.095,27.9302,28.08,768755,ACVA
2021-05-18,27.8,28.31,26.32,27.0,1874728,ACVA
2021-05-19,26.5,28.655,25.44,28.24,1344857,ACVA
2021-05-20,27.96,28.48,26.64,27.13,997637,ACVA
2021-05-21,27.21,27.53,26.02,26.24,556922,ACVA
2021-05-24,26.0,26.77,25.51,25.57,1733109,ACVA
2021-05-25,25.57,26.38,24.12,25.9,1918622,ACVA
2021-05-26,25.79,26.55,25.05,26.01,773772,ACVA
2021-05-27,25.94,26.38,25.23,26.02,297154,ACVA
2021-05-28,26.13,26.9999,25.51,25.92,385404,ACVA
2021-06-01,26.07,26.175,25.5,25.99,338972,ACVA
2021-06-02,25.88,25.93,25.5,25.56,381801,ACVA
2021-06-03,25.46,25.9,24.3,25.51,691473,ACVA
2021-06-04,25.7,26.86,25.51,26.2,475100,ACVA
2021-06-07,25.75,26.1268,25.06,25.69,504678,ACVA
2021-06-08,25.68,25.68,23.72,23.9,1166523,ACVA
2021-06-09,23.9,24.4799,22.66,22.83,695681,ACVA
2021-06-10,23.03,24.115,22.77,24.1,425840,ACVA
2021-06-11,24.11,24.5,23.64,24.29,1289311,ACVA
2021-06-14,24.25,25.0,24.25,24.5,1156559,ACVA
2021-06-15,24.37,24.47,23.09,23.84,752477,ACVA
2021-06-16,23.76,24.49,23.22,24.42,879915,ACVA
