Date,Open,High,Low,Close,Volume,ticker
2014-11-11,12.38,13.0,11.5,12.45,4875,ADMA
2014-11-12,12.55,12.55,12.2,12.25,4600,ADMA
2014-11-13,12.26,12.26,12.2,12.2,1100,ADMA
2014-11-14,12.2,12.45,12.2,12.45,700,ADMA
2014-11-17,12.25,12.25,11.75,11.8,2500,ADMA
2014-11-18,11.91,12.25,11.8,12.05,4109,ADMA
2014-11-19,12.19,12.2,12.11,12.12,954,ADMA
2014-11-20,11.76,12.1,11.57,12.083,3761,ADMA
2014-11-21,11.75,12.0,11.0,11.76,8550,ADMA
2014-11-24,11.8,12.0,11.56,11.97,2834,ADMA
2014-11-25,11.65,12.75,11.62,12.49,7019,ADMA
2014-11-26,12.397,12.397,12.397,12.397,2062,ADMA
2014-11-28,12.37,12.37,12.37,12.37,2028,ADMA
2014-12-01,12.39,12.4,11.75,11.919,5140,ADMA
2014-12-03,13.25,14.0,9.55,10.61,83163,ADMA
2014-12-04,10.6,11.5,10.6,10.8,36250,ADMA
2014-12-05,10.8,10.8,10.1,10.4,9389,ADMA
2014-12-08,10.75,11.39,10.65,10.75,22708,ADMA
2014-12-09,10.8,11.15,10.52,10.62,13359,ADMA
2014-12-10,10.9,11.15,10.9,10.99,12975,ADMA
2014-12-11,11.05,11.49,11.0,11.0,13194,ADMA
2014-12-12,11.15,11.5,10.9,11.0,18270,ADMA
2014-12-15,11.0,11.045,10.9,10.99,41986,ADMA
2014-12-16,10.0,10.93,10.0,10.9,13589,ADMA
2014-12-17,10.58,11.09,10.57,11.07,1755,ADMA
2014-12-18,11.09,11.1,10.75,10.85,4361,ADMA
2014-12-19,10.85,11.52,10.55,10.55,26523,ADMA
2014-12-22,10.91,11.485,10.91,11.29,18894,ADMA
2014-12-23,11.51,11.51,10.94,11.1,10756,ADMA
2014-12-24,11.13,11.4,10.98,10.98,800,ADMA
2014-12-26,12.0,12.0,10.98,11.1,24031,ADMA
2014-12-29,11.64,11.64,10.91,11.0,7429,ADMA
2014-12-30,10.91,11.12,10.91,11.0,13305,ADMA
2014-12-31,11.13,11.25,10.98,11.17,16000,ADMA
2015-01-02,11.25,11.5,11.2,11.45,3341,ADMA
2015-01-05,11.5,11.519,11.11,11.11,1640,ADMA
2015-01-06,11.04,11.5,11.04,11.22,2845,ADMA
2015-01-07,11.06,11.95,10.91,11.02,5587,ADMA
2015-01-08,10.91,11.5,10.91,11.02,3075,ADMA
2015-01-09,11.95,11.95,10.94,11.0,9702,ADMA
2015-01-12,10.97,10.97,10.57,10.57,5312,ADMA
2015-01-13,10.75,10.9,10.631,10.75,38898,ADMA
2015-01-14,10.81,10.85,10.56,10.56,47584,ADMA
2015-01-15,10.76,10.99,10.65,10.73,39185,ADMA
2015-01-16,10.85,10.99,10.7,10.85,24426,ADMA
2015-01-20,11.0,11.32,10.92,10.99,26200,ADMA
2015-01-21,11.125,11.369,10.97,11.0,22200,ADMA
2015-01-22,10.9,11.31,10.9,10.99,3396,ADMA
2015-01-23,11.0,11.04,10.99,11.03,2450,ADMA
2015-01-26,11.03,11.37,10.66,11.1,7059,ADMA
2015-01-27,11.0,11.24,10.75,11.0,3560,ADMA
2015-01-28,10.75,11.25,10.38,10.82,28690,ADMA
2015-01-29,10.85,10.99,10.76,10.8,13568,ADMA
2015-01-30,10.75,10.86,10.75,10.8,17969,ADMA
2015-02-02,11.09,11.09,10.8,10.85,700,ADMA
2015-02-03,11.04,11.04,10.85,10.99,2127,ADMA
2015-02-05,10.99,10.99,10.935,10.98,300,ADMA
2015-02-06,10.85,10.87,10.46,10.56,15769,ADMA
2015-02-09,10.87,10.92,10.56,10.56,4201,ADMA
2015-02-10,10.25,10.7,10.25,10.5,9126,ADMA
2015-02-11,11.0,11.04,10.55,10.7,13689,ADMA
2015-02-12,10.7,11.04,10.55,10.57,4057,ADMA
2015-02-13,10.58,10.58,10.35,10.43,8560,ADMA
2015-02-17,10.6,10.699,10.18,10.63,3771,ADMA
2015-02-18,10.61,10.64,10.07,10.52,7584,ADMA
2015-02-19,10.23,10.49,10.12,10.39,2926,ADMA
2015-02-20,10.11,10.58,10.11,10.48,4943,ADMA
2015-02-23,11.0,11.28,10.38,10.4,84872,ADMA
2015-02-24,10.4,10.6,10.0,10.05,21175,ADMA
2015-02-25,10.05,10.15,9.85,10.05,11025,ADMA
2015-02-26,10.0,10.46,9.38,9.58,36855,ADMA
2015-02-27,9.77,9.8,9.45,9.54,8834,ADMA
2015-03-02,9.85,9.98,9.44,9.5,6500,ADMA
2015-03-03,9.45,9.6,9.26,9.35,17700,ADMA
2015-03-04,9.65,9.65,9.3,9.37,7600,ADMA
2015-03-05,9.38,9.77,9.35,9.6,13200,ADMA
2015-03-06,9.3,9.56,9.07,9.21,17400,ADMA
2015-03-09,9.21,9.3,9.03,9.18,8000,ADMA
2015-03-10,8.86,9.43,8.86,9.36,9500,ADMA
2015-03-11,9.16,9.18,8.57,8.6,43900,ADMA
2015-03-12,8.51,8.6,8.0,8.22,26000,ADMA
2015-03-13,8.34,8.34,7.57,7.75,217000,ADMA
2015-03-16,8.5,8.5,7.76,7.99,53000,ADMA
2015-03-17,7.99,8.1,7.85,7.9,65300,ADMA
2015-03-18,7.81,8.19,7.8,8.19,41100,ADMA
2015-03-19,8.45,9.42,8.32,8.92,90200,ADMA
2015-03-20,9.09,9.77,9.07,9.07,60500,ADMA
2015-03-23,9.23,9.75,9.11,9.46,40300,ADMA
2015-03-24,9.69,9.99,9.54,9.85,25500,ADMA
2015-03-25,10.0,10.0,9.16,9.16,42100,ADMA
2015-03-26,9.25,9.43,9.21,9.23,5300,ADMA
2015-03-27,9.19,9.25,9.15,9.15,5000,ADMA
2015-03-30,9.23,9.33,9.13,9.17,7500,ADMA
2015-03-31,9.9,9.9,9.06,9.8,12000,ADMA
2015-04-01,9.58,9.66,9.03,9.33,21900,ADMA
2015-04-02,9.25,9.53,8.8,9.26,39500,ADMA
2015-04-06,9.44,9.44,8.59,9.26,8000,ADMA
2015-04-07,9.25,9.49,9.05,9.33,4592,ADMA
2015-04-08,9.0,9.4,9.0,9.18,2500,ADMA
2015-04-09,9.53,9.53,8.6401,9.3895,3794,ADMA
2015-04-10,9.49,9.49,9.03,9.13,21200,ADMA
2015-04-13,9.29,9.3,8.99,9.03,14200,ADMA
2015-04-14,9.22,9.22,9.0,9.01,2000,ADMA
2015-04-15,9.31,9.37,8.9299,8.94,21329,ADMA
2015-04-16,9.0,9.13,8.94,9.13,1829,ADMA
2015-04-17,9.19,9.19,9.02,9.15,1500,ADMA
2015-04-20,9.0,9.17,8.96,9.03,7363,ADMA
2015-04-21,9.2,9.2,9.01,9.01,6840,ADMA
2015-04-22,9.0595,9.1,8.8901,8.9775,4194,ADMA
2015-04-23,8.82,9.0,8.73,9.0,10500,ADMA
2015-04-24,9.0,9.0,8.73,9.0,9000,ADMA
2015-04-27,9.0,9.0,8.33,8.63,13400,ADMA
2015-04-28,8.82,8.82,8.32,8.51,13900,ADMA
2015-04-29,8.51,8.62,8.03,8.36,25600,ADMA
2015-04-30,8.89,8.89,8.0,8.41,6900,ADMA
2015-05-01,8.49,8.49,7.72,8.31,21500,ADMA
2015-05-04,8.14,8.37,7.88,8.21,25600,ADMA
2015-05-05,8.0,8.0,7.61,8.0,19200,ADMA
2015-05-06,7.6,8.057,7.6,7.87,9082,ADMA
2015-05-07,7.82,7.91,7.77,7.81,2502,ADMA
2015-05-08,7.6,8.07,7.51,7.91,3100,ADMA
2015-05-11,7.97,8.09,7.51,7.79,22500,ADMA
2015-05-12,7.89,7.89,7.6,7.76,9786,ADMA
2015-05-13,7.93,8.66,7.91,8.24,19000,ADMA
2015-05-14,8.22,8.75,7.7,8.25,9600,ADMA
2015-05-15,8.25,8.34,8.03,8.06,22547,ADMA
2015-05-18,8.16,8.67,8.16,8.54,5709,ADMA
2015-05-19,8.54,9.19,8.53,9.19,6300,ADMA
2015-05-20,9.0,9.0,8.4,8.65,29000,ADMA
2015-05-21,8.3,8.49,8.28,8.44,8100,ADMA
2015-05-22,8.5,8.5,8.35,8.46,3500,ADMA
2015-05-26,8.48,8.62,8.26,8.62,15715,ADMA
2015-05-27,8.57,8.85,8.56,8.56,5500,ADMA
2015-05-28,8.8709,8.9899,8.65,8.859,26889,ADMA
2015-05-29,8.67,8.86,8.56,8.56,10500,ADMA
2015-06-01,8.5,8.8,8.49,8.61,9500,ADMA
2015-06-02,8.4915,8.7432,8.4915,8.67,1983,ADMA
2015-06-03,8.59,8.76,8.37,8.53,6800,ADMA
2015-06-04,8.26,8.72,8.26,8.37,11900,ADMA
2015-06-05,8.38,8.58,8.38,8.58,3200,ADMA
2015-06-08,8.61,8.65,8.39,8.58,15600,ADMA
2015-06-09,8.54,8.66,8.4,8.57,1387,ADMA
2015-06-10,8.451,8.68,8.451,8.5288,1355,ADMA
2015-06-11,8.67,8.67,8.4301,8.51,4927,ADMA
2015-06-12,8.65,8.65,8.57,8.57,300,ADMA
2015-06-15,8.65,8.65,8.51,8.51,200,ADMA
2015-06-16,8.51,8.59,8.39,8.39,14700,ADMA
2015-06-17,8.46,8.53,8.41,8.44,5400,ADMA
2015-06-18,8.49,8.62,8.46,8.54,3700,ADMA
2015-06-19,8.5,8.6,8.39,8.39,9200,ADMA
2015-06-22,8.47,8.59,8.47,8.54,5600,ADMA
2015-06-23,8.56,8.62,8.41,8.41,10374,ADMA
2015-06-24,8.5,8.97,8.5,8.75,31800,ADMA
2015-06-25,8.89,8.95,8.68,8.95,22300,ADMA
2015-06-26,8.95,8.95,8.74,8.9,10500,ADMA
2015-06-29,8.94,9.58,8.88,9.1,30300,ADMA
2015-06-30,9.3,9.45,9.1,9.26,23934,ADMA
2015-07-01,9.67,9.98,9.43,9.5,38500,ADMA
2015-07-02,9.65,9.81,8.56,9.45,38000,ADMA
2015-07-06,9.24,10.16,9.24,9.5,7800,ADMA
2015-07-07,9.5,9.72,9.5,9.72,11300,ADMA
2015-07-08,9.82,10.28,9.5,9.81,14600,ADMA
2015-07-09,9.81,9.81,9.21,9.35,14800,ADMA
2015-07-10,9.25,9.62,9.25,9.62,7800,ADMA
2015-07-13,9.64,9.9,9.5,9.63,13600,ADMA
2015-07-14,9.63,9.72,9.538,9.71,3953,ADMA
2015-07-15,9.71,9.72,9.56,9.66,4393,ADMA
2015-07-16,9.67,9.77,9.51,9.66,3500,ADMA
2015-07-17,9.56,9.69,9.56,9.66,1700,ADMA
2015-07-20,9.65,9.7,9.25,9.47,10500,ADMA
2015-07-21,9.39,9.5,9.01,9.09,17900,ADMA
2015-07-22,9.05,9.22,8.85,9.22,5900,ADMA
2015-07-23,9.22,9.22,9.01,9.09,3800,ADMA
2015-07-24,9.1,9.41,9.1,9.13,8500,ADMA
2015-07-27,9.18,9.2,8.85,8.95,3900,ADMA
2015-07-28,8.94,8.94,8.94,8.94,400,ADMA
2015-07-29,9.01,9.12,9.01,9.1,1000,ADMA
2015-07-30,9.11,9.13,8.97,8.98,1200,ADMA
2015-07-31,9.2,9.4,9.2,9.32,15400,ADMA
2015-08-03,9.35,9.71,9.35,9.68,23206,ADMA
2015-08-04,9.78,9.78,9.53,9.65,6400,ADMA
2015-08-05,9.46,9.68,9.46,9.49,4600,ADMA
2015-08-06,9.62,9.62,9.292,9.33,6460,ADMA
2015-08-07,9.28,9.4,8.64,9.27,7800,ADMA
2015-08-10,8.87,9.15,8.64,9.05,11800,ADMA
2015-08-11,9.3538,9.3538,9.02,9.1,1990,ADMA
2015-08-12,9.1,9.1,9.01,9.01,6300,ADMA
2015-08-13,9.1,9.35,9.1,9.3,7800,ADMA
2015-08-14,9.25,9.5,9.19,9.31,11900,ADMA
2015-08-17,9.5,9.5,9.45,9.45,15900,ADMA
2015-08-18,9.51,9.68,9.45,9.55,24900,ADMA
2015-08-19,9.59,9.6,9.42,9.44,11800,ADMA
2015-08-20,9.6,9.6,9.27,9.27,3700,ADMA
2015-08-21,9.25,9.26,9.08,9.13,3600,ADMA
2015-08-24,9.15,9.39,9.1,9.1,22283,ADMA
2015-08-25,9.22,9.6,9.1,9.16,24200,ADMA
2015-08-26,9.44,9.44,9.02,9.02,10800,ADMA
2015-08-27,9.55,9.55,9.1,9.25,9900,ADMA
2015-08-28,9.23,9.59,9.23,9.37,16900,ADMA
2015-08-31,9.37,9.6,9.17,9.23,22400,ADMA
2015-09-01,9.26,9.51,9.02,9.02,9500,ADMA
2015-09-02,9.01,9.08,8.82,8.82,16200,ADMA
