Date,Open,High,Low,Close,Volume,ticker
2016-11-02,43.207,44.076,42.82,43.496,4512027,ADNT
2016-11-03,43.496,43.7,42.902,43.254,2413146,ADNT
2016-11-04,42.646,43.274,40.858,42.723,4020466,ADNT
2016-11-07,42.143,43.564,42.065,43.11,6014911,ADNT
2016-11-08,41.67,44.984,38.334,44.725,6923252,ADNT
2016-11-09,43.023,44.261,41.796,42.782,4075977,ADNT
2016-11-10,42.51,44.685,41.68,44.366,2626995,ADNT
2016-11-11,44.124,45.595,43.583,45.023,2187248,ADNT
2016-11-14,45.013,46.103,42.849,44.242,1841189,ADNT
2016-11-15,44.443,46.347,44.242,46.126,1099356,ADNT
2016-11-16,46.212,48.387,45.961,48.331,2681068,ADNT
2016-11-17,48.341,53.288,48.341,51.712,3416456,ADNT
2016-11-18,51.791,52.621,51.132,51.278,1252369,ADNT
2016-11-21,50.601,51.703,50.224,51.201,1081871,ADNT
2016-11-22,50.969,54.777,50.485,54.777,1797490,ADNT
2016-11-23,54.138,54.615,53.656,54.119,1043666,ADNT
2016-11-25,53.985,54.603,53.627,53.995,406156,ADNT
2016-11-28,53.733,53.982,52.457,52.524,966774,ADNT
2016-11-29,52.205,53.105,52.195,52.38,750043,ADNT
2016-11-30,52.38,52.38,51.355,51.771,663323,ADNT
2016-12-01,51.741,53.249,51.374,53.191,1129266,ADNT
2016-12-02,52.844,53.249,51.917,52.428,538616,ADNT
2016-12-05,52.825,53.463,52.467,52.544,530667,ADNT
2016-12-06,52.698,53.443,52.573,53.23,1212538,ADNT
2016-12-07,53.414,55.386,53.171,55.239,855723,ADNT
2016-12-08,54.747,55.414,53.975,55.239,1367502,ADNT
2016-12-09,54.94,56.564,54.613,56.198,1380616,ADNT
2016-12-12,56.198,56.198,54.661,55.744,970393,ADNT
2016-12-13,55.744,56.71,55.503,55.858,1327537,ADNT
2016-12-14,55.249,55.986,54.689,55.414,1073568,ADNT
2016-12-15,55.221,55.686,54.129,54.409,757925,ADNT
2016-12-16,54.399,54.603,52.274,52.361,1005245,ADNT
2016-12-19,52.321,52.331,50.012,50.862,2057119,ADNT
2016-12-20,51.201,54.031,50.408,53.443,1351860,ADNT
2016-12-21,53.548,54.95,53.076,54.727,666236,ADNT
2016-12-22,54.816,55.337,53.985,55.096,1020630,ADNT
2016-12-23,54.757,55.047,54.041,54.506,431824,ADNT
2016-12-27,54.565,55.966,54.37,55.675,418607,ADNT
2016-12-28,55.83,56.256,55.578,55.83,640503,ADNT
2016-12-29,55.878,56.71,54.845,55.936,1521571,ADNT
2016-12-30,55.936,56.864,54.95,56.643,417809,ADNT
2017-01-03,56.796,57.298,55.522,55.802,708235,ADNT
2017-01-04,56.178,56.574,55.593,56.237,851622,ADNT
2017-01-05,56.362,56.45,54.757,55.096,727732,ADNT
2017-01-06,55.249,55.84,54.36,54.603,1178327,ADNT
2017-01-09,54.37,54.787,53.985,54.014,396725,ADNT
2017-01-10,55.076,57.009,54.94,56.584,1191992,ADNT
2017-01-11,56.681,59.669,56.405,59.503,1526210,ADNT
2017-01-12,59.465,59.654,57.821,58.073,638705,ADNT
2017-01-13,58.131,59.861,57.773,59.368,733908,ADNT
2017-01-17,59.396,61.214,59.349,60.78,762128,ADNT
2017-01-18,60.914,62.723,60.701,62.606,1267505,ADNT
2017-01-19,62.838,63.244,60.639,61.195,1093482,ADNT
2017-01-20,61.6,62.828,61.35,62.045,756435,ADNT
2017-01-23,61.929,63.226,61.545,61.929,616039,ADNT
2017-01-24,62.181,63.872,61.959,63.68,631683,ADNT
2017-01-25,64.143,65.176,63.128,63.187,583933,ADNT
2017-01-26,63.505,64.599,63.148,63.36,752558,ADNT
2017-01-27,63.69,64.665,61.505,62.191,1323426,ADNT
2017-01-30,61.823,62.036,61.137,61.88,423812,ADNT
2017-01-31,62.112,62.404,60.895,61.369,689336,ADNT
2017-02-01,61.727,63.079,61.545,61.998,755103,ADNT
2017-02-02,62.22,63.458,62.22,62.935,1311454,ADNT
2017-02-03,64.163,64.261,59.997,60.914,1220794,ADNT
2017-02-06,61.475,62.065,59.649,60.16,615197,ADNT
2017-02-07,59.967,60.411,57.938,58.151,1076518,ADNT
2017-02-08,58.374,58.856,57.125,58.749,1058511,ADNT
2017-02-09,58.625,59.649,58.46,59.147,637758,ADNT
2017-02-10,59.213,59.856,58.798,59.203,679561,ADNT
2017-02-13,59.359,60.074,59.04,59.097,754515,ADNT
2017-02-14,59.107,60.064,57.251,60.016,817810,ADNT
2017-02-15,60.034,62.21,59.581,61.833,1053013,ADNT
2017-02-16,61.668,62.769,61.668,62.538,1310194,ADNT
2017-02-17,62.045,62.538,61.718,61.871,693239,ADNT
2017-02-21,63.967,66.667,63.967,64.721,2463133,ADNT
2017-02-22,64.751,65.37,64.172,65.275,1138396,ADNT
2017-02-23,66.211,66.578,63.69,63.746,917520,ADNT
2017-02-24,63.197,64.801,62.828,64.259,1584906,ADNT
2017-02-27,64.189,65.583,64.012,65.275,886347,ADNT
2017-02-28,65.12,65.698,64.888,64.888,1058337,ADNT
2017-03-01,65.854,66.211,65.265,65.458,932238,ADNT
2017-03-02,65.265,65.758,64.945,65.002,838418,ADNT
2017-03-03,64.839,65.911,64.432,65.602,846861,ADNT
2017-03-06,65.071,65.592,64.926,65.526,620936,ADNT
2017-03-07,65.236,66.057,65.13,66.028,1209019,ADNT
2017-03-08,66.52,67.061,65.901,66.657,751607,ADNT
2017-03-09,66.956,68.707,66.434,67.188,2121193,ADNT
2017-03-10,67.892,68.038,67.179,67.758,1018737,ADNT
2017-03-13,68.029,70.691,67.826,69.97,1554757,ADNT
2017-03-14,70.078,72.437,69.323,71.682,1350082,ADNT
2017-03-15,71.8,73.451,71.528,73.162,1374828,ADNT
2017-03-16,73.53,73.548,70.885,71.431,1002025,ADNT
2017-03-17,71.431,71.431,69.257,70.387,2038930,ADNT
2017-03-20,70.387,70.637,69.556,69.692,1006571,ADNT
2017-03-21,69.758,70.117,67.159,67.236,1199967,ADNT
2017-03-22,66.859,67.883,66.328,67.758,991476,ADNT
2017-03-23,67.758,68.135,65.99,65.99,931793,ADNT
2017-03-24,66.004,67.207,65.509,66.498,878045,ADNT
2017-03-27,66.237,68.323,65.777,68.284,810535,ADNT
2017-03-28,68.856,70.516,68.837,70.158,998112,ADNT
2017-03-29,70.195,70.321,69.332,69.352,663638,ADNT
2017-03-30,69.216,69.576,68.547,69.401,700003,ADNT
2017-03-31,69.759,71.331,69.312,70.526,702148,ADNT
2017-04-03,70.701,70.992,67.518,68.061,1066545,ADNT
2017-04-04,67.381,68.139,65.762,66.121,755350,ADNT
2017-04-05,66.227,66.451,64.267,64.588,1271071,ADNT
2017-04-06,64.207,64.849,63.597,64.655,1505143,ADNT
2017-04-07,64.741,65.218,64.15,64.878,728514,ADNT
2017-04-10,65.305,66.169,64.508,65.218,840012,ADNT
2017-04-11,65.188,65.702,64.627,65.519,612333,ADNT
2017-04-12,65.539,65.915,64.365,64.588,794041,ADNT
2017-04-13,64.237,65.401,64.14,65.198,696057,ADNT
2017-04-17,65.003,65.577,64.985,65.285,556658,ADNT
2017-04-18,64.829,65.277,63.616,64.207,1299548,ADNT
2017-04-19,64.607,66.096,64.607,65.585,787679,ADNT
2017-04-20,65.772,67.256,65.772,67.051,842576,ADNT
2017-04-21,67.198,67.702,66.818,67.198,653566,ADNT
2017-04-24,67.372,68.149,67.362,67.625,764332,ADNT
2017-04-25,67.595,68.382,67.459,68.091,921815,ADNT
2017-04-26,68.254,68.528,67.799,68.139,782697,ADNT
2017-04-27,68.129,70.457,67.935,70.205,1774025,ADNT
2017-04-28,72.534,72.964,70.166,71.389,1527134,ADNT
