Date,Open,High,Low,Close,Volume,ticker
2014-07-31,250.0,289.5,240.5,279.9,631601.9,ADVM
2014-08-01,269.5,271.5,250.0,251.6,46594.3,ADVM
2014-08-04,249.8,264.0,240.0,242.5,14125.2,ADVM
2014-08-05,241.3,241.4,220.0,226.0,14454.3,ADVM
2014-08-06,229.5,248.6,220.6,233.7,13924.6,ADVM
2014-08-07,250.0,250.0,228.2,230.0,7374.0,ADVM
2014-08-08,232.1,247.4,230.1,235.4,8028.9,ADVM
2014-08-11,235.5,247.4,235.5,237.5,4365.5,ADVM
2014-08-12,235.0,241.3,225.1,239.1,12436.4,ADVM
2014-08-13,240.0,254.4,240.0,243.8,10414.3,ADVM
2014-08-14,249.9,271.5,239.1,261.7,6408.3,ADVM
2014-08-15,268.1,298.0,268.1,272.6,7663.1,ADVM
2014-08-18,289.0,289.0,273.1,283.0,4333.4,ADVM
2014-08-19,280.0,313.1,278.0,308.5,10504.0,ADVM
2014-08-20,309.3,323.75,298.51,315.8,17770.5,ADVM
2014-08-21,313.5,317.8,300.2,301.5,11230.7,ADVM
2014-08-22,301.6,309.2,300.1,305.2,10969.1,ADVM
2014-08-25,311.9,315.7,290.4,302.5,38571.7,ADVM
2014-08-26,299.8,309.0,281.8,292.7,12822.7,ADVM
2014-08-27,298.8,299.2,284.51,294.8,4253.1,ADVM
2014-08-28,290.0,295.0,282.4,294.3,4535.6,ADVM
2014-08-29,294.0,311.9,288.0,296.3,5564.4,ADVM
2014-09-02,297.0,314.9,293.1,302.4,9894.3,ADVM
2014-09-03,301.9,311.0,300.1,306.0,8183.9,ADVM
2014-09-04,309.0,315.9,299.6,305.5,9090.7,ADVM
2014-09-05,303.2,316.0,302.9,310.5,5829.5,ADVM
2014-09-08,312.0,314.04,295.6,298.5,5273.7,ADVM
2014-09-09,299.7,305.1,286.0,299.9,7510.1,ADVM
2014-09-10,296.9,314.9,296.1,307.4,5475.3,ADVM
2014-09-11,309.5,326.0,302.2,324.3,15924.9,ADVM
2014-09-12,323.4,367.83,312.9,357.0,27066.6,ADVM
2014-09-15,359.8,359.8,320.0,330.3,29173.5,ADVM
2014-09-16,328.3,335.3,311.9,324.5,8906.9,ADVM
2014-09-17,323.0,340.0,321.9,327.8,10526.9,ADVM
2014-09-18,330.6,341.4,312.5,315.5,15238.8,ADVM
2014-09-19,315.3,321.41,305.0,311.0,31825.4,ADVM
2014-09-22,321.55,334.6,299.01,328.8,14514.6,ADVM
2014-09-23,337.7,338.35,321.0,335.9,14329.0,ADVM
2014-09-24,337.5,347.0,323.4,342.6,9079.6,ADVM
2014-09-25,342.0,361.0,327.0,352.6,21157.4,ADVM
2014-09-26,343.4,362.3,340.2,360.0,6735.3,ADVM
2014-09-29,356.7,367.0,345.01,363.5,17990.1,ADVM
2014-09-30,362.5,364.6,340.2,341.9,97030.1,ADVM
2014-10-01,340.0,349.38,312.1,322.7,21573.7,ADVM
2014-10-02,323.7,344.0,317.4,342.7,15338.0,ADVM
2014-10-03,344.7,349.8,336.8,337.0,8093.5,ADVM
2014-10-06,337.4,349.9,329.1,339.9,10876.3,ADVM
2014-10-07,336.0,336.0,310.2,315.4,5850.9,ADVM
