Date,Open,High,Low,Close,Volume,ticker
2019-09-19,1.65,1.65,1.55,1.65,18250,ADVWW
2019-09-27,2.0,2.0,2.0,2.0,260,ADVWW
2019-10-14,1.7,1.8,1.7,1.8,2100,ADVWW
2019-10-16,1.65,1.7,1.65,1.66,21795,ADVWW
2019-10-29,1.66,1.66,1.66,1.66,10297,ADVWW
2019-10-31,1.66,1.66,1.66,1.66,10298,ADVWW
2019-11-07,1.64,1.64,1.64,1.64,1100,ADVWW
2019-11-15,1.67,1.75,1.6619,1.75,24420,ADVWW
2019-11-20,1.65,1.65,1.6483,1.6497,7611,ADVWW
2019-11-26,1.65,1.65,1.65,1.65,3212,ADVWW
2019-11-29,1.64,1.64,1.6,1.6,1900,ADVWW
2019-12-03,1.5,1.5,1.5,1.5,250000,ADVWW
2019-12-11,1.7,1.7,1.7,1.7,25000,ADVWW
2019-12-31,1.85,1.87,1.85,1.87,300,ADVWW
2020-01-13,1.71,1.71,1.71,1.71,600,ADVWW
2020-01-14,1.65,1.7,1.65,1.7,875,ADVWW
2020-01-17,1.76,1.76,1.76,1.76,6250,ADVWW
2020-01-21,1.8,1.85,1.8,1.85,106300,ADVWW
2020-01-24,1.7,1.7,1.7,1.7,7807,ADVWW
2020-01-30,1.85,1.95,1.85,1.95,14411,ADVWW
2020-02-05,1.95,2.0,1.95,2.0,5000,ADVWW
2020-02-14,2.0,2.0,2.0,2.0,100,ADVWW
2020-02-18,1.95,1.95,1.95,1.95,6250,ADVWW
2020-02-19,1.95,2.0,1.95,2.0,200,ADVWW
2020-02-21,2.0,2.0,2.0,2.0,250,ADVWW
2020-02-25,1.95,1.95,1.95,1.95,1491,ADVWW
2020-02-26,1.99,1.99,1.99,1.99,350,ADVWW
2020-03-04,1.88,1.88,1.88,1.88,211,ADVWW
2020-03-05,1.87,1.87,1.87,1.87,259,ADVWW
2020-03-06,1.79,1.79,1.79,1.79,513,ADVWW
2020-03-25,1.25,1.45,1.25,1.45,1200,ADVWW
2020-04-17,1.45,1.45,1.45,1.45,1000,ADVWW
2020-04-21,1.23,1.5,1.23,1.5,11750,ADVWW
2020-04-24,1.3,1.3,1.3,1.3,300,ADVWW
2020-04-27,1.3,1.3,1.2937,1.2937,9000,ADVWW
2020-04-28,1.2,1.2,1.2,1.2,2200,ADVWW
2020-04-29,1.5,1.7,1.5,1.6942,5900,ADVWW
2020-05-12,1.45,1.7,1.45,1.55,7400,ADVWW
2020-05-13,1.5,1.7,1.5,1.7,362,ADVWW
2020-05-14,1.64,1.64,1.64,1.64,200,ADVWW
2020-05-19,1.5625,1.5625,1.5625,1.5625,100,ADVWW
2020-05-26,1.6,1.6,1.6,1.6,106,ADVWW
2020-05-28,1.6,1.7,1.6,1.7,894,ADVWW
2020-05-29,1.64,1.7,1.5331,1.5987,900,ADVWW
2020-06-01,1.65,1.7,1.65,1.7,91174,ADVWW
2020-06-02,1.74,1.74,1.7,1.7,2000,ADVWW
2020-06-05,2.0,2.0,1.74,1.835,5580,ADVWW
2020-06-09,1.98,1.98,1.9532,1.9532,2650,ADVWW
2020-06-10,1.9,1.98,1.9,1.9789,12252,ADVWW
2020-06-12,1.5501,1.98,1.5501,1.865,2200,ADVWW
2020-06-15,1.6,1.98,1.6,1.97,78945,ADVWW
2020-06-17,1.865,1.98,1.865,1.98,4845,ADVWW
2020-06-18,1.98,2.01,1.9799,2.0,6354,ADVWW
2020-06-19,1.65,2.25,1.65,2.25,2500,ADVWW
2020-06-22,2.15,2.15,2.15,2.15,150,ADVWW
2020-06-23,2.2,2.25,2.2,2.2,3360,ADVWW
2020-06-24,2.15,2.1502,2.14,2.14,1741,ADVWW
2020-06-26,1.73,2.19,1.7,2.19,1100,ADVWW
2020-06-29,2.0,2.19,2.0,2.19,2000,ADVWW
2020-06-30,2.2,2.2,2.05,2.2,11750,ADVWW
2020-07-01,2.1,2.2,2.0513,2.1001,8201,ADVWW
2020-07-02,2.1,2.2,2.1,2.19,3250,ADVWW
2020-07-06,2.2,2.25,2.18,2.25,15118,ADVWW
2020-07-07,2.2,2.528,2.0,2.3,101020,ADVWW
2020-07-08,2.1,2.2,2.1,2.2,2125,ADVWW
2020-07-09,2.1,2.25,2.0,2.1,27696,ADVWW
2020-07-10,2.07,2.07,2.07,2.07,101,ADVWW
2020-07-13,2.25,2.89,2.25,2.74,104396,ADVWW
2020-07-14,2.75,2.75,2.58,2.62,27671,ADVWW
2020-07-15,2.65,2.65,2.5,2.6,41604,ADVWW
2020-07-16,2.6,2.6,2.57,2.57,20282,ADVWW
2020-07-17,2.6,2.6,2.55,2.555,18950,ADVWW
2020-07-20,2.6,2.6,2.56,2.56,8361,ADVWW
2020-07-21,2.7,2.74,2.6,2.6,3650,ADVWW
2020-07-22,2.52,2.585,2.4,2.58,4785,ADVWW
2020-07-23,2.51,2.6,2.51,2.6,5471,ADVWW
2020-07-24,2.6,2.6,2.5887,2.5887,618,ADVWW
2020-07-27,2.5,2.52,2.5,2.5,4822,ADVWW
2020-07-28,2.5,2.5,2.45,2.4501,1517,ADVWW
2020-07-29,2.46,2.47,2.45,2.45,17943,ADVWW
2020-07-31,2.3001,2.3001,2.2,2.2,15129,ADVWW
2020-08-03,2.0501,2.47,1.95,2.102,14325,ADVWW
2020-08-04,2.22,2.22,2.15,2.15,786,ADVWW
2020-08-06,2.2,2.2,2.2,2.2,508,ADVWW
2020-08-07,2.2,2.2,2.2,2.2,10010,ADVWW
2020-08-10,2.05,2.0635,1.62,2.01,9550,ADVWW
2020-08-12,1.96,1.96,1.96,1.96,1800,ADVWW
2020-08-13,1.96,1.97,1.85,1.85,6760,ADVWW
2020-08-14,1.85,1.85,1.62,1.71,10750,ADVWW
2020-08-17,1.73,1.73,1.73,1.73,1097,ADVWW
2020-08-18,1.8,1.8,1.72,1.8,2600,ADVWW
2020-08-19,1.782,1.89,1.62,1.715,16796,ADVWW
2020-08-20,1.84,1.84,1.62,1.72,7143,ADVWW
2020-08-21,1.81,1.81,1.81,1.81,196,ADVWW
2020-08-24,1.845,1.905,1.845,1.905,614,ADVWW
2020-08-25,1.97,2.25,1.8,2.24,4910,ADVWW
2020-08-26,2.21,2.21,2.11,2.1398,941,ADVWW
2020-08-27,2.15,2.15,1.99,1.99,851,ADVWW
2020-08-28,2.0,2.0,1.71,1.92,11263,ADVWW
2020-08-31,1.99,1.99,1.8,1.82,700,ADVWW
2020-09-01,1.85,1.9,1.85,1.86,5487,ADVWW
2020-09-02,1.94,2.09,1.94,1.9902,17078,ADVWW
2020-09-03,2.0,2.388,2.0,2.06,21466,ADVWW
2020-09-04,2.21,2.21,2.03,2.0696,56254,ADVWW
2020-09-08,2.49,2.49,1.7,1.76,339322,ADVWW
2020-09-09,1.83,1.83,1.32,1.453,198060,ADVWW
2020-09-10,1.57,1.75,1.45,1.67,360678,ADVWW
2020-09-11,1.58,1.64,1.5,1.555,59018,ADVWW
2020-09-14,1.74,1.74,1.605,1.67,203049,ADVWW
2020-09-15,1.7,2.0,1.68,1.7,174661,ADVWW
2020-09-16,1.8,1.8,1.62,1.6399,235335,ADVWW
2020-09-17,2.47,2.47,1.6925,1.77,69914,ADVWW
2020-09-18,1.75,1.86,1.7,1.85,63720,ADVWW
2020-09-21,1.8,2.0,1.8,1.8,17094,ADVWW
2020-09-22,1.8,1.965,1.8,1.915,103118,ADVWW
2020-09-23,1.98,2.0,1.68,1.68,36410,ADVWW
2020-09-24,1.55,1.8,1.55,1.63,97380,ADVWW
2020-09-25,1.66,1.7,1.6299,1.66,45397,ADVWW
2020-09-28,1.66,1.6744,1.57,1.6,17923,ADVWW
2020-09-29,1.59,1.66,1.56,1.58,14699,ADVWW
2020-09-30,1.5212,1.7,1.52,1.7,21167,ADVWW
2020-10-01,1.68,1.69,1.45,1.45,110356,ADVWW
2020-10-02,1.55,1.55,1.4,1.4198,32202,ADVWW
2020-10-05,1.37,1.5,1.37,1.495,141537,ADVWW
2020-10-06,1.51,1.51,1.4099,1.41,6210,ADVWW
2020-10-07,1.44,1.44,1.31,1.32,7161,ADVWW
2020-10-08,1.375,1.38,1.3301,1.35,62645,ADVWW
2020-10-09,1.345,1.36,1.34,1.345,3032,ADVWW
2020-10-12,1.34,1.34,1.285,1.3298,22626,ADVWW
2020-10-13,1.27,1.32,1.1951,1.2,73949,ADVWW
2020-10-14,1.15,1.23,1.14,1.2,10055,ADVWW
2020-10-15,1.22,1.4,1.105,1.33,13308,ADVWW
2020-10-16,1.5,1.59,1.3,1.3,22239,ADVWW
2020-10-19,1.3,1.49,1.3,1.4877,16385,ADVWW
2020-10-20,1.5,1.6502,1.49,1.49,39267,ADVWW
2020-10-21,1.5,1.52,1.3501,1.36,8608,ADVWW
2020-10-22,1.38,1.4,1.35,1.35,13664,ADVWW
2020-10-23,1.375,1.48,1.35,1.4,92192,ADVWW
2020-10-26,1.5,1.5,1.09,1.16,34514,ADVWW
2020-10-27,1.2,1.2999,1.06,1.06,20350,ADVWW
2020-10-28,1.075,1.2,0.788091,1.05,148163,ADVWW
2020-10-29,1.3,1.3,1.1,1.11,35105,ADVWW
2020-10-30,1.17,1.17,1.05,1.11,38953,ADVWW
2020-11-02,1.13,1.28,1.13,1.185,16677,ADVWW
2020-11-03,1.14,1.1499,0.95,1.1,218893,ADVWW
2020-11-04,1.0,1.13,0.85,1.05,28589,ADVWW
2020-11-05,1.1,1.65,1.09,1.51,930537,ADVWW
2020-11-06,1.5,1.5,1.1571,1.2,28777,ADVWW
2020-11-09,1.44,1.91,1.43,1.47,44129,ADVWW
2020-11-10,1.39,1.5,1.21,1.35,7489,ADVWW
2020-11-11,1.35,1.35,1.31,1.31,1275,ADVWW
2020-11-12,1.32,1.5,1.32,1.5,12509,ADVWW
2020-11-13,1.55,1.64,1.49,1.515,205524,ADVWW
2020-11-16,1.63,1.69,1.55,1.66,78109,ADVWW
2020-11-17,1.55,1.58,1.55,1.5501,26569,ADVWW
2020-11-18,1.51,1.58,1.51,1.55,2950,ADVWW
2020-11-19,1.5,1.55,1.44,1.55,19018,ADVWW
2020-11-20,1.46,1.55,1.45,1.55,32667,ADVWW
2020-11-23,1.59,1.65,1.51,1.51,56245,ADVWW
2020-11-24,1.64,1.9,1.64,1.78,49993,ADVWW
2020-11-25,1.76,1.8,1.75,1.7999,10096,ADVWW
2020-11-27,1.84,1.88,1.56,1.8,30642,ADVWW
2020-11-30,1.8,1.85,1.44,1.8,66977,ADVWW
2020-12-01,2.1,2.1,1.8,1.8,7907,ADVWW
2020-12-02,1.61,1.85,1.61,1.74,33712,ADVWW
2020-12-03,1.8,1.9,1.67,1.9,96411,ADVWW
2020-12-04,1.89,2.04,1.8899,2.0,33235,ADVWW
2020-12-07,2.0,2.18,1.93,2.13,84985,ADVWW
2020-12-08,2.165,2.3899,2.165,2.3899,5536,ADVWW
2020-12-09,2.43,2.43,2.09,2.245,553256,ADVWW
2020-12-10,2.36,2.89,1.6,2.552,50020,ADVWW
2020-12-11,3.0,3.0,2.44,2.6,320681,ADVWW
2020-12-14,2.8,2.8,2.5,2.52,600500,ADVWW
2020-12-15,2.52,2.61,2.42,2.56,91110,ADVWW
2020-12-16,2.49,2.56,2.4,2.49,26212,ADVWW
2020-12-17,2.73,2.97,2.5,2.64,97881,ADVWW
2020-12-18,2.99,3.0,2.64,2.64,49906,ADVWW
2020-12-21,2.75,2.82,2.45,2.7,102106,ADVWW
2020-12-22,2.8,2.98,2.8,2.95,67563,ADVWW
2020-12-23,2.98,3.15,2.72,2.92,74002,ADVWW
2020-12-24,2.73,2.88,2.73,2.88,565,ADVWW
2020-12-28,3.0,3.0,2.8,2.905,4936,ADVWW
2020-12-29,2.92,2.94,2.7,2.775,309293,ADVWW
2020-12-30,2.81,2.9497,2.81,2.8901,13106,ADVWW
2020-12-31,2.975,2.975,2.8,2.83,40295,ADVWW
2021-01-04,2.75,3.0,2.68,2.9,10187,ADVWW
2021-01-05,2.98,3.0,2.9002,2.9002,20445,ADVWW
2021-01-06,2.9,3.0,2.76,2.93,27268,ADVWW
2021-01-07,2.8,2.9,2.65,2.87,16185,ADVWW
