Date,Open,High,Low,Close,Volume,ticker
2005-02-25,8.28841,8.38133,8.25924,8.37006,755689.32146561,AEG
2005-02-28,8.38133,8.40433,8.255,8.28408,826342.63114765,AEG
2005-03-01,8.237,8.35803,8.237,8.30044,603096.16122343,AEG
2005-03-02,8.19059,8.35292,8.16748,8.25924,795792.01000756,AEG
2005-03-03,8.14466,8.16748,8.07572,8.1282,812974.72209804,AEG
2005-03-04,8.20773,8.32288,8.19059,8.25924,575318.6204316,AEG
2005-03-07,8.2653,8.31335,8.237,8.24296,466642.95177224,AEG
2005-03-08,8.31335,8.33569,8.2782,8.30738,491122.91574546,AEG
2005-03-09,8.273,8.40433,8.273,8.34079,565769.66885036,AEG
2005-03-10,8.4155,8.43264,8.33049,8.39143,626181.27616754,AEG
2005-03-11,8.37006,8.39143,8.30738,8.32288,518722.85476217,AEG
2005-03-14,8.32288,8.35292,8.273,8.34079,481921.89746634,AEG
2005-03-15,8.41117,8.41117,8.30738,8.33049,543895.56951902,AEG
2005-03-16,8.22063,8.237,8.16228,8.18365,663509.84575435,AEG
2005-03-17,8.00659,8.1282,8.00168,8.09363,835370.20207913,AEG
2005-03-18,8.02469,8.04202,7.90213,8.03538,914881.78977252,AEG
2005-03-21,7.93092,7.97943,7.8406,7.89731,662813.97915011,AEG
2005-03-22,7.8275,7.9597,7.72487,7.7938,732947.98539614,AEG
2005-03-23,7.76444,7.86939,7.74864,7.83492,509520.7978762,AEG
2005-03-24,7.77628,7.89249,7.77628,7.77628,477406.03478686,AEG
2005-03-28,7.72881,7.8406,7.72881,7.78813,493895.99609372,AEG
2005-03-29,7.74153,7.85784,7.71293,7.72881,536605.5878844,AEG
2005-03-30,7.74153,7.86939,7.73516,7.7993,539730.75596227,AEG
2005-03-31,7.78273,7.80575,7.73516,7.75336,840753.30149675,AEG
2005-04-01,7.75886,7.78813,7.60432,7.61472,965922.04728358,AEG
2005-04-04,7.58699,7.68356,7.51228,7.64948,1043523.6369393,AEG
2005-04-05,7.63282,7.69069,7.59806,7.64948,1036058.1307434,AEG
