Date,Open,High,Low,Close,Volume,ticker
2023-07-05,0.0489,0.09,0.0226,0.0696,30102,AENTW
2023-07-06,0.061,0.07,0.0599,0.0695,1900,AENTW
2023-07-07,0.06255,0.06255,0.06,0.06,5200,AENTW
2023-07-10,0.0595,0.0595,0.054,0.054,800,AENTW
2023-07-11,0.0595,0.059899,0.05,0.05,600,AENTW
2023-07-13,0.0495,0.05,0.0495,0.05,10077,AENTW
2023-07-14,0.05,0.05,0.0499,0.0499,1775,AENTW
2023-07-18,0.038,0.038,0.0379,0.038,20900,AENTW
2023-07-20,0.035,0.0589,0.035,0.0589,400,AENTW
2023-07-21,0.0514,0.0514,0.0514,0.0514,2300,AENTW
2023-07-25,0.0449,0.045,0.0449,0.045,6020,AENTW
2023-07-26,0.0394,0.0394,0.0394,0.0394,5000,AENTW
2023-07-27,0.045,0.0488,0.045,0.0488,2000,AENTW
2023-07-31,0.037601,0.037601,0.037601,0.037601,144,AENTW
2023-08-03,0.0359,0.036,0.0351,0.0351,7258,AENTW
2023-08-07,0.0424,0.0428,0.0424,0.0428,596,AENTW
2023-08-10,0.0424,0.0424,0.0424,0.0424,100,AENTW
2023-08-11,0.0424,0.0428,0.0365,0.037092,9654,AENTW
2023-08-14,0.0356,0.0356,0.0356,0.0356,100,AENTW
2023-08-15,0.035701,0.037899,0.03445,0.037899,8953,AENTW
2023-08-16,0.0376,0.038,0.0376,0.038,1000,AENTW
2023-08-17,0.0386,0.0386,0.0386,0.0386,100,AENTW
2023-08-21,0.0301,0.034549,0.0301,0.034549,400,AENTW
2023-08-22,0.039,0.039,0.039,0.039,100,AENTW
2023-08-23,0.0386,0.0386,0.0386,0.0386,100,AENTW
2023-08-24,0.034549,0.034549,0.034549,0.034549,100,AENTW
2023-08-25,0.0346,0.0346,0.03,0.03,10900,AENTW
2023-08-28,0.0305,0.0305,0.0305,0.0305,100,AENTW
2023-09-06,0.0267,0.0267,0.02,0.02,7500,AENTW
2023-09-15,0.0294,0.030101,0.0294,0.03,4450,AENTW
2023-09-18,0.0206,0.029,0.0206,0.029,2100,AENTW
2023-09-20,0.025,0.025,0.025,0.025,200,AENTW
2023-09-21,0.0218,0.0218,0.0181,0.0199,9500,AENTW
2023-09-22,0.0155,0.0155,0.0154,0.0154,3300,AENTW
2023-09-25,0.0154,0.019,0.0154,0.019,6800,AENTW
2023-09-28,0.0189,0.05,0.015,0.0176,141438,AENTW
2023-09-29,0.0198,0.0198,0.019,0.019,300,AENTW
2023-10-04,0.019,0.0191,0.019,0.0191,2000,AENTW
2023-10-05,0.0175,0.0176,0.0156,0.0157,1103,AENTW
2023-10-09,0.015201,0.01755,0.015,0.015,4352,AENTW
2023-10-11,0.0171,0.0171,0.011,0.011,2355,AENTW
2023-10-16,0.0113,0.0113,0.01,0.0111,26055,AENTW
2023-10-25,0.0122,0.018,0.0122,0.018,200,AENTW
2023-10-27,0.0123,0.0123,0.0123,0.0123,708,AENTW
2023-11-01,0.0129,0.0129,0.0129,0.0129,578,AENTW
2023-11-02,0.0131,0.016551,0.0131,0.0131,2400,AENTW
2023-11-06,0.0135,0.0135,0.01,0.0135,11462,AENTW
2023-11-09,0.0145,0.0145,0.0145,0.0145,501,AENTW
2023-11-15,0.013,0.0131,0.013,0.013,2491,AENTW
2023-11-20,0.013,0.013,0.011,0.0111,9130,AENTW
2023-11-24,0.0112,0.0112,0.01,0.01,21800,AENTW
2023-11-27,0.01195,0.01195,0.0119,0.0119,1040,AENTW
2023-12-04,0.0109,0.0109,0.0062,0.0062,11409,AENTW
2023-12-05,0.0062,0.0106,0.0062,0.0106,6509,AENTW
2023-12-11,0.0064,0.0064,0.0063,0.0063,999,AENTW
2023-12-12,0.0063,0.0063,0.006,0.006,86014,AENTW
2023-12-13,0.006,0.01,0.006,0.01,1000,AENTW
2023-12-14,0.006,0.006,0.006,0.006,3025,AENTW
2023-12-20,0.00897,0.009,0.00876,0.00876,10700,AENTW
2023-12-26,0.0089,0.009,0.0089,0.009,7551,AENTW
2023-12-29,0.0089,0.0089,0.0075,0.0075,447,AENTW
