Date,Open,High,Low,Close,Volume,ticker
2021-04-14,9.75,10.05,9.74,9.8,100239,AEON
2021-04-15,9.8024,9.81,9.8024,9.81,8900,AEON
2021-04-29,9.9,9.9,9.78,9.78,9985,AEON
2021-05-03,9.71,9.8,9.71,9.8,802,AEON
2021-05-06,9.71,9.71,9.67,9.67,538,AEON
2021-05-07,9.835,9.835,9.835,9.835,244,AEON
2021-05-11,9.8,9.8,9.8,9.8,559,AEON
2021-05-17,9.67,9.67,9.67,9.67,4674,AEON
2021-05-18,9.65,9.65,9.65,9.65,3432,AEON
2021-05-26,9.7625,9.7625,9.72,9.72,1600,AEON
2021-06-09,9.75,9.75,9.7,9.71,50800,AEON
2021-06-14,9.66,9.76,9.21,9.7,48851,AEON
2021-06-15,9.7,9.7,9.7,9.7,23513,AEON
2021-06-16,9.7,9.7,9.65,9.65,85158,AEON
2021-06-21,9.65,9.65,9.65,9.65,1409,AEON
2021-06-22,9.73,9.73,9.7,9.73,1561,AEON
2021-06-23,9.66,9.695,9.66,9.695,1588,AEON
2021-06-24,9.66,9.66,9.66,9.66,610,AEON
2021-06-25,9.66,9.66,9.65,9.66,24508,AEON
2021-06-28,9.65,9.66,9.6,9.64,89511,AEON
2021-06-30,9.64,9.64,9.63,9.64,862,AEON
2021-07-02,9.65,9.655,9.63,9.65,21311,AEON
2021-07-07,9.65,9.65,9.65,9.65,1913,AEON
2021-07-08,9.63,9.66,9.63,9.655,162166,AEON
2021-07-09,9.65,9.66,9.65,9.65,6600,AEON
2021-07-12,9.65,9.65,9.65,9.65,2561,AEON
2021-07-13,9.65,9.66,9.65,9.655,36022,AEON
2021-07-14,9.66,9.66,9.65,9.655,9850,AEON
2021-07-16,9.64,9.68,9.64,9.655,5540,AEON
2021-07-19,9.64,9.655,9.64,9.65,5588,AEON
2021-07-20,9.63,9.63,9.63,9.63,1114,AEON
2021-07-23,9.66,9.67,9.66,9.67,2090,AEON
2021-07-26,9.67,9.67,9.67,9.67,200,AEON
2021-07-27,9.72,9.8,9.685,9.8,15742,AEON
2021-08-04,9.65,9.65,9.64,9.64,16439,AEON
2021-08-06,9.65,9.66,9.65,9.66,4230,AEON
2021-08-10,9.66,9.79,9.66,9.67,3501,AEON
2021-08-11,9.71,9.72,9.69,9.69,1802,AEON
2021-08-12,9.6983,9.725,9.69,9.69,150600,AEON
2021-08-13,9.69,9.725,9.69,9.69,822,AEON
2021-08-16,9.73,9.73,9.7,9.7,6851,AEON
2021-08-17,9.7,9.73,9.7,9.73,326,AEON
2021-08-19,9.68,9.76,9.68,9.76,150966,AEON
2021-08-23,9.75,9.75,9.75,9.75,259,AEON
2021-08-24,9.75,9.75,9.75,9.75,103,AEON
2021-08-25,9.75,9.75,9.75,9.75,100,AEON
2021-08-30,9.75,9.75,9.75,9.75,100,AEON
2021-09-02,9.7,9.75,9.7,9.75,25000,AEON
2021-09-09,9.7,9.7,9.7,9.7,100,AEON
2021-09-14,9.71,9.71,9.71,9.71,322,AEON
2021-09-16,9.71,9.75,9.67,9.75,2118,AEON
2021-09-17,9.63,9.78,9.63,9.77,2716,AEON
2021-09-27,9.77,9.78,9.74,9.78,347189,AEON
2021-09-28,9.73,9.73,9.73,9.73,493,AEON
2021-09-30,9.73,9.75,9.73,9.74,15967,AEON
2021-10-01,9.73,9.79,9.73,9.76,14845,AEON
2021-10-04,9.78,9.78,9.75,9.78,2937,AEON
2021-10-05,9.76,9.78,9.76,9.78,223492,AEON
2021-10-06,9.78,9.8,9.78,9.79,370275,AEON
2021-10-07,9.8,9.8,9.79,9.79,2056,AEON
2021-10-08,9.775,9.79,9.775,9.79,1700,AEON
2021-10-12,9.76,9.79,9.76,9.79,329010,AEON
2021-10-13,9.79,9.79,9.79,9.79,1901,AEON
2021-10-14,9.775,9.79,9.775,9.79,266,AEON
2021-10-18,9.76,9.79,9.76,9.79,4885,AEON
2021-10-20,9.76,9.79,9.76,9.78,163804,AEON
2021-10-21,9.76,9.76,9.76,9.76,819,AEON
2021-10-25,9.76,9.78,9.75,9.78,53140,AEON
2021-10-29,9.71,9.78,9.7,9.78,483204,AEON
2021-11-01,9.715,9.78,9.715,9.78,3035,AEON
2021-11-03,9.72,9.72,9.72,9.72,244,AEON
2021-11-10,9.76,9.78,9.76,9.78,2425,AEON
2021-11-11,9.7682,9.79,9.76,9.79,5997,AEON
2021-11-12,9.76,9.78,9.76,9.78,1219,AEON
2021-11-16,9.79,9.79,9.79,9.79,6246,AEON
2021-11-17,9.76,9.76,9.76,9.76,116,AEON
2021-11-23,9.78,9.79,9.78,9.79,11467,AEON
2021-11-26,9.75,9.75,9.69,9.75,131384,AEON
2021-11-29,9.75,9.77,9.73,9.77,15125,AEON
2021-11-30,9.73,9.78,9.72,9.77,13836,AEON
2021-12-01,9.74,9.79,9.73,9.79,35912,AEON
2021-12-03,9.75,9.75,9.75,9.75,100100,AEON
2021-12-06,9.74,9.78,9.74,9.78,679,AEON
2021-12-09,9.74,9.79,9.74,9.78,17630,AEON
2021-12-10,9.75,9.79,9.74,9.77,68734,AEON
2021-12-13,9.76,9.78,9.76,9.77,34388,AEON
2021-12-14,9.76,9.78,9.76,9.775,64946,AEON
2021-12-15,9.73,9.73,9.7,9.73,1307,AEON
2021-12-16,9.73,9.74,9.73,9.73,101489,AEON
2021-12-17,9.73,9.73,9.73,9.73,939,AEON
2021-12-20,9.73,9.73,9.73,9.73,205567,AEON
2021-12-22,9.72,9.73,9.72,9.73,10934,AEON
2021-12-23,9.72,9.72,9.72,9.72,4866,AEON
2021-12-27,9.73,9.73,9.72,9.73,12406,AEON
2021-12-30,9.71,9.71,9.71,9.71,617,AEON
2022-01-03,9.715,9.73,9.71,9.71,45727,AEON
2022-01-04,9.72,9.73,9.71,9.73,10771,AEON
2022-01-05,9.71,9.77,9.71,9.76,154952,AEON
2022-01-07,9.76,9.77,9.76,9.77,467,AEON
2022-01-10,9.73,9.77,9.7299,9.77,287979,AEON
2022-01-12,9.74,9.74,9.71,9.72,21004,AEON
2022-01-13,9.72,9.75,9.72,9.75,110428,AEON
2022-01-18,9.71,9.73,9.7,9.73,96170,AEON
2022-01-19,9.723,9.723,9.72,9.72,2494,AEON
2022-01-21,9.715,9.72,9.71,9.71,60418,AEON
2022-01-24,9.7,9.71,9.7,9.71,1676,AEON
2022-01-25,9.71,9.75,9.7,9.74,37640,AEON
2022-01-26,9.71,9.73,9.7,9.7,29588,AEON
2022-01-27,9.7,9.72,9.7,9.72,7210,AEON
2022-01-28,9.71,9.725,9.66,9.67,32947,AEON
2022-01-31,9.7,9.71,9.69,9.69,28628,AEON
2022-02-01,9.7,9.76,9.7,9.7,119541,AEON
2022-02-02,9.71,9.715,9.71,9.715,4663,AEON
2022-02-03,9.745,9.76,9.71,9.72,5726,AEON
2022-02-07,9.75,9.75,9.75,9.75,5036,AEON
2022-02-08,9.73,9.73,9.73,9.73,48017,AEON
2022-02-10,9.75,9.75,9.75,9.75,217,AEON
2022-02-11,9.74,9.74,9.74,9.74,6001,AEON
2022-02-14,9.735,9.735,9.73,9.73,10552,AEON
2022-02-16,9.72,9.72,9.72,9.72,136,AEON
2022-02-18,9.72,9.72,9.72,9.72,26240,AEON
2022-02-22,9.71,9.745,9.71,9.72,87394,AEON
2022-02-23,9.73,9.735,9.72,9.73,539410,AEON
2022-02-25,9.72,9.74,9.72,9.73,1902,AEON
2022-02-28,9.72,9.74,9.72,9.73,45702,AEON
2022-03-01,9.75,9.765,9.74,9.74,7511,AEON
2022-03-02,9.76,9.76,9.75,9.76,6256,AEON
2022-03-04,9.76,9.76,9.76,9.76,14810,AEON
2022-03-07,9.75,9.77,9.75,9.77,218000,AEON
2022-03-11,9.78,9.78,9.77,9.78,123066,AEON
2022-03-14,9.77,9.77,9.765,9.765,18621,AEON
2022-03-15,9.79,9.79,9.78,9.78,150320,AEON
2022-03-16,9.75,9.77,9.75,9.76,311118,AEON
2022-03-17,9.74,9.77,9.74,9.77,15808,AEON
2022-03-18,9.75,9.79,9.75,9.765,82908,AEON
2022-03-21,9.77,9.78,9.76,9.78,56939,AEON
2022-03-22,9.78,9.78,9.75,9.77,42056,AEON
2022-03-23,9.78,9.78,9.77,9.78,19407,AEON
2022-03-24,9.78,9.78,9.77,9.77,20140,AEON
2022-03-25,9.78,9.78,9.78,9.78,801,AEON
2022-03-29,9.78,9.78,9.78,9.78,152,AEON
2022-04-01,9.78,9.78,9.78,9.78,1413,AEON
2022-04-04,9.8,9.8,9.8,9.8,3511,AEON
2022-04-05,9.79,9.8,9.79,9.8,111639,AEON
2022-04-06,9.78,9.79,9.78,9.79,125923,AEON
2022-04-11,9.81,9.81,9.81,9.81,800,AEON
2022-04-12,9.79,9.8,9.79,9.79,623264,AEON
2022-04-13,9.82,9.83,9.79,9.79,20764,AEON
2022-04-21,9.82,9.83,9.81,9.81,1673,AEON
2022-04-22,9.82,9.82,9.82,9.82,201,AEON
2022-04-25,9.83,9.83,9.83,9.83,262,AEON
2022-04-27,9.83,9.83,9.83,9.83,510,AEON
2022-05-02,9.82,9.82,9.82,9.82,8400,AEON
2022-05-04,9.82,9.82,9.82,9.82,127,AEON
2022-05-05,9.8,9.82,9.8,9.82,700,AEON
2022-05-06,9.815,9.82,9.815,9.82,1202,AEON
2022-05-09,9.82,9.825,9.8,9.8,43533,AEON
2022-05-10,9.7919,9.7919,9.79,9.79,25582,AEON
