Date,Open,High,Low,Close,Volume,ticker
2021-03-16,5.41,5.8,4.67,5.03,202469,AEVA-WS
2021-03-17,4.66,5.2,4.4101,4.78,232896,AEVA-WS
2021-03-18,5.01,5.04,4.5,4.67,195545,AEVA-WS
2021-03-19,4.95,5.1,4.52,5.05,74569,AEVA-WS
2021-03-22,5.11,5.355,4.87,4.87,50693,AEVA-WS
2021-03-23,4.41,4.84,4.26,4.46,115169,AEVA-WS
2021-03-24,4.78,4.78,3.33,3.64,237213,AEVA-WS
2021-03-25,3.34,3.55,3.2,3.49,120243,AEVA-WS
2021-03-26,3.67,3.87,3.41,3.63,42858,AEVA-WS
2021-03-29,3.66,3.66,3.462,3.462,47459,AEVA-WS
2021-03-30,3.2,3.29,2.91,3.21,87619,AEVA-WS
2021-03-31,3.28,3.33,2.66,3.32,64867,AEVA-WS
2021-04-01,3.54,3.77,3.39,3.77,43965,AEVA-WS
2021-04-05,3.85,3.95,3.62,3.8,44035,AEVA-WS
2021-04-06,3.99,4.09,3.57,3.91,22366,AEVA-WS
2021-04-07,4.0,4.19,3.61,3.75,12089,AEVA-WS
2021-04-08,3.98,3.98,3.31,3.9,26832,AEVA-WS
2021-04-09,4.04,4.27,3.66,3.76,29309,AEVA-WS
2021-04-12,3.85,3.85,3.26,3.46,23065,AEVA-WS
2021-04-13,3.7,3.7,3.05,3.3,64431,AEVA-WS
2021-04-14,3.48,3.48,2.86,3.0,59632,AEVA-WS
2021-04-15,3.29,3.29,2.55,2.66,71686,AEVA-WS
2021-04-16,2.88,2.88,2.5,2.85,51407,AEVA-WS
2021-04-19,2.58,3.04,2.24,2.56,111182,AEVA-WS
2021-04-20,2.85,2.85,2.17,2.25,56673,AEVA-WS
2021-04-21,2.15,2.4383,1.91,2.42,247282,AEVA-WS
2021-04-22,2.4,2.6799,2.3114,2.4,41492,AEVA-WS
2021-04-23,2.32,2.725,2.32,2.47,18868,AEVA-WS
2021-04-26,2.73,2.99,2.62,2.8044,40673,AEVA-WS
2021-04-27,2.99,2.99,2.8,2.83,20283,AEVA-WS
2021-04-28,2.61,2.91,2.6,2.77,55453,AEVA-WS
2021-04-29,2.9,2.9,2.6,2.66,31488,AEVA-WS
2021-04-30,2.44,2.71,2.42,2.52,11721,AEVA-WS
2021-05-03,2.65,2.65,2.36,2.65,28355,AEVA-WS
2021-05-04,2.55,2.65,2.2,2.595,36612,AEVA-WS
2021-05-05,2.44,2.7999,2.44,2.65,13094,AEVA-WS
2021-05-06,2.61,2.74,2.35,2.5,81166,AEVA-WS
2021-05-07,2.42,2.79,2.32,2.34,11096,AEVA-WS
2021-05-10,2.33,2.35,2.0,2.13,24367,AEVA-WS
2021-05-11,1.9,2.25,1.89,2.21,180488,AEVA-WS
2021-05-12,1.9201,2.1,1.8847,1.96,14132,AEVA-WS
2021-05-13,1.95,1.95,1.68,1.76,18546,AEVA-WS
2021-05-14,1.83,2.3,1.83,2.04,82970,AEVA-WS
2021-05-17,2.06,2.06,1.82,1.99,53001,AEVA-WS
2021-05-18,1.925,2.3,1.925,2.11,25826,AEVA-WS
2021-05-19,2.11,2.2,2.0,2.0781,7121,AEVA-WS
2021-05-20,2.07,2.24,2.07,2.18,11055,AEVA-WS
2021-05-21,2.49,2.49,2.1494,2.3,33439,AEVA-WS
2021-05-24,2.35,2.5,2.21,2.25,16150,AEVA-WS
2021-05-25,2.45,2.45,2.26,2.32,14353,AEVA-WS
2021-05-26,2.4629,2.71,2.42,2.5,21035,AEVA-WS
2021-05-27,2.79,2.96,2.35,2.64,41148,AEVA-WS
2021-05-28,2.71,2.8,2.66,2.7,14226,AEVA-WS
2021-06-01,2.7,2.99,2.7,2.99,46539,AEVA-WS
2021-06-02,2.75,2.9715,2.72,2.79,39725,AEVA-WS
2021-06-03,2.9,3.29,2.8,2.92,66763,AEVA-WS
2021-06-04,3.005,3.15,2.93,3.05,90866,AEVA-WS
2021-06-07,2.94,3.65,2.94,3.3,58767,AEVA-WS
2021-06-08,3.545,4.25,3.33,4.04,213789,AEVA-WS
2021-06-09,4.2,4.2,3.36,3.53,47267,AEVA-WS
2021-06-10,3.7,3.9,3.46,3.81,24107,AEVA-WS
2021-06-11,3.81,3.81,3.53,3.53,7678,AEVA-WS
2021-06-14,3.53,3.53,3.25,3.25,13737,AEVA-WS
2021-06-15,3.13,3.33,2.94,3.02,24505,AEVA-WS
2021-06-16,3.33,3.38,3.03,3.37,14122,AEVA-WS
2021-06-17,3.47,3.68,3.12,3.38,48547,AEVA-WS
2021-06-18,3.445,3.92,3.445,3.76,20849,AEVA-WS
2021-06-21,3.68,3.92,3.5,3.5,68107,AEVA-WS
2021-06-22,3.5,3.75,3.2,3.25,55736,AEVA-WS
2021-06-23,3.74,3.74,3.15,3.35,24921,AEVA-WS
2021-06-24,3.5,3.74,3.313,3.6,71393,AEVA-WS
2021-06-25,3.6499,3.65,3.375,3.4,11227,AEVA-WS
2021-06-28,3.44,3.51,3.3,3.35,59205,AEVA-WS
