Date,Open,High,Low,Close,Volume,ticker
2018-09-04,7.0,10.24,7.0,7.3,3018,AEYE
2018-09-05,7.5,8.6925,7.5,8.52,15200,AEYE
2018-09-06,8.74,9.5,8.3,9.03,37350,AEYE
2018-09-07,9.03,9.1197,8.4,8.5,18088,AEYE
2018-09-10,9.0,9.0,8.6288,8.7,5081,AEYE
2018-09-11,8.96,9.3999,8.8,9.15,20373,AEYE
2018-09-12,8.9708,9.295,8.9708,9.295,6696,AEYE
2018-09-13,9.25,9.25,8.5527,8.6401,11959,AEYE
2018-09-14,8.95,9.5,8.62,9.062,17792,AEYE
2018-09-17,9.1,9.12,8.8,8.98,5241,AEYE
2018-09-18,9.05,9.05,8.182,8.85,7656,AEYE
2018-09-19,8.42,8.949,8.05,8.15,6206,AEYE
2018-09-20,8.4,9.12,8.0541,8.26,8158,AEYE
2018-09-21,8.15,8.6333,8.15,8.6333,2254,AEYE
2018-09-24,8.64,8.7525,8.5825,8.6,3499,AEYE
2018-09-25,8.4794,8.6,8.4794,8.6,495,AEYE
2018-09-26,8.66,9.25,8.66,9.0269,7998,AEYE
2018-09-27,9.06,9.4,9.06,9.2,5727,AEYE
2018-09-28,9.2,9.2,8.85,9.001,7094,AEYE
2018-10-01,9.05,9.2,8.5493,9.0,2391,AEYE
2018-10-02,8.98,8.98,8.34,8.5,6065,AEYE
2018-10-03,8.5,8.5757,8.3,8.5757,2568,AEYE
2018-10-04,8.36,8.5,8.25,8.25,5804,AEYE
2018-10-05,8.3,8.75,8.25,8.7499,5134,AEYE
2018-10-08,8.51,9.396,8.35,9.28,13486,AEYE
2018-10-09,9.1,9.4,8.65,8.9,6186,AEYE
2018-10-10,8.5,8.5,8.3999,8.4,2495,AEYE
2018-10-11,8.4,8.4,8.25,8.25,8215,AEYE
2018-10-12,8.34,8.5,8.1356,8.2,5848,AEYE
2018-10-15,8.14,8.2475,8.0,8.2,4189,AEYE
2018-10-16,8.11,8.8,8.11,8.8,9051,AEYE
2018-10-17,8.72,8.72,8.2001,8.2001,1260,AEYE
2018-10-18,8.26,8.26,8.04,8.11,1226,AEYE
2018-10-19,8.16,8.26,7.9,8.0,11753,AEYE
2018-10-22,7.98,8.5559,7.5,7.7,22206,AEYE
2018-10-23,7.7,8.25,7.299,7.6,21821,AEYE
2018-10-24,7.5,7.95,7.5,7.7,7028,AEYE
2018-10-25,7.75,7.8738,7.6001,7.7158,6958,AEYE
2018-10-26,7.76,7.76,7.4,7.65,4759,AEYE
2018-10-29,7.62,8.2,7.6,8.2,11445,AEYE
2018-10-30,8.2,8.25,7.75,7.975,8950,AEYE
2018-10-31,7.88,8.125,7.5,7.9,3044,AEYE
2018-11-01,7.85,7.9,7.4999,7.5,12459,AEYE
2018-11-02,7.5,7.5375,7.5,7.5,1721,AEYE
2018-11-06,7.5974,7.7214,7.0,7.1956,8515,AEYE
2018-11-07,7.15,7.4,7.0,7.05,5102,AEYE
2018-11-08,7.1,7.1,6.5,6.5,17915,AEYE
2018-11-09,6.53,6.9581,5.85,6.212,10510,AEYE
2018-11-12,5.72,6.62,5.5607,5.67,6779,AEYE
2018-11-13,5.7,5.9,5.3,5.66,37601,AEYE
2018-11-14,5.66,5.95,5.66,5.9,2392,AEYE
2018-11-15,5.8717,6.16,5.8717,6.06,8011,AEYE
2018-11-16,6.06,6.45,6.06,6.303,10133,AEYE
2018-11-19,6.31,6.46,6.0,6.15,9670,AEYE
2018-11-20,6.145,6.25,5.69,5.96,5448,AEYE
2018-11-21,5.79,6.24,5.79,6.2,10415,AEYE
2018-11-23,5.85,5.9727,5.65,5.9727,11828,AEYE
2018-11-26,5.83,6.0,5.6505,6.0,9807,AEYE
2018-11-27,5.78,6.0027,5.75,5.97,12565,AEYE
2018-11-28,5.95,6.62,5.85,6.62,14888,AEYE
2018-11-29,6.57,6.57,6.02,6.5,2511,AEYE
2018-11-30,6.42,6.65,6.42,6.65,2271,AEYE
2018-12-03,6.69,7.25,6.4128,7.25,6211,AEYE
2018-12-04,7.0,7.0,6.5638,6.95,3445,AEYE
2018-12-06,6.85,6.85,6.513,6.55,2312,AEYE
2018-12-07,6.66,7.0,6.66,6.99,4539,AEYE
2018-12-10,7.0,7.3923,6.5,7.07,111043,AEYE
2018-12-11,7.06,7.36,6.76,7.0,57060,AEYE
2018-12-12,7.0,7.07,6.93,7.07,11882,AEYE
2018-12-13,7.1,7.1,7.04,7.1,14508,AEYE
2018-12-14,7.03,7.101,6.9999,7.0,8603,AEYE
2018-12-17,7.19,8.0,7.19,7.7,61412,AEYE
2018-12-18,8.0,8.0,7.87,7.95,45852,AEYE
2018-12-19,8.05,8.05,7.7,7.7,29751,AEYE
2018-12-20,7.7,8.0,7.7,7.86,52819,AEYE
2018-12-21,7.98,7.98,6.76,7.005,34140,AEYE
2018-12-24,6.94,7.01,6.7,6.75,8780,AEYE
2018-12-26,7.01,7.1315,6.75,7.1,13676,AEYE
2018-12-27,6.88,8.82,6.88,8.0,300108,AEYE
2018-12-28,8.1,8.734,8.0,8.46,22253,AEYE
2018-12-31,8.46,8.6853,8.4549,8.55,10393,AEYE
2019-01-02,8.51,8.6472,8.05,8.5,8853,AEYE
2019-01-03,8.4,9.91,8.4,8.56,186853,AEYE
2019-01-04,8.63,8.8677,8.1932,8.54,10811,AEYE
2019-01-07,9.2073,9.4,8.75,8.9,35539,AEYE
2019-01-08,8.99,8.99,6.17,7.32,349326,AEYE
2019-01-09,7.28,8.102,7.09,7.92,41629,AEYE
2019-01-10,7.89,8.1,7.0,7.54,184327,AEYE
2019-01-11,7.58,8.195,7.58,8.15,29690,AEYE
2019-01-14,8.15,8.25,7.9,8.18,30536,AEYE
2019-01-15,8.3,8.3,8.15,8.25,20070,AEYE
2019-01-16,8.5,9.0,8.4577,8.99,197180,AEYE
2019-01-17,9.0,10.35,8.94,10.21,187847,AEYE
2019-01-18,10.21,12.4,10.0401,10.8,412738,AEYE
2019-01-22,10.8,11.6937,10.8,11.25,108866,AEYE
2019-01-23,12.17,12.32,10.12,10.8,335352,AEYE
2019-01-24,10.8,11.41,10.8,11.2,68868,AEYE
2019-01-25,11.3,12.0,11.0787,11.85,74875,AEYE
2019-01-28,11.84,11.84,10.7765,11.46,42714,AEYE
2019-01-29,11.32,11.64,11.0852,11.18,18173,AEYE
2019-01-30,11.18,11.3014,10.501,11.0,35535,AEYE
2019-01-31,11.0062,11.01,9.5682,9.8523,72744,AEYE
2019-02-01,9.81,10.2,9.8,9.85,36360,AEYE
2019-02-04,9.89,10.4199,9.89,10.01,25201,AEYE
2019-02-05,10.0084,10.88,10.0084,10.42,34311,AEYE
2019-02-06,10.39,10.7207,10.34,10.7,32458,AEYE
2019-02-07,10.53,10.9,10.25,10.55,13460,AEYE
2019-02-08,10.42,10.99,10.2025,10.99,33828,AEYE
2019-02-11,11.0,11.0,9.06,9.9,355273,AEYE
2019-02-12,9.99,10.16,9.7863,10.0,42339,AEYE
2019-02-13,10.0,10.3699,9.63,9.76,43838,AEYE
2019-02-14,9.75,10.0,9.65,9.65,21618,AEYE
2019-02-15,9.7,10.4,9.7,10.39,44242,AEYE
2019-02-19,10.43,10.78,9.99,10.46,24889,AEYE
2019-02-20,10.56,10.7,10.4101,10.7,25811,AEYE
2019-02-21,10.71,10.99,10.7,10.9,33293,AEYE
2019-02-22,10.96,11.5,10.75,11.3,56736,AEYE
2019-02-25,11.41,11.6,11.05,11.1,51326,AEYE
2019-02-26,11.19,11.2,10.5412,10.83,36408,AEYE
2019-02-27,10.8,10.8767,10.7011,10.75,9862,AEYE
2019-02-28,10.78,10.8127,10.36,10.66,41520,AEYE
2019-03-01,10.74,10.74,10.27,10.55,20746,AEYE
2019-03-04,10.57,10.73,10.35,10.5,12856,AEYE
2019-03-05,10.49,10.56,10.1034,10.4,10177,AEYE
2019-03-06,10.4,10.47,10.01,10.1,20120,AEYE
2019-03-07,10.04,10.32,10.0035,10.32,20485,AEYE
2019-03-08,10.16,10.19,9.9,10.15,12982,AEYE
2019-03-11,10.13,10.38,10.01,10.28,24317,AEYE
2019-03-12,10.2,10.2399,9.8,10.09,59929,AEYE
2019-03-13,10.09,10.36,10.0,10.29,16930,AEYE
2019-03-14,10.29,10.87,10.27,10.87,39389,AEYE
2019-03-15,10.88,11.1499,10.08,10.62,24040,AEYE
2019-03-18,10.61,10.6248,10.05,10.2,31596,AEYE
2019-03-19,10.15,10.6183,10.075,10.32,23945,AEYE
2019-03-20,10.3,10.3213,10.05,10.26,9277,AEYE
2019-03-21,10.0702,10.3,10.01,10.01,12626,AEYE
2019-03-22,10.02,10.157,9.52,9.55,36956,AEYE
2019-03-25,9.6,9.6,9.1,9.1,37962,AEYE
2019-03-26,9.1,9.5799,9.1,9.54,29209,AEYE
2019-03-27,9.2,9.75,9.05,9.23,17271,AEYE
2019-03-28,9.01,9.4057,9.0,9.08,37915,AEYE
2019-03-29,9.2,9.4014,9.01,9.01,13128,AEYE
2019-04-01,9.2,9.2643,8.85,9.1,23257,AEYE
2019-04-02,9.1,9.3,9.1,9.1,20554,AEYE
2019-04-03,9.14,9.2595,8.55,8.56,53610,AEYE
2019-04-04,8.52,9.388,8.52,9.1,33802,AEYE
2019-04-05,9.34,9.585,9.15,9.49,19592,AEYE
2019-04-08,9.54,9.99,9.54,9.95,32870,AEYE
2019-04-09,9.99,10.15,9.5,9.55,36919,AEYE
2019-04-10,9.62,10.315,9.6112,10.01,54595,AEYE
