Date,Open,High,Low,Close,Volume,ticker
2017-04-28,12.949,14.736,12.707,14.659,1450422,AFBI
2017-05-01,14.879,15.265,14.725,14.857,123055,AFBI
2017-05-02,14.89,15.056,14.879,14.968,48097,AFBI
2017-05-03,14.968,14.968,14.67,14.857,28472,AFBI
2017-05-04,14.89,14.89,14.67,14.78,37940,AFBI
2017-05-05,14.758,14.89,14.339,14.747,107462,AFBI
2017-05-08,14.747,14.835,14.747,14.78,10540,AFBI
2017-05-09,14.868,14.868,14.747,14.78,11272,AFBI
2017-05-10,14.78,14.78,14.615,14.714,30628,AFBI
2017-05-11,14.703,14.703,14.471,14.471,14498,AFBI
2017-05-12,14.504,14.504,14.394,14.427,32410,AFBI
2017-05-15,14.339,14.405,14.339,14.367,66511,AFBI
2017-05-16,14.372,14.488,14.372,14.372,17617,AFBI
2017-05-17,14.438,14.504,14.339,14.394,18050,AFBI
2017-05-18,14.35,14.394,14.339,14.37,26864,AFBI
2017-05-19,14.372,14.394,14.339,14.394,54467,AFBI
2017-05-22,14.342,14.427,14.339,14.405,30558,AFBI
2017-05-23,14.449,14.449,14.35,14.427,23168,AFBI
2017-05-24,14.449,14.449,14.339,14.383,11480,AFBI
2017-05-25,14.383,14.394,14.35,14.394,44177,AFBI
2017-05-26,14.394,14.449,14.357,14.394,16461,AFBI
2017-05-30,14.504,14.504,14.372,14.379,21269,AFBI
2017-05-31,14.489,14.489,14.38,14.394,7810,AFBI
2017-06-01,14.383,14.416,14.383,14.394,8874,AFBI
2017-06-02,14.504,14.504,14.383,14.416,4853,AFBI
2017-06-05,14.416,14.56,14.416,14.504,24519,AFBI
2017-06-06,14.504,15.122,14.46,14.835,39965,AFBI
2017-06-07,14.935,14.935,14.58,14.78,5199,AFBI
2017-06-08,14.895,14.99,14.89,14.957,8476,AFBI
2017-06-09,15.1,15.177,15.016,15.166,13203,AFBI
2017-06-12,15.193,16.545,15.193,16.501,36044,AFBI
2017-06-13,16.435,16.435,15.453,16.192,40255,AFBI
2017-06-14,15.773,16.435,15.718,16.424,23024,AFBI
2017-06-15,16.269,16.269,15.74,15.74,15579,AFBI
2017-06-16,15.698,16.269,14.361,14.361,95124,AFBI
2017-06-19,14.615,15.332,14.615,15.155,37473,AFBI
2017-06-20,15.111,15.365,15.028,15.144,4076,AFBI
2017-06-21,15.243,15.243,15.056,15.122,1915,AFBI
2017-06-22,15.001,15.266,14.527,14.813,9745,AFBI
2017-06-23,14.959,15.96,14.89,15.652,17438,AFBI
2017-06-26,15.563,15.563,14.913,14.946,11105,AFBI
2017-06-27,15.133,15.398,15.122,15.122,522,AFBI
2017-06-28,14.849,15.298,14.849,14.857,2197,AFBI
2017-06-30,14.924,14.924,14.924,14.924,91,AFBI
2017-07-03,15.442,15.442,15.045,15.045,2343,AFBI
2017-07-05,15.144,15.179,15.001,15.012,3953,AFBI
2017-07-06,15.398,15.398,15.056,15.166,3050,AFBI
2017-07-07,15.21,15.42,15.21,15.42,407,AFBI
2017-07-10,15.442,15.442,15.144,15.144,2629,AFBI
2017-07-11,14.979,14.99,14.714,14.714,5934,AFBI
2017-07-12,15.056,15.276,14.913,14.913,1771,AFBI
2017-07-13,15.111,15.111,14.681,14.681,1053,AFBI
2017-07-14,14.67,14.725,14.67,14.67,1687,AFBI
2017-07-17,14.67,14.879,14.67,14.879,6245,AFBI
2017-07-18,14.801,14.808,14.758,14.78,2055,AFBI
2017-07-19,14.78,14.78,14.729,14.736,1742,AFBI
2017-07-20,14.637,14.637,14.515,14.515,11393,AFBI
2017-07-21,14.591,14.747,14.472,14.747,1383,AFBI
2017-07-24,14.769,14.769,14.501,14.556,4465,AFBI
2017-07-25,14.685,14.714,14.449,14.504,1984,AFBI
2017-07-26,14.504,14.504,14.457,14.471,8261,AFBI
2017-07-27,14.471,14.471,14.284,14.405,42702,AFBI
2017-07-28,14.405,14.538,14.405,14.538,2881,AFBI
2017-07-31,14.339,14.527,14.339,14.35,2733,AFBI
2017-08-01,14.361,14.361,14.339,14.361,11808,AFBI
2017-08-02,14.339,14.549,14.284,14.482,10445,AFBI
2017-08-03,14.52,14.52,14.339,14.405,4381,AFBI
2017-08-07,14.449,14.463,14.449,14.449,1717,AFBI
2017-08-08,14.482,14.549,14.449,14.504,2388,AFBI
2017-08-09,14.538,14.538,14.339,14.449,4966,AFBI
2017-08-10,14.438,14.438,14.174,14.175,7047,AFBI
2017-08-11,14.318,14.318,14.229,14.284,4957,AFBI
2017-08-14,14.328,14.328,14.229,14.229,5136,AFBI
2017-08-15,14.207,14.216,14.063,14.063,8937,AFBI
2017-08-16,14.151,14.163,14.063,14.107,14265,AFBI
2017-08-17,14.107,14.107,13.799,13.942,7317,AFBI
2017-08-18,13.976,14.041,13.92,13.975,4805,AFBI
2017-08-21,13.832,14.118,13.832,14.118,12539,AFBI
2017-08-22,14.118,14.118,13.976,14.115,4083,AFBI
2017-08-23,14.296,14.317,14.119,14.317,2949,AFBI
2017-08-24,14.207,14.317,14.128,14.295,3133,AFBI
2017-08-25,14.128,14.197,14.118,14.185,4194,AFBI
2017-08-28,14.129,14.227,14.129,14.185,1968,AFBI
2017-08-29,14.107,14.107,13.843,13.876,10246,AFBI
2017-08-30,13.887,13.887,13.787,13.832,15493,AFBI
2017-08-31,13.851,13.876,13.787,13.787,10885,AFBI
2017-09-01,13.81,13.876,13.6,13.622,17292,AFBI
2017-09-05,13.677,13.765,13.6,13.641,5570,AFBI
2017-09-06,13.677,13.677,13.6,13.633,5043,AFBI
2017-09-07,13.633,13.666,13.291,13.346,4769,AFBI
2017-09-08,13.291,13.876,13.236,13.854,58038,AFBI
2017-09-11,13.876,13.876,13.854,13.876,13757,AFBI
2017-09-12,13.876,14.207,13.865,14.096,16261,AFBI
2017-09-13,14.703,14.703,14.285,14.471,937,AFBI
2017-09-14,14.736,14.736,14.471,14.527,811,AFBI
2017-09-15,14.692,14.769,14.466,14.769,5566,AFBI
2017-09-18,14.758,14.78,14.758,14.78,4626,AFBI
2017-09-19,14.868,14.924,14.645,14.924,3250,AFBI
2017-09-20,14.924,14.924,14.604,14.747,6313,AFBI
2017-09-21,14.706,14.744,14.699,14.736,3007,AFBI
2017-09-22,14.67,14.78,14.67,14.78,1528,AFBI
2017-09-25,14.758,15.347,14.703,14.979,3752,AFBI
2017-09-27,15.089,15.089,15.001,15.045,3282,AFBI
2017-09-28,15.001,15.001,14.833,14.833,217,AFBI
2017-09-29,15.042,15.044,14.802,14.874,1665,AFBI
2017-10-03,14.744,14.813,14.67,14.703,1488,AFBI
2017-10-04,14.67,14.78,14.67,14.681,3837,AFBI
2017-10-05,14.692,14.692,14.438,14.438,8116,AFBI
2017-10-06,14.438,14.554,14.251,14.372,27123,AFBI
2017-10-09,14.401,14.447,14.401,14.447,1950,AFBI
2017-10-10,14.531,14.531,14.063,14.295,8879,AFBI
2017-10-11,14.185,14.284,14.137,14.284,11156,AFBI
2017-10-12,14.284,14.549,14.284,14.427,3192,AFBI
