Date,Open,High,Low,Close,Volume,ticker
2019-03-20,25.04,25.05,24.93,24.99,160595,AFGB
2019-03-21,25.03,25.22,25.01,25.1,187416,AFGB
2019-03-22,25.1,25.15,25.03,25.03,37089,AFGB
2019-03-25,25.1,25.11,25.05,25.05,41545,AFGB
2019-03-26,25.1,25.1,25.06,25.09,21955,AFGB
2019-03-27,25.12,25.15,25.08,25.1,216969,AFGB
2019-03-28,25.14,25.18,25.07,25.1,157423,AFGB
2019-03-29,25.14,25.16,24.96,24.96,296549,AFGB
2019-04-01,25.01,25.08,24.96,25.0786,151073,AFGB
2019-04-02,25.1,25.24,25.07,25.22,98882,AFGB
2019-04-03,25.27,25.42,25.25,25.36,199654,AFGB
2019-04-04,25.36,25.45,25.32,25.39,103301,AFGB
2019-04-05,25.4,25.61,25.37,25.61,93383,AFGB
2019-04-08,25.61,25.89,25.5412,25.82,153603,AFGB
2019-04-09,25.71,25.99,25.65,25.86,111244,AFGB
2019-04-10,25.9,26.09,25.9,26.09,94216,AFGB
2019-04-11,26.09,26.23,26.001,26.13,56003,AFGB
2019-04-12,26.15,26.23,26.14,26.16,45554,AFGB
2019-04-15,26.16,26.22,26.06,26.06,44951,AFGB
2019-04-16,26.15,26.15,25.96,25.96,20712,AFGB
2019-04-17,25.96,25.97,25.88,25.97,30319,AFGB
2019-04-18,25.93,25.9799,25.9,25.9,14896,AFGB
2019-04-22,25.86,25.8896,25.79,25.79,15926,AFGB
2019-04-23,25.75,25.86,25.69,25.86,22244,AFGB
2019-04-24,25.87,25.93,25.86,25.92,11425,AFGB
2019-04-25,25.924,25.95,25.86,25.92,9717,AFGB
2019-04-26,25.9405,26.01,25.92,25.97,20177,AFGB
2019-04-29,25.955,26.045,25.93,25.93,15727,AFGB
2019-04-30,26.01,26.35,26.01,26.29,246537,AFGB
2019-05-01,26.27,26.35,26.2,26.31,26390,AFGB
2019-05-02,26.31,26.35,26.245,26.3,21989,AFGB
2019-05-03,26.3,26.3,26.22,26.22,8072,AFGB
2019-05-06,26.22,26.26,25.96,26.05,6592,AFGB
2019-05-07,26.16,26.2,26.04,26.05,14562,AFGB
2019-05-08,26.14,26.14,26.0868,26.14,2192,AFGB
2019-05-09,26.11,26.15,26.05,26.135,9609,AFGB
2019-05-10,26.14,26.21,26.13,26.21,17876,AFGB
2019-05-13,26.01,26.16,26.01,26.14,3529,AFGB
2019-05-14,26.14,26.2,26.0711,26.1,9162,AFGB
2019-05-15,26.21,26.35,26.21,26.35,11150,AFGB
2019-05-16,26.35,26.4,26.25,26.39,16900,AFGB
2019-05-17,26.24,26.39,26.22,26.34,7246,AFGB
2019-05-20,26.34,26.35,26.25,26.31,11390,AFGB
2019-05-21,26.25,26.33,26.25,26.26,14229,AFGB
2019-05-22,26.26,26.38,26.26,26.38,16472,AFGB
2019-05-23,26.3288,26.39,26.3288,26.39,2909,AFGB
2019-05-24,26.39,26.4,26.3,26.35,12257,AFGB
2019-05-28,26.32,26.46,26.32,26.46,6750,AFGB
