Date,Open,High,Low,Close,Volume,ticker
2019-12-05,25.4398,25.4398,25.28,25.3117,39479,AFGC
2019-12-06,25.32,25.45,25.2606,25.43,48384,AFGC
2019-12-09,25.4,25.65,25.39,25.64,104784,AFGC
2019-12-10,25.71,25.72,25.6,25.7,43811,AFGC
2019-12-11,25.7,25.7,25.58,25.62,136137,AFGC
2019-12-12,25.68,25.68,25.51,25.65,58744,AFGC
2019-12-13,25.65,25.92,25.65,25.92,13530,AFGC
2019-12-16,25.92,25.98,25.75,25.9,21283,AFGC
2019-12-17,25.92,26.36,25.88,26.28,58424,AFGC
2019-12-18,26.28,26.77,26.24,26.75,59305,AFGC
2019-12-19,26.69,26.69,26.37,26.62,93722,AFGC
2019-12-20,26.56,26.7,26.43,26.65,62835,AFGC
2019-12-23,26.65,26.99,26.545,26.91,103688,AFGC
2019-12-24,26.9,27.18,26.8,27.09,40146,AFGC
2019-12-26,27.05,27.36,27.0,27.36,30710,AFGC
2019-12-27,27.23,27.53,27.23,27.5,39253,AFGC
2019-12-30,27.46,27.72,27.46,27.685,75369,AFGC
2019-12-31,27.46,29.35,27.2,29.3,754651,AFGC
2020-01-02,28.02,28.02,27.8,28.02,359304,AFGC
2020-01-03,27.94,28.02,27.51,27.675,127031,AFGC
2020-01-06,27.98,28.5,27.55,27.65,104512,AFGC
2020-01-07,27.66,27.97,27.33,27.39,331250,AFGC
2020-01-08,27.43,27.43,27.36,27.39,9583,AFGC
2020-01-09,27.42,27.635,27.32,27.38,52834,AFGC
2020-01-10,27.33,27.47,27.05,27.05,56933,AFGC
2020-01-13,27.05,27.4712,27.05,27.29,10564,AFGC
2020-01-14,27.23,27.3,26.96,26.97,47016,AFGC
2020-01-15,26.96,27.05,26.5,26.93,409219,AFGC
2020-01-16,26.94,26.94,26.73,26.7663,14151,AFGC
2020-01-17,26.8268,26.8694,26.735,26.824,4580,AFGC
2020-01-21,26.8094,26.8874,26.52,26.57,12985,AFGC
2020-01-22,26.662,26.8,26.655,26.8,24320,AFGC
2020-01-23,26.8,26.8075,26.43,26.51,61377,AFGC
2020-01-24,26.37,26.465,26.28,26.32,13695,AFGC
2020-01-27,26.42,26.44,26.3123,26.3123,4870,AFGC
2020-01-28,26.3996,26.3996,26.33,26.33,6773,AFGC
2020-01-29,26.38,26.49,26.38,26.48,15357,AFGC
2020-01-30,26.48,26.48,26.46,26.48,7606,AFGC
2020-01-31,26.48,26.5,26.33,26.33,36218,AFGC
2020-02-03,26.33,26.4094,26.25,26.25,13060,AFGC
2020-02-04,26.4817,26.5,26.43,26.45,23327,AFGC
2020-02-05,26.49,26.49,26.47,26.48,15082,AFGC
2020-02-06,26.48,26.525,26.43,26.43,9883,AFGC
2020-02-07,26.48,26.5,26.42,26.42,79732,AFGC
2020-02-10,26.4368,26.47,26.4368,26.45,5783,AFGC
2020-02-11,26.49,26.63,26.47,26.53,45742,AFGC
2020-02-12,26.62,26.62,26.4,26.49,15695,AFGC
2020-02-13,26.4,26.48,26.4,26.48,3051,AFGC
2020-02-14,26.47,26.48,26.44,26.47,4909,AFGC
2020-02-18,26.465,26.49,26.43,26.49,11233,AFGC
2020-02-19,26.48,26.48,26.3,26.3,105370,AFGC
2020-02-20,26.35,26.53,26.35,26.53,14263,AFGC
2020-02-21,26.47,26.53,26.44,26.49,43069,AFGC
2020-02-24,26.24,26.413,26.17,26.19,16405,AFGC
2020-02-25,26.2424,26.39,25.95,26.11,49502,AFGC
2020-02-26,26.2196,26.2196,25.79,26.01,20151,AFGC
2020-02-27,25.5,25.5,25.25,25.38,32659,AFGC
2020-02-28,25.4,25.4,24.97,25.06,47413,AFGC
2020-03-02,25.2,25.44,25.1,25.37,31962,AFGC
2020-03-03,25.4,25.75,25.4,25.44,33952,AFGC
2020-03-04,25.6,25.91,25.6,25.75,33121,AFGC
2020-03-05,25.74,25.9339,25.65,25.65,28009,AFGC
2020-03-06,25.55,25.55,25.26,25.37,20717,AFGC
2020-03-09,25.14,25.14,24.31,24.5,100813,AFGC
2020-03-10,24.832,25.0,24.75,24.95,36900,AFGC
2020-03-11,24.95,24.95,24.52,24.71,56534,AFGC
2020-03-12,24.71,24.71,21.87,22.61,61554,AFGC
2020-03-13,23.5037,23.59,22.75,22.99,27902,AFGC
2020-03-16,21.77,21.77,18.0,19.79,24827,AFGC
2020-03-17,20.05,20.3897,19.91,19.92,10350,AFGC
2020-03-18,19.87,19.87,13.0544,14.44,34152,AFGC
2020-03-19,15.5,16.6,14.5591,15.79,50479,AFGC
