Date,Open,High,Low,Close,Volume,ticker
2024-01-23,0.21,0.21,0.19,0.2,1400,AFJKR
2024-01-24,0.19,0.2,0.18,0.198,328900,AFJKR
2024-01-25,0.19,0.1902,0.18,0.1902,404992,AFJKR
2024-01-26,0.19,0.19,0.19,0.19,3094,AFJKR
2024-01-30,0.1801,0.1801,0.18,0.18,39006,AFJKR
2024-02-01,0.2,0.2,0.17,0.1849,11900,AFJKR
2024-02-09,0.1701,0.1801,0.1701,0.1801,26600,AFJKR
2024-02-12,0.18,0.18,0.18,0.18,1100,AFJKR
2024-02-15,0.21,0.22,0.2,0.22,16502,AFJKR
2024-02-16,0.22,0.22,0.22,0.22,1402,AFJKR
2024-02-23,0.1801,0.21,0.1801,0.21,6000,AFJKR
2024-02-26,0.19,0.19,0.19,0.19,201,AFJKR
2024-02-27,0.22,0.22,0.1901,0.1901,25116,AFJKR
2024-02-29,0.15,0.18,0.15,0.18,2278,AFJKR
2024-03-01,0.1901,0.22,0.1901,0.22,5202,AFJKR
2024-03-07,0.23,0.23,0.23,0.23,102,AFJKR
2024-03-13,0.2,0.2,0.2,0.2,49201,AFJKR
2024-03-15,0.2,0.2,0.2,0.2,10000,AFJKR
2024-03-26,0.1801,0.2,0.1801,0.2,15200,AFJKR
2024-04-01,0.21,0.25,0.21,0.2196,16913,AFJKR
2024-04-15,0.21,0.2201,0.21,0.22,10000,AFJKR
2024-04-19,0.21,0.22,0.21,0.22,12000,AFJKR
2024-04-22,0.221,0.221,0.2201,0.2201,14201,AFJKR
2024-05-06,0.215001,0.215001,0.215001,0.215001,150,AFJKR
2024-05-07,0.22,0.22,0.22,0.22,500,AFJKR
2024-06-18,0.22,0.22,0.219751,0.219751,600,AFJKR
2024-06-20,0.25,0.3,0.25,0.25,194998,AFJKR
2024-06-21,0.25,0.25,0.25,0.25,4315,AFJKR
2024-06-24,0.2201,0.24,0.2201,0.23,52487,AFJKR
2024-06-25,0.2201,0.23,0.2201,0.23,2598,AFJKR
2024-06-26,0.23,0.230001,0.23,0.230001,200,AFJKR
2024-06-27,0.21,0.21,0.21,0.21,550,AFJKR
2024-06-28,0.21,0.21,0.21,0.21,100,AFJKR
2024-07-02,0.21,0.21,0.21,0.21,160700,AFJKR
2024-07-26,0.24,0.29,0.2364,0.29,36504,AFJKR
2024-07-30,0.25,0.25,0.25,0.25,500,AFJKR
2024-08-02,0.264,0.264,0.2495,0.25,43500,AFJKR
2024-09-30,0.29,0.29,0.23,0.23,700,AFJKR
2024-10-08,0.242,0.242,0.23,0.23,1500,AFJKR
2024-10-10,0.244,0.244,0.23,0.23,5000,AFJKR
2024-10-16,0.21,0.22,0.21,0.22,400,AFJKR
2024-10-17,0.22,0.23,0.1944,0.2,21080,AFJKR
2024-10-23,0.25,0.25,0.23,0.23,1252,AFJKR
2024-10-28,0.2992,0.2992,0.192,0.192,2150,AFJKR
2024-10-30,0.272,0.3,0.272,0.28,11187,AFJKR
2024-10-31,0.212,0.212,0.2119,0.2119,205,AFJKR
2024-11-04,0.2365,0.2365,0.2365,0.2365,430,AFJKR
2024-11-05,0.2298,0.2298,0.2298,0.2298,130,AFJKR
2024-11-18,0.212,0.212,0.2001,0.2001,596,AFJKR
2024-11-27,0.2085,0.2085,0.1901,0.1901,766,AFJKR
2024-11-29,0.18,0.18,0.18,0.18,400,AFJKR
2025-01-10,0.16,0.16,0.16,0.16,200,AFJKR
2025-01-22,0.1943,0.2,0.1871,0.2,1000,AFJKR
2025-01-23,0.2,0.2,0.2,0.2,500,AFJKR
2025-01-24,0.2,0.2,0.2,0.2,500,AFJKR
2025-01-29,0.2123,0.2123,0.2123,0.2123,200,AFJKR
2025-01-30,0.23,0.25,0.23,0.25,5000,AFJKR
2025-02-05,0.26,0.29,0.19,0.29,9357,AFJKR
