Date,Open,High,Low,Close,Volume,ticker
2019-07-19,23.5,24.72,22.0,24.09,7748221,AFYA
2019-07-22,23.26,24.69,22.8,23.56,1032111,AFYA
2019-07-23,23.52,24.71,23.1375,24.52,599275,AFYA
2019-07-24,24.61,28.13,24.385,27.45,1260460,AFYA
2019-07-25,27.41,28.75,26.7201,27.66,501424,AFYA
2019-07-26,27.82,28.18,27.0,28.15,228267,AFYA
2019-07-29,28.17,28.73,27.34,28.62,592477,AFYA
2019-07-30,28.31,28.9,27.63,28.62,373963,AFYA
2019-07-31,28.59,29.26,27.89,28.92,179162,AFYA
2019-08-01,29.33,29.37,26.01,26.93,625786,AFYA
2019-08-02,26.53,27.16,26.32,26.84,385046,AFYA
2019-08-05,25.98,26.3457,25.01,25.69,164432,AFYA
2019-08-06,25.62,26.87,25.26,26.27,59044,AFYA
2019-08-07,26.04,26.42,25.02,25.27,76269,AFYA
2019-08-08,25.21,25.88,25.21,25.48,73133,AFYA
2019-08-09,25.71,26.0,24.63,24.91,89276,AFYA
2019-08-12,24.9,25.33,23.52,25.09,172925,AFYA
2019-08-13,24.77,25.1,23.94,25.06,161492,AFYA
2019-08-14,24.65,24.82,23.4275,24.45,174702,AFYA
2019-08-15,24.75,25.39,23.29,24.99,227463,AFYA
2019-08-16,25.08,25.9,24.9,25.59,117272,AFYA
2019-08-19,25.68,28.15,25.27,27.03,364517,AFYA
2019-08-20,26.95,28.8,26.84,28.29,337344,AFYA
2019-08-21,28.45,28.99,27.515,28.34,297233,AFYA
2019-08-22,28.5,32.45,28.3582,30.52,465934,AFYA
2019-08-23,30.35,31.4,29.57,30.34,171304,AFYA
2019-08-26,30.59,32.43,30.0,31.46,364100,AFYA
2019-08-27,31.77,32.62,31.1679,32.32,185182,AFYA
2019-08-28,32.32,32.47,31.51,31.66,281260,AFYA
2019-08-29,31.75,32.64,30.01,31.39,150510,AFYA
2019-08-30,29.03,29.2,21.81,21.9,1769652,AFYA
2019-09-03,23.56,25.27,23.51,24.85,1165721,AFYA
2019-09-04,24.65,24.9014,23.58,24.39,342644,AFYA
2019-09-05,24.45,25.495,24.02,25.07,272601,AFYA
2019-09-06,25.05,25.41,24.27,24.56,362078,AFYA
2019-09-09,24.8775,24.95,22.69,23.06,677518,AFYA
2019-09-10,22.79,23.74,22.15,22.68,566616,AFYA
2019-09-11,22.59,23.94,22.16,22.72,268390,AFYA
2019-09-12,22.89,24.18,22.75,23.67,297545,AFYA
2019-09-13,23.7,24.5,23.2865,24.01,384384,AFYA
2019-09-16,23.82,24.41,23.18,23.35,203438,AFYA
2019-09-17,23.36,23.99,22.74,23.13,249192,AFYA
2019-09-18,23.1,23.73,22.49,22.97,462131,AFYA
2019-09-19,23.42,24.95,23.42,24.02,507630,AFYA
2019-09-20,24.03,24.36,22.89,23.66,508448,AFYA
