Date,Open,High,Low,Close,Volume,ticker
2024-05-06,40.44,40.44,40.44,40.44,24,AGGS
2024-05-07,40.63,40.63,40.535,40.535,100000,AGGS
2024-05-09,40.4597,40.5399,40.4597,40.5399,205,AGGS
2024-05-13,40.53,40.53,40.51,40.51,172667,AGGS
2024-05-16,40.87,40.87,40.7955,40.7955,300,AGGS
2024-05-17,40.7199,40.7199,40.7199,40.7199,2,AGGS
2024-05-20,40.6817,40.6817,40.6817,40.6817,1,AGGS
2024-05-21,40.76,40.7649,40.73,40.7649,137002,AGGS
2024-05-22,40.73,40.73,40.7279,40.7279,303,AGGS
2024-05-23,40.605,40.605,40.5982,40.5982,100,AGGS
2024-05-24,40.6096,40.64,40.6096,40.64,200,AGGS
2024-05-28,40.6701,40.6701,40.4855,40.4855,502,AGGS
2024-05-29,40.325,40.325,40.325,40.325,1,AGGS
2024-05-30,40.4584,40.4584,40.4584,40.4584,1,AGGS
2024-05-31,40.6277,40.6277,40.6277,40.6277,2,AGGS
2024-06-03,40.753,40.753,40.753,40.753,1,AGGS
2024-06-04,40.935,40.935,40.935,40.935,1,AGGS
2024-06-05,41.0368,41.0368,41.0368,41.0368,5,AGGS
2024-06-06,41.0449,41.0449,41.0449,41.0449,2,AGGS
2024-06-07,40.765,40.765,40.7235,40.7235,480,AGGS
2024-06-10,40.6619,40.6619,40.6619,40.6619,2,AGGS
2024-06-11,40.8172,40.8172,40.8172,40.8172,1,AGGS
2024-06-12,40.9869,40.9869,40.9869,40.9869,86,AGGS
2024-06-13,41.2002,41.2002,41.2002,41.2002,86,AGGS
2024-06-14,41.2518,41.2518,41.2518,41.2518,6,AGGS
2024-06-17,41.1072,41.1072,41.1072,41.1072,1,AGGS
2024-06-18,41.2652,41.2652,41.2652,41.2652,1,AGGS
2024-06-20,41.1863,41.1863,41.1863,41.1863,4,AGGS
2024-06-21,41.1865,41.1865,41.1865,41.1865,271,AGGS
2024-06-24,41.2254,41.2254,41.2254,41.2254,1,AGGS
2024-06-25,41.2,41.2361,41.2,41.2361,120,AGGS
2024-06-26,41.041,41.041,41.041,41.041,2,AGGS
2024-06-27,41.1029,41.1029,41.1029,41.1029,1,AGGS
2024-06-28,40.9361,40.9361,40.9361,40.9361,2,AGGS
2024-07-01,40.56,40.56,40.5399,40.5399,625,AGGS
2024-07-02,40.67,40.75,40.6649,40.6649,2002,AGGS
2024-07-03,40.8668,40.8668,40.8668,40.8668,6,AGGS
2024-07-05,41.0,41.0637,41.0,41.0637,202,AGGS
2024-07-08,41.0866,41.0866,41.0866,41.0866,1,AGGS
2024-07-09,41.0387,41.0387,41.0387,41.0387,1,AGGS
