Date,Open,High,Low,Close,Volume,ticker
2024-07-23,25.18,25.35,25.18,25.2669,3051,AGIX
2024-07-24,25.05,25.05,23.9837,23.9837,13191,AGIX
2024-07-25,24.0,24.19,23.78,23.905,8942,AGIX
2024-07-26,24.23,24.23,23.93,24.0483,3667,AGIX
2024-07-29,24.24,24.265,23.94,24.055,29244,AGIX
2024-07-30,24.29,24.29,23.39,23.4636,44664,AGIX
2024-07-31,24.19,24.3898,24.19,24.3898,3445,AGIX
2024-08-01,24.5,24.6205,23.3772,23.558,14640,AGIX
2024-08-02,23.01,23.1,22.5,22.7737,13351,AGIX
2024-08-05,22.1,22.11,21.82,22.0545,13365,AGIX
2024-08-06,22.61,22.63,22.4206,22.4206,430,AGIX
2024-08-07,23.04,23.04,22.158,22.158,813,AGIX
2024-08-08,22.835,22.9692,22.835,22.9692,403,AGIX
2024-08-09,23.24,23.24,23.1927,23.1927,294,AGIX
2024-08-12,23.41,23.41,23.195,23.2066,1770,AGIX
2024-08-13,23.6301,23.9362,23.6301,23.9362,4272,AGIX
2024-08-14,24.0,24.08,23.88,24.0716,1136,AGIX
2024-08-15,24.555,24.75,24.55,24.7475,7276,AGIX
2024-08-16,24.74,24.81,24.71,24.8044,1653,AGIX
2024-08-19,24.86,25.1338,24.71,25.1338,1829,AGIX
2024-08-20,25.2,25.3,25.11,25.125,2089,AGIX
2024-08-21,25.13,25.24,25.12,25.2258,2907,AGIX
2024-08-22,25.23,25.23,24.6059,24.6059,4832,AGIX
2024-08-23,25.0,25.0,24.72,24.97,574,AGIX
2024-08-26,25.0,25.0,24.58,24.6173,609,AGIX
2024-08-27,24.58,24.635,24.58,24.6347,297,AGIX
2024-08-28,24.19,24.3124,24.19,24.3124,1247,AGIX
2024-08-29,24.39,24.7,24.2501,24.2501,2300,AGIX
2024-08-30,24.47,24.565,24.355,24.565,545,AGIX
2024-09-03,24.48,24.48,23.5279,23.5279,1827,AGIX
2024-09-04,23.4363,23.4363,23.4363,23.4363,226,AGIX
2024-09-05,23.52,23.61,23.5,23.5024,654,AGIX
2024-09-06,23.5,23.5,22.7943,22.7943,1021,AGIX
2024-09-09,23.16,23.2206,23.06,23.2206,1197,AGIX
2024-09-10,23.38,23.5534,23.38,23.5534,276,AGIX
2024-09-11,23.58,24.26,23.58,24.2548,1030,AGIX
2024-09-12,24.5325,24.5325,24.5325,24.5325,190,AGIX
2024-09-13,24.58,24.65,24.58,24.6284,337,AGIX
2024-09-16,24.63,24.63,24.3413,24.5362,3444,AGIX
2024-09-17,24.67,24.67,24.42,24.4833,3622,AGIX
2024-09-18,24.3917,24.3978,24.3917,24.3978,993,AGIX
2024-09-19,24.9,25.19,24.9,25.09,5207,AGIX
2024-09-20,25.0745,25.0745,25.0745,25.0745,168,AGIX
2024-09-23,25.1,25.1973,25.1,25.1973,4895,AGIX
2024-09-24,25.09,25.37,25.04,25.3466,2744,AGIX
2024-09-25,25.48,25.48,25.41,25.4208,5059,AGIX
2024-09-26,25.73,25.73,25.435,25.629,2554,AGIX
2024-09-27,25.71,25.71,25.3798,25.3798,4669,AGIX
2024-09-30,25.31,25.4028,25.24,25.4028,3125,AGIX
2024-10-01,25.2,25.2,24.7999,24.8916,3916,AGIX
2024-10-02,24.98,25.1199,24.98,25.085,4865,AGIX
