Date,Open,High,Low,Close,Volume,ticker
2024-05-07,25.87,25.9556,25.87,25.9556,104,AGMI
2024-05-08,25.84,25.98,25.7477,25.7477,1100,AGMI
2024-05-09,26.04,27.2478,26.04,27.2478,352,AGMI
2024-05-10,27.57,27.57,27.0121,27.0121,200,AGMI
2024-05-13,27.05,27.05,26.7776,26.7776,103,AGMI
2024-05-14,27.147,27.2095,27.0,27.2095,301,AGMI
2024-05-15,27.56,27.92,27.085,27.7705,861,AGMI
2024-05-16,27.44,27.6683,27.44,27.6683,101,AGMI
2024-05-17,28.29,29.334,28.29,29.334,1943,AGMI
2024-05-20,29.63,29.7716,29.4,29.7716,1074,AGMI
2024-05-21,29.65,29.65,29.3188,29.3188,3758,AGMI
2024-05-22,28.91,28.91,28.0737,28.0737,356,AGMI
2024-05-23,28.0711,28.0711,27.686,27.686,274,AGMI
2024-05-24,28.23,28.23,27.9705,27.9705,102,AGMI
2024-05-28,29.02,29.28,28.91,29.2217,3133,AGMI
2024-05-29,28.88,28.88,28.56,28.6198,1805,AGMI
2024-05-30,28.51,28.557,28.51,28.557,151,AGMI
2024-05-31,28.875,28.875,28.31,28.4695,443,AGMI
2024-06-03,28.05,28.09,27.9591,27.9591,895,AGMI
2024-06-04,27.46,27.46,26.607,26.607,711,AGMI
2024-06-05,26.4694,26.86,26.4694,26.8275,7004,AGMI
2024-06-06,27.01,27.6799,27.01,27.6133,875,AGMI
2024-06-07,26.84,26.84,25.8,25.8256,1857,AGMI
2024-06-10,25.96,26.13,25.96,26.0749,2616,AGMI
2024-06-11,25.69,25.8274,25.69,25.8274,112,AGMI
2024-06-12,26.47,26.47,25.77,25.9033,3137,AGMI
2024-06-13,25.84,25.84,25.3195,25.3195,877,AGMI
2024-06-14,25.41,25.64,25.36,25.56,3851,AGMI
2024-06-17,25.48,25.48,25.3568,25.3568,628,AGMI
2024-06-18,25.76,25.7845,25.76,25.7845,100,AGMI
2024-06-20,26.13,26.6753,26.13,26.6753,455,AGMI
2024-06-21,26.14,26.14,25.89,25.96,622,AGMI
2024-06-24,26.16,26.19,25.9921,25.9921,475,AGMI
2024-06-25,25.5553,25.8,25.5553,25.5553,103,AGMI
2024-06-26,25.38,25.5519,25.38,25.5519,600,AGMI
2024-06-27,25.65,25.74,25.574,25.574,400,AGMI
2024-06-28,25.9,25.9,25.5294,25.5294,400,AGMI
2024-07-01,25.69,25.69,25.3837,25.3837,100,AGMI
2024-07-02,25.53,25.5662,25.42,25.5662,925,AGMI
2024-07-03,26.1,26.84,26.1,26.7242,474,AGMI
2024-07-05,27.29,27.4445,27.27,27.4445,1407,AGMI
2024-07-08,27.25,27.4572,27.25,27.4572,913,AGMI
2024-07-09,27.57,27.57,27.2203,27.2203,1608,AGMI
2024-07-10,27.48,28.3172,27.48,28.3172,103,AGMI
2024-07-11,28.89,29.1444,28.89,29.1444,4021,AGMI
2024-07-12,28.88,29.25,28.88,29.25,2586,AGMI
2024-07-15,29.11,29.11,28.8892,28.8892,181,AGMI
2024-07-16,28.84,29.5692,28.84,29.5692,1023,AGMI
2024-07-17,29.26,29.26,28.7781,28.7781,242,AGMI
2024-07-18,28.85,28.85,27.7266,27.7266,502,AGMI
2024-07-19,27.12,27.6097,27.12,27.6097,4737,AGMI
2024-07-22,27.53,27.7771,27.53,27.7771,121,AGMI
2024-07-23,27.69,27.69,27.5699,27.5699,105,AGMI
2024-07-24,27.66,27.66,27.305,27.305,908,AGMI
2024-07-25,26.55,26.68,26.5231,26.5231,4835,AGMI
2024-07-26,26.91,26.91,26.7766,26.7766,351,AGMI
2024-07-29,26.9,26.9,26.8956,26.8956,501,AGMI
2024-07-30,26.99,27.0978,26.99,27.0978,601,AGMI
2024-07-31,28.07,28.14,27.9599,28.0798,1700,AGMI
2024-08-01,27.77,27.77,26.6156,26.6156,271,AGMI
2024-08-02,26.73,26.73,25.6278,25.6278,1004,AGMI
