Date,Open,High,Low,Close,Volume,ticker
2022-09-16,22.2,22.385,21.75,21.88,88824,AGNCL
2022-09-19,22.0,22.0,21.37,21.69,103194,AGNCL
2022-09-20,21.43,21.51,21.125,21.26,139798,AGNCL
2022-09-21,21.28,21.54,21.2,21.3,193783,AGNCL
2022-09-22,21.39,21.4577,21.13,21.4,170302,AGNCL
2022-09-23,21.35,21.35,20.6933,20.75,282965,AGNCL
2022-09-26,20.76,21.0,20.31,20.35,131923,AGNCL
2022-09-27,20.7,20.7,19.28,19.75,393295,AGNCL
2022-09-28,19.91,20.48,19.875,20.36,197172,AGNCL
2022-09-29,20.3,20.3,19.82,20.02,209060,AGNCL
2022-09-30,20.17,20.24,19.63,19.7,684062,AGNCL
2022-10-03,19.9,20.4999,19.82,20.0,99450,AGNCL
2022-10-04,20.22,21.8,20.22,20.87,192027,AGNCL
2022-10-05,21.24,21.42,20.72,21.03,175208,AGNCL
2022-10-06,20.83,21.09,20.81,20.89,34517,AGNCL
2022-10-07,20.85,21.0,20.72,20.9138,39879,AGNCL
2022-10-10,21.1,21.1,20.25,20.42,85203,AGNCL
2022-10-11,20.3116,21.0,20.3116,20.63,82192,AGNCL
2022-10-12,20.66,20.82,20.28,20.28,56747,AGNCL
2022-10-13,20.08,20.58,20.0,20.05,28765,AGNCL
2022-10-14,20.25,20.3062,19.65,19.7,27659,AGNCL
2022-10-17,19.8,19.9512,19.6369,19.89,22849,AGNCL
2022-10-18,19.75,20.2,19.75,19.89,30158,AGNCL
2022-10-19,19.875,19.875,19.1921,19.44,28828,AGNCL
2022-10-20,19.35,19.5,19.0519,19.26,49977,AGNCL
2022-10-21,19.1,19.48,19.1,19.43,30955,AGNCL
2022-10-24,19.6,19.6,19.3,19.45,34434,AGNCL
2022-10-25,19.45,19.93,19.4,19.9,41115,AGNCL
2022-10-26,20.04,20.75,20.04,20.54,60534,AGNCL
2022-10-27,20.54,20.9999,20.54,20.8,47478,AGNCL
2022-10-28,20.95,21.1999,20.85,21.15,26734,AGNCL
2022-10-31,21.15,21.48,20.78,20.78,33329,AGNCL
2022-11-01,21.09,21.2928,20.64,20.84,49592,AGNCL
2022-11-02,20.84,20.84,20.109,20.3,45451,AGNCL
2022-11-03,20.3,20.3799,19.95,20.15,32651,AGNCL
2022-11-04,20.29,20.31,20.09,20.1075,17238,AGNCL
2022-11-07,20.28,20.7,19.8,20.48,92604,AGNCL
2022-11-08,20.65,21.37,20.41,21.05,91215,AGNCL
2022-11-09,20.71,21.02,20.5926,20.9,51712,AGNCL
2022-11-10,21.33,21.5999,21.05,21.56,76739,AGNCL
2022-11-11,21.56,21.75,21.4291,21.75,37825,AGNCL
