Date,Open,High,Low,Close,Volume,ticker
2017-08-28,21.292,21.495,21.292,21.36,360819,AGNCN
2017-08-29,21.351,21.369,21.199,21.343,233064,AGNCN
2017-08-30,21.334,21.427,21.334,21.36,197227,AGNCN
2017-08-31,21.385,21.394,21.334,21.36,327452,AGNCN
2017-09-01,21.36,21.394,21.325,21.385,287739,AGNCN
2017-09-05,21.444,21.444,21.343,21.343,308870,AGNCN
2017-09-06,21.401,21.479,21.351,21.479,219971,AGNCN
2017-09-07,21.495,21.574,21.421,21.574,210187,AGNCN
2017-09-08,21.495,21.605,21.495,21.581,119550,AGNCN
2017-09-11,21.624,21.624,21.532,21.554,165166,AGNCN
2017-09-12,21.574,21.615,21.532,21.597,194983,AGNCN
2017-09-13,21.554,21.615,21.487,21.546,241060,AGNCN
2017-09-14,21.523,21.665,21.523,21.605,360501,AGNCN
2017-09-15,21.615,21.615,21.532,21.564,318572,AGNCN
2017-09-18,21.582,21.665,21.532,21.665,470307,AGNCN
2017-09-19,21.665,21.665,21.582,21.615,236794,AGNCN
2017-09-20,21.65,21.693,21.589,21.624,198360,AGNCN
2017-09-21,21.615,21.684,21.582,21.589,453363,AGNCN
2017-09-22,21.564,21.642,21.554,21.624,143497,AGNCN
2017-09-25,21.642,21.684,21.624,21.669,129548,AGNCN
2017-09-26,21.7,21.735,21.65,21.706,170515,AGNCN
2017-09-27,21.684,21.794,21.656,21.716,264683,AGNCN
2017-09-28,21.605,21.706,21.538,21.693,241008,AGNCN
2017-09-29,21.7,22.083,21.625,21.921,139102,AGNCN
2017-10-02,22.015,22.015,21.828,21.921,108140,AGNCN
2017-10-03,21.956,21.956,21.837,21.845,58979,AGNCN
2017-10-04,21.837,21.99,21.828,21.862,105100,AGNCN
2017-10-05,21.921,21.965,21.879,21.938,158203,AGNCN
2017-10-06,21.879,21.956,21.777,21.921,209592,AGNCN
2017-10-09,21.921,22.007,21.879,21.896,248452,AGNCN
2017-10-10,21.956,21.965,21.848,21.905,178275,AGNCN
2017-10-11,21.887,22.007,21.887,21.965,182556,AGNCN
2017-10-12,21.981,22.083,21.969,22.057,190191,AGNCN
2017-10-13,22.083,22.279,22.057,22.252,153348,AGNCN
2017-10-16,22.159,22.517,22.159,22.297,135975,AGNCN
2017-10-17,22.303,22.363,22.252,22.303,138038,AGNCN
2017-10-18,22.355,22.585,22.303,22.509,179802,AGNCN
2017-10-19,22.474,22.553,22.433,22.526,190938,AGNCN
2017-10-20,22.553,22.564,22.363,22.517,1576839,AGNCN
2017-10-23,22.502,22.739,22.451,22.595,108279,AGNCN
2017-10-24,22.62,22.62,22.303,22.526,93490,AGNCN
2017-10-25,22.568,22.705,22.4,22.526,150728,AGNCN
2017-10-26,22.474,22.654,22.453,22.636,135504,AGNCN
2017-10-27,22.636,22.806,22.561,22.612,96312,AGNCN
2017-10-30,22.646,22.687,22.594,22.604,105478,AGNCN
2017-10-31,22.687,22.806,22.646,22.773,54131,AGNCN
2017-11-01,22.773,22.773,22.492,22.553,112055,AGNCN
2017-11-02,22.646,22.646,22.479,22.544,87302,AGNCN
2017-11-03,22.544,22.553,22.484,22.502,46574,AGNCN
2017-11-06,22.474,22.492,22.43,22.433,14524,AGNCN
2017-11-07,22.544,22.544,22.348,22.442,36337,AGNCN
2017-11-08,22.509,22.509,22.27,22.313,100488,AGNCN
2017-11-09,22.303,22.455,22.186,22.229,69346,AGNCN
2017-11-10,22.372,22.391,22.229,22.391,531809,AGNCN
2017-11-13,22.553,22.553,22.246,22.262,25616,AGNCN
2017-11-14,22.262,22.544,22.127,22.355,32332,AGNCN
2017-11-15,22.544,22.553,22.308,22.534,156258,AGNCN
2017-11-16,22.544,22.544,21.972,21.981,148209,AGNCN
2017-11-17,21.965,22.093,21.777,21.965,187829,AGNCN
2017-11-20,22.049,22.15,22.007,22.015,68715,AGNCN
2017-11-21,22.015,22.127,21.956,21.998,40870,AGNCN
2017-11-22,22.049,22.202,21.965,22.117,126161,AGNCN
2017-11-24,22.201,22.201,22.143,22.157,6226,AGNCN
2017-11-27,22.15,22.178,22.057,22.143,26779,AGNCN
2017-11-28,22.127,22.15,22.127,22.127,43534,AGNCN
2017-11-29,22.135,22.135,21.947,22.049,119040,AGNCN
2017-11-30,22.076,22.21,21.947,21.981,108630,AGNCN
2017-12-01,21.947,22.117,21.921,22.042,53358,AGNCN
2017-12-04,22.135,22.135,22.041,22.135,10980,AGNCN
2017-12-05,22.135,22.21,22.102,22.194,33814,AGNCN
2017-12-06,22.159,22.324,22.083,22.093,33152,AGNCN
2017-12-07,22.201,22.381,22.178,22.372,85351,AGNCN
2017-12-08,22.363,22.401,22.262,22.363,22358,AGNCN
2017-12-11,22.391,22.451,22.295,22.349,5445,AGNCN
2017-12-12,22.442,22.442,22.297,22.34,10175,AGNCN
2017-12-13,22.252,22.423,22.252,22.313,15420,AGNCN
2017-12-14,22.509,22.509,22.238,22.34,31089,AGNCN
2017-12-15,22.401,22.509,22.289,22.289,31462,AGNCN
2017-12-18,22.451,22.466,22.303,22.368,27744,AGNCN
2017-12-19,22.303,22.381,22.303,22.349,41812,AGNCN
2017-12-20,22.474,22.474,22.238,22.238,35560,AGNCN
2017-12-21,22.279,22.414,22.279,22.405,21578,AGNCN
2017-12-22,22.517,22.517,22.391,22.484,25562,AGNCN
2017-12-26,22.517,22.517,22.399,22.492,11233,AGNCN
2017-12-27,22.433,22.517,22.391,22.474,35045,AGNCN
2017-12-28,22.349,22.349,21.921,21.947,67511,AGNCN
2017-12-29,22.042,22.042,21.921,21.921,19666,AGNCN
2018-01-02,21.998,22.032,21.837,22.015,37391,AGNCN
2018-01-03,22.049,22.049,21.938,22.024,54479,AGNCN
2018-01-04,21.929,22.049,21.929,21.99,32626,AGNCN
2018-01-05,22.007,22.201,21.965,21.998,39325,AGNCN
2018-01-08,22.042,22.194,21.979,22.159,63319,AGNCN
2018-01-09,22.135,22.164,22.007,22.032,120236,AGNCN
2018-01-10,22.066,22.066,21.896,22.007,62198,AGNCN
2018-01-11,22.093,22.132,22.007,22.093,52294,AGNCN
2018-01-12,22.117,22.135,21.965,22.093,37883,AGNCN
2018-01-16,22.117,22.135,21.965,22.042,40046,AGNCN
2018-01-17,22.007,22.108,21.845,22.024,86939,AGNCN
2018-01-18,22.057,22.057,21.818,21.921,61852,AGNCN
2018-01-19,22.024,22.246,21.879,22.186,219267,AGNCN
2018-01-22,22.262,22.302,21.998,22.057,33958,AGNCN
2018-01-23,22.042,22.168,21.956,22.049,29351,AGNCN
2018-01-24,22.007,22.135,21.909,21.956,44816,AGNCN
2018-01-25,22.049,22.049,21.845,21.845,36980,AGNCN
2018-01-26,21.87,22.024,21.684,21.735,104558,AGNCN
2018-01-29,21.744,21.818,21.605,21.615,74710,AGNCN
2018-01-30,21.615,21.665,21.316,21.503,132210,AGNCN
2018-01-31,21.665,21.665,21.411,21.656,87142,AGNCN
2018-02-01,21.65,21.723,21.582,21.65,570387,AGNCN
2018-02-02,21.605,21.706,21.495,21.65,58198,AGNCN
2018-02-05,21.665,21.737,21.538,21.597,133015,AGNCN
2018-02-06,21.582,21.665,21.472,21.624,45730,AGNCN
2018-02-07,21.642,21.73,21.616,21.665,145433,AGNCN
2018-02-08,21.65,21.665,21.615,21.656,49571,AGNCN
2018-02-09,21.706,21.706,21.564,21.642,48457,AGNCN
2018-02-12,21.7,21.7,21.554,21.684,40665,AGNCN
2018-02-13,21.803,21.803,21.503,21.538,61745,AGNCN
2018-02-14,21.532,21.656,21.427,21.452,79905,AGNCN
2018-02-15,21.642,21.716,21.48,21.716,27328,AGNCN
2018-02-16,21.693,21.845,21.665,21.675,222462,AGNCN
2018-02-20,21.706,21.965,21.583,21.665,27979,AGNCN
2018-02-21,21.777,21.836,21.584,21.624,56422,AGNCN
2018-02-22,21.735,21.735,21.376,21.436,590085,AGNCN
2018-02-23,21.472,21.554,21.401,21.436,296374,AGNCN
2018-02-26,21.436,21.554,21.436,21.436,204896,AGNCN
2018-02-27,21.452,21.487,21.369,21.452,167593,AGNCN
