Date,Open,High,Low,Close,Volume,ticker
2019-10-07,23.3,23.325,23.242,23.297,503015,AGNCO
2019-10-08,23.297,23.419,23.288,23.419,435736,AGNCO
2019-10-09,23.419,23.455,23.373,23.419,182457,AGNCO
2019-10-10,23.419,23.436,23.279,23.288,249842,AGNCO
2019-10-11,23.325,23.344,23.251,23.251,199326,AGNCO
2019-10-14,23.307,23.363,23.279,23.353,127651,AGNCO
2019-10-15,23.353,23.4,23.297,23.363,177386,AGNCO
2019-10-16,23.4,23.4,23.297,23.353,192388,AGNCO
2019-10-17,23.344,23.4,23.325,23.4,177202,AGNCO
2019-10-18,23.409,23.409,23.334,23.344,33888,AGNCO
2019-10-21,23.373,23.38,23.325,23.325,265606,AGNCO
2019-10-22,23.373,23.373,23.334,23.353,145643,AGNCO
2019-10-23,23.373,23.446,23.356,23.409,165484,AGNCO
2019-10-24,23.436,23.557,23.419,23.557,132835,AGNCO
2019-10-25,23.52,23.566,23.465,23.557,184590,AGNCO
2019-10-28,23.53,23.576,23.419,23.576,352588,AGNCO
2019-10-29,23.502,23.612,23.502,23.59,173885,AGNCO
2019-10-30,23.568,23.789,23.511,23.789,655393,AGNCO
2019-10-31,23.673,23.947,23.65,23.864,2042869,AGNCO
2019-11-01,23.752,23.789,23.659,23.696,98048,AGNCO
2019-11-04,23.688,23.715,23.603,23.663,131682,AGNCO
2019-11-05,23.65,23.674,23.603,23.646,91760,AGNCO
2019-11-06,23.641,23.743,23.603,23.688,270289,AGNCO
2019-11-07,23.658,23.734,23.557,23.724,110417,AGNCO
2019-11-08,23.691,23.827,23.662,23.773,99083,AGNCO
2019-11-11,23.818,23.835,23.776,23.78,23974,AGNCO
2019-11-12,23.771,23.835,23.752,23.78,42625,AGNCO
2019-11-13,23.78,23.78,23.65,23.696,71908,AGNCO
2019-11-14,23.706,23.743,23.659,23.724,108441,AGNCO
2019-11-15,23.696,23.789,23.65,23.767,33252,AGNCO
2019-11-18,23.743,23.759,23.696,23.734,66481,AGNCO
2019-11-19,23.701,23.727,23.65,23.696,52241,AGNCO
2019-11-20,23.688,23.835,23.65,23.789,61451,AGNCO
2019-11-21,23.692,23.835,23.692,23.822,42872,AGNCO
2019-11-22,23.812,23.835,23.715,23.835,65508,AGNCO
2019-11-25,23.782,23.882,23.696,23.762,70210,AGNCO
2019-11-26,23.776,23.928,23.724,23.882,83989,AGNCO
2019-11-27,23.864,23.882,23.734,23.789,233434,AGNCO
2019-11-29,23.789,23.789,23.724,23.724,73456,AGNCO
2019-12-02,23.734,23.78,23.696,23.752,26609,AGNCO
2019-12-03,23.733,23.91,23.715,23.734,294745,AGNCO
2019-12-04,23.743,23.873,23.688,23.864,71898,AGNCO
2019-12-05,23.873,23.9,23.734,23.882,98921,AGNCO
2019-12-06,23.835,23.891,23.789,23.891,13713,AGNCO
2019-12-09,23.847,23.882,23.734,23.827,56853,AGNCO
2019-12-10,23.82,23.873,23.715,23.743,65026,AGNCO
2019-12-11,23.743,23.743,23.678,23.743,56240,AGNCO
2019-12-12,23.743,23.752,23.65,23.724,99938,AGNCO
2019-12-13,23.706,23.808,23.668,23.743,142540,AGNCO
2019-12-16,23.743,23.956,23.743,23.891,68107,AGNCO
2019-12-17,23.965,24.011,23.859,24.011,49825,AGNCO
2019-12-18,24.096,24.096,23.91,24.04,115646,AGNCO
2019-12-19,23.984,24.011,23.915,24.011,69301,AGNCO
2019-12-20,24.021,24.067,23.995,24.021,64803,AGNCO
2019-12-23,24.031,24.105,24.009,24.096,45436,AGNCO
2019-12-24,24.086,24.113,23.975,24.077,24449,AGNCO
2019-12-26,23.956,24.113,23.956,24.021,82464,AGNCO
2019-12-27,24.003,24.077,23.994,24.077,19006,AGNCO
2019-12-30,24.087,24.2,24.087,24.163,44690,AGNCO
2019-12-31,24.16,24.304,24.16,24.219,30315,AGNCO
2020-01-02,24.268,24.446,24.234,24.361,52458,AGNCO
2020-01-03,24.408,24.408,24.314,24.379,17983,AGNCO
2020-01-06,24.361,24.408,24.219,24.247,46936,AGNCO
2020-01-07,24.304,24.483,24.228,24.304,175564,AGNCO
2020-01-08,24.304,24.473,24.249,24.426,134859,AGNCO
2020-01-09,24.366,24.408,24.247,24.294,76424,AGNCO
2020-01-10,24.276,24.436,24.276,24.426,22113,AGNCO
2020-01-13,24.361,24.394,24.304,24.314,22242,AGNCO
2020-01-14,24.341,24.379,24.304,24.323,27848,AGNCO
2020-01-15,24.294,24.426,24.284,24.426,50770,AGNCO
2020-01-16,24.374,24.426,24.276,24.323,48190,AGNCO
2020-01-17,24.361,24.634,24.266,24.606,120688,AGNCO
2020-01-21,24.549,24.625,24.473,24.625,27954,AGNCO
2020-01-22,25.106,25.106,24.596,24.625,25714,AGNCO
2020-01-23,24.633,24.633,24.408,24.455,50364,AGNCO
2020-01-24,24.455,24.549,24.455,24.521,12986,AGNCO
2020-01-27,24.517,24.53,24.408,24.417,43846,AGNCO
2020-01-28,24.53,24.533,24.351,24.417,40490,AGNCO
2020-01-29,24.436,24.436,24.323,24.398,182134,AGNCO
2020-01-30,24.398,24.549,24.398,24.483,40373,AGNCO
2020-01-31,24.542,24.577,24.503,24.503,49779,AGNCO
2020-02-03,24.568,24.69,24.563,24.617,24346,AGNCO
2020-02-04,24.786,24.786,24.389,24.426,184718,AGNCO
2020-02-05,24.473,24.568,24.426,24.566,106129,AGNCO
2020-02-06,24.506,24.54,24.464,24.54,80570,AGNCO
2020-02-07,24.587,24.587,24.53,24.559,88874,AGNCO
2020-02-10,24.549,24.577,24.549,24.559,62952,AGNCO
2020-02-11,24.559,24.568,24.503,24.549,70711,AGNCO
2020-02-12,24.549,24.549,24.473,24.53,21181,AGNCO
2020-02-13,24.54,24.587,24.483,24.587,32824,AGNCO
2020-02-14,24.596,24.596,24.436,24.493,22394,AGNCO
2020-02-18,24.446,24.54,24.417,24.464,21869,AGNCO
2020-02-19,24.455,24.54,24.369,24.436,29941,AGNCO
2020-02-20,24.413,24.54,24.369,24.503,26967,AGNCO
2020-02-21,24.473,24.54,24.417,24.493,47178,AGNCO
2020-02-24,24.396,24.446,24.34,24.426,41115,AGNCO
2020-02-25,24.493,24.493,24.304,24.417,73258,AGNCO
2020-02-26,24.483,24.483,24.092,24.314,74596,AGNCO
2020-02-27,24.304,24.304,23.634,23.85,155929,AGNCO
2020-02-28,23.841,23.888,23.33,23.33,213091,AGNCO
2020-03-02,23.624,23.87,23.397,23.746,78263,AGNCO
2020-03-03,23.766,24.057,23.746,23.841,34643,AGNCO
2020-03-04,23.977,24.219,23.86,24.21,61917,AGNCO
2020-03-05,24.05,24.176,23.917,23.973,36899,AGNCO
2020-03-06,23.691,23.879,23.643,23.699,60136,AGNCO
2020-03-09,23.274,23.596,22.944,23.038,202322,AGNCO
2020-03-10,23.501,23.501,22.378,22.576,151944,AGNCO
2020-03-11,22.651,23.011,21.34,21.382,182263,AGNCO
