Date,Open,High,Low,Close,Volume,ticker
2018-01-26,17.0,18.92,16.66,18.5,5379050,AGS
2018-01-29,18.45,19.0,18.01,18.9,672114,AGS
2018-01-30,18.67,19.77,18.0,19.43,652812,AGS
2018-01-31,19.42,19.88,19.05,19.57,368852,AGS
2018-02-01,19.5,19.5,18.57,19.42,184395,AGS
2018-02-02,19.39,19.88,19.025,19.43,137109,AGS
2018-02-05,19.49,19.49,18.505,19.18,291983,AGS
2018-02-06,18.94,19.09,18.2228,19.02,183124,AGS
2018-02-07,18.75,19.84,18.535,19.38,116863,AGS
2018-02-08,19.31,20.01,19.025,19.15,209375,AGS
2018-02-09,19.255,19.97,19.11,19.73,109743,AGS
2018-02-12,19.73,20.8,19.18,20.12,172927,AGS
2018-02-13,20.01,20.01,19.1601,19.76,105961,AGS
2018-02-14,19.87,20.72,19.361,20.27,219566,AGS
2018-02-15,20.14,20.34,19.53,19.84,151678,AGS
2018-02-16,19.87,20.44,19.62,19.95,96750,AGS
2018-02-20,19.8,20.42,19.5035,19.91,291275,AGS
2018-02-21,19.81,20.0499,19.1683,19.84,89462,AGS
2018-02-22,19.79,19.98,19.3295,19.56,53011,AGS
2018-02-23,19.49,20.01,18.601,20.01,138886,AGS
2018-02-26,20.0,20.05,19.62,19.85,80638,AGS
2018-02-27,19.85,20.0,19.63,19.79,194898,AGS
2018-02-28,19.8,20.72,19.51,20.71,167366,AGS
2018-03-01,20.6,21.74,20.47,21.4,121271,AGS
2018-03-02,21.4,21.46,20.91,21.25,102535,AGS
2018-03-05,21.34,21.5,20.81,20.92,82230,AGS
2018-03-06,21.05,21.25,20.67,20.96,114366,AGS
2018-03-07,20.86,21.06,20.11,20.84,100961,AGS
2018-03-08,20.88,21.3,20.74,20.89,116490,AGS
2018-03-09,20.93,21.19,20.395,20.84,162198,AGS
2018-03-12,20.91,21.5,20.6001,20.97,134918,AGS
2018-03-13,20.96,21.13,20.18,20.89,137533,AGS
2018-03-14,20.98,21.99,20.55,21.51,472771,AGS
2018-03-15,21.59,22.49,21.5155,22.02,322328,AGS
2018-03-16,22.1,22.5,21.44,21.89,1335041,AGS
2018-03-19,21.86,21.97,21.25,21.41,103092,AGS
2018-03-20,21.5,21.73,21.25,21.45,141047,AGS
2018-03-21,21.46,22.09,21.46,22.04,102738,AGS
