Date,Open,High,Low,Close,Volume,ticker
2018-05-24,9.7,9.7,9.7,9.7,310000,AHCO
2018-05-30,9.7,9.7,9.7,9.7,35000,AHCO
2018-06-12,9.7,9.7,9.7,9.7,305000,AHCO
2018-06-13,9.7,9.71,9.7,9.7,278999,AHCO
2018-06-14,9.75,9.75,9.75,9.75,50000,AHCO
2018-06-18,9.7,9.7,9.65,9.65,10000,AHCO
2018-06-21,9.8,9.8,9.8,9.8,1000,AHCO
2018-06-27,9.73,9.75,9.7,9.75,10400,AHCO
2018-06-29,9.69,9.69,9.62,9.62,92899,AHCO
2018-07-02,9.8,9.8,9.61,9.61,500,AHCO
2018-07-06,9.6,9.6,9.6,9.6,100,AHCO
2018-07-16,9.6,9.6,9.6,9.6,61155,AHCO
2018-07-17,9.6,9.6,9.6,9.6,200000,AHCO
2018-07-19,9.7,9.7,9.61,9.61,86000,AHCO
2018-07-26,9.61,9.64,9.6,9.64,750000,AHCO
2018-07-27,9.63,9.63,9.63,9.63,100,AHCO
2018-07-30,9.7,9.7,9.7,9.7,100,AHCO
2018-08-01,9.7,9.7,9.7,9.7,250000,AHCO
2018-08-02,9.77,9.77,9.77,9.77,2000,AHCO
2018-08-07,9.75,9.75,9.72,9.72,200100,AHCO
2018-08-13,9.749,9.75,9.749,9.75,1801,AHCO
2018-08-14,9.75,9.76,9.75,9.76,87700,AHCO
2018-08-20,9.75,9.8,9.75,9.8,206399,AHCO
2018-08-22,9.75,9.75,9.75,9.75,32800,AHCO
2018-08-23,9.76,9.76,9.76,9.76,427,AHCO
2018-08-24,9.7657,9.7657,9.75,9.75,1500,AHCO
2018-08-27,9.75,9.75,9.73,9.73,700,AHCO
2018-08-30,9.72,9.75,9.72,9.74,40499,AHCO
2018-09-07,9.73,9.73,9.73,9.73,28577,AHCO
2018-09-19,9.72,9.721,9.72,9.72,8975,AHCO
2018-09-20,9.72,9.72,9.72,9.72,3672,AHCO
2018-09-24,9.72,9.72,9.72,9.72,244,AHCO
2018-09-25,9.72,9.72,9.72,9.72,261,AHCO
2018-09-26,9.72,9.72,9.72,9.72,227,AHCO
