Date,Open,High,Low,Close,Volume,ticker
2017-11-03,14.384,16.302,11.613,12.14,497212,AHG
2017-11-06,11.508,11.795,10.414,10.501,257358,AHG
2017-11-07,10.683,10.875,10.549,10.625,177310,AHG
2017-11-08,10.721,11.028,10.453,10.501,225568,AHG
2017-11-09,10.549,10.826,10.491,10.597,218750,AHG
2017-11-10,10.779,11.603,10.687,11.268,239672,AHG
2017-11-13,11.508,12.131,11.229,12.131,163709,AHG
2017-11-14,12.025,12.61,11.239,12.006,147019,AHG
2017-11-15,11.987,13.176,11.91,13.061,198180,AHG
2017-11-16,13.425,13.425,12.706,13.387,180183,AHG
2017-11-17,13.425,13.425,12.52,13.186,130863,AHG
2017-11-20,13.042,13.042,12.208,12.313,135468,AHG
2017-11-21,11.316,12.692,11.134,12.524,169844,AHG
2017-11-22,12.63,12.831,11.546,12.697,143329,AHG
2017-11-24,12.85,12.85,12.323,12.764,34289,AHG
2017-11-27,12.534,12.898,12.328,12.61,51743,AHG
2017-11-28,12.524,12.946,12.433,12.505,55006,AHG
2017-11-29,12.447,12.61,11.832,11.901,36178,AHG
2017-11-30,12.102,12.447,11.776,11.853,38926,AHG
2017-12-01,11.316,12.218,11.057,11.368,124841,AHG
2017-12-04,11.124,11.22,10.654,11.076,83101,AHG
2017-12-05,11.527,12.167,10.951,10.951,158196,AHG
2017-12-06,11.028,11.028,10.721,10.788,28364,AHG
2017-12-07,10.788,10.98,10.549,10.549,175613,AHG
2017-12-08,10.664,11.076,10.606,10.808,80748,AHG
2017-12-11,10.961,11.249,10.865,10.98,36417,AHG
2017-12-12,10.99,11.029,10.673,10.673,98782,AHG
2017-12-13,10.653,11.095,10.653,10.712,35094,AHG
2017-12-14,11.009,11.325,10.75,10.827,34639,AHG
2017-12-15,11.105,11.105,10.702,10.712,13111,AHG
2017-12-18,10.836,10.97,10.598,10.654,36408,AHG
2017-12-19,10.658,10.658,10.549,10.549,57521,AHG
2017-12-20,10.549,10.702,10.549,10.549,57827,AHG
2017-12-21,10.558,10.644,10.549,10.549,16787,AHG
2017-12-22,10.577,10.629,10.549,10.549,62278,AHG
2017-12-26,10.692,10.788,10.357,10.357,54629,AHG
2017-12-27,10.453,10.894,10.376,10.836,56493,AHG
2017-12-28,10.836,10.842,10.549,10.606,11310,AHG
2017-12-29,10.558,10.721,10.558,10.597,1841,AHG
2018-01-02,10.798,10.964,10.798,10.798,140661,AHG
2018-01-03,10.836,12.017,10.808,10.913,485683,AHG
2018-01-04,11.277,11.699,10.988,11.188,209834,AHG
2018-01-05,11.105,11.351,11.076,11.162,102227,AHG
