Date,Open,High,Low,Close,Volume,ticker
2016-09-23,25.25,25.4,25.25,25.38,202442,AHL_D
2016-09-26,25.36,25.48,25.36,25.47,249584,AHL_D
2016-09-27,25.42,25.75,25.4,25.67,264658,AHL_D
2016-09-28,25.67,25.85,25.66,25.77,299624,AHL_D
2016-09-29,25.78,25.87,25.62,25.77,217149,AHL_D
2016-09-30,25.82,26.17,25.7501,26.09,364431,AHL_D
2016-10-03,26.08,26.08,25.85,25.93,201326,AHL_D
2016-10-04,25.95,25.95,25.58,25.63,125755,AHL_D
2016-10-05,25.75,25.76,25.67,25.74,139775,AHL_D
2016-10-06,25.75,25.77,25.54,25.61,190218,AHL_D
2016-10-07,25.68,25.75,25.59,25.71,222405,AHL_D
2016-10-10,25.81,25.99,25.81,25.9,246928,AHL_D
2016-10-11,25.88,25.88,25.5,25.52,157234,AHL_D
2016-10-12,25.59,25.59,25.37,25.39,257282,AHL_D
2016-10-13,25.39,25.53,25.31,25.45,123614,AHL_D
2016-10-14,25.5,25.58,25.37,25.41,86764,AHL_D
2016-10-17,25.44,25.49,25.38,25.38,62839,AHL_D
2016-10-18,25.45,25.52,25.38,25.42,196944,AHL_D
2016-10-19,25.5,25.68,25.43,25.6,152030,AHL_D
2016-10-20,25.61,25.68,25.57,25.61,217333,AHL_D
2016-10-21,25.64,25.68,25.37,25.58,1049990,AHL_D
2016-10-24,25.57,25.65,25.48,25.5,57470,AHL_D
2016-10-25,25.53,25.74,25.41,25.72,59489,AHL_D
2016-10-26,25.74,25.88,25.69,25.88,70623,AHL_D
2016-10-27,25.85,25.88,25.69,25.85,157882,AHL_D
2016-10-28,25.87,25.87,25.73,25.83,80286,AHL_D
2016-10-31,25.86,25.86,25.57,25.57,53245,AHL_D
2016-11-01,25.61,25.62,25.28,25.28,36850,AHL_D
2016-11-02,25.37,25.44,25.08,25.11,46691,AHL_D
2016-11-03,25.2,25.2,24.9,25.05,39189,AHL_D
2016-11-04,25.12,25.19,25.08,25.12,30567,AHL_D
2016-11-07,25.21,25.3019,25.02,25.18,34008,AHL_D
2016-11-08,25.2,25.2,25.15,25.19,27187,AHL_D
2016-11-09,24.98,25.15,24.24,24.51,86012,AHL_D
2016-11-10,24.62,24.655,23.58,23.95,159667,AHL_D
2016-11-11,24.19,24.39,23.6465,24.29,49521,AHL_D
2016-11-14,24.12,24.12,21.96,22.41,149032,AHL_D
2016-11-15,22.92,23.2045,22.72,22.94,68779,AHL_D
2016-11-16,23.24,23.29,23.08,23.2,104857,AHL_D
2016-11-17,23.29,23.29,22.82,23.09,137033,AHL_D
2016-11-18,23.18,23.38,23.0001,23.15,96460,AHL_D
2016-11-21,23.26,23.96,23.2365,23.83,88014,AHL_D
2016-11-22,23.8,24.0,23.7,23.89,86363,AHL_D
2016-11-23,23.73,23.73,22.781,23.46,40540,AHL_D
2016-11-25,23.63,23.63,23.21,23.21,21872,AHL_D
2016-11-28,23.4,23.46,22.9244,23.14,29285,AHL_D
2016-11-29,23.11,23.28,22.8,23.01,28368,AHL_D
2016-11-30,23.12,23.12,22.8,22.86,43411,AHL_D
