Date,Open,High,Low,Close,Volume,ticker
2024-02-07,12.85,13.26,12.63,13.22,12732824,AHR
2024-02-08,13.02,13.24,13.0,13.06,1630336,AHR
2024-02-09,13.01,13.45,12.95,13.12,2062077,AHR
2024-02-12,13.95,14.56,13.1,13.15,1161182,AHR
2024-02-13,13.15,13.56,13.01,13.35,1631721,AHR
2024-02-14,13.4,13.9,13.25,13.76,1157560,AHR
2024-02-15,13.76,13.85,13.35,13.64,479389,AHR
2024-02-16,13.5,14.0,13.46,13.87,203640,AHR
2024-02-20,13.75,13.8891,13.36,13.41,524231,AHR
2024-02-21,13.41,13.56,13.25,13.4,194227,AHR
2024-02-22,13.35,13.66,13.0,13.55,888831,AHR
2024-02-23,13.55,13.8,13.5071,13.6,514542,AHR
2024-02-26,13.46,13.62,13.25,13.26,248354,AHR
2024-02-27,13.26,13.98,13.26,13.55,921965,AHR
2024-02-28,13.58,13.99,13.45,13.64,184100,AHR
2024-02-29,13.7,13.78,13.5,13.67,496244,AHR
2024-03-01,13.62,14.005,13.48,13.68,559784,AHR
2024-03-04,13.61,13.805,13.5,13.75,369204,AHR
2024-03-05,13.8,14.01,13.6,13.79,364268,AHR
2024-03-06,13.85,14.05,13.67,13.75,442518,AHR
2024-03-07,13.84,14.0,13.73,13.8,327898,AHR
2024-03-08,13.78,13.85,13.71,13.81,365128,AHR
2024-03-11,13.82,13.94,13.7,13.85,703879,AHR
2024-03-12,13.87,13.92,13.7,13.82,478379,AHR
2024-03-13,13.75,13.91,13.7,13.76,435216,AHR
2024-03-14,13.85,13.85,13.64,13.8,543838,AHR
2024-03-15,13.79,13.99,13.533,13.59,5803908,AHR
2024-03-18,13.59,13.89,13.58,13.83,940208,AHR
2024-03-19,13.82,14.14,13.75,13.9,991835,AHR
2024-03-20,13.82,14.085,13.7,14.04,715835,AHR
2024-03-21,14.1,14.33,14.0,14.18,890369,AHR
2024-03-22,14.42,14.58,13.69,13.93,1071367,AHR
2024-03-25,13.95,14.65,13.93,14.57,1410409,AHR
2024-03-26,14.8,14.85,14.22,14.49,1146260,AHR
2024-03-27,14.31,14.62,14.22,14.36,751038,AHR
2024-03-28,14.35,14.9,14.25,14.75,1381271,AHR
2024-04-01,14.9,14.9,14.3,14.49,2652887,AHR
2024-04-02,14.43,14.586,14.04,14.1,1208628,AHR
2024-04-03,14.17,14.43,13.85,13.98,2321141,AHR
2024-04-04,14.16,14.21,13.75,13.82,977165,AHR
2024-04-05,13.77,13.89,13.57,13.62,482368,AHR
2024-04-08,13.7,13.77,13.52,13.63,593919,AHR
2024-04-09,13.64,13.88,13.6,13.79,584808,AHR
2024-04-10,13.65,13.65,13.09,13.18,823341,AHR
2024-04-11,13.2,13.37,13.04,13.26,655056,AHR
2024-04-12,13.18,13.64,13.02,13.63,1606974,AHR
2024-04-15,13.63,13.63,13.21,13.25,642443,AHR
2024-04-16,13.19,13.25,12.81,13.0,872789,AHR
2024-04-17,13.0,13.23,12.98,13.01,696741,AHR
2024-04-18,13.05,13.455,12.92,13.42,1165107,AHR
