Date,Open,High,Low,Close,Volume,ticker
2017-08-29,24.8,24.8,24.65,24.75,178480,AHT_H
2017-08-30,24.76,24.85,24.71,24.85,121887,AHT_H
2017-08-31,24.9,24.981,24.85,24.91,60003,AHT_H
2017-09-01,24.86,24.95,24.85,24.93,30045,AHT_H
2017-09-05,24.94,24.94,24.83,24.93,101564,AHT_H
2017-09-06,24.9,24.95,24.85,24.95,60342,AHT_H
2017-09-07,24.95,25.1,24.9,25.09,65060,AHT_H
2017-09-08,24.98,25.04,24.96,25.0,56420,AHT_H
2017-09-11,25.0501,25.06,24.99,25.0,26282,AHT_H
2017-09-12,25.02,25.06,24.99,25.0,54192,AHT_H
2017-09-13,25.03,25.03,24.92,24.94,46710,AHT_H
2017-09-14,25.01,25.05,24.92,25.03,73038,AHT_H
2017-09-15,25.0395,25.1539,25.0,25.11,87975,AHT_H
2017-09-18,25.15,25.23,25.05,25.07,105721,AHT_H
2017-09-19,25.12,25.14,25.05,25.13,66436,AHT_H
2017-09-20,25.13,25.1866,25.1,25.11,48358,AHT_H
2017-09-21,25.17,25.2,25.13,25.14,43369,AHT_H
2017-09-22,25.15,25.2,25.14,25.2,12008,AHT_H
2017-09-25,25.2,25.2,25.11,25.12,44248,AHT_H
2017-09-26,25.15,25.1899,25.09,25.15,62276,AHT_H
2017-09-27,25.15,25.25,25.0,25.21,63181,AHT_H
2017-09-28,25.19,25.25,25.0352,25.04,40129,AHT_H
2017-09-29,25.13,25.24,25.07,25.24,16826,AHT_H
2017-10-02,25.25,25.25,25.08,25.13,28556,AHT_H
2017-10-03,25.15,25.15,25.07,25.07,30176,AHT_H
2017-10-04,25.1,25.14,25.07,25.07,27349,AHT_H
2017-10-05,25.1,25.16,25.07,25.07,30091,AHT_H
2017-10-06,25.07,25.116,25.03,25.05,11524,AHT_H
2017-10-09,25.0,25.07,24.97,24.97,21574,AHT_H
2017-10-10,25.0,25.1,25.0,25.05,16679,AHT_H
