Date,Open,High,Low,Close,Volume,ticker
2024-05-17,26.14,26.14,25.5899,26.02,54970,AIBU
2024-05-20,26.03,26.26,26.0,26.1483,31624,AIBU
2024-05-21,26.09,26.09,25.7996,26.0239,11674,AIBU
2024-05-22,26.24,26.3373,25.83,26.0282,8132,AIBU
2024-05-23,26.65,26.65,25.5206,25.615,31372,AIBU
2024-05-24,25.91,26.2,25.89,26.1714,4391,AIBU
2024-05-28,26.59,26.65,26.33,26.5135,16670,AIBU
2024-05-29,26.27,26.459,26.06,26.0776,7334,AIBU
2024-05-30,25.45,25.45,24.87,24.9174,9189,AIBU
2024-05-31,25.07,25.07,24.1,24.929,25548,AIBU
2024-06-03,25.1972,25.1972,24.75,25.0151,1151,AIBU
2024-06-04,24.98,25.325,24.93,25.1852,6876,AIBU
2024-06-05,25.76,26.3445,25.74,26.3445,6006,AIBU
2024-06-06,26.45,26.52,26.26,26.3325,8795,AIBU
2024-06-07,26.045,26.41,26.045,26.209,1766,AIBU
2024-06-10,26.11,26.3291,26.025,26.2956,4396,AIBU
2024-06-11,26.41,26.8,26.41,26.8,9895,AIBU
2024-06-12,27.49,27.7,27.3201,27.64,15806,AIBU
2024-06-13,27.61,27.66,27.26,27.41,13888,AIBU
2024-06-14,27.25,27.433,27.2493,27.43,12396,AIBU
2024-06-17,27.47,28.2,27.2805,27.9,13031,AIBU
2024-06-18,28.17,28.2191,27.86,28.2129,21990,AIBU
2024-06-20,28.6829,28.78,27.91,28.07,19907,AIBU
2024-06-21,28.71,28.71,27.765,27.9609,20718,AIBU
2024-06-24,27.89,27.99,27.36,27.467,6374,AIBU
2024-06-25,27.68,28.1299,27.52,28.0592,10709,AIBU
2024-06-26,28.01,28.27,28.01,28.27,6140,AIBU
2024-06-27,28.48,28.85,28.48,28.665,6035,AIBU
2024-06-28,28.97,29.4025,28.5,28.5399,20371,AIBU
2024-07-01,28.84,28.934,27.95,28.934,8204,AIBU
2024-07-02,28.79,29.3695,28.7,29.3695,10329,AIBU
2024-07-03,29.685,29.99,29.37,29.88,13859,AIBU
2024-07-05,30.05,30.74,30.05,30.6989,28841,AIBU
2024-07-08,31.12,31.12,30.78,30.97,26246,AIBU
