Date,Open,High,Low,Close,Volume,ticker
2024-05-07,25.59,25.64,25.43,25.51,7950,AIFD
2024-05-08,25.46,25.66,25.46,25.611,7132,AIFD
2024-05-09,25.69,25.69,25.44,25.55,10926,AIFD
2024-05-10,25.6701,25.69,25.62,25.6884,2089,AIFD
2024-05-13,25.68,25.73,25.63,25.656,7993,AIFD
2024-05-14,25.45,25.9131,25.45,25.9122,20251,AIFD
2024-05-15,26.02,26.5639,26.02,26.5639,13717,AIFD
2024-05-16,26.43,26.62,26.41,26.4312,16304,AIFD
2024-05-17,26.59,26.59,25.3,26.3521,48161,AIFD
2024-05-20,26.22,26.66,26.22,26.5919,34818,AIFD
2024-05-21,26.36,26.61,26.335,26.5546,12428,AIFD
2024-05-22,26.73,26.73,26.4075,26.4733,5982,AIFD
2024-05-23,27.21,27.21,26.3513,26.3513,22530,AIFD
2024-05-24,26.26,26.78,26.26,26.6766,63638,AIFD
2024-05-28,26.74,26.8701,26.7202,26.8065,18625,AIFD
2024-05-29,26.66,26.765,26.521,26.6769,11110,AIFD
2024-05-30,26.5,26.5,25.82,25.89,15721,AIFD
2024-05-31,25.95,25.95,25.1985,25.7,16460,AIFD
2024-06-03,25.94,26.0382,25.585,25.8472,18055,AIFD
2024-06-04,25.8,25.81,25.62,25.72,9916,AIFD
2024-06-05,25.72,26.64,25.72,26.62,11318,AIFD
2024-06-06,26.65,26.69,26.47,26.5352,8855,AIFD
2024-06-07,26.47,26.5799,26.47,26.5584,20794,AIFD
2024-06-10,26.5,27.02,26.49,26.9373,48537,AIFD
2024-06-11,26.99,27.0102,26.83,27.0102,22379,AIFD
2024-06-12,27.47,27.6299,27.43,27.51,20507,AIFD
2024-06-13,27.8,27.8,27.5,27.6955,16520,AIFD
2024-06-14,27.66,27.66,27.5001,27.62,22555,AIFD
2024-06-17,27.75,28.03,27.49,27.9411,18435,AIFD
2024-06-18,28.01,28.15,28.01,28.09,10997,AIFD
2024-06-20,28.29,28.29,27.6973,27.83,13511,AIFD
2024-06-21,27.61,27.74,27.465,27.67,5749,AIFD
2024-06-24,27.65,27.73,27.2621,27.2621,27763,AIFD
