Date,Open,High,Low,Close,Volume,ticker
2018-03-16,55.1,60.0,52.5,56.5,23230,AIHS
2018-03-19,56.5,61.5,55.5,59.3,11210,AIHS
2018-03-20,62.5,62.5,50.0,51.6,8661,AIHS
2018-03-21,51.3,57.8,50.9,56.5,8732,AIHS
2018-03-22,57.4,59.9,56.5,59.89,8408,AIHS
2018-03-23,59.5,60.0,54.5,59.799,8999,AIHS
2018-03-26,60.0,60.0,54.901,56.8,6786,AIHS
2018-03-27,56.0,60.8,55.999,58.0,10936,AIHS
2018-03-28,58.0,60.0,56.3,58.9,8818,AIHS
2018-03-29,58.5,59.999,58.3,59.499,9966,AIHS
2018-04-02,58.6,59.8,55.5,58.3,9265,AIHS
2018-04-03,58.7,60.0,58.523,60.0,10232,AIHS
2018-04-04,57.0,59.7,57.0,59.5,9623,AIHS
2018-04-05,58.8,59.9,58.6,59.8,8643,AIHS
2018-04-06,56.6,59.7,56.6,58.8,8449,AIHS
2018-04-09,59.4,60.0,57.5,59.5,8134,AIHS
2018-04-10,60.0,60.0,57.0,60.0,8567,AIHS
2018-04-11,65.0,66.0,65.0,65.0,10504,AIHS
2018-04-12,63.6,66.0,63.008,65.499,7868,AIHS
2018-04-13,64.499,68.9,63.51,65.5,8982,AIHS
2018-04-16,66.2,68.9,64.6,65.0,8406,AIHS
2018-04-17,61.7,72.0,61.7,69.1,8258,AIHS
2018-04-18,67.9,78.0,65.0,76.2,8881,AIHS
2018-04-19,78.623,83.4,74.144,78.0,6398,AIHS
2018-04-20,78.7,89.1,75.1,76.5,7851,AIHS
2018-04-23,76.0,76.0,69.3,72.5,8377,AIHS
2018-04-24,68.861,78.2,68.861,74.4,8788,AIHS
2018-04-25,74.0,76.3,70.5,73.799,8408,AIHS
2018-04-26,74.1,79.6,70.0,73.599,9492,AIHS
2018-04-27,71.9,78.399,71.9,76.5,8440,AIHS
2018-04-30,75.8,84.4,70.5,77.6,7383,AIHS
2018-05-01,74.7,80.3,74.01,78.9,7834,AIHS
2018-05-02,74.0,79.5,74.0,78.099,5842,AIHS
2018-05-03,76.0,80.6,75.0,78.5,7682,AIHS
2018-05-04,77.5,80.0,76.8,79.6,7824,AIHS
2018-05-07,85.0,85.0,75.7,77.2,8025,AIHS
2018-05-08,77.1,80.0,77.0,78.3,7880,AIHS
2018-05-09,78.3,80.6,77.5,80.6,6856,AIHS
2018-05-10,80.0,80.0,77.5,77.5,7524,AIHS
2018-05-11,78.5,78.5,76.4,77.1,7935,AIHS
2018-05-14,77.5,78.3,74.2,76.152,9411,AIHS
2018-05-15,75.7,77.599,74.0,74.1,9476,AIHS
2018-05-16,74.0,76.799,73.5,73.899,5093,AIHS
2018-05-17,75.0,75.4,71.8,72.2,7408,AIHS
2018-05-18,73.5,73.5,70.7,72.0,7264,AIHS
2018-05-21,71.517,72.999,70.0,72.799,7425,AIHS
2018-05-22,72.9,72.9,69.0,69.0,6855,AIHS
