Date,Open,High,Low,Close,Volume,ticker
2021-04-27,9.68,9.72,9.67,9.68,22018,AILEQ
2021-04-28,9.7,9.87,9.68,9.68,34557,AILEQ
2021-04-29,9.663,9.7642,9.66,9.72,63064,AILEQ
2021-04-30,9.7099,9.72,9.66,9.72,25381,AILEQ
2021-05-03,9.68,9.72,9.68,9.71,2931,AILEQ
2021-05-04,9.68,9.68,9.68,9.68,466,AILEQ
2021-05-05,9.68,9.68,9.68,9.68,327,AILEQ
2021-05-07,9.7099,9.7099,9.69,9.69,876,AILEQ
2021-05-11,9.68,9.71,9.68,9.71,437,AILEQ
2021-05-12,9.71,9.71,9.705,9.705,1028,AILEQ
2021-05-13,9.69,9.69,9.68,9.68,1700,AILEQ
2021-05-14,9.7,9.7,9.68,9.68,402,AILEQ
2021-05-17,9.81,9.81,9.7389,9.7389,227,AILEQ
2021-05-18,9.73,9.73,9.73,9.73,1132,AILEQ
2021-05-26,9.71,9.72,9.7,9.72,4413,AILEQ
2021-05-27,9.72,9.73,9.68,9.73,5112,AILEQ
2021-05-28,9.68,9.68,9.68,9.68,400,AILEQ
2021-06-03,9.65,9.7,9.65,9.7,4008,AILEQ
2021-06-09,9.65,9.65,9.65,9.65,249308,AILEQ
2021-06-10,9.65,9.7,9.65,9.69,1434,AILEQ
2021-06-11,9.68,9.71,9.66,9.69,13673,AILEQ
2021-06-15,9.67,9.69,9.65,9.66,19603,AILEQ
2021-06-16,9.67,9.7,9.65,9.69,560108,AILEQ
2021-06-17,9.68,9.68,9.65,9.65,2905,AILEQ
2021-06-18,9.65,9.65,9.64,9.65,481930,AILEQ
2021-06-21,9.65,9.65,9.63,9.65,48452,AILEQ
2021-06-22,9.65,9.67,9.65,9.67,6615,AILEQ
2021-06-23,9.67,9.68,9.64,9.67,280556,AILEQ
2021-06-24,9.65,9.67,9.65,9.65,499000,AILEQ
2021-06-25,9.65,9.65,9.65,9.65,1726,AILEQ
2021-06-28,9.6499,9.65,9.61,9.64,338043,AILEQ
2021-06-29,9.649,9.6501,9.626,9.64,26242,AILEQ
2021-06-30,9.65,9.655,9.64,9.65,7699,AILEQ
2021-07-01,9.65,9.6599,9.65,9.65,2980,AILEQ
2021-07-02,9.65,9.66,9.62,9.66,86809,AILEQ
2021-07-06,9.64,9.65,9.64,9.645,6600,AILEQ
2021-07-07,9.63,9.65,9.63,9.65,8808,AILEQ
2021-07-08,9.63,9.63,9.62,9.62,502009,AILEQ
2021-07-09,9.64,9.65,9.62,9.62,33060,AILEQ
2021-07-12,9.64,9.65,9.63,9.63,115041,AILEQ
2021-07-13,9.6301,9.65,9.6301,9.65,6000,AILEQ
2021-07-16,9.63,9.65,9.63,9.65,8462,AILEQ
2021-07-19,9.63,9.64,9.63,9.64,3142,AILEQ
2021-07-20,9.63,9.63,9.62,9.63,328578,AILEQ
2021-07-22,9.63,9.64,9.625,9.64,3888,AILEQ
2021-07-23,9.635,9.65,9.635,9.65,3783,AILEQ
2021-07-26,9.63,9.6389,9.63,9.6389,240,AILEQ
2021-07-27,9.64,9.65,9.64,9.65,11500,AILEQ
2021-07-29,9.64,9.64,9.63,9.63,900,AILEQ
2021-08-03,9.63,9.65,9.63,9.65,1721,AILEQ
2021-08-04,9.65,9.65,9.65,9.65,31690,AILEQ
2021-08-05,9.63,9.63,9.63,9.63,5407,AILEQ
2021-08-06,9.65,9.6501,9.65,9.6501,3562,AILEQ
2021-08-10,9.65,9.69,9.65,9.68,4844,AILEQ
2021-08-11,9.65,9.67,9.65,9.67,1390,AILEQ
2021-08-13,9.65,9.67,9.63,9.65,2500,AILEQ
2021-08-16,9.6599,9.67,9.63,9.67,3426,AILEQ
2021-08-17,9.67,9.67,9.63,9.63,1674,AILEQ
2021-08-19,9.67,9.72,9.61,9.69,43841,AILEQ
2021-08-20,9.62,9.65,9.61,9.63,8352,AILEQ
2021-08-23,9.63,9.66,9.63,9.65,1261,AILEQ
2021-08-24,9.65,9.65,9.65,9.65,942,AILEQ
2021-08-31,9.66,9.66,9.65,9.65,617,AILEQ
2021-09-01,9.66,9.66,9.66,9.66,1082,AILEQ
2021-09-02,9.65,9.65,9.65,9.65,8900,AILEQ
2021-09-03,9.65,9.65,9.65,9.65,1220,AILEQ
2021-09-07,9.6784,9.6784,9.6784,9.6784,2041,AILEQ
2021-09-09,9.66,9.67,9.66,9.67,3011,AILEQ
2021-09-10,9.68,9.68,9.66,9.66,5002,AILEQ
2021-09-14,9.65,9.6602,9.65,9.66,1800,AILEQ
2021-09-15,9.66,9.66,9.64,9.64,10668,AILEQ
2021-09-16,9.65,9.6599,9.6491,9.65,22818,AILEQ
2021-09-17,9.65,9.65,9.65,9.65,23872,AILEQ
2021-09-20,9.6612,9.6612,9.6612,9.6612,1050,AILEQ
2021-09-21,9.69,9.69,9.65,9.67,9345,AILEQ
2021-09-22,9.67,9.695,9.66,9.66,13847,AILEQ
2021-09-23,9.675,9.7,9.66,9.7,4033,AILEQ
2021-09-24,9.7,9.7,9.67,9.67,1757,AILEQ
2021-09-27,9.71,9.71,9.71,9.71,100,AILEQ
2021-10-01,9.66,9.67,9.66,9.67,472,AILEQ
2021-10-04,9.67,9.69,9.66,9.69,27287,AILEQ
2021-10-05,9.69,9.69,9.69,9.69,1342,AILEQ
2021-10-06,9.6999,9.7,9.69,9.7,2200,AILEQ
2021-10-07,9.69,9.7,9.69,9.7,121649,AILEQ
2021-10-08,9.7,9.7,9.7,9.7,3215,AILEQ
2021-10-11,9.71,9.71,9.71,9.71,101,AILEQ
