Date,Open,High,Low,Close,Volume,ticker
2005-02-25,939.84,939.84,871.2,881.76,221,AIM
2005-02-28,881.76,913.44,871.2,876.48,139,AIM
2005-03-01,881.76,897.6,881.76,881.76,105,AIM
2005-03-02,881.76,897.6,871.2,887.04,124,AIM
2005-03-03,892.32,897.6,865.92,865.92,116,AIM
2005-03-04,881.76,892.32,865.92,876.48,115,AIM
2005-03-07,871.2,892.32,871.2,881.76,114,AIM
2005-03-08,887.04,892.32,865.92,865.92,125,AIM
2005-03-09,871.2,881.76,850.08,850.08,116,AIM
2005-03-10,844.8,844.8,807.84,818.4,283,AIM
2005-03-11,792.0,792.0,739.2,760.32,500,AIM
2005-03-14,760.32,765.6,723.36,728.64,411,AIM
2005-03-15,739.2,755.04,728.64,755.04,188,AIM
2005-03-16,760.32,792.0,755.04,755.04,221,AIM
2005-03-17,760.32,760.32,718.08,723.36,191,AIM
2005-03-18,728.64,749.76,712.8,718.08,225,AIM
2005-03-21,755.04,755.04,712.8,712.8,406,AIM
2005-03-22,733.92,733.92,707.52,707.52,101,AIM
2005-03-23,712.8,744.48,660.0,696.96,419,AIM
2005-03-24,739.2,786.72,696.96,776.16,168,AIM
2005-03-28,792.0,834.24,786.72,807.84,152,AIM
2005-03-29,792.0,834.24,776.16,792.0,147,AIM
2005-03-30,792.0,828.96,739.2,765.6,226,AIM
2005-03-31,792.0,807.84,770.88,792.0,169,AIM
2005-04-01,802.56,807.84,786.72,792.0,95,AIM
2005-04-04,792.0,802.56,781.44,792.0,106,AIM
2005-04-05,792.0,813.12,781.44,813.12,67,AIM
2005-04-06,813.12,813.12,786.72,807.84,40,AIM
2005-04-07,802.56,802.56,792.0,797.28,66,AIM
2005-04-08,797.28,802.56,781.44,792.0,162,AIM
2005-04-11,813.12,818.4,792.0,792.0,158,AIM
2005-04-12,792.0,797.28,792.0,792.0,47,AIM
2005-04-13,792.0,797.28,739.2,739.2,125,AIM
2005-04-14,733.92,760.32,728.64,760.32,116,AIM
2005-04-15,733.92,755.04,723.36,723.36,115,AIM
2005-04-18,707.52,712.8,686.4,696.96,91,AIM
2005-04-19,691.68,749.76,691.68,749.76,91,AIM
2005-04-20,765.6,797.28,749.76,792.0,134,AIM
2005-04-21,797.28,839.52,797.28,818.4,157,AIM
2005-04-22,807.84,860.64,797.28,860.64,213,AIM
2005-04-25,850.08,850.08,834.24,850.08,143,AIM
2005-04-26,850.08,850.08,818.4,818.4,27,AIM
2005-04-27,828.96,839.52,807.84,839.52,33,AIM
2005-04-28,818.4,834.24,739.2,760.32,325,AIM
2005-04-29,844.8,844.8,797.28,818.4,231,AIM
2005-05-02,834.24,834.24,792.0,818.4,27,AIM
2005-05-03,844.8,844.8,802.56,834.24,54,AIM
2005-05-04,834.24,844.8,834.24,844.8,36,AIM
2005-05-05,839.52,844.8,828.96,834.24,38,AIM
2005-05-06,855.36,855.36,818.4,818.4,43,AIM
2005-05-09,802.56,839.52,770.88,770.88,123,AIM
2005-05-10,776.16,786.72,765.6,776.16,66,AIM
2005-05-11,770.88,770.88,760.32,765.6,79,AIM
2005-05-12,755.04,797.28,755.04,792.0,59,AIM
2005-05-13,776.16,792.0,770.88,792.0,43,AIM
2005-05-16,797.28,828.96,792.0,818.4,65,AIM
2005-05-17,823.68,823.68,792.0,797.28,84,AIM
2005-05-18,839.52,839.52,802.56,818.4,135,AIM
2005-05-19,823.68,823.68,807.84,813.12,88,AIM
2005-05-20,807.84,823.68,797.28,802.56,98,AIM
2005-05-23,818.4,828.96,802.56,813.12,119,AIM
2005-05-24,807.84,823.68,802.56,818.4,85,AIM
2005-05-25,802.56,828.96,802.56,823.68,71,AIM
2005-05-26,818.4,823.68,807.84,823.68,86,AIM
2005-05-27,813.12,839.52,797.28,834.24,226,AIM
2005-05-31,839.52,844.8,823.68,844.8,210,AIM
2005-06-01,844.8,871.2,844.8,860.64,105,AIM
2005-06-02,865.92,865.92,860.64,860.64,21,AIM
2005-06-03,865.92,871.2,855.36,860.64,41,AIM
2005-06-06,860.64,871.2,860.64,871.2,78,AIM
2005-06-07,871.2,871.2,855.36,855.36,62,AIM
2005-06-08,860.64,871.2,860.64,871.2,73,AIM
2005-06-09,887.04,987.36,887.04,976.8,536,AIM
2005-06-10,992.64,1024.32,960.96,1019.04,354,AIM
2005-06-13,1019.04,1019.04,924.0,955.68,274,AIM
2005-06-14,955.68,976.8,955.68,971.52,95,AIM
2005-06-15,976.8,982.08,960.96,976.8,133,AIM
2005-06-16,976.8,992.64,971.52,987.36,308,AIM
2005-06-17,997.92,1029.6,987.36,1029.6,325,AIM
2005-06-20,1029.6,1029.6,992.64,992.64,284,AIM
2005-06-21,992.64,1008.48,976.8,982.08,160,AIM
2005-06-22,976.8,1003.2,976.8,1003.2,63,AIM
2005-06-23,1003.2,1034.88,1003.2,1029.6,205,AIM
2005-06-24,1034.88,1034.88,1003.2,1013.76,111,AIM
2005-06-27,1003.2,1019.04,976.8,987.36,89,AIM
2005-06-28,976.8,997.92,976.8,992.64,127,AIM
2005-06-29,982.08,982.08,955.68,960.96,150,AIM
2005-06-30,960.96,992.64,955.68,987.36,96,AIM
2005-07-01,976.8,987.36,971.52,971.52,36,AIM
2005-07-05,960.96,992.64,950.4,987.36,124,AIM
2005-07-06,987.36,1003.2,976.8,987.36,90,AIM
2005-07-07,976.8,992.64,976.8,982.08,128,AIM
2005-07-08,987.36,992.64,982.08,982.08,133,AIM
2005-07-11,976.8,982.08,950.4,955.68,108,AIM
2005-07-12,950.4,976.8,950.4,950.4,132,AIM
2005-07-13,955.68,982.08,950.4,950.4,84,AIM
2005-07-14,950.4,950.4,860.64,865.92,283,AIM
2005-07-15,876.48,881.76,839.52,839.52,179,AIM
2005-07-18,844.8,908.16,844.8,892.32,83,AIM
2005-07-19,924.0,945.12,897.6,924.0,104,AIM
2005-07-20,908.16,918.72,892.32,897.6,41,AIM
2005-07-21,902.88,902.88,871.2,871.2,29,AIM
2005-07-22,902.88,913.44,871.2,902.88,97,AIM
2005-07-25,908.16,908.16,887.04,902.88,79,AIM
2005-07-26,902.88,908.16,892.32,892.32,31,AIM
2005-07-27,892.32,902.88,881.76,881.76,41,AIM
2005-07-28,892.32,892.32,871.2,871.2,30,AIM
2005-07-29,881.76,881.76,818.4,828.96,194,AIM
2005-08-01,839.52,839.52,818.4,823.68,125,AIM
2005-08-02,823.68,828.96,818.4,823.68,107,AIM
2005-08-03,823.68,871.2,818.4,844.8,189,AIM
2005-08-04,844.8,844.8,823.68,823.68,89,AIM
2005-08-05,839.52,839.52,823.68,823.68,97,AIM
2005-08-08,818.4,834.24,802.56,818.4,202,AIM
2005-08-09,813.12,818.4,797.28,802.56,52,AIM
2005-08-10,792.0,792.0,718.08,765.6,539,AIM
2005-08-11,781.44,834.24,776.16,797.28,187,AIM
2005-08-12,797.28,839.52,797.28,839.52,114,AIM
2005-08-15,834.24,844.8,823.68,844.8,35,AIM
2005-08-16,839.52,865.92,818.4,818.4,91,AIM
2005-08-17,802.56,828.96,802.56,807.84,81,AIM
2005-08-18,802.56,813.12,797.28,807.84,113,AIM
2005-08-19,802.56,823.68,792.0,813.12,145,AIM
2005-08-22,807.84,823.68,792.0,797.28,43,AIM
2005-08-23,797.28,823.68,792.0,802.56,98,AIM
2005-08-24,797.28,807.84,765.6,792.0,100,AIM
2005-08-25,786.72,807.84,765.6,770.88,155,AIM
2005-08-26,770.88,792.0,765.6,765.6,72,AIM
2005-08-29,776.16,992.64,755.04,950.4,612,AIM
2005-08-30,960.96,997.92,855.36,881.76,568,AIM
2005-08-31,871.2,892.32,855.36,892.32,116,AIM
2005-09-01,850.08,892.32,781.44,818.4,540,AIM
2005-09-02,807.84,839.52,797.28,813.12,182,AIM
2005-09-06,844.8,939.84,844.8,860.64,502,AIM
2005-09-07,850.08,860.64,807.84,807.84,277,AIM
2005-09-08,834.24,844.8,797.28,797.28,175,AIM
2005-09-09,818.4,839.52,792.0,792.0,553,AIM
2005-09-12,802.56,818.4,770.88,797.28,391,AIM
2005-09-13,792.0,818.4,792.0,807.84,116,AIM
2005-09-14,792.0,818.4,792.0,802.56,116,AIM
2005-09-15,797.28,818.4,797.28,802.56,135,AIM
2005-09-16,802.56,818.4,802.56,813.12,164,AIM
2005-09-19,807.84,834.24,802.56,802.56,166,AIM
2005-09-20,818.4,839.52,807.84,818.4,142,AIM
2005-09-21,807.84,818.4,792.0,792.0,183,AIM
2005-09-22,802.56,807.84,781.44,781.44,141,AIM
2005-09-23,781.44,834.24,781.44,818.4,206,AIM
2005-09-26,834.24,834.24,802.56,813.12,50,AIM
2005-09-27,792.0,818.4,786.72,807.84,184,AIM
2005-09-28,802.56,818.4,792.0,792.0,123,AIM
2005-09-29,797.28,828.96,792.0,807.84,101,AIM
2005-09-30,807.84,929.28,807.84,897.6,1601,AIM
2005-10-03,924.0,1034.88,924.0,971.52,2165,AIM
2005-10-04,971.52,971.52,897.6,918.72,883,AIM
2005-10-05,960.96,1203.84,924.0,1198.56,6301,AIM
2005-10-06,1198.56,1356.96,1056.0,1177.44,5280,AIM
2005-10-07,1193.28,1230.24,1082.4,1119.36,2134,AIM
2005-10-10,1214.4,1214.4,1108.8,1124.64,2720,AIM
2005-10-11,1161.6,1198.56,1013.76,1019.04,3579,AIM
2005-10-12,1045.44,1045.44,939.84,939.84,2012,AIM
2005-10-13,966.24,1098.24,955.68,1056.0,2316,AIM
2005-10-14,1050.72,1145.76,1029.6,1077.12,1815,AIM
2005-10-17,1092.96,1320.0,1092.96,1298.88,6935,AIM
2005-10-18,1346.4,1452.0,1219.68,1246.08,7256,AIM
2005-10-19,1283.04,1399.2,1177.44,1272.48,2664,AIM
2005-10-20,1293.6,1293.6,1214.4,1224.96,1190,AIM
2005-10-21,1277.76,1288.32,1124.64,1177.44,1707,AIM
2005-10-24,1240.8,1298.88,1209.12,1251.36,2223,AIM
2005-10-25,1267.2,1599.84,1267.2,1547.04,8614,AIM
2005-10-26,1626.24,1853.28,1626.24,1789.92,10266,AIM
2005-10-27,1858.56,1953.6,1531.2,1531.2,7012,AIM
2005-10-28,1568.16,1673.76,1356.96,1568.16,5276,AIM
2005-10-31,1584.0,1673.76,1478.4,1494.24,2818,AIM
2005-11-01,1584.0,1584.0,1483.68,1499.52,2237,AIM
2005-11-02,1499.52,1504.8,1388.64,1425.6,1884,AIM
