Date,Open,High,Low,Close,Volume,ticker
2024-07-31,11.3784,11.3784,11.3784,11.3784,171,AIMAU
2024-08-01,11.39,11.39,11.39,11.39,361,AIMAU
2024-08-07,11.55,11.67,11.51,11.52,886,AIMAU
2024-08-08,11.6,11.6,11.6,11.6,201,AIMAU
2024-08-12,11.6,11.6,11.6,11.6,138,AIMAU
2024-08-19,11.6,11.6,11.6,11.6,145,AIMAU
2024-08-21,11.41,11.41,11.41,11.41,210,AIMAU
2024-08-22,11.56,11.56,11.56,11.56,202,AIMAU
2024-08-23,11.6501,11.6501,11.65,11.65,289,AIMAU
2024-08-26,11.74,11.74,11.65,11.65,443,AIMAU
2024-08-27,11.65,11.65,11.64,11.65,600,AIMAU
2024-09-03,11.65,11.66,11.65,11.66,473,AIMAU
2024-09-17,11.66,11.66,11.66,11.66,102,AIMAU
2024-09-26,11.55,11.55,11.55,11.55,503,AIMAU
2024-10-16,11.66,11.66,11.66,11.66,130,AIMAU
2024-10-31,11.6,11.6,11.6,11.6,240,AIMAU
2024-11-08,11.6,11.6,11.6,11.6,119,AIMAU
2024-11-18,11.67,11.67,11.67,11.67,255,AIMAU
2024-11-19,11.6317,11.75,11.6317,11.75,597,AIMAU
2024-11-20,11.8,11.8,11.75,11.75,400,AIMAU
2024-11-21,11.8,11.8,11.8,11.8,267,AIMAU
2024-11-22,11.8,11.8,11.8,11.8,100,AIMAU
2024-11-25,12.0315,12.0315,12.0315,12.0315,103,AIMAU
2024-11-26,12.391,12.391,11.875,11.875,495,AIMAU
2024-11-27,11.95,11.95,11.88,11.88,361,AIMAU
2024-12-02,12.25,12.4,11.88,11.88,852,AIMAU
2024-12-03,11.9,11.92,11.9,11.9,1047,AIMAU
2024-12-04,12.02,12.02,11.9,11.9,604,AIMAU
2024-12-09,12.0,12.0,12.0,12.0,110,AIMAU
2024-12-16,11.78,11.78,11.74,11.7499,2371,AIMAU
2024-12-23,11.71,11.76,11.71,11.76,700,AIMAU
2024-12-24,11.78,11.78,11.78,11.78,100,AIMAU
2024-12-27,12.1,12.1,12.1,12.1,200,AIMAU
2024-12-31,12.93,12.93,12.93,12.93,220,AIMAU
2025-01-06,12.99,12.99,12.99,12.99,229,AIMAU
2025-01-13,11.63,12.27,11.63,12.27,507,AIMAU
2025-01-14,11.96,11.96,11.96,11.96,105,AIMAU
2025-01-16,11.79,12.25,11.75,12.0,4488,AIMAU
2025-01-22,11.89,11.89,11.89,11.89,300,AIMAU
2025-01-23,11.51,11.94,11.51,11.94,851,AIMAU
2025-01-27,11.8,12.24,11.8,12.0126,7598,AIMAU
2025-01-30,12.02,13.59,11.9,13.25,6363,AIMAU
2025-01-31,13.75,13.75,11.81,11.81,1426,AIMAU
2025-02-03,11.92,11.93,11.92,11.93,576,AIMAU
2025-02-05,11.81,12.61,11.81,12.11,3261,AIMAU
