Date,Open,High,Low,Close,Volume,ticker
2022-08-10,17.8,17.8,14.5,16.2,39124.6,AIMD
2022-08-11,15.4,15.4,10.9,13.75,69034.6,AIMD
2022-08-12,12.85,14.05,11.75,13.85,21506.6,AIMD
2022-08-15,12.5,13.225,11.85,12.5,14731.0,AIMD
2022-08-16,12.0,13.45,12.0,12.6,6425.2,AIMD
2022-08-17,13.25,15.0,12.1,12.15,51677.0,AIMD
2022-08-18,12.8,13.6,11.05,12.25,22197.2,AIMD
2022-08-19,11.55,12.4115,11.05,11.65,10344.0,AIMD
2022-08-22,11.0,12.4995,11.0,12.0435,12383.6,AIMD
2022-08-23,11.639,13.2,11.639,12.15,19203.8,AIMD
2022-08-24,12.75,13.0995,11.5,11.9,18778.6,AIMD
2022-08-25,11.7,12.25,11.25,11.625,6364.8,AIMD
2022-08-26,11.25,11.8,10.0,10.375,9177.6,AIMD
2022-08-29,10.049,11.15,9.15,10.72,36210.0,AIMD
2022-08-30,10.7,10.7,9.6005,10.176,5599.4,AIMD
2022-08-31,10.103,10.25,9.55,9.999,10681.4,AIMD
2022-09-01,9.65,10.1,8.8,8.9,6525.8,AIMD
2022-09-02,8.95,10.05,8.95,9.25,3752.0,AIMD
2022-09-06,9.8,11.4,9.3,11.2,8677.6,AIMD
2022-09-07,11.4,11.4,10.45,10.85,6510.6,AIMD
2022-09-08,10.9,10.9,9.5425,10.0,5338.8,AIMD
2022-09-09,10.4,10.4995,9.6005,10.35,2846.2,AIMD
2022-09-12,9.95,10.775,9.9,10.1,2796.6,AIMD
2022-09-13,9.3,11.25,9.25,9.85,19555.6,AIMD
2022-09-14,9.7,10.684,9.45,9.5,3534.4,AIMD
2022-09-15,9.15,9.9495,9.15,9.3,5508.0,AIMD
2022-09-16,9.05,10.4495,8.05,8.05,6669.8,AIMD
2022-09-19,8.05,8.65,8.05,8.257,573.0,AIMD
2022-09-20,8.25,8.601,7.75,8.1,13706.4,AIMD
2022-09-21,8.5,8.85,7.75,8.7,10802.2,AIMD
2022-09-22,8.45,9.1,8.0435,8.6,7373.0,AIMD
2022-09-23,8.35,8.9995,7.1,7.3,12913.6,AIMD
2022-09-26,7.7995,7.8,7.3,7.55,4486.2,AIMD
2022-09-27,7.535,8.0995,6.9,7.8,8740.6,AIMD
2022-09-28,7.5005,7.7,6.7,6.85,6597.2,AIMD
2022-09-29,6.9595,7.4,6.9,6.9,4790.0,AIMD
2022-09-30,10.1,11.75,8.85,9.45,7019108.6,AIMD
2022-10-03,8.55,9.55,8.25,9.55,137962.4,AIMD
2022-10-04,9.3,9.45,8.55,8.9,91199.0,AIMD
2022-10-05,8.875,9.55,7.75,9.3,42827.4,AIMD
2022-10-06,8.95,9.2965,8.7,8.85,4423.4,AIMD
2022-10-07,8.2,8.75,7.75,8.0,10860.6,AIMD
2022-10-10,7.55,8.002,7.0,7.2,6745.2,AIMD
2022-10-11,6.9,8.0,6.9,7.15,6349.8,AIMD
2022-10-12,6.9,7.9,6.9,7.5,7034.2,AIMD
2022-10-13,7.5495,7.75,6.971,7.1,10055.6,AIMD
2022-10-14,7.4,7.9,6.95,7.15,5311.2,AIMD
2022-10-17,6.75,7.65,6.75,7.55,2658.8,AIMD
2022-10-18,7.4,7.6,7.0,7.25,9993.2,AIMD
2022-10-19,7.25,7.25,6.65,6.7,1680.6,AIMD
2022-10-20,6.5,6.85,6.3,6.75,4688.8,AIMD
2022-10-21,6.9,6.9,5.95,6.25,4577.6,AIMD
2022-10-24,5.85,6.25,5.75,6.1,3553.2,AIMD
2022-10-25,6.3715,6.648,6.1,6.4,4538.8,AIMD
2022-10-26,6.5,6.5,5.3,5.7,24805.0,AIMD
2022-10-27,5.4,5.749,5.3,5.45,6358.6,AIMD
2022-10-28,5.85,6.0,5.25,6.0,6889.0,AIMD
2022-10-31,6.15,6.1945,5.25,5.7,6382.6,AIMD
2022-11-01,5.7,5.7,5.25,5.25,14422.4,AIMD
2022-11-02,5.45,5.45,5.15,5.45,1340.4,AIMD
2022-11-03,5.15,5.6495,5.15,5.45,6716.8,AIMD
2022-11-04,5.15,5.55,5.15,5.4,1031.4,AIMD
2022-11-07,5.15,5.6,5.15,5.5,3215.2,AIMD
2022-11-08,5.274,5.45,5.25,5.3595,1155.0,AIMD
2022-11-09,5.3,5.3,5.25,5.25,1085.6,AIMD
2022-11-10,5.25,5.95,5.25,5.74,2710.2,AIMD
2022-11-11,5.305,5.75,5.3,5.4995,3966.4,AIMD
2022-11-14,5.5,5.5,5.3,5.3,349.6,AIMD
2022-11-15,5.5,5.8995,5.25,5.425,1834.6,AIMD
2022-11-16,5.9,6.0,4.6,4.845,7169.4,AIMD
2022-11-17,4.9,5.4495,4.78,5.0,3140.0,AIMD
2022-11-18,5.15,5.15,4.25,5.1,26041.2,AIMD
2022-11-21,4.8905,5.3995,4.2535,4.2965,9236.6,AIMD
2022-11-22,4.3,4.3215,3.5,3.9,14692.0,AIMD
