Date,Open,High,Low,Close,Volume,ticker
2021-05-11,0.65,0.65,0.6,0.6,302449,AISPW
2021-05-12,0.61,0.705,0.550001,0.550001,13601,AISPW
2021-05-13,0.75,0.75,0.72,0.72,663,AISPW
2021-05-17,0.605649,0.8,0.605649,0.8,9501,AISPW
2021-05-18,0.7495,0.75,0.7495,0.75,1001,AISPW
2021-05-26,0.7501,0.7501,0.72,0.72,2315,AISPW
2021-05-27,0.6501,0.712309,0.6501,0.679899,3230,AISPW
2021-05-28,0.661,0.661,0.64,0.64,11500,AISPW
2021-06-01,0.62,0.62,0.619899,0.619899,3975,AISPW
2021-06-03,0.63,0.7,0.6,0.685,63908,AISPW
2021-06-04,0.72,0.72,0.72,0.72,2002,AISPW
2021-06-08,0.78,0.78,0.77,0.77,17877,AISPW
2021-06-09,0.86,0.86,0.7754,0.7754,2510,AISPW
2021-06-10,0.81,1.06,0.81,1.06,34290,AISPW
2021-06-11,0.8701,1.1,0.7021,0.8007,29610,AISPW
2021-06-15,0.8,0.8,0.7203,0.7203,1760,AISPW
2021-06-16,0.7208,0.76,0.7208,0.75,1098,AISPW
2021-06-17,0.690201,0.690201,0.690201,0.690201,767,AISPW
2021-06-18,0.74,0.79,0.7,0.79,5944,AISPW
2021-06-21,0.8955,1.02,0.8071,0.81,18712,AISPW
2021-06-23,0.819,0.85,0.751,0.85,40441,AISPW
2021-06-24,0.87,0.87,0.83,0.8399,4543,AISPW
2021-06-25,0.8101,0.8999,0.8101,0.8999,1861,AISPW
2021-06-28,0.91,1.02,0.91,1.0,11656,AISPW
2021-06-29,1.0,1.04,1.0,1.0,87600,AISPW
2021-06-30,1.28,1.28,1.2163,1.2163,499,AISPW
2021-07-01,1.21,1.21,1.0,1.0,2621,AISPW
2021-07-06,0.9596,1.01,0.9596,1.01,1055,AISPW
2021-07-07,0.8945,1.05,0.8945,1.0,2104,AISPW
2021-07-08,0.9397,0.95,0.829899,0.86,16267,AISPW
2021-07-09,0.889,0.889,0.8483,0.8502,4517,AISPW
2021-07-13,0.8912,0.8912,0.8812,0.8812,1200,AISPW
2021-07-14,0.99,0.99,0.9456,0.9457,1501,AISPW
2021-07-15,0.9801,0.992,0.95,0.95,6976,AISPW
2021-07-20,0.89,0.89,0.8836,0.8836,275,AISPW
2021-07-21,0.9705,0.9705,0.83,0.87,2268,AISPW
2021-07-26,0.85555,0.85555,0.85555,0.85555,244,AISPW
2021-07-27,0.86,0.86,0.8211,0.8211,1525,AISPW
2021-07-28,0.84,0.84,0.84,0.84,1512,AISPW
2021-07-29,0.87,0.87,0.83,0.83,9811,AISPW
2021-07-30,0.7721,0.8,0.772,0.7902,3213,AISPW
2021-08-03,0.81,0.81,0.81,0.81,125,AISPW
2021-08-04,0.8001,0.8001,0.6901,0.745,145062,AISPW
2021-08-05,0.69,0.75,0.6602,0.672,8114,AISPW
2021-08-06,0.67,0.67,0.67,0.67,500,AISPW
2021-08-10,0.6601,0.6601,0.6601,0.6601,1461,AISPW
2021-08-12,0.68,0.7,0.68,0.691101,1400,AISPW
2021-08-13,0.68,0.7355,0.68,0.6902,1600,AISPW
2021-08-16,0.69,0.6922,0.69,0.69,7306,AISPW
2021-08-17,0.68,0.6905,0.61,0.61,11776,AISPW
2021-08-18,0.62,0.62,0.619999,0.62,350,AISPW
2021-08-23,0.62,0.62,0.52,0.5426,10591,AISPW
2021-08-24,0.56,0.57275,0.55,0.55,1960,AISPW
2021-08-25,0.58,0.58,0.53,0.53,5551,AISPW
2021-08-26,0.53,0.55,0.53,0.55,600,AISPW
2021-08-30,0.53,0.53,0.53,0.53,506,AISPW
2021-09-01,0.5499,0.5499,0.53,0.53,544,AISPW
2021-09-02,0.520401,0.5401,0.5203,0.5203,3600,AISPW
2021-09-03,0.55,0.550101,0.52,0.55,8263,AISPW
2021-09-07,0.57,0.5998,0.539861,0.57,16536,AISPW
2021-09-08,0.58745,0.5898,0.52,0.53,98581,AISPW
2021-09-09,0.521,0.55,0.52,0.52,7052,AISPW
2021-09-10,0.5699,0.57,0.5205,0.57,8349,AISPW
2021-09-13,0.5399,0.5399,0.5399,0.5399,162,AISPW
2021-09-14,0.6,0.6001,0.5699,0.5699,1700,AISPW
2021-09-15,0.57,0.6024,0.57,0.6024,5999,AISPW
2021-09-16,0.57,0.6299,0.57,0.57,7002,AISPW
2021-09-17,0.6201,0.6298,0.57,0.57,7500,AISPW
2021-09-20,0.5401,0.5875,0.54,0.575,35070,AISPW
2021-09-21,0.6204,0.63495,0.5799,0.5799,2835,AISPW
2021-09-22,0.57,0.6399,0.57,0.6018,8261,AISPW
2021-09-23,0.6399,0.6425,0.6399,0.6425,4122,AISPW
2021-09-24,0.64,0.64,0.6018,0.64,18885,AISPW
2021-09-27,0.5703,0.582,0.5703,0.582,1429,AISPW
2021-09-28,0.57,0.575,0.57,0.575,895,AISPW
2021-09-29,0.552,0.6,0.552,0.6,143689,AISPW
2021-09-30,0.6,0.62,0.58,0.62,28113,AISPW
2021-10-01,0.62,0.62,0.62,0.62,4512,AISPW
2021-10-04,0.65,0.6524,0.6,0.6,6378,AISPW
2021-10-07,0.6199,0.62995,0.61005,0.62995,15401,AISPW
2021-10-08,0.6001,0.6001,0.6001,0.6001,530,AISPW
2021-10-11,0.6001,0.6001,0.6001,0.6001,542,AISPW
2021-10-13,0.6001,0.6001,0.6001,0.6001,143,AISPW
2021-10-18,0.6,0.6,0.6,0.6,21553,AISPW
2021-10-19,0.6,0.6002,0.5701,0.5701,26155,AISPW
2021-10-20,0.59,0.6,0.59,0.6,7626,AISPW
2021-10-21,0.6,0.6,0.6,0.6,3742,AISPW
2021-10-22,0.61,0.61,0.6,0.61,464,AISPW
2021-10-26,0.6001,0.6001,0.6001,0.6001,110,AISPW
2021-10-27,0.62,0.62,0.62,0.62,1260,AISPW
2021-10-28,0.6013,0.6013,0.6013,0.6013,225,AISPW
2021-10-29,0.61,0.61,0.595,0.6,9410,AISPW
2021-11-01,0.67995,0.68,0.6701,0.68,20619,AISPW
2021-11-02,0.6799,0.736551,0.64,0.64,27269,AISPW
2021-11-09,0.6144,0.6401,0.6144,0.6399,31936,AISPW
2021-11-11,0.87,0.87,0.74745,0.74745,1401,AISPW
2021-11-12,0.77,0.77,0.77,0.77,202,AISPW
2021-11-15,0.7601,0.7601,0.7601,0.7601,451,AISPW
2021-11-17,0.749799,0.749799,0.749799,0.749799,200,AISPW
2021-11-19,0.7099,0.72,0.7099,0.72,7000,AISPW
2021-11-22,0.725051,0.725051,0.725051,0.725051,100,AISPW
2021-11-23,0.8566,0.8999,0.83,0.8999,4674,AISPW
2021-11-24,0.818,0.818,0.818,0.818,111,AISPW
2021-12-06,0.6701,0.68,0.67,0.67,3301,AISPW
2021-12-07,0.671,0.671,0.671,0.671,904,AISPW
2021-12-08,0.671,0.671,0.67,0.67,7206,AISPW
2021-12-09,0.6695,0.67,0.6,0.6005,32947,AISPW
2021-12-10,0.6011,0.6014,0.6,0.6,3000,AISPW
2021-12-13,0.6,0.6,0.6,0.6,1516,AISPW
2021-12-14,0.6,0.6,0.6,0.6,6400,AISPW
2021-12-15,0.6,0.6001,0.6,0.6,10819,AISPW
2021-12-16,0.5401,0.6,0.54,0.6,2345,AISPW
2021-12-23,0.6,0.609951,0.5999,0.6,12600,AISPW
2021-12-27,0.5302,0.5302,0.5302,0.5302,497,AISPW
2022-01-04,0.66,0.66,0.66,0.66,100,AISPW
2022-01-06,0.56,0.56,0.55,0.55,4426,AISPW
2022-01-07,0.62,0.62,0.6,0.6,1200,AISPW
2022-01-10,0.58,0.58,0.56,0.56,1900,AISPW
2022-01-12,0.58,0.6,0.58,0.59,5400,AISPW
2022-01-14,0.53,0.6299,0.49,0.49,21989,AISPW
2022-01-18,0.5199,0.5746,0.47,0.47,5015,AISPW
2022-01-20,0.47,0.47,0.46,0.47,2100,AISPW
2022-01-21,0.4301,0.4301,0.410086,0.410086,8629,AISPW
2022-01-24,0.4101,0.4105,0.3783,0.38,2460,AISPW
2022-01-25,0.45,0.45,0.3701,0.4,3100,AISPW
2022-01-27,0.45,0.45,0.45,0.45,100,AISPW
2022-01-28,0.44,0.44,0.3,0.3101,43040,AISPW
2022-01-31,0.3501,0.4,0.3253,0.35,10417,AISPW
2022-02-01,0.4499,0.45,0.43,0.45,8147,AISPW
2022-02-02,0.4343,0.434613,0.39,0.39,22589,AISPW
2022-02-07,0.3999,0.4,0.3501,0.39395,6643,AISPW
2022-02-08,0.3934,0.394,0.3934,0.394,28916,AISPW
2022-02-10,0.310301,0.4,0.310301,0.3104,28501,AISPW
2022-02-11,0.290099,0.31,0.2708,0.31,7410,AISPW
2022-02-14,0.3,0.3,0.244099,0.26,60422,AISPW
2022-02-15,0.2799,0.28,0.2799,0.28,12900,AISPW
2022-02-16,0.2699,0.2699,0.265,0.265,204000,AISPW
2022-02-17,0.2103,0.28,0.2103,0.279825,14940,AISPW
2022-02-18,0.27,0.27,0.27,0.27,97188,AISPW
2022-02-23,0.26,0.26,0.25,0.25,8803,AISPW
2022-02-24,0.21,0.26,0.198749,0.25,114530,AISPW
2022-02-28,0.25,0.2501,0.25,0.2501,6000,AISPW
2022-03-01,0.25,0.25,0.25,0.25,59950,AISPW
2022-03-03,0.25,0.25,0.24,0.24,160661,AISPW
2022-03-04,0.2002,0.24,0.18,0.1884,44223,AISPW
2022-03-07,0.1871,0.1872,0.1758,0.18,2760,AISPW
2022-03-08,0.1789,0.1812,0.1789,0.18,10500,AISPW
2022-03-16,0.16,0.2826,0.1502,0.2044,183939,AISPW
2022-03-17,0.1601,0.1601,0.153,0.153,1870,AISPW
2022-03-18,0.197,0.197,0.197,0.197,1773,AISPW
2022-04-11,0.2025,0.288,0.2025,0.26,4705,AISPW
2022-04-13,0.249,0.249,0.249,0.249,100,AISPW
2022-04-14,0.35,0.35,0.2865,0.3152,1704,AISPW
2022-04-25,0.1968,0.3099,0.19,0.2478,6165,AISPW
2022-04-26,0.29,0.29,0.2691,0.29,933,AISPW
2022-04-27,0.181,0.268,0.1802,0.26,5640,AISPW
2022-04-28,0.24,0.2521,0.23,0.2305,601,AISPW
2022-04-29,0.195,0.2824,0.17,0.197,426172,AISPW
2022-05-02,0.1855,0.1855,0.17,0.17,7059,AISPW
2022-05-04,0.1968,0.2228,0.17,0.22,11839,AISPW
2022-05-05,0.1701,0.25,0.1701,0.25,1173,AISPW
2022-05-12,0.235,0.235,0.1701,0.1701,400,AISPW
2022-05-13,0.169,0.1725,0.121,0.1621,1813,AISPW
2022-05-16,0.2285,0.2285,0.15,0.15,1900,AISPW
2022-05-17,0.08,0.22,0.08,0.1576,4405,AISPW
2022-05-18,0.1,0.217,0.1,0.1523,4604,AISPW
2022-05-23,0.201,0.201,0.1367,0.1428,525,AISPW
