Date,Open,High,Low,Close,Volume,ticker
2024-01-03,10.15,10.16,10.15,10.15,60286,AITR
2024-01-04,10.16,10.2,10.15,10.18,685329,AITR
2024-01-05,10.19,10.19,10.18,10.18,225456,AITR
2024-01-08,10.19,10.2,10.18,10.1814,584047,AITR
2024-01-09,10.18,10.1899,10.18,10.1899,251386,AITR
2024-01-10,10.19,10.2,10.18,10.19,188891,AITR
2024-01-11,10.19,10.2,10.18,10.19,119391,AITR
2024-01-12,10.19,10.1985,10.19,10.195,5838,AITR
2024-01-16,10.19,10.205,10.19,10.19,347600,AITR
2024-01-17,10.2,10.205,10.19,10.2,149106,AITR
2024-01-18,10.19,10.21,10.19,10.2,32633,AITR
2024-01-19,10.2,10.24,10.2,10.21,577681,AITR
2024-01-22,10.2,10.215,10.2,10.21,90180,AITR
2024-01-23,10.2,10.21,10.2,10.21,7411,AITR
2024-01-24,10.2,10.21,10.2,10.2,163751,AITR
2024-01-26,10.2,10.21,10.2,10.21,27310,AITR
2024-01-29,10.2108,10.2108,10.21,10.21,817,AITR
2024-01-30,10.21,10.215,10.2,10.2,17298,AITR
2024-01-31,10.21,10.22,10.21,10.21,121324,AITR
2024-02-01,10.21,10.21,10.21,10.21,4204,AITR
2024-02-06,10.22,10.22,10.22,10.22,40800,AITR
2024-02-07,10.2213,10.23,10.2213,10.23,5540,AITR
2024-02-08,10.23,10.23,10.22,10.22,12486,AITR
2024-02-09,10.22,10.22,10.21,10.2184,15340,AITR
2024-02-13,10.2251,10.2251,10.2251,10.2251,1300,AITR
2024-02-14,10.23,10.23,10.22,10.23,14957,AITR
2024-02-15,10.24,10.24,10.24,10.24,195,AITR
2024-02-16,10.2348,10.2348,10.2348,10.2348,1415,AITR
2024-02-21,10.24,10.24,10.24,10.24,5051,AITR
2024-02-22,10.24,10.24,10.24,10.24,6014,AITR
2024-02-23,10.2411,10.2411,10.24,10.2401,8877,AITR
2024-02-26,10.25,10.25,10.24,10.24,6406,AITR
2024-02-27,10.25,10.25,10.2419,10.2419,1306,AITR
2024-02-28,10.2489,10.2489,10.24,10.24,1840,AITR
2024-02-29,10.24,10.24,10.23,10.24,19045,AITR
2024-03-01,10.2439,10.2439,10.2439,10.2439,605,AITR
2024-03-04,10.24,10.25,10.24,10.25,160092,AITR
2024-03-05,10.255,10.29,10.25,10.29,44465,AITR
2024-03-06,10.255,10.3,10.255,10.3,149290,AITR
2024-03-07,10.26,10.32,10.26,10.26,398349,AITR
2024-03-08,10.28,10.2807,10.28,10.2807,50639,AITR
2024-03-11,10.28,10.31,10.28,10.31,2225,AITR
2024-03-12,10.28,10.28,10.28,10.28,275,AITR
2024-03-13,10.29,10.29,10.29,10.29,142,AITR
2024-03-14,10.29,10.29,10.29,10.29,244,AITR
2024-03-15,10.3,10.3,10.28,10.28,1405,AITR
2024-03-18,10.2823,10.2823,10.2823,10.2823,3674,AITR
2024-03-19,10.2803,10.2979,10.2803,10.2979,2898,AITR
2024-03-20,10.3,10.3,10.3,10.3,25428,AITR
2024-03-21,10.3,10.3,10.3,10.3,11636,AITR
2024-03-22,10.29,10.29,10.28,10.28,54037,AITR
2024-03-25,10.28,10.28,10.28,10.28,3013,AITR
2024-03-26,10.28,10.285,10.28,10.28,22935,AITR
2024-03-27,10.29,10.29,10.28,10.28,6192,AITR
2024-03-28,10.2805,10.2805,10.28,10.28,4221,AITR
2024-04-01,10.28,10.28,10.28,10.28,758,AITR
2024-04-02,10.28,10.28,10.28,10.28,2328,AITR
2024-04-03,10.28,10.28,10.28,10.28,3213,AITR
2024-04-04,10.28,10.28,10.27,10.28,10657,AITR
2024-04-05,10.28,10.29,10.28,10.28,15198,AITR
2024-04-08,10.29,10.29,10.29,10.29,2937,AITR
2024-04-09,10.29,10.29,10.2804,10.2804,3674,AITR
2024-04-10,10.28,10.28,10.28,10.28,4817,AITR
2024-04-12,10.28,10.3,10.28,10.3,18497,AITR
2024-04-15,10.295,10.3,10.29,10.29,12430,AITR
2024-04-16,10.3,10.3033,10.3,10.3,1772,AITR
2024-04-17,10.295,10.3,10.295,10.3,29430,AITR
