Date,Open,High,Low,Close,Volume,ticker
2024-09-12,0.17,0.17,0.17,0.17,864,AITRR
2024-09-16,0.17,0.17,0.17,0.17,900,AITRR
2024-09-17,0.17,0.17,0.16005,0.16005,1322,AITRR
2024-09-18,0.17,0.17,0.17,0.17,200,AITRR
2024-09-19,0.17,0.17,0.17,0.17,1100,AITRR
2024-09-20,0.17,0.17,0.17,0.17,200,AITRR
2024-10-01,0.1649,0.1649,0.1649,0.1649,12004,AITRR
2024-10-07,0.17,0.17,0.162,0.162,549,AITRR
2024-10-08,0.16,0.162,0.16,0.16,1101,AITRR
2024-10-11,0.16,0.16,0.16,0.16,9301,AITRR
2024-10-28,0.1518,0.17,0.1106,0.12,11107,AITRR
2024-10-29,0.1355,0.1355,0.1355,0.1355,500,AITRR
2024-10-30,0.1697,0.5,0.1232,0.1313,1424799,AITRR
2024-10-31,0.1448,0.1448,0.101,0.1044,31492,AITRR
2024-11-01,0.1045,0.1749,0.101,0.1222,244199,AITRR
2024-11-04,0.1199,0.15,0.1011,0.121,73408,AITRR
2024-11-05,0.10119,0.1191,0.10119,0.1191,5493,AITRR
2024-11-06,0.119,0.119,0.1055,0.1072,23700,AITRR
2024-11-07,0.1011,0.1011,0.1011,0.1011,874,AITRR
2024-11-08,0.1011,0.1162,0.101,0.1111,2643,AITRR
2024-11-14,0.111,0.111,0.1098,0.1098,427,AITRR
2024-11-18,0.1011,0.111,0.101,0.1015,16080,AITRR
2024-11-20,0.1011,0.1011,0.1011,0.1011,4469,AITRR
2024-11-22,0.12,0.2147,0.12,0.1294,76771,AITRR
2024-11-25,0.14,0.14,0.12,0.137,12388,AITRR
2024-11-27,0.136999,0.136999,0.12,0.12,672,AITRR
2024-12-02,0.12,0.12,0.1048,0.1048,285018,AITRR
2024-12-03,0.1183,0.12,0.1183,0.12,76910,AITRR
2024-12-04,0.12,0.12,0.12,0.12,398,AITRR
2024-12-06,0.126,0.1398,0.12,0.1388,16617,AITRR
2024-12-09,0.1458,0.2035,0.13,0.13,11009,AITRR
2024-12-10,0.13,0.13,0.13,0.13,221,AITRR
2024-12-11,0.13,0.13,0.13,0.13,252,AITRR
2024-12-12,0.13,0.13,0.13,0.13,2355,AITRR
2024-12-13,0.1503,0.1503,0.1503,0.1503,5015,AITRR
2024-12-16,0.15,0.17,0.15,0.154,3261,AITRR
2024-12-17,0.13,0.13,0.13,0.13,400,AITRR
2024-12-18,0.13,0.13,0.1214,0.122,772,AITRR
2024-12-19,0.1249,0.1249,0.1249,0.1249,116,AITRR
2024-12-20,0.1249,0.1249,0.1209,0.1209,1600,AITRR
2024-12-23,0.1211,0.1501,0.12,0.1209,15147,AITRR
2024-12-24,0.1201,0.1201,0.1201,0.1201,111,AITRR
2024-12-26,0.1321,0.1321,0.1321,0.1321,100,AITRR
2024-12-27,0.14,0.14,0.14,0.14,916,AITRR
2024-12-30,0.14,0.14,0.13,0.13,653,AITRR
2024-12-31,0.13,0.13,0.13,0.13,200,AITRR
2025-01-02,0.1201,0.13,0.1201,0.13,6065,AITRR
2025-01-03,0.1301,0.1301,0.1301,0.1301,583,AITRR
2025-01-06,0.13,0.13,0.129,0.129,5038,AITRR
2025-01-07,0.12,0.1201,0.12,0.1201,1065,AITRR
2025-01-08,0.12,0.1425,0.1108,0.1108,8029,AITRR
2025-01-15,0.1108,0.1108,0.101,0.1011,14998,AITRR
2025-01-22,0.1401,0.16,0.1251,0.1352,3365,AITRR
2025-01-23,0.13,0.13,0.13,0.13,100,AITRR
2025-01-24,0.12,0.135,0.12,0.135,305,AITRR
2025-01-27,0.1225,0.1225,0.12,0.12,784,AITRR
2025-02-04,0.1396,0.144,0.13,0.1392,1277,AITRR
2025-02-05,0.1,0.125,0.1,0.125,1045,AITRR
