Date,Open,High,Low,Close,Volume,ticker
2018-03-28,275.0,278.25,251.5,270.0,242176,AIU
2018-03-29,271.25,276.25,268.75,268.75,50061,AIU
2018-04-02,269.25,272.5,261.0,269.0,23421,AIU
2018-04-03,269.25,273.75,267.5,272.75,15608,AIU
2018-04-04,267.5,272.75,255.0,258.75,41884,AIU
2018-04-05,260.0,265.0,255.25,257.5,29308,AIU
2018-04-06,255.75,272.5,255.75,266.5,18042,AIU
2018-04-09,266.75,273.75,264.5,273.0,9041,AIU
2018-04-10,270.5,275.0,270.0,273.25,3008,AIU
2018-04-11,273.5,274.75,267.75,273.0,7745,AIU
2018-04-12,274.25,275.0,264.75,270.75,11955,AIU
2018-04-13,267.75,273.52,267.75,268.75,9587,AIU
2018-04-16,270.5,272.5,268.5,269.75,5327,AIU
2018-04-17,270.0,272.75,264.0,267.75,13168,AIU
2018-04-18,266.5,270.88,266.5,267.5,4282,AIU
2018-04-19,270.0,272.75,268.12,268.75,9973,AIU
2018-04-20,270.0,271.47,267.5,268.25,7762,AIU
2018-04-23,270.0,271.5,265.0,267.5,3403,AIU
2018-04-24,270.0,271.47,262.5,266.0,23063,AIU
2018-04-25,267.0,269.75,262.5,265.5,25412,AIU
2018-04-26,266.0,268.37,263.25,266.0,20308,AIU
2018-04-27,264.5,276.0,258.88,275.25,20968,AIU
2018-04-30,273.25,296.5,214.0,245.25,80668,AIU
2018-05-01,250.25,282.5,248.75,272.75,10447,AIU
2018-05-02,269.25,274.75,269.25,273.75,8403,AIU
2018-05-03,276.0,283.75,267.5,270.0,6673,AIU
2018-05-04,268.0,274.5,268.0,270.5,1699,AIU
2018-05-07,274.75,277.5,270.75,273.75,8141,AIU
2018-05-08,272.0,276.25,271.25,273.0,5065,AIU
2018-05-09,270.0,275.5,270.0,273.75,4602,AIU
2018-05-10,273.0,273.0,265.0,271.25,6838,AIU
2018-05-11,270.5,270.5,262.75,265.75,3754,AIU
2018-05-14,266.75,267.5,258.25,259.75,6722,AIU
2018-05-15,259.25,268.0,257.25,263.5,3060,AIU
2018-05-16,263.0,273.75,263.0,267.75,4814,AIU
2018-05-17,265.0,268.25,261.5,262.0,4751,AIU
2018-05-18,261.5,271.25,261.5,268.75,5181,AIU
2018-05-21,270.0,279.25,269.0,276.25,14800,AIU
2018-05-22,278.75,308.43,276.75,301.25,27913,AIU
2018-05-23,306.5,367.25,306.5,336.75,38333,AIU
2018-05-24,341.5,351.75,332.71,336.75,19655,AIU
2018-05-25,334.5,340.0,322.75,334.5,14840,AIU
2018-05-29,333.5,349.25,325.25,341.5,11723,AIU
2018-05-30,341.75,385.25,337.5,380.5,57028,AIU
2018-05-31,380.0,394.0,365.0,370.25,26244,AIU
2018-06-01,375.5,395.0,371.28,394.5,18047,AIU
2018-06-04,389.5,400.0,367.75,376.75,24395,AIU
2018-06-05,376.75,378.69,350.99,352.25,22054,AIU
2018-06-06,352.5,370.0,352.5,354.75,9806,AIU
2018-06-07,353.75,358.0,337.5,344.25,12876,AIU
2018-06-08,342.5,361.0,340.75,357.0,18580,AIU
2018-06-11,356.5,356.5,347.47,348.5,11647,AIU
2018-06-12,350.25,375.0,350.25,359.75,21573,AIU
2018-06-13,365.0,367.5,343.75,353.75,16500,AIU
2018-06-14,350.5,358.5,337.5,343.0,16935,AIU
2018-06-15,341.75,345.0,332.75,338.25,19056,AIU
2018-06-18,338.0,344.0,321.5,325.75,7727,AIU
2018-06-19,322.0,325.25,300.0,313.75,22615,AIU
2018-06-20,316.75,328.75,315.0,321.5,10071,AIU
2018-06-21,320.5,320.5,306.75,315.0,9506,AIU
2018-06-22,317.5,319.25,305.0,308.0,12614,AIU
2018-06-25,301.5,302.0,285.75,292.25,28277,AIU
2018-06-26,293.25,297.12,283.0,289.75,9372,AIU
2018-06-27,289.5,289.5,266.75,274.5,19504,AIU
2018-06-28,275.0,280.5,263.0,278.75,27762,AIU
2018-06-29,271.75,283.0,252.5,277.5,20817,AIU
2018-07-02,274.75,305.25,266.5,304.5,12130,AIU
2018-07-03,305.0,309.5,292.25,301.25,7281,AIU
2018-07-05,301.0,306.74,289.5,299.0,14670,AIU
2018-07-06,298.5,298.5,289.25,295.75,11516,AIU
2018-07-09,298.5,302.0,292.75,296.75,10062,AIU
2018-07-10,297.5,297.5,287.0,288.75,5009,AIU
2018-07-11,287.0,290.0,283.26,285.75,5173,AIU
2018-07-12,287.25,307.75,283.25,299.25,6357,AIU
2018-07-13,300.25,301.75,291.75,296.0,2751,AIU
2018-07-16,297.5,298.75,290.25,293.25,4088,AIU
2018-07-17,293.0,301.75,286.75,287.5,4352,AIU
2018-07-18,286.75,296.0,280.25,286.75,7093,AIU
2018-07-19,284.5,284.5,275.25,281.0,9378,AIU
2018-07-20,281.0,288.0,279.25,281.0,8767,AIU
2018-07-23,281.0,285.25,275.25,282.25,5350,AIU
2018-07-24,283.0,293.25,259.5,277.5,25866,AIU
2018-07-25,275.5,283.32,263.25,272.5,11475,AIU
2018-07-26,270.5,272.5,255.25,264.75,19389,AIU
2018-07-27,264.0,271.75,264.0,267.5,4538,AIU
2018-07-30,267.5,267.5,252.25,252.25,13259,AIU
2018-07-31,265.75,275.0,241.25,247.5,15758,AIU
2018-08-01,250.25,253.5,237.0,253.0,8355,AIU
2018-08-02,250.0,260.75,248.5,260.5,5438,AIU
2018-08-03,263.25,263.25,258.0,258.5,3234,AIU
2018-08-06,260.25,265.0,250.5,264.75,4399,AIU
2018-08-07,265.0,266.75,256.25,264.0,4315,AIU
2018-08-08,266.0,269.5,260.5,268.0,2711,AIU
2018-08-09,268.0,274.5,264.5,265.5,7887,AIU
2018-08-10,266.25,266.5,257.5,259.25,5253,AIU
2018-08-13,250.0,265.0,245.27,263.5,9876,AIU
2018-08-14,268.0,268.0,237.0,243.75,11129,AIU
2018-08-15,240.0,241.5,214.0,227.0,22952,AIU
2018-08-16,227.5,233.0,217.5,223.75,11128,AIU
2018-08-17,221.75,236.75,215.0,224.0,19990,AIU
2018-08-20,225.5,242.5,225.5,238.0,5259,AIU
2018-08-21,231.0,235.0,216.5,222.5,18670,AIU
2018-08-22,222.75,226.5,212.5,221.5,16722,AIU
2018-08-23,219.75,226.75,217.5,223.25,5346,AIU
2018-08-24,223.81,225.5,218.75,218.75,5486,AIU
2018-08-27,223.25,231.0,221.75,224.75,12553,AIU
2018-08-28,224.5,224.75,207.5,208.5,6667,AIU
2018-08-29,206.5,213.5,205.5,212.0,3791,AIU
2018-08-30,210.5,212.75,206.25,206.5,10757,AIU
2018-08-31,206.52,208.75,198.25,208.0,6773,AIU
2018-09-04,209.75,210.0,201.4,204.0,3485,AIU
2018-09-05,203.0,209.5,188.25,202.0,14469,AIU
