Date,Open,High,Low,Close,Volume,ticker
2024-03-14,58.0,58.0,54.7,54.7,677782,ALB_A
2024-03-15,54.34,55.82,53.9796,55.37,532014,ALB_A
2024-03-18,55.78,56.64,55.77,56.39,12864,ALB_A
2024-03-19,55.55,56.25,54.9199,54.9975,1223772,ALB_A
2024-03-20,57.06,57.15,55.0,56.38,322407,ALB_A
2024-03-21,57.8136,59.32,56.32,59.32,908286,ALB_A
2024-03-22,55.75,56.2,54.9,54.9,1300259,ALB_A
2024-03-25,55.14,55.63,54.09,54.11,187827,ALB_A
2024-03-26,54.59,55.04,53.85,54.35,9622,ALB_A
2024-03-27,56.35,62.21,54.51,58.06,3518016,ALB_A
2024-03-28,58.0,59.36,57.545,59.0,8449006,ALB_A
2024-04-01,59.04,59.12,57.4985,58.17,574461,ALB_A
2024-04-02,58.15,58.15,56.6,57.13,1313523,ALB_A
2024-04-03,56.88,58.46,56.78,58.02,482949,ALB_A
2024-04-04,58.23,58.51,55.12,55.14,715377,ALB_A
2024-04-05,55.72,56.175,54.75,55.98,172052,ALB_A
2024-04-08,56.95,59.54,56.95,59.07,554026,ALB_A
2024-04-09,59.25,59.41,57.5,58.21,657395,ALB_A
2024-04-10,57.21,58.8,56.8372,57.61,350289,ALB_A
2024-04-11,57.97,58.65,56.77,58.65,335298,ALB_A
2024-04-12,57.82,57.82,55.7299,55.7299,63693,ALB_A
2024-04-15,56.3,56.3,54.73,54.88,45912,ALB_A
2024-04-16,54.1,54.43,52.68,52.68,104590,ALB_A
2024-04-17,53.93,53.94,52.72,52.9,164801,ALB_A
2024-04-18,54.01,54.01,51.55,51.89,269458,ALB_A
2024-04-19,51.95,52.92,51.82,51.82,113175,ALB_A
2024-04-22,51.63,52.43,50.6,51.94,238181,ALB_A
2024-04-23,51.5,53.33,51.5,52.8256,270000,ALB_A
2024-04-24,52.9,52.99,52.17,52.99,7690,ALB_A
2024-04-25,52.51,53.27,51.58,53.1,24562,ALB_A
2024-04-26,53.12,54.0,53.12,53.48,25648,ALB_A
2024-04-29,54.86,56.9,54.86,56.84,37656,ALB_A
2024-04-30,55.91,56.39,54.7196,54.87,65625,ALB_A
2024-05-01,55.8081,55.8081,54.14,55.36,57295,ALB_A
2024-05-02,55.26,57.06,54.64,56.68,15885,ALB_A
2024-05-03,58.0,58.44,57.6,57.79,38344,ALB_A
2024-05-06,58.3,58.72,58.1,58.72,115962,ALB_A
2024-05-07,58.78,60.36,58.78,59.08,163358,ALB_A
2024-05-08,57.62,58.65,57.62,58.65,628973,ALB_A
2024-05-09,58.77,59.81,58.77,59.81,8273,ALB_A
2024-05-10,59.6,59.6,58.1,58.32,131940,ALB_A
2024-05-13,59.79,59.9499,58.73,58.73,225288,ALB_A
2024-05-14,58.65,59.98,58.65,59.64,196870,ALB_A
2024-05-15,58.5,58.5,56.595,56.73,121559,ALB_A
2024-05-16,57.32,57.7,56.75,57.42,16644,ALB_A
2024-05-17,57.83,59.0199,57.82,58.02,22118,ALB_A
2024-05-20,57.06,57.76,56.72,57.43,113289,ALB_A
2024-05-21,56.77,56.98,56.49,56.49,3113,ALB_A
2024-05-22,55.85,56.84,55.29,56.12,7036,ALB_A
2024-05-23,55.91,55.91,54.9,55.33,69207,ALB_A
2024-05-24,56.2878,56.83,56.1031,56.83,21655,ALB_A
2024-05-28,56.54,57.27,56.24,56.95,16242,ALB_A
2024-05-29,55.64,55.76,55.24,55.24,85790,ALB_A
2024-05-30,55.67,56.0333,55.25,55.25,9958,ALB_A
2024-05-31,55.83,55.83,54.18,55.07,248730,ALB_A
2024-06-03,55.02,55.35,54.01,54.23,425088,ALB_A
2024-06-04,53.7,54.25,53.38,53.47,17935,ALB_A
2024-06-05,53.74,54.18,53.16,53.65,90563,ALB_A
2024-06-06,53.0,53.42,52.08,53.2285,293509,ALB_A
2024-06-07,52.75,55.11,52.0,52.29,147074,ALB_A
2024-06-10,52.64,52.64,51.47,51.86,20692,ALB_A
2024-06-11,51.87,51.99,51.41,51.97,82147,ALB_A
2024-06-12,53.1,53.47,51.2,51.7,132860,ALB_A
2024-06-13,51.7,51.7,49.72,50.04,268762,ALB_A
2024-06-14,50.0,50.19,48.4,48.45,106301,ALB_A
2024-06-17,48.3417,48.3417,46.85,47.52,40934,ALB_A
2024-06-18,48.0,48.0299,46.69,46.99,97976,ALB_A
2024-06-20,47.0,47.05,44.98,44.99,60125,ALB_A
2024-06-21,44.85,46.48,44.64,46.48,352048,ALB_A
2024-06-24,45.45,45.97,44.95,45.0,132152,ALB_A
2024-06-25,45.55,45.73,44.56,44.7,113105,ALB_A
2024-06-26,45.33,47.49,45.33,47.49,78147,ALB_A
2024-06-27,47.45,47.45,45.5,46.06,245965,ALB_A
2024-06-28,45.36,46.7,45.21,46.66,1542821,ALB_A
2024-07-01,46.21,46.46,45.7254,46.46,133190,ALB_A
2024-07-02,46.81,48.38,46.0,46.31,980286,ALB_A
2024-07-03,46.51,47.86,46.51,47.5,37546,ALB_A
2024-07-05,47.8,47.8,46.35,46.88,20979,ALB_A
2024-07-08,47.42,48.8,47.15,47.23,716179,ALB_A
2024-07-09,47.14,47.14,44.0,44.02,453831,ALB_A
2024-07-10,44.45,46.47,44.131,46.42,109072,ALB_A
2024-07-11,46.875,47.46,46.45,46.65,386353,ALB_A
2024-07-12,46.9,47.25,46.44,46.74,183681,ALB_A
2024-07-15,45.95,46.39,45.25,45.99,102305,ALB_A
2024-07-16,46.17,46.9,45.43,46.83,206521,ALB_A
2024-07-17,46.59,47.38,44.95,45.8,304440,ALB_A
2024-07-18,46.22,46.8,45.26,45.26,146711,ALB_A
2024-07-19,45.46,45.75,44.32,44.37,65670,ALB_A
2024-07-22,44.78,45.24,44.485,45.24,9215,ALB_A
2024-07-23,45.17,45.17,44.28,44.46,23919,ALB_A
2024-07-24,44.46,44.96,44.2,44.32,63713,ALB_A
2024-07-25,44.27,45.51,44.1,44.33,222891,ALB_A
2024-07-26,44.68,45.12,44.24,44.9,33225,ALB_A
2024-07-29,44.81,44.81,44.18,44.62,52652,ALB_A
2024-07-30,47.5,47.5,44.18,44.61,23242,ALB_A
2024-07-31,44.48,46.08,44.27,44.72,407065,ALB_A
2024-08-01,45.23,46.6,44.8,44.8,148706,ALB_A
2024-08-02,44.1,44.8,41.0597,42.67,201699,ALB_A
2024-08-05,40.29,42.15,40.15,41.22,75079,ALB_A
2024-08-06,40.97,41.49,39.92,39.92,643223,ALB_A
2024-08-07,41.0,41.5,39.61,39.61,68414,ALB_A
2024-08-08,39.64,41.22,35.92,40.53,704115,ALB_A
2024-08-09,40.73,40.73,39.8,40.32,26676,ALB_A
2024-08-12,40.45,40.74,38.3,38.6,840276,ALB_A
2024-08-13,39.29,39.29,38.43,39.075,30225,ALB_A
2024-08-14,39.11,39.14,37.05,37.51,586382,ALB_A
2024-08-15,37.9,38.96,37.66,38.9,469346,ALB_A
2024-08-16,38.89,39.07,38.4,39.06,1014244,ALB_A
2024-08-19,39.185,40.37,39.1,40.37,63467,ALB_A
2024-08-20,40.685,41.36,40.685,40.87,164012,ALB_A
2024-08-21,41.66,42.56,41.04,42.5,25175,ALB_A
2024-08-22,42.31,42.31,41.3925,41.65,64539,ALB_A
2024-08-23,41.79,43.2,41.79,43.2,75283,ALB_A
2024-08-26,43.5,43.5,42.3201,42.47,7275,ALB_A
2024-08-27,42.52,42.75,42.35,42.62,7619,ALB_A
2024-08-28,42.44,42.44,42.14,42.28,13537,ALB_A
2024-08-29,42.64,43.955,42.64,43.66,12913,ALB_A
2024-08-30,44.0,44.21,42.2749,42.76,84926,ALB_A
2024-09-03,42.48,42.48,40.26,40.83,100344,ALB_A
2024-09-04,40.72,41.83,40.72,40.8,75115,ALB_A
2024-09-05,40.85,40.99,40.47,40.47,24025,ALB_A
2024-09-06,39.97,39.97,37.93,38.42,323394,ALB_A
2024-09-09,39.15,39.225,38.27,38.8,77500,ALB_A
2024-09-10,38.8,38.96,37.75,38.96,41031,ALB_A
2024-09-11,42.85,43.1,41.1201,42.89,377813,ALB_A
2024-09-12,42.96,45.0,42.09,42.74,85724,ALB_A
2024-09-13,43.51,43.51,41.8885,42.58,207224,ALB_A
2024-09-16,42.94,43.3,42.25,43.0673,194250,ALB_A
2024-09-17,43.85,43.85,43.2,43.44,370718,ALB_A
2024-09-18,43.465,43.465,41.67,41.67,1605774,ALB_A
2024-09-19,43.04,43.31,42.53,43.31,296521,ALB_A
2024-09-20,43.0,43.0,41.59,41.91,167775,ALB_A
2024-09-23,42.2,43.14,42.11,42.9,146004,ALB_A
2024-09-24,44.44,44.93,43.48,43.56,23713,ALB_A
2024-09-25,43.34,43.34,41.92,42.34,553966,ALB_A
2024-09-26,44.9502,45.32,43.92,45.32,756503,ALB_A
2024-09-27,45.74,46.0285,44.96,45.74,17783,ALB_A
2024-09-30,45.95,46.6,44.75,45.0,262305,ALB_A
2024-10-01,44.98,46.09,44.5,44.85,21817,ALB_A
2024-10-02,45.49,45.49,44.6,44.7,20365,ALB_A
2024-10-03,44.23,44.9,44.09,44.9,23488,ALB_A
2024-10-04,46.75,47.43,45.81,47.43,26386,ALB_A
2024-10-07,47.39,48.7,47.39,48.44,68489,ALB_A
2024-10-08,47.68,47.68,46.5,47.04,55217,ALB_A
2024-10-09,47.62,48.09,47.0,47.72,90494,ALB_A
2024-10-10,47.04,48.55,47.04,48.07,61712,ALB_A
2024-10-11,47.68,48.14,47.54,47.55,35424,ALB_A
2024-10-14,47.85,47.85,46.3,46.79,42148,ALB_A
2024-10-15,46.44,47.02,45.293,45.41,518915,ALB_A
2024-10-16,46.58,46.605,45.83,46.49,54345,ALB_A
2024-10-17,46.42,46.42,44.48,45.14,76880,ALB_A
2024-10-18,45.39,45.39,44.75,44.75,45092,ALB_A
2024-10-21,45.01,45.05,44.25,44.67,650660,ALB_A
2024-10-22,44.63,45.67,44.3,45.58,365749,ALB_A
2024-10-23,45.05,45.3,44.32,44.48,21856,ALB_A
2024-10-24,45.7799,46.0,44.27,44.74,363661,ALB_A
2024-10-25,44.8,45.37,44.41,44.74,112959,ALB_A
2024-10-28,44.74,46.57,44.74,45.96,34924,ALB_A
2024-10-29,45.87,47.49,45.67,45.7776,25635,ALB_A
2024-10-30,45.0,46.32,45.0,45.46,66290,ALB_A
2024-10-31,45.0,45.38,44.61,44.75,88988,ALB_A
2024-11-01,45.36,46.34,45.32,45.92,24849,ALB_A
2024-11-04,45.92,47.6,45.92,47.09,18941,ALB_A
2024-11-05,46.86,47.0,46.23,46.74,22231,ALB_A
2024-11-06,45.44,45.88,44.5,45.88,34867,ALB_A
2024-11-07,45.1,48.0409,44.86,46.91,70129,ALB_A
2024-11-08,46.43,47.13,45.77,47.13,21785,ALB_A
2024-11-11,48.25,50.77,47.94,50.5,62314,ALB_A
2024-11-12,48.53,49.0997,47.66,47.66,199198,ALB_A
2024-11-13,50.13,50.63,48.46,50.24,1528209,ALB_A
2024-11-14,49.85,50.0,47.435,47.72,69337,ALB_A
2024-11-15,47.56,47.56,46.0646,47.39,555383,ALB_A
2024-11-18,48.1,48.1,46.88,47.5,27007,ALB_A
