Date,Open,High,Low,Close,Volume,ticker
2019-04-10,56.534,57.496,56.444,56.861,5498486,ALC
2019-04-11,55.393,55.592,54.808,55.174,5529740,ALC
2019-04-12,53.646,54.39,53.368,54.014,4737836,ALC
2019-04-15,54.668,55.789,54.311,55.323,4403598,ALC
2019-04-16,55.413,56.802,54.867,56.583,4355877,ALC
2019-04-17,56.247,57.06,55.879,56.177,4144326,ALC
2019-04-18,54.758,55.323,54.708,54.906,3923451,ALC
2019-04-22,54.291,54.772,54.231,54.579,1893442,ALC
2019-04-23,54.044,55.601,53.994,55.423,5109016,ALC
2019-04-24,55.313,56.593,55.015,56.217,4680916,ALC
2019-04-25,57.158,58.241,57.11,57.436,2968302,ALC
2019-04-26,57.248,57.784,56.901,57.676,1008889,ALC
2019-04-29,56.891,57.516,56.583,56.981,1515433,ALC
2019-04-30,56.901,57.764,56.742,57.755,913111,ALC
2019-05-01,57.854,58.34,57.556,57.676,1597093,ALC
2019-05-02,58.032,59.303,57.982,59.183,2332168,ALC
2019-05-03,58.825,58.895,57.586,58.052,1906824,ALC
2019-05-06,57.755,59.273,57.616,59.095,1460835,ALC
2019-05-07,58.807,58.807,57.436,57.883,1159547,ALC
2019-05-08,58.519,60.533,58.45,60.216,2264056,ALC
2019-05-09,59.183,60.652,59.075,60.226,1971406,ALC
2019-05-10,60.573,63.242,60.563,62.845,1959576,ALC
2019-05-13,62.101,62.398,61.019,61.168,1556657,ALC
2019-05-14,60.484,60.592,59.154,59.401,1291652,ALC
2019-05-15,59.521,60.93,59.511,60.384,877220,ALC
2019-05-16,61.278,61.616,60.394,60.672,1074195,ALC
2019-05-17,60.831,61.078,60.166,60.474,809706,ALC
2019-05-20,59.095,59.908,58.835,59.154,1218226,ALC
2019-05-21,58.965,59.18,58.489,58.558,817274,ALC
2019-05-22,58.141,58.717,58.082,58.39,696132,ALC
2019-05-23,58.469,58.687,58.183,58.35,663437,ALC
2019-05-24,58.261,58.608,58.211,58.548,540536,ALC
2019-05-28,57.616,58.012,57.436,57.436,1291397,ALC
2019-05-29,57.636,58.27,57.398,58.231,909548,ALC
2019-05-30,58.41,58.608,57.973,58.171,502641,ALC
2019-05-31,57.636,58.022,57.382,57.735,858458,ALC
2019-06-03,58.042,59.149,57.998,58.717,891310,ALC
2019-06-04,58.42,58.627,58.251,58.499,1025517,ALC
2019-06-05,58.479,58.598,58.111,58.211,855494,ALC
2019-06-06,58.062,58.46,57.755,58.141,844391,ALC
2019-06-07,58.46,58.807,58.28,58.37,520281,ALC
2019-06-10,58.121,58.895,58.0,58.657,464720,ALC
2019-06-11,58.885,59.015,58.588,58.777,567450,ALC
2019-06-12,58.558,58.985,58.33,58.875,664436,ALC
2019-06-13,58.42,58.687,58.093,58.578,778885,ALC
2019-06-14,57.646,57.903,57.338,57.456,761359,ALC
2019-06-17,57.218,58.062,57.208,57.864,820642,ALC
2019-06-18,58.151,58.707,58.022,58.052,1137944,ALC
2019-06-19,58.41,58.885,58.111,58.797,745291,ALC
2019-06-20,58.975,59.521,58.895,59.114,785250,ALC
2019-06-21,58.845,59.53,58.697,59.363,1362750,ALC
2019-06-24,59.045,59.401,58.816,59.075,540496,ALC
2019-06-25,58.548,58.975,58.241,58.509,1193297,ALC
2019-06-26,58.787,59.769,58.743,59.58,1261807,ALC
2019-06-27,59.243,59.908,59.213,59.779,1354916,ALC
2019-06-28,60.612,61.773,60.612,61.576,1873935,ALC
2019-07-01,61.128,61.783,61.029,61.268,1248549,ALC
2019-07-02,61.148,62.081,61.039,61.942,1484824,ALC
2019-07-03,62.33,62.468,61.813,61.932,572123,ALC
2019-07-05,61.029,61.138,60.354,60.394,646136,ALC
2019-07-08,60.294,60.891,60.226,60.632,575296,ALC
2019-07-09,60.196,60.464,59.839,60.226,885269,ALC
2019-07-10,60.404,60.732,60.294,60.662,798528,ALC
2019-07-11,61.168,61.258,60.667,61.059,721336,ALC
2019-07-12,60.494,60.989,60.414,60.939,574731,ALC
2019-07-15,60.602,60.772,60.434,60.553,528019,ALC
2019-07-16,60.384,60.444,59.819,60.037,855055,ALC
2019-07-17,60.494,60.632,60.244,60.274,747679,ALC
2019-07-18,59.829,60.484,59.751,60.434,443445,ALC
2019-07-19,59.869,60.226,59.451,59.62,890021,ALC
2019-07-22,59.58,59.827,59.213,59.343,763435,ALC
2019-07-23,59.253,59.511,59.005,59.253,339029,ALC
2019-07-24,58.41,58.757,58.221,58.578,575488,ALC
2019-07-25,58.3,58.588,57.889,58.42,820097,ALC
2019-07-26,58.161,59.114,58.161,58.905,1518287,ALC
2019-07-29,58.865,59.045,58.529,59.015,669812,ALC
2019-07-30,58.598,58.945,58.102,58.598,1382272,ALC
2019-07-31,58.171,58.627,58.018,58.3,990690,ALC
2019-08-01,58.141,59.075,58.052,58.43,869790,ALC
2019-08-02,58.548,58.608,57.755,58.469,456186,ALC
2019-08-05,57.546,57.923,57.378,57.755,1229469,ALC
2019-08-06,57.992,58.499,57.869,58.43,735640,ALC
2019-08-07,58.45,59.203,58.43,59.134,645757,ALC
2019-08-08,58.797,59.451,58.598,59.183,548464,ALC
2019-08-09,59.085,59.66,59.025,59.491,573148,ALC
2019-08-12,59.183,59.451,58.717,59.025,461627,ALC
2019-08-13,58.568,59.58,58.568,59.431,613867,ALC
2019-08-14,58.598,58.855,58.34,58.44,816413,ALC
2019-08-15,58.45,59.283,58.45,59.124,458977,ALC
2019-08-16,59.481,60.523,59.328,60.384,1086132,ALC
2019-08-19,59.938,61.813,59.938,61.278,1485709,ALC
2019-08-20,61.238,62.151,60.969,61.942,1859470,ALC
2019-08-21,59.65,61.009,59.56,60.047,4102398,ALC
2019-08-22,59.759,60.434,59.203,59.273,1683092,ALC
2019-08-23,58.935,58.935,57.646,58.171,1343001,ALC
2019-08-26,58.251,58.499,58.012,58.111,827988,ALC
2019-08-27,58.131,60.504,58.082,60.107,2614462,ALC
2019-08-28,59.699,60.772,58.965,60.384,1866507,ALC
2019-08-29,60.077,60.811,59.957,60.394,1498298,ALC
2019-08-30,60.523,60.772,60.314,60.494,927772,ALC
2019-09-03,60.047,60.334,59.839,60.097,754305,ALC
2019-09-04,60.196,60.444,60.007,60.117,721093,ALC
2019-09-05,60.017,60.146,59.323,59.333,1028418,ALC
2019-09-06,59.59,59.869,59.313,59.382,483172,ALC
2019-09-09,58.915,58.915,58.141,58.151,765303,ALC
2019-09-10,58.072,59.729,57.784,59.729,1816409,ALC
2019-09-11,59.005,59.938,58.935,59.293,1954101,ALC
2019-09-12,59.203,59.431,59.124,59.313,1041122,ALC
2019-09-13,59.213,59.441,58.915,58.995,976858,ALC
2019-09-16,58.747,59.114,58.627,59.005,776743,ALC
2019-09-17,58.816,59.511,58.647,59.373,1217517,ALC
2019-09-18,58.955,59.431,58.955,59.025,1443790,ALC
2019-09-19,59.055,59.183,58.727,58.787,979404,ALC
2019-09-20,59.095,59.521,58.955,59.313,817213,ALC
2019-09-23,59.253,60.314,59.173,60.117,1286465,ALC
2019-09-24,59.987,60.117,59.027,59.253,1348162,ALC
2019-09-25,58.935,59.431,58.757,58.905,528501,ALC
2019-09-26,58.777,58.905,58.201,58.4,415679,ALC
2019-09-27,58.4,58.608,57.992,58.151,312735,ALC
2019-09-30,58.012,58.34,57.834,57.844,544970,ALC
2019-10-01,57.556,57.631,57.09,57.228,1054749,ALC
2019-10-02,56.257,56.663,55.959,56.316,2072141,ALC
2019-10-03,55.601,56.384,55.572,56.227,903718,ALC
2019-10-04,56.384,56.792,56.177,56.702,868037,ALC
2019-10-07,56.534,56.951,56.464,56.544,777787,ALC
2019-10-08,56.147,56.217,55.552,55.552,661867,ALC
2019-10-09,55.71,55.969,55.582,55.819,498746,ALC
2019-10-10,55.799,56.027,55.621,55.809,479647,ALC
2019-10-11,55.909,56.112,55.789,55.799,814447,ALC
2019-10-14,56.127,57.011,56.087,56.593,588805,ALC
2019-10-15,56.683,57.943,56.623,57.378,1820807,ALC
2019-10-16,57.358,57.696,57.248,57.407,461850,ALC
2019-10-17,58.161,58.717,58.131,58.618,814519,ALC
2019-10-18,58.479,58.627,58.246,58.558,339551,ALC
2019-10-21,58.41,58.499,58.032,58.052,536783,ALC
2019-10-22,58.34,58.41,57.646,57.656,571833,ALC
2019-10-23,57.606,57.725,57.188,57.268,797532,ALC
2019-10-24,57.893,57.916,57.368,57.696,956871,ALC
2019-10-25,57.963,58.169,57.804,57.844,661980,ALC
2019-10-28,57.923,57.982,57.243,57.298,864940,ALC
2019-10-29,57.158,58.012,57.138,57.616,2280468,ALC
2019-10-30,58.251,58.539,57.963,58.529,386301,ALC
2019-10-31,58.807,58.845,58.31,58.816,454962,ALC
2019-11-01,58.787,58.865,58.46,58.489,648321,ALC
2019-11-04,58.905,58.965,58.38,58.548,454277,ALC
2019-11-05,58.43,58.44,57.963,58.221,971521,ALC
2019-11-06,58.121,58.32,57.953,58.092,734502,ALC
2019-11-07,58.211,58.365,58.022,58.201,1785432,ALC
2019-11-08,57.933,57.973,57.506,57.556,832442,ALC
2019-11-11,57.883,58.102,57.794,57.864,803527,ALC
